ticker,elem,loss_profit,max_d5y,min_d5y,avg_d5y,max_d3y,min_d3y,avg_dy3
DVY,p3y,profit,0.6517261,0.3819953,0.6426474,0.6517261,0,0.5439129
DVY,p5y,profit,0.6517261,0.4578567,0.6404749,0.6517261,0,0.5324546
DVY,p3y,loss,0.02951249,0.02280893,0.02616071,0.1585075,0,0.06208446
DVY,p5y,loss,-0w,0w,,0.04670548,0,0.01192126
EWK,p3y,profit,0.7621575,0.2869422,0.6789507,0.7621575,0,0.4434823
EWK,p5y,profit,0.7621575,0.1532312,0.7020696,0.7621575,0.1532312,0.5332517
EWK,p3y,loss,0.4230322,0,0.1126562,0.4230322,0,0.1300117
EWK,p5y,loss,0.6240433,0,0.0988904,0.3676111,0,0.09399113
EWN,p3y,profit,0.6760427,0.3492921,0.6394293,0.6753636,0,0.4459145
EWN,p5y,profit,0.6760427,0.3867147,0.6331161,0.6753636,0.3002081,0.5158252
EWN,p3y,loss,0.5812106,0,0.1451004,0.3482279,0,0.1926682
EWN,p5y,loss,0.2472773,0,0.07309551,0.3218379,0,0.1605654
EWO,p3y,profit,0.7673899,0.2783605,0.5029425,0.7673899,0.007243316,0.3902684
EWO,p5y,profit,0.7673899,0.3708947,0.5476639,0.7673899,0,0.4156393
EWO,p3y,loss,0.7673899,0,0.1722558,0.7673899,0,0.1694982
EWO,p5y,loss,0.7673899,0,0.2730084,0.7673899,0,0.2695755
EWW,p3y,profit,0.6594151,0.3657335,0.497461,0.6594151,0.3421,0.4807064
EWW,p5y,profit,0.6594151,0.3657335,0.4491373,0.6594151,0.2673609,0.384077
EWW,p3y,loss,0.4551184,0,0.2521819,0.4279086,0,0.2135424
EWW,p5y,loss,0.6594151,0,0.2340988,0.3551979,0,0.2116205
IBB,p3y,profit,0.3448844,0.1623709,0.3239989,0.5832753,0.1623709,0.3479321
IBB,p5y,profit,0.6300069,0.159001,0.3683072,0.5832753,0.159001,0.2979446
IBB,p3y,loss,0.6300069,0.6300069,0.6300069,0.03730124,0.01648737,0.02652013
IBB,p5y,loss,-0w,0w,,-0w,0w,
IDGT,p3y,profit,0.6377605,0.2977254,0.4800268,0.6377605,0.2977254,0.4800268
IDGT,p5y,profit,0.6377605,0.2950104,0.535778,0.6377605,0.2950104,0.5351735
IDGT,p3y,loss,0.3132724,0,0.2041441,0.3520233,0,0.2345099
IDGT,p5y,loss,0.3132724,0,0.1411158,0.3132724,0,0.1411158
IDU,p3y,profit,0.4966865,0.4275971,0.4857864,0.5627165,0.4195323,0.5121866
IDU,p5y,profit,0.4966865,0.3598132,0.4782405,0.5627165,0.3598132,0.4977812
IDU,p3y,loss,0.5467718,0,0.09021701,0.121395,0,0.04675808
IGE,p3y,profit,0.6571236,0.4157385,0.5842112,0.635341,0.3276281,0.5405056
IGE,p5y,profit,0.6169832,0.5072334,0.5582993,0.6169832,0.1780042,0.4291144
IGE,p3y,loss,0.6169832,0,0.4210629,0.5309147,0,0.2970266
IGE,p5y,loss,0.6169832,0,0.3502401,0.6169832,0,0.3280067
IGM,p3y,profit,0.5516164,0.2850227,0.5340181,0.5957223,0.2505948,0.5234345
IGM,p5y,profit,0.6105388,0.2850227,0.5388273,0.5516164,0.1573983,0.4732589
IGM,p3y,loss,0.6517669,0.6517669,0.6517669,0.2505948,0,0.133599
IGM,p5y,loss,-0w,0w,,0.6517669,0.6517669,0.6517669
IGV,p3y,profit,0.4992573,0.3024508,0.4841735,0.6233993,0.3024508,0.5042768
IGV,p5y,profit,0.6279471,0.3024508,0.4872447,0.6111779,0.1738326,0.4910297
IGV,p3y,loss,-0w,0w,,0.1705964,0.1705964,0.1705964
IGV,p5y,loss,-0w,0w,,-0w,0w,
ITOT,p3y,profit,0.564427,0.5188915,0.5617476,0.564427,0.1847087,0.525101
ITOT,p5y,profit,0.564427,0.5188915,0.5617806,0.564427,0.1843936,0.5006913
ITOT,p3y,loss,-0w,0w,,0.09476345,0,0.02411766
ITOT,p5y,loss,-0w,0w,,-0w,0w,
IUSG,p3y,profit,0.5245184,0.3253915,0.5143785,0.5489598,0.07684606,0.468748
IUSG,p5y,profit,0.5245184,0.2297852,0.5047651,0.6342536,0.09057471,0.5069898
IUSG,p3y,loss,0.5809266,0.4634286,0.5012518,0.06012121,0,0.01991541
IUSG,p5y,loss,-0w,0w,,-0w,0w,
IUSV,p3y,profit,0.6199795,0.4652368,0.6091206,0.6199795,0.143101,0.5400052
IUSV,p5y,profit,0.6199795,0.2948897,0.6013204,0.6199795,0.1390619,0.5388241
IUSV,p3y,loss,0.1150162,0,0.03944599,0.1150162,0,0.03944599
IUSV,p5y,loss,0.03249538,0,0.00928779,0.05442128,0,0.02373847
IWV,p3y,profit,0.5666253,0.424268,0.5525233,0.5666253,0.08955685,0.5105745
IWV,p5y,profit,0.5666253,0.2515285,0.5479709,0.5666253,0.1905978,0.5312678
IWV,p3y,loss,0.457732,0,0.1390896,0.0971867,0,0.02613787
IWV,p5y,loss,-0w,0w,,0.4309931,0.4066599,0.409877
IXC,p3y,profit,0.6749378,0.2832353,0.5927275,0.6749378,0.2832353,0.5765971
IXC,p5y,profit,0.5645014,0.4733515,0.5280963,0.5645014,0.2414943,0.4175841
IXC,p3y,loss,0.5645014,0,0.3684842,0.5173872,0,0.2115133
IXC,p5y,loss,0.5645014,0,0.3070932,0.5645014,0,0.3046773
IXG,p3y,profit,0.7961511,0.09272962,0.5852275,0.7961511,0.09272962,0.4205802
IXG,p5y,profit,0.7961511,0.03230333,0.6619586,0.7961511,0,0.4500221
IXG,p3y,loss,0.3259083,0,0.1314903,0.3259083,0,0.09565549
IXG,p5y,loss,0.3259083,0,0.1341979,0.3259083,0,0.08186295
IXJ,p3y,profit,0.4228378,0.3481324,0.4111281,0.4228378,0.3481324,0.4106589
