ticker,elem,loss_profit,max_d5y,min_d5y,max_d3y,min_d3y
DVY,p3y,profit,0.6517261,0.3819953,0.6517261,0
DVY,p5y,profit,0.6517261,0.4578567,0.6517261,0
DVY,p3y,loss,0.02951249,0.02280893,0.1585075,0
EEM,p3y,profit,0.6532258,0.3304653,0.6532258,0.266651
EEM,p5y,profit,0.6532258,0.3105166,0.6532258,0.2410975
EEM,p3y,loss,0.6303894,0,0.3105166,0
EEM,p5y,loss,0.6532258,0,0.6532258,0
EFA,p3y,profit,0.624512,0.3254813,0.624512,0.2091957
EFA,p5y,profit,0.624512,0.2264695,0.624512,0.2264695
EFA,p3y,loss,0.2703012,0,0.2703012,0
EFA,p5y,loss,0.170479,0,0.170479,0
EPP,p3y,profit,0.6621818,0.3040209,0.6621818,0.3040209
EPP,p5y,profit,0.6621818,0.3040209,0.6621818,0.3040209
EPP,p3y,loss,0.6077401,0,0.3554662,0
EPP,p5y,loss,0.6621818,0.1777051,0.6077401,0.1777051
EWA,p3y,profit,0.6879847,0.3332019,0.6879847,0.151231
EWA,p5y,profit,0.6879847,0.3332019,0.6879847,0.2153747
EWA,p3y,loss,0.6879847,0,0.402765,0
EWA,p5y,loss,0.6879847,0,0.6879847,0
EWC,p3y,profit,0.6287823,0.2164801,0.6287823,0.2164801
EWC,p5y,profit,0.6287823,0.3699654,0.6287823,0.1999481
EWC,p3y,loss,0.614806,0,0.4384307,0
EWC,p5y,loss,0.6193338,0.2928468,0.614806,0.1957021
EWD,p3y,profit,0.7942864,0.3511257,0.7942864,0.04115825
EWD,p5y,profit,0.7942864,0.4888577,0.7942864,0.117337
EWD,p3y,loss,0.3232442,0,0.4245561,0
EWD,p5y,loss,0.3232442,0,0.1922681,0
EWG,p3y,profit,0.7215961,0.4335754,0.7157695,0.1483936
EWG,p5y,profit,0.7215961,0.4123003,0.7157695,0.1483936
EWG,p3y,loss,0.3421917,0,0.3902946,0
EWG,p5y,loss,0.3002478,0,0.2218443,0
EWH,p3y,profit,0.6524538,0.5148207,0.6420592,0.06393879
EWH,p5y,profit,0.6524538,0.5148207,0.6420592,0.1256334
EWH,p3y,loss,0.3313478,0,0.6524538,0
EWH,p5y,loss,0.2069336,0,0.2069336,0
EWI,p3y,profit,0.7419263,0.3115051,0.729858,0.07827315
EWI,p5y,profit,0.7419263,0.3074331,0.729858,0.283545
EWI,p3y,loss,0.4019307,0,0.4019307,0
EWI,p5y,loss,0.5698495,0,0.4533146,0
EWJ,p3y,profit,0.6221847,0.1199782,0.6063566,0.10217
EWJ,p5y,profit,0.6221847,0.1199782,0.6063566,0.117209
EWJ,p3y,loss,0.5319714,0,0.521052,0
EWJ,p5y,loss,0.6221847,0,0.4716864,0
EWK,p3y,profit,0.7621575,0.2869422,0.7621575,0
EWK,p5y,profit,0.7621575,0.1532312,0.7621575,0.1532312
