ticker,elem,loss_profit,max_d5y,min_d5y,avg_d5y,max_d3y,min_d3y,avg_dy3
FXI,p3y,profit,0.733722,0.4005629,0.5486337,0.733722,0.3485561,0.5356586
FXI,p5y,profit,0.733722,0.3342392,0.4810465,0.733722,0.3342392,0.4946439
FXI,p3y,loss,0.6441192,0,0.3046746,0.3963671,0,0.2781598
FXI,p5y,loss,0.733722,0,0.3379095,0.6592395,0,0.3219818
ILF,p3y,profit,0.6719239,0.4611202,0.618601,0.6719239,0.395939,0.5615515
ILF,p5y,profit,0.6719239,0.6029976,0.6485096,0.6719239,0.5247827,0.5912198
ILF,p3y,loss,0.6719239,0.2677746,0.6128052,0.6719239,0,0.3981945
ILF,p5y,loss,0.6719239,0,0.6061957,0.6719239,0,0.4335104
IOO,p3y,profit,0.5750141,0.4501444,0.5667615,0.5750141,0.2087923,0.3994869
IOO,p5y,profit,0.5750141,0.3695832,0.5602542,0.5750141,0.2087923,0.4614909
IOO,p3y,loss,0.4538946,0,0.1647526,0.1014243,0,0.03479519
IOO,p5y,loss,0.06182473,0,0.01731799,0.4522347,0,0.1485323
IVE,p3y,profit,0.628782,0.4690449,0.6200509,0.628782,0.110993,0.5380107
IVE,p5y,profit,0.628782,0.2707472,0.6100922,0.628782,0.110993,0.549519
IVE,p3y,loss,0.4555827,0,0.07219708,0.1245252,0,0.04282009
IVE,p5y,loss,0.07840402,0,0.01835189,0.4555827,0,0.2236718
IVV,p3y,profit,0.5643732,0.4246749,0.552579,0.5643732,0.1782399,0.4972556
IVV,p5y,profit,0.5643732,0.2575524,0.5435979,0.5643732,0.1782399,0.5155508
IVV,p3y,loss,0.4570147,0,0.2240299,0.09242941,0,0.02890438
IVV,p5y,loss,-0w,0w,,0.4335066,0.4084117,0.414487
IVW,p3y,profit,0.4991454,0.3312153,0.4888614,0.4991454,0.3258951,0.4620603
IVW,p5y,profit,0.4991454,0.1855816,0.4801127,0.5631829,0.1855816,0.4873827
IVW,p3y,loss,0.4668585,0.3752023,0.4077873,0.05465859,0,0.0253988
IVW,p5y,loss,-0w,0w,,-0w,0w,
OEF,p3y,profit,0.5552387,0.4137999,0.545179,0.5552387,0.1088207,0.4801087
OEF,p5y,profit,0.5552387,0.2113964,0.5292076,0.5552387,0.1088207,0.4858535
OEF,p3y,loss,0.4789963,0,0.2429199,0.08468919,0,0.03659108
OEF,p5y,loss,-0w,0w,,0.4527728,0.4200056,0.4291838
