ticker,elem,loss_profit,max_d5y,min_d5y,avg_d5y,max_d3y,min_d3y,avg_dy3
EEM,p3y,profit,0.6532258,0.3304653,0.5260618,0.6532258,0.266651,0.5027191
EEM,p5y,profit,0.6532258,0.3105166,0.488092,0.6532258,0.2410975,0.4587972
EEM,p3y,loss,0.6303894,0,0.3645189,0.3105166,0,0.1908227
EEM,p5y,loss,0.6532258,0,0.619432,0.6532258,0,0.5180544
EFA,p3y,profit,0.624512,0.3254813,0.5727152,0.624512,0.2091957,0.4099975
EFA,p5y,profit,0.624512,0.2264695,0.5739376,0.624512,0.2264695,0.488487
EFA,p3y,loss,0.2703012,0,0.04949311,0.2703012,0,0.04352936
EFA,p5y,loss,0.170479,0,0.05396946,0.170479,0,0.05396946
EPP,p3y,profit,0.6621818,0.3040209,0.5923042,0.6621818,0.3040209,0.5923042
EPP,p5y,profit,0.6621818,0.3040209,0.5873485,0.6621818,0.3040209,0.5873485
EPP,p3y,loss,0.6077401,0,0.3878437,0.3554662,0,0.1070305
EPP,p5y,loss,0.6621818,0.1777051,0.4282965,0.6077401,0.1777051,0.400137
EWA,p3y,profit,0.6879847,0.3332019,0.4042518,0.6879847,0.151231,0.3494076
EWA,p5y,profit,0.6879847,0.3332019,0.4010893,0.6879847,0.2153747,0.3708056
EWA,p3y,loss,0.6879847,0,0.2745099,0.402765,0,0.1660217
EWA,p5y,loss,0.6879847,0,0.4697225,0.6879847,0,0.4118301
EWC,p3y,profit,0.6287823,0.2164801,0.5673158,0.6287823,0.2164801,0.5614135
EWC,p5y,profit,0.6287823,0.3699654,0.5723862,0.6287823,0.1999481,0.5652121
EWC,p3y,loss,0.614806,0,0.2224667,0.4384307,0,0.1536306
EWC,p5y,loss,0.6193338,0.2928468,0.5998421,0.614806,0.1957021,0.589489
EWD,p3y,profit,0.7942864,0.3511257,0.7360876,0.7942864,0.04115825,0.6249485
EWD,p5y,profit,0.7942864,0.4888577,0.7325125,0.7942864,0.117337,0.6971335
EWD,p3y,loss,0.3232442,0,0.0558613,0.4245561,0,0.1754097
EWD,p5y,loss,0.3232442,0,0.09692487,0.1922681,0,0.0789841
EWG,p3y,profit,0.7215961,0.4335754,0.6774783,0.7157695,0.1483936,0.5423191
EWG,p5y,profit,0.7215961,0.4123003,0.6377926,0.7157695,0.1483936,0.5608877
EWG,p3y,loss,0.3421917,0,0.08597505,0.3902946,0,0.1585742
EWG,p5y,loss,0.3002478,0,0.08665889,0.2218443,0,0.05301306
EWH,p3y,profit,0.6524538,0.5148207,0.5824982,0.6420592,0.06393879,0.4778407
EWH,p5y,profit,0.6524538,0.5148207,0.5999136,0.6420592,0.1256334,0.4809034
EWH,p3y,loss,0.3313478,0,0.1348772,0.6524538,0,0.3827955
EWH,p5y,loss,0.2069336,0,0.1177329,0.2069336,0,0.1177329
EWI,p3y,profit,0.7419263,0.3115051,0.5693398,0.729858,0.07827315,0.4937364
EWI,p5y,profit,0.7419263,0.3074331,0.5443908,0.729858,0.283545,0.4774469
EWI,p3y,loss,0.4019307,0,0.1084773,0.4019307,0,0.1870485
EWI,p5y,loss,0.5698495,0,0.1925288,0.4533146,0,0.1020568
EWJ,p3y,profit,0.6221847,0.1199782,0.5801525,0.6063566,0.10217,0.4075503
EWJ,p5y,profit,0.6221847,0.1199782,0.5367977,0.6063566,0.117209,0.4387517
EWJ,p3y,loss,0.5319714,0,0.1679721,0.521052,0,0.1823591
EWJ,p5y,loss,0.6221847,0,0.1797357,0.4716864,0,0.1791138
EWL,p3y,profit,0.5473624,0.3974507,0.4960814,0.5247616,0.3425901,0.4276528
EWL,p5y,profit,0.5473624,0.3809626,0.4759212,0.5247616,0.2910825,0.4142383
EWL,p3y,loss,0.05663135,0,0.0129608,0.3809626,0,0.2815752
EWM,p3y,profit,0.8757215,0.06967213,0.5967483,0.8757215,0,0.3854863
EWM,p5y,profit,0.8757215,0.06967213,0.6317214,0.5219764,0,0.3976672
EWM,p3y,loss,0.4293824,0,0.1974055,0.4293824,0,0.1974055
EWM,p5y,loss,0.5219764,0,0.1868887,0.5219764,0,0.1868887
EWP,p3y,profit,0.7086557,0.3633697,0.5274749,0.6184599,0.3633697,0.4782035
EWP,p5y,profit,0.7086557,0.3633697,0.5263137,0.6370291,0.2786917,0.4783629
EWP,p3y,loss,0.6370291,0,0.3731091,0.6370291,0,0.3294151
EWP,p5y,loss,0.6370291,0,0.3730458,0.6370291,0,0.2860304
EWQ,p3y,profit,0.6305122,0.215108,0.5135964,0.6305122,0.215108,0.4639197
EWQ,p5y,profit,0.6305122,0.2122309,0.5125535,0.6305122,0.2122309,0.4677067
EWQ,p3y,loss,0.3638701,0,0.1011426,0.3638701,0,0.0902042
EWQ,p5y,loss,0.5902247,0,0.1174152,0.4637768,0,0.1151692
EWS,p3y,profit,0.7520556,0.3692196,0.6259539,0.6665503,0,0.456409
EWS,p5y,profit,0.7522995,0.3895902,0.6497074,0.6665503,0,0.4812006
EWS,p3y,loss,0.6665503,0,0.2319219,0.7473989,0,0.3188487
EWS,p5y,loss,0.6665503,0.174387,0.3907621,0.3652896,0,0.1984894
EWT,p3y,profit,0.6279858,0.2845772,0.5737474,0.6617828,0.2314347,0.4451937
EWT,p5y,profit,0.6279858,0.2845772,0.5800603,0.6279858,0.2516472,0.5207479
EWT,p3y,loss,0.5009266,0,0.1837797,0.2565462,0,0.08405314
EWT,p5y,loss,0.6279858,0,0.1118282,0.6105664,0,0.1092153
EWU,p3y,profit,0.6652553,0.4332136,0.5471906,0.6652553,0.01452785,0.4462807
EWU,p5y,profit,0.6652553,0.3091506,0.5206734,0.6652553,0.3091506,0.5044833
EWU,p3y,loss,0.3708538,0,0.07213019,0.3708538,0,0.09565585
EWU,p5y,loss,0.3708538,0,0.08930814,0.3056687,0,0.08864071
EWY,p3y,profit,0.7208224,0.4218554,0.68488,0.7208224,0.4218554,0.68488
EWY,p5y,profit,0.7208224,0.5883714,0.708549,0.7208224,0.5883714,0.708549
EWY,p3y,loss,0.3567733,0,0.07897636,0.3567733,0,0.07897636
EWY,p5y,loss,0.7208224,0,0.1391351,0.1940445,0,0.04416735
EWZ,p3y,profit,0.779257,0.5681843,0.7245533,0.7221232,0.3105787,0.6396881
EWZ,p5y,profit,0.779257,0.5581127,0.7247168,0.7221232,0.4961678,0.6429812
EWZ,p3y,loss,0.7221232,0,0.6654271,0.7221232,0,0.497256
EWZ,p5y,loss,0.7221232,0,0.5983295,0.7221232,0,0.4486018
EZA,p3y,profit,0.6722796,0.4302682,0.6346337,0.6722796,0.4302682,0.6325725
EZA,p5y,profit,0.6514943,0.425247,0.6388129,0.6514943,0.425247,0.6388129
EZA,p3y,loss,0.471046,0,0.3780064,0.471046,0,0.3227399
EZA,p5y,loss,0.6514943,0,0.3482828,0.471046,0,0.2271469
EZU,p3y,profit,0.6742859,0.2059569,0.5525604,0.6742859,0.2059569,0.4358181
EZU,p5y,profit,0.6742859,0.2365233,0.5196351,0.6742859,0.2365233,0.4270369
EZU,p3y,loss,0.4044803,0,0.1047602,0.4044803,0,0.1047602
EZU,p5y,loss,0.3216447,0,0.1067146,0.2691739,0,0.1015432
IEV,p3y,profit,0.6499543,0.2213896,0.573609,0.6499543,0.2213896,0.4364737
IEV,p5y,profit,0.6499543,0.2114122,0.5422799,0.6499543,0.2114122,0.4714967
IEV,p3y,loss,0.3616793,0,0.05936796,0.3616793,0,0.05936796
IEV,p5y,loss,0.2232193,0,0.06271374,0.2232193,0,0.06271374
ILCB,p3y,profit,0.5287647,0.5287647,0.5287647,0.5287647,0.1747619,0.4892762
ILCB,p5y,profit,0.5287647,0.5287647,0.5287647,0.5287647,0.1219246,0.4844214
ILCB,p3y,loss,-0w,0w,,0.0245821,0,0.01638807
ILCG,p3y,profit,0.5344954,0.5344954,0.5344954,0.5344954,0.1621821,0.5206178
