ticker,elem,loss_profit,max_d5y,min_d5y,avg_d5y,max_d3y,min_d3y,avg_dy3
IJH,p3y,profit,0.5609756,0.3159892,0.5389505,0.5609756,0.3159892,0.5265949
IJH,p5y,profit,0.5609756,0.3159892,0.5389505,0.5609756,0.3159892,0.5265949
IJH,p3y,loss,0.1227856,0,0.02661217,0.1227856,0,0.02661217
IJH,p5y,loss,-0w,0w,,0.0445705,0,0.01437174
IJJ,p3y,profit,0.596286,0.430113,0.566883,0.596286,0.430113,0.566883
IJJ,p5y,profit,0.596286,0.3820345,0.5661474,0.596286,0.3820345,0.5661474
IJJ,p3y,loss,0.1142428,0,0.03756933,0.1142428,0,0.03756933
IJJ,p5y,loss,0.02191155,0,0.01095577,0.06164757,0,0.02745443
IJK,p3y,profit,0.5448296,0.3146854,0.5266318,0.5448296,0.3146854,0.5185746
IJK,p5y,profit,0.5448296,0.3571642,0.5288469,0.5448296,0.3571642,0.5220489
IJK,p3y,loss,0.06826871,0,0.01838791,0.06826871,0,0.01838791
IJK,p5y,loss,-0w,0w,,0.03586432,0,0.01217847
IMCB,p3y,profit,0.5950664,0.2450697,0.5922664,0.5950664,0.2204999,0.5813042
IMCB,p5y,profit,0.5950664,0.5950664,0.5950664,0.5950664,0.2167068,0.555202
IMCB,p3y,loss,-0w,0w,,0.03613041,0,0.02144154
IMCG,p3y,profit,0.5898815,0.5898815,0.5898815,0.5898815,0.3838902,0.5800858
IMCG,p5y,profit,0.5898815,0.5898815,0.5898815,0.5898815,0.2576516,0.5698513
IMCG,p3y,loss,-0w,0w,,-0w,0w,
IMCV,p3y,profit,0.6643402,0.4399565,0.6612367,0.6643402,0.1647752,0.5803856
IMCV,p5y,profit,0.6643402,0.6643402,0.6643402,0.6643402,0.158828,0.5295846
IMCV,p3y,loss,0.04461601,0.03149863,0.04036916,0.04461601,0.03149863,0.04190777
IMCV,p5y,loss,0.03810935,0.03810935,0.03810935,0.03810935,0.03810935,0.03810935
IWP,p3y,profit,0.5885561,0.3783455,0.5739962,0.5885561,0.3783455,0.5739962
IWP,p5y,profit,0.5885561,0.3346835,0.5725011,0.5885561,0.3346835,0.5725011
IWP,p3y,loss,0.03630617,0.03630617,0.03630617,0.1235727,0,0.02698462
IWP,p5y,loss,-0w,0w,,-0w,0w,
IWR,p3y,profit,0.5986095,0.3593435,0.5770772,0.5986095,0.3593435,0.5770772
IWR,p5y,profit,0.5986095,0.3142425,0.5758295,0.5986095,0.3142425,0.5758295
IWR,p3y,loss,0.04008869,0,0.0201194,0.09915307,0,0.03025007
IWR,p5y,loss,-0w,0w,,-0w,0w,
IWS,p3y,profit,0.6394357,0.4366335,0.610172,0.6394357,0.4366335,0.610172
IWS,p5y,profit,0.6394357,0.3350114,0.6095068,0.6394357,0.3350114,0.6095068
IWS,p3y,loss,0.07610917,0,0.02954975,0.07610917,0,0.03033662
IWS,p5y,loss,0.02652282,0.02652282,0.02652282,0.02652282,0.02652282,0.02652282
