date,nav_value,shares
2024-08-30,134.049126,148950000
2024-08-29,132.916773,148950000
2024-08-28,132.276599,149000000
2024-08-27,132.173194,148250000
2024-08-26,132.656433,148250000
2024-08-23,132.276226,148250000
2024-08-22,130.516681,148250000
2024-08-21,130.472328,148250000
2024-08-20,129.875161,148300000
2024-08-19,130.370344,148400000
2024-08-16,129.553263,148400000
2024-08-15,128.519052,148400000
2024-08-14,127.707367,148400000
2024-08-13,127.25198,148450000
2024-08-12,126.04611,148500000
2024-08-09,126.377549,148500000
2024-08-08,126.181582,148600000
2024-08-07,124.70758,148600000
2024-08-06,124.903155,148600000
2024-08-05,124.036614,148500000
2024-08-02,127.643869,148550000
2024-08-01,129.536761,148550000
2024-07-31,130.083776,148550000
2024-07-30,130.138203,148650000
2024-07-29,129.37891,148750000
2024-07-26,129.509479,148750000
2024-07-25,128.173907,148750000
2024-07-24,127.526593,148750000
2024-07-23,127.091103,148750000
2024-07-22,127.489369,148800000
2024-07-19,126.816998,149750000
2024-07-18,127.412768,149800000
2024-07-17,128.489031,149850000
2024-07-16,127.210698,149950000
2024-07-15,125.135817,150050000
2024-07-12,125.039058,150050000
2024-07-11,124.103813,150050000
2024-07-10,121.73877,150100000
2024-07-09,120.452279,150050000
2024-07-08,120.21216,150100000
2024-07-05,119.967499,150100000
2024-07-03,120.556744,150100000
2024-07-02,120.753019,150000000
2024-07-01,120.332802,150050000
2024-06-28,120.953337,150100000
2024-06-27,120.280977,150150000
2024-06-26,120.563965,150200000
2024-06-25,120.980652,150250000
2024-06-24,122.31829,150250000
2024-06-21,120.662819,150250000
2024-06-20,120.681119,150350000
2024-06-18,119.976199,149550000
2024-06-17,119.433458,149550000
2024-06-14,118.96965,149550000
2024-06-13,119.810956,149550000
2024-06-12,120.236146,149600000
2024-06-11,120.178163,149600000
2024-06-10,121.641168,149650000
2024-06-07,121.957956,149650000
2024-06-06,122.449507,149750000
2024-06-05,122.949496,149800000
2024-06-04,123.243798,149800000
2024-06-03,123.587954,149850000
2024-05-31,124.459174,149900000
2024-05-30,122.142481,150050000
2024-05-29,120.575255,150200000
2024-05-28,122.119655,150250000
2024-05-24,123.167517,150400000
2024-05-23,122.427359,150550000
2024-05-22,124.450311,150650000
2024-05-21,125.458072,150750000
2024-05-20,125.29216,150950000
2024-05-17,125.754333,151100000
2024-05-16,125.565048,151450000
2024-05-15,125.574754,151450000
2024-05-14,124.937373,151450000
2024-05-13,124.371651,151450000
2024-05-10,124.238836,151450000
2024-05-09,124.016803,151600000
2024-05-08,122.917339,151600000
2024-05-07,122.447909,151650000
2024-05-06,121.942404,151650000
2024-05-03,121.262821,151700000
2024-05-02,120.666345,151700000
2024-05-01,120.02159,151800000
2024-04-30,119.407878,151850000
2024-04-29,120.65755,151950000
2024-04-26,119.783241,151950000
2024-04-25,120.190129,152000000
2024-04-24,120.921241,152050000
2024-04-23,120.214542,151850000
2024-04-22,119.666552,151950000
2024-04-19,118.716088,152000000
2024-04-18,116.907462,152150000
2024-04-17,116.398852,152350000
2024-04-16,115.756363,152350000
2024-04-15,116.818617,153150000
2024-04-12,117.547421,153200000
2024-04-11,119.051744,153350000
2024-04-10,119.443515,153400000
2024-04-09,122.245716,153550000
2024-04-08,121.811873,153550000
2024-04-05,121.032947,153600000
2024-04-04,120.85525,153650000
2024-04-03,121.523254,153800000
2024-04-02,121.68526,153800000
2024-04-01,122.342181,154000000
2024-03-31,123.255053,154000000
2024-03-29,123.255053,154000000
2024-03-28,123.255053,154150000
2024-03-27,122.426448,154200000
2024-03-26,119.584048,154150000
2024-03-25,120.424974,154000000
2024-03-22,120.177342,154050000
2024-03-21,121.078738,153450000
2024-03-20,121.380134,153450000
2024-03-19,120.077885,153450000
2024-03-18,119.35722,154000000
2024-03-15,119.168932,154200000
2024-03-14,118.950754,154050000
2024-03-13,120.203937,154100000
2024-03-12,119.816142,154100000
2024-03-11,120.256709,154200000
2024-03-08,119.614537,154300000
2024-03-07,119.403739,154300000
2024-03-06,118.719273,154550000
2024-03-05,118.153481,155000000
2024-03-04,117.651916,155050000
2024-03-01,116.527868,155050000
2024-02-29,116.587396,155100000
2024-02-28,116.192044,155150000
2024-02-27,116.272376,155300000
2024-02-26,115.20082,155650000
2024-02-23,116.498717,155700000
2024-02-22,116.090066,155900000
2024-02-21,116.062515,155900000
2024-02-20,115.34516,156150000
2024-02-16,115.511804,156200000
2024-02-15,115.853166,156200000
2024-02-14,113.928,156350000
2024-02-13,113.329816,156550000
2024-02-12,115.601028,156650000
2024-02-09,114.192177,156850000
2024-02-08,114.029986,156850000
2024-02-07,113.945311,157100000
2024-02-06,113.798845,157150000
2024-02-05,113.613137,157250000
2024-02-02,115.23226,157400000
2024-02-01,115.940674,157400000
2024-01-31,115.140057,157550000
2024-01-30,117.214952,157500000
2024-01-29,117.081597,157900000
2024-01-26,116.712594,157950000
2024-01-25,116.488929,157950000
2024-01-24,114.828894,158300000
2024-01-23,115.569349,158300000
2024-01-22,115.286209,158600000
2024-01-19,114.878294,158700000
2024-01-18,113.87744,158850000
