date,nav_value,shares,Non-FV NAV
2024-08-30,43.427122,407250000,43.465269
2024-08-29,43.301364,407250000,43.271815
2024-08-28,43.18815,407250000,43.359997
2024-08-27,43.512287,407250000,43.464594
2024-08-26,43.462713,407250000,43.645657
2024-08-23,43.678452,407250000,43.510245
2024-08-22,43.193546,407250000,43.516493
2024-08-21,43.653004,407250000,43.511496
2024-08-20,43.481142,407250000,43.658881
2024-08-19,43.876117,407250000,43.626716
2024-08-16,43.378504,407250000,43.243756
2024-08-15,43.051685,407250000,42.554831
2024-08-14,42.547801,407250000,42.571871
2024-08-13,42.702031,407250000,42.344937
2024-08-12,42.310871,407250000,42.260228
2024-08-09,42.110891,407250000,42.026061
2024-08-08,41.944122,418500000,41.356376
2024-08-07,41.047467,424350000,41.515915
2024-08-06,40.89446,435600000,40.742615
2024-08-05,40.513251,435600000,40.133381
2024-08-02,41.637786,444150000,41.879422
2024-08-01,42.356425,444150000,42.915267
2024-07-31,42.99931,444150000,42.803539
2024-07-30,42.095904,444150000,42.281235
2024-07-29,42.352175,445950000,42.507343
2024-07-26,42.473516,445950000,42.336442
2024-07-25,42.078212,445950000,42.404331
2024-07-24,42.247094,445950000,42.729507
2024-07-23,42.827745,445950000,42.901344
2024-07-22,43.164327,445950000,42.925558
2024-07-19,42.890608,445950000,43.070269
2024-07-18,43.352108,445950000,43.711731
2024-07-17,43.554862,445950000,43.919856
2024-07-16,44.287697,445950000,44.154667
2024-07-15,44.127643,445950000,44.266723
2024-07-12,44.481143,445950000,44.397646
2024-07-11,44.310368,445950000,44.442575
2024-07-10,44.120354,445950000,43.901617
2024-07-09,43.905733,445950000,43.917231
2024-07-08,43.697031,445950000,43.740752
2024-07-05,43.647415,445950000,43.617279
2024-07-03,43.366586,445950000,43.090599
2024-07-02,42.788653,445950000,42.572911
2024-07-01,42.776731,445950000,42.862343
2024-06-28,42.701759,445950000,42.809522
2024-06-27,42.617308,445950000,42.639894
2024-06-26,42.620406,445950000,42.775079
2024-06-25,42.665998,445950000,42.736509
2024-06-24,42.682223,445950000,42.698997
2024-06-21,42.639238,445950000,42.799157
2024-06-20,42.891223,445950000,43.134859
2024-06-18,42.774473,445950000,42.577284
2024-06-17,42.511512,445950000,42.272067
2024-06-14,42.330204,445950000,42.385928
2024-06-13,42.249422,445950000,42.332001
2024-06-12,42.258709,445950000,42.048579
2024-06-11,41.905794,445950000,41.902436
2024-06-10,42.505312,445950000,42.374565
2024-06-07,42.335237,445950000,42.503067
2024-06-06,42.556544,445950000,42.504581
2024-06-05,42.419418,445950000,42.121443
2024-06-04,41.653381,445950000,41.624954
2024-06-03,42.276757,445950000,42.345341
2024-05-31,41.705922,445950000,41.54068
2024-05-30,42.09346,445950000,41.883675
2024-05-29,42.301916,445950000,42.427137
2024-05-28,42.949539,445950000,43.050211
2024-05-24,42.972816,445950000,42.851953
2024-05-23,42.939491,445950000,43.186723
2024-05-22,43.18848,439200000,43.340735
2024-05-21,43.274998,423900000,43.263236
2024-05-20,43.572574,421200000,43.599984
2024-05-17,43.641546,418050000,43.524667
2024-05-16,43.518735,418050000,43.462355
2024-05-15,43.175212,418050000,42.912966
2024-05-14,42.926926,418050000,42.767925
2024-05-13,42.753088,418050000,42.679268
2024-05-10,42.461958,418050000,42.401195
2024-05-09,42.256236,418050000,42.066937
2024-05-08,42.260912,418050000,42.194058
2024-05-07,42.216885,418050000,42.249515
2024-05-06,42.354497,418050000,42.18114
2024-05-03,42.259072,418050000,41.969957
2024-05-02,41.935704,418050000,41.619836
2024-05-01,41.00474,418050000,41.321518
2024-04-30,41.059569,418050000,41.332395
2024-04-29,41.576449,418050000,41.5527
2024-04-26,41.21005,418050000,41.159108
2024-04-25,40.776251,418050000,40.643857
2024-04-24,40.756021,418050000,40.880692
2024-04-23,40.490286,418050000,40.278967
2024-04-22,40.189075,418050000,39.987553
2024-04-19,39.728169,419400000,39.688887
2024-04-18,40.014426,419400000,40.2543
2024-04-17,39.858132,431550000,40.011461
2024-04-16,39.898871,436050000,39.903022
2024-04-15,40.409193,442800000,40.716937
2024-04-12,40.78754,442800000,41.143898
2024-04-11,41.65279,442800000,41.671152
2024-04-10,41.535835,442800000,41.782865
2024-04-09,41.718513,442800000,41.680892
2024-04-08,41.552182,442800000,41.440231
2024-04-05,41.371922,442800000,41.30412
2024-04-04,41.305373,442800000,41.423301
2024-04-03,41.380943,442800000,41.20714
2024-04-02,41.397978,442800000,41.464254
2024-04-01,41.269515,442800000,41.154597
2024-03-31,41.133173,442800000,--
2024-03-29,41.133173,442800000,--
2024-03-28,41.133173,442800000,41.09969
2024-03-27,40.992894,442800000,40.945641
2024-03-26,40.963997,442800000,41.076745
2024-03-25,40.910422,442800000,40.914847
2024-03-22,40.998544,442800000,41.035587
2024-03-21,41.244828,442800000,41.388811
2024-03-20,41.011668,442800000,40.75113
2024-03-19,40.640559,442800000,40.564153
2024-03-18,40.891052,442800000,40.968493
2024-03-15,40.780522,442800000,40.824342
2024-03-14,41.127398,442800000,41.374996
2024-03-13,41.215316,442800000,41.253109
2024-03-12,41.394912,442800000,41.335925
2024-03-11,40.90309,442800000,40.927226
2024-03-08,40.803892,442800000,40.850132
2024-03-07,40.829664,442800000,40.58474
2024-03-06,40.607487,442800000,40.491462
2024-03-05,40.119285,442800000,40.225379
2024-03-04,40.516338,442800000,40.563915
2024-03-01,40.552729,442800000,40.357301
2024-02-29,40.165017,442800000,40.20561
2024-02-28,39.99389,442800000,40.106001
2024-02-27,40.487366,442800000,40.452993
2024-02-26,40.336724,442800000,40.300387
2024-02-23,40.487541,442800000,40.466688
2024-02-22,40.595446,442800000,40.514022
2024-02-21,40.175015,442800000,40.151613
2024-02-20,40.073876,442800000,40.090802
2024-02-16,39.956577,442800000,39.980478
2024-02-15,39.761921,442800000,39.65068
2024-02-14,39.611817,442800000,39.314037
2024-02-13,39.285294,442800000,39.231996
2024-02-12,39.668084,442800000,39.195233
2024-02-09,39.533896,442800000,39.171708
2024-02-08,39.429525,442800000,39.23927
2024-02-07,39.588829,442800000,39.43714
2024-02-06,39.498094,442800000,39.34765
2024-02-05,38.763437,442800000,38.697542
2024-02-02,38.806893,442800000,38.890295
2024-02-01,38.772054,442800000,38.654189
2024-01-31,38.36831,442800000,38.407241
2024-01-30,38.560031,442800000,38.591726
2024-01-29,38.934472,442800000,38.988554
2024-01-26,38.887615,442800000,38.792061
2024-01-25,38.871786,442800000,38.916895
2024-01-24,38.752009,442800000,38.69145
2024-01-23,38.403101,442800000,38.191917
2024-01-22,38.058246,442800000,37.960844
2024-01-19,38.467987,442800000,38.233505
2024-01-18,38.055181,442800000,37.85733
2024-01-17,37.778136,443700000,37.728177
2024-01-16,38.467556,443700000,38.562875
2024-01-12,39.220101,443700000,39.229653
2024-01-11,39.117084,443700000,39.173587
2024-01-10,38.97197,443700000,38.951835
2024-01-09,39.049763,443700000,39.109283
2024-01-08,39.476001,443700000,39.254111
2024-01-05,39.45915,443700000,39.46597
2024-01-04,39.456753,443700000,39.558831
2024-01-03,39.52093,443700000,39.507747
2024-01-02,39.793087,443700000,40.025422
2023-12-29,40.245101,443700000,40.318075
2023-12-28,40.186572,443700000,40.289723
2023-12-27,39.778663,443700000,39.777785
2023-12-26,39.482909,443700000,39.3107
2023-12-22,39.248825,443700000,39.070798
2023-12-21,39.418794,443700000,39.308637
2023-12-20,38.913106,435150000,39.259018
2023-12-19,40.18636,435150000,40.040408
2023-12-18,39.982111,435150000,40.015277
2023-12-15,40.004494,428400000,40.140828
2023-12-14,39.98009,428400000,39.812734
2023-12-13,39.308668,428400000,39.043836
2023-12-12,39.193419,428400000,39.1656
2023-12-11,39.184764,428400000,39.035477
2023-12-08,39.099871,428400000,39.108716
2023-12-07,39.068387,428400000,38.913081
2023-12-06,39.000693,428400000,39.108763
2023-12-05,39.049174,428400000,38.995388
2023-12-04,39.262554,428400000,39.337494
2023-12-01,39.538247,428400000,39.42019
2023-11-30,39.580784,428400000,39.626082
2023-11-29,39.425838,428400000,39.466984
2023-11-28,39.571307,428400000,39.569346
2023-11-27,39.274479,428400000,39.249203
2023-11-24,39.425807,428400000,39.356148
2023-11-22,39.472441,428400000,39.494288
2023-11-21,39.571913,428400000,39.668334
2023-11-20,39.733947,428400000,39.543151
2023-11-17,39.27528,428400000,39.175294
2023-11-16,39.253668,428400000,39.407608
2023-11-15,39.572912,428400000,39.462163
2023-11-14,38.970386,428400000,38.488143
2023-11-13,38.308671,428400000,38.211316
2023-11-10,38.350914,428400000,38.061743
2023-11-09,38.158609,428400000,38.37527
2023-11-08,38.44841,428400000,38.44337
2023-11-07,38.641411,428400000,38.556226
2023-11-06,38.815733,428400000,38.891511
2023-11-03,38.261113,428400000,38.065335
2023-11-02,37.625682,433350000,37.361847
2023-11-01,36.996127,435600000,36.7706
2023-10-31,36.791027,437400000,36.738631
2023-10-30,36.994982,443700000,37.010273
2023-10-27,36.687919,443700000,36.934705
2023-10-26,36.607615,443700000,36.571017
2023-10-25,36.843193,443700000,36.958
2023-10-24,37.253219,443700000,36.948046
2023-10-23,36.830017,449100000,36.82355
2023-10-20,36.989343,449100000,37.135373
2023-10-19,37.364479,449100000,37.344531
2023-10-18,37.671005,451800000,37.831049
2023-10-17,38.156771,451800000,38.158393
2023-10-16,38.174957,453600000,37.96197
2023-10-13,38.041139,453600000,38.170338
2023-10-12,38.283191,453600000,38.623424
2023-10-11,38.494453,453600000,38.390528
2023-10-10,38.154962,453600000,37.898819
2023-10-09,37.712125,453600000,37.525495
2023-10-06,37.856657,453600000,37.609475
2023-10-05,37.386114,473850000,37.328322
2023-10-04,37.347757,480600000,37.22888
2023-10-03,37.472746,486450000,37.679039
2023-10-02,37.998633,493650000,38.174195
2023-09-29,38.151065,497250000,38.231053
2023-09-28,37.980317,497250000,37.873912
2023-09-27,37.991326,500400000,38.045634
2023-09-26,37.895082,506700000,37.999521
2023-09-25,38.423339,512100000,38.401462
2023-09-22,38.595983,516150000,38.678184
2023-09-21,38.192912,516150000,38.349069
2023-09-20,38.800227,516150000,38.928901
2023-09-19,38.999562,516150000,39.070508
2023-09-18,39.149118,516150000,39.136216
2023-09-15,39.27699,520200000,39.487018
2023-09-14,39.407511,522000000,39.376924
2023-09-13,39.085589,522000000,39.060081
2023-09-12,39.102217,522000000,39.089911
2023-09-11,39.190254,524250000,39.165332
2023-09-08,38.855271,527850000,39.016579
