date,nav_value,shares,Non-FV NAV
2024-08-30,83.080473,697200000,82.979788
2024-08-29,82.867893,697200000,82.786695
2024-08-28,82.459418,697200000,82.741128
2024-08-27,82.779081,697200000,82.656136
2024-08-26,82.317501,697200000,82.481058
2024-08-23,82.708519,697200000,82.484463
2024-08-22,81.34083,697200000,81.643753
2024-08-21,81.775839,697200000,81.523882
2024-08-20,81.053535,697200000,81.313346
2024-08-19,81.338164,697200000,80.997014
2024-08-16,80.335675,697200000,80.273469
2024-08-15,79.763902,697200000,79.286087
2024-08-14,78.798617,697200000,78.980075
2024-08-13,78.578427,697200000,78.086407
2024-08-12,77.224923,697200000,77.01115
2024-08-09,77.300129,697200000,77.125729
2024-08-08,77.102372,697200000,76.452115
2024-08-07,75.838526,697200000,76.65547
2024-08-06,75.532595,697200000,75.747503
2024-08-05,75.224272,694200000,74.486922
2024-08-02,77.026487,694200000,77.350759
2024-08-01,78.322506,694200000,79.059882
2024-07-31,80.328907,694200000,80.37978
2024-07-30,79.093744,694200000,79.007268
2024-07-29,78.975883,694200000,78.975787
2024-07-26,79.234646,685800000,78.899284
2024-07-25,78.331232,685800000,78.487395
2024-07-24,78.855282,685800000,79.649959
2024-07-23,79.86101,685800000,79.90359
2024-07-22,80.228626,685800000,79.887516
2024-07-19,79.42377,680400000,79.659489
2024-07-18,79.908455,680400000,80.405489
2024-07-17,80.631437,680400000,80.995005
2024-07-16,81.074018,680400000,80.650847
2024-07-15,80.76371,680400000,81.083059
2024-07-12,81.471001,680400000,81.609197
2024-07-11,80.585175,680400000,81.078994
2024-07-10,80.367009,680400000,79.900547
2024-07-09,79.307161,680400000,79.290752
2024-07-08,79.571465,680400000,79.677595
2024-07-05,80.071877,680400000,79.791577
2024-07-03,79.353687,680400000,79.282016
2024-07-02,78.639648,680400000,78.406301
2024-07-01,78.350791,680400000,78.291977
2024-06-28,78.047984,680400000,78.104054
2024-06-27,78.159094,680400000,78.079962
2024-06-26,78.09551,680400000,78.250869
2024-06-25,78.769494,680400000,78.635958
2024-06-24,78.372218,680400000,78.48395
2024-06-21,77.843721,680400000,77.831758
2024-06-20,78.381163,680400000,78.526154
2024-06-18,78.362597,680400000,78.201699
2024-06-17,78.001742,680400000,77.542387
2024-06-14,77.765119,680400000,77.781296
2024-06-13,78.691715,680400000,78.736462
2024-06-12,79.734314,680400000,80.049154
2024-06-11,78.899343,669600000,78.8244
2024-06-10,81.199454,669600000,80.945396
2024-06-07,81.087106,669600000,81.285628
2024-06-06,82.021503,669600000,81.877555
2024-06-05,81.79487,669600000,81.237445
2024-06-04,81.256141,669600000,81.26699
2024-06-03,81.400101,669600000,81.430734
2024-05-31,81.184735,669600000,80.804712
2024-05-30,80.302087,669600000,80.247361
2024-05-29,79.653286,669600000,79.862922
2024-05-28,80.970165,669600000,81.109014
2024-05-24,80.947664,669600000,80.834808
2024-05-23,80.369856,669600000,81.009992
2024-05-22,80.732599,669600000,80.976545
2024-05-21,81.469605,669600000,81.535838
2024-05-20,81.691268,669600000,81.722235
2024-05-17,81.587475,669600000,81.526393
2024-05-16,81.250575,669600000,81.514012
2024-05-15,81.708669,669600000,81.304955
2024-05-14,80.869543,669600000,80.612141
