date,nav_value,shares,Non-FV NAV
2024-08-30,45.689944,43200000,45.893605
2024-08-29,45.868742,43200000,45.690118
2024-08-28,45.495239,43200000,45.727727
2024-08-27,45.627355,43200000,45.696748
2024-08-26,45.62213,43200000,45.682364
2024-08-23,45.624819,43200000,45.245496
2024-08-22,44.593574,43200000,44.910789
2024-08-21,44.981096,43200000,44.816645
2024-08-20,44.592906,43200000,44.810809
2024-08-19,44.944989,43200000,44.594918
2024-08-16,44.222271,43200000,44.044729
2024-08-15,43.734079,43200000,43.477076
2024-08-14,43.272255,43200000,43.31957
2024-08-13,43.565156,43200000,43.129163
2024-08-12,42.873778,43200000,42.896274
2024-08-09,42.876546,43200000,42.707589
2024-08-08,42.734872,43200000,42.233891
2024-08-07,41.797665,43200000,42.163701
2024-08-06,41.797643,43500000,41.702014
2024-08-05,41.514645,43500000,41.570013
2024-08-02,42.608475,43800000,43.027412
2024-08-01,43.160221,43800000,43.904957
2024-07-31,43.962185,44400000,43.840081
2024-07-30,43.431162,44400000,43.293685
2024-07-29,43.342938,44700000,43.500669
2024-07-26,43.451149,44700000,43.230203
2024-07-25,43.039101,44700000,42.95095
2024-07-24,43.263172,44700000,43.702417
2024-07-23,43.890865,44700000,43.877414
2024-07-22,44.080147,44700000,43.860258
2024-07-19,44.004894,44700000,44.282662
2024-07-18,44.230341,44700000,44.867672
2024-07-17,44.713092,44700000,44.941449
2024-07-16,44.829812,44700000,44.602997
2024-07-15,44.852012,44700000,45.09225
2024-07-12,45.16903,44700000,45.013252
2024-07-11,44.465084,44700000,44.469894
2024-07-10,44.136902,44400000,43.79054
2024-07-09,43.578125,44400000,43.692905
2024-07-08,43.365112,44100000,43.395641
2024-07-05,43.768858,44100000,43.741455
2024-07-03,43.733091,44100000,43.44185
2024-07-02,43.10743,44100000,42.914155
2024-07-01,42.90171,44100000,42.952731
2024-06-28,43.018414,44100000,43.154345
2024-06-27,43.051316,44100000,43.078509
2024-06-26,42.90256,44100000,43.220104
2024-06-25,43.221582,44100000,43.364424
2024-06-24,43.226387,44100000,43.035923
2024-06-21,43.070348,44100000,43.143678
2024-06-20,43.29113,44100000,43.294248
2024-06-18,43.306173,44100000,43.185006
2024-06-17,42.897929,44100000,42.640479
2024-06-14,42.751927,44100000,42.827157
2024-06-13,43.101243,44100000,43.20902
2024-06-12,43.217611,44700000,43.213516
2024-06-11,42.822929,44700000,42.973462
2024-06-10,44.026551,44700000,44.203886
2024-06-07,43.88842,44700000,44.210282
2024-06-06,44.618279,44700000,44.408055
2024-06-05,44.356734,44700000,44.066891
2024-06-04,43.937655,44700000,43.996629
2024-06-03,44.146064,44700000,44.222025
2024-05-31,43.947953,44700000,43.753012
2024-05-30,43.648919,44700000,43.429977
2024-05-29,43.38829,44700000,43.613289
2024-05-28,44.083356,44700000,44.358854
2024-05-24,44.159528,44700000,43.957658
2024-05-23,43.916683,44700000,44.407935
2024-05-22,44.135329,44700000,44.713093
2024-05-21,44.886102,44700000,44.853077
2024-05-20,45.052012,44700000,45.186079
2024-05-17,45.314966,44700000,45.039453
2024-05-16,45.024281,44700000,45.071872
2024-05-15,44.673634,44700000,44.330881
2024-05-14,44.265433,44700000,44.032255
2024-05-13,44.094457,44700000,44.13703
2024-05-10,43.911509,44700000,43.892593
2024-05-09,43.81049,44700000,43.565862
2024-05-08,43.557541,44700000,43.568436
2024-05-07,43.83124,44700000,43.877125
2024-05-06,43.650199,44700000,43.508746
2024-05-03,43.273945,44700000,43.1143
2024-05-02,42.775407,44700000,42.446705
2024-05-01,41.898511,44700000,41.968957
2024-04-30,41.792615,44700000,42.319769
2024-04-29,42.578839,44700000,42.466192
2024-04-26,42.101568,44700000,42.00429
2024-04-25,41.934335,44700000,42.230624
2024-04-24,41.973738,44700000,42.093995
2024-04-23,41.967777,44700000,41.812259
2024-04-22,41.447568,44700000,41.250561
2024-04-19,40.847721,44700000,40.676093
2024-04-18,40.869237,44700000,41.080999
2024-04-17,40.966592,44700000,40.766965
2024-04-16,40.644,44700000,40.736082
2024-04-15,41.373515,44700000,41.718338
2024-04-12,41.696775,44700000,42.045313
2024-04-11,42.630882,44700000,42.630483
2024-04-10,42.568301,45300000,42.886732
2024-04-09,43.323638,45300000,43.198207
2024-04-08,43.070715,45300000,42.845546
2024-04-05,42.862484,45300000,42.707825
2024-04-04,42.60017,45300000,43.064877
2024-04-03,42.801844,45300000,42.607336
2024-04-02,42.923055,45300000,42.988778
2024-04-01,42.745513,45300000,42.719049
2024-03-31,42.847524,45300000,--
