date,nav_value,shares,Non-FV NAV
2024-08-30,40.485717,64000000,40.482718
2024-08-29,40.213929,63300000,40.246708
2024-08-28,40.046987,63300000,40.121286
2024-08-27,40.343391,63300000,40.317932
2024-08-26,40.364034,63300000,40.416396
2024-08-23,40.186369,63300000,40.162626
2024-08-22,39.48488,63300000,39.521099
2024-08-21,39.649632,63300000,39.643813
2024-08-20,39.436412,63300000,39.416196
2024-08-19,39.531702,63300000,39.505678
2024-08-16,39.299298,63300000,39.204925
2024-08-15,39.105213,63300000,39.204926
2024-08-14,38.670402,63300000,38.732453
2024-08-13,38.422679,63300000,38.380735
2024-08-12,37.920671,63300000,37.945489
2024-08-09,37.850221,64800000,37.858484
2024-08-08,37.665646,64800000,37.624597
2024-08-07,37.013017,64800000,37.072271
2024-08-06,37.05887,64800000,36.975758
2024-08-05,36.848591,64800000,37.28355
2024-08-02,37.217761,64800000,37.239224
2024-08-01,38.046811,64800000,38.144299
2024-07-31,38.938661,64800000,38.916143
2024-07-30,38.308455,64800000,38.327779
2024-07-29,38.220838,64800000,38.223591
2024-07-26,38.346233,64800000,38.319979
2024-07-25,38.021622,64800000,38.039463
2024-07-24,38.053042,64800000,38.112261
2024-07-23,38.411611,64800000,38.43388
2024-07-22,38.610571,64800000,38.588168
2024-07-19,38.368011,64800000,38.390333
2024-07-18,38.476478,64800000,38.549413
2024-07-17,38.742106,64800000,38.740694
2024-07-16,39.019661,64800000,38.941495
2024-07-15,38.599111,64800000,38.649875
2024-07-12,38.588787,63800000,38.618464
2024-07-11,38.384839,64800000,38.443921
2024-07-10,38.127796,64800000,38.127796
2024-07-09,37.548479,64800000,37.531989
2024-07-08,37.661918,64800000,37.686742
2024-07-05,37.594554,64800000,37.589048
2024-07-03,37.82653,64800000,37.820993
2024-07-02,37.308009,65400000,37.244099
2024-07-01,36.874639,65400000,36.98312
2024-06-28,37.122485,65400000,37.114361
2024-06-27,37.17356,65400000,37.187113
2024-06-26,36.925728,65400000,36.941878
2024-06-25,37.026567,65400000,37.007629
2024-06-24,37.102577,65400000,37.079541
