date,nav_value,shares,Non-FV NAV
2024-08-30,42.208496,7275000,42.259571
2024-08-29,42.149623,7275000,42.116313
2024-08-28,41.847393,7500000,41.987707
2024-08-27,42.003151,7500000,41.843555
2024-08-26,41.868632,7500000,41.958952
2024-08-23,41.85406,7500000,41.847604
2024-08-22,41.188166,7500000,41.317043
2024-08-21,41.296296,7500000,41.117835
2024-08-20,41.216901,7500000,41.095315
2024-08-19,41.00377,7500000,40.929507
2024-08-16,40.354065,7500000,40.076483
2024-08-15,39.804891,7500000,39.923737
2024-08-14,39.673007,7500000,39.780316
2024-08-13,39.445236,7500000,39.138347
2024-08-12,38.825864,7500000,38.89077
2024-08-09,38.974618,7500000,38.939559
2024-08-08,38.853128,7500000,38.688542
2024-08-07,38.322394,7500000,38.886305
2024-08-06,37.952318,7500000,37.887619
2024-08-05,37.85686,7500000,37.951121
2024-08-02,38.844693,7500000,38.722509
2024-08-01,39.35219,7650000,39.58221
2024-07-31,40.490448,7650000,40.443794
2024-07-30,39.981213,7650000,39.924392
2024-07-29,39.552337,7800000,39.517357
2024-07-26,39.654617,7800000,39.625284
2024-07-25,39.277635,9600000,39.407281
2024-07-24,39.492021,9600000,39.718674
2024-07-23,40.034743,9600000,40.10454
2024-07-22,40.471384,9600000,40.310674
2024-07-19,40.138139,9600000,40.153626
2024-07-18,40.835057,9600000,41.158572
2024-07-17,40.966822,9600000,41.04394
2024-07-16,41.274626,9600000,41.042399
2024-07-15,40.852739,9600000,41.049174
2024-07-12,41.591683,9600000,41.75561
2024-07-11,40.769345,9600000,40.97561
2024-07-10,40.333623,9600000,40.23694
2024-07-09,40.034977,9600000,39.957592
2024-07-08,40.255741,9600000,40.451422
2024-07-05,40.730878,9600000,40.55518
2024-07-03,40.700364,9600000,40.726722
2024-07-02,40.206951,9525000,39.99836
2024-07-01,40.388353,9375000,40.268958
2024-06-28,40.224445,9375000,40.22158
2024-06-27,39.900206,9375000,39.949875
2024-06-26,40.185512,9375000,40.205956
2024-06-25,40.359388,9375000,40.240746
2024-06-24,40.818572,9375000,40.993723
2024-06-21,40.252594,9375000,40.39036
2024-06-20,40.487342,9375000,40.703925
2024-06-18,40.589432,9375000,40.456852
2024-06-17,40.394278,9375000,40.04812
2024-06-14,40.189485,9375000,40.017097
2024-06-13,40.980283,9375000,40.922159
2024-06-12,41.815598,9375000,42.274627
2024-06-11,40.895853,9300000,40.731299
2024-06-10,41.783832,9225000,41.547634
2024-06-07,41.771792,9225000,41.88535
2024-06-06,42.509762,9225000,42.208681
2024-06-05,42.483299,9225000,42.188154
2024-06-04,41.821886,8850000,41.707868
2024-06-03,42.268438,8850000,42.1812
2024-05-31,41.949497,8850000,41.717916
2024-05-30,41.233103,8850000,41.227487
2024-05-29,40.795244,8850000,40.874671
2024-05-28,41.772149,8850000,41.900023
2024-05-24,41.638197,8850000,41.682058
2024-05-23,41.396184,8850000,41.602792
2024-05-22,41.444621,8850000,41.538111
2024-05-21,41.701142,8850000,41.6602
2024-05-20,41.650541,8850000,41.711907
2024-05-17,41.124534,8850000,41.073893
2024-05-16,41.088494,8850000,41.215009
2024-05-15,41.719962,9075000,41.47982
2024-05-14,41.129604,8850000,41.024317
