date,nav_value,shares,Non-FV NAV
2024-08-30,32.65571,28500000,32.632319
2024-08-29,32.536671,28500000,32.604428
2024-08-28,32.454646,28500000,32.528922
2024-08-27,32.534535,28500000,32.466234
2024-08-26,32.304711,28500000,32.369476
2024-08-23,32.434202,28800000,32.411417
2024-08-22,31.908045,28800000,31.993623
2024-08-21,32.057364,28800000,31.93604
2024-08-20,31.7677,28800000,31.727161
2024-08-19,31.817319,28800000,31.707149
2024-08-16,31.435651,28800000,31.323374
2024-08-15,31.059372,29100000,31.072913
2024-08-14,30.689416,29100000,30.723812
2024-08-13,30.578644,29100000,30.360859
2024-08-12,30.128546,29100000,30.142982
2024-08-09,30.213652,29100000,30.117354
2024-08-08,30.099923,29400000,29.99387
2024-08-07,29.593233,30900000,29.944729
2024-08-06,29.557258,30900000,29.532071
2024-08-05,29.579568,30900000,29.662293
2024-08-02,30.208124,30900000,30.071018
2024-08-01,30.382352,30900000,30.426214
2024-07-31,31.146831,30900000,31.168896
2024-07-30,31.067137,30900000,31.043778
2024-07-29,31.02292,29700000,30.96005
2024-07-26,31.297474,29700000,31.23698
2024-07-25,30.891221,29700000,31.047919
2024-07-24,31.070437,29700000,31.177106
2024-07-23,31.462331,29700000,31.43597
2024-07-22,31.375703,29700000,31.284389
2024-07-19,30.88674,29700000,30.907788
2024-07-18,31.186483,29700000,31.316139
2024-07-17,31.466862,29700000,31.476139
2024-07-16,31.63658,29700000,31.454968
2024-07-15,31.569077,29700000,31.697436
2024-07-12,31.852517,29700000,31.957134
2024-07-11,31.421595,29700000,31.503656
2024-07-10,31.208091,29700000,31.103764
2024-07-09,30.822447,29700000,30.790707
2024-07-08,31.126821,29700000,31.202398
2024-07-05,31.326961,29700000,31.187227
2024-07-03,30.954442,29700000,30.96513
2024-07-02,30.536955,29700000,30.480521
2024-07-01,30.718116,29700000,30.669665
2024-06-28,30.521717,29700000,30.595053
2024-06-27,30.551175,30300000,30.530964
2024-06-26,30.357067,30300000,30.343641
2024-06-25,30.485372,30300000,30.389639
2024-06-24,30.399657,30300000,30.541882
2024-06-21,30.185081,30300000,30.119738
2024-06-20,30.372077,30900000,30.40603
2024-06-18,30.283009,30900000,30.248169
2024-06-17,30.29022,30900000,30.110434
2024-06-14,30.018081,30900000,29.970684
2024-06-13,30.624663,30600000,30.649676
2024-06-12,31.332807,30600000,31.477811
2024-06-11,30.755358,30000000,30.662683
2024-06-10,31.814602,29700000,31.667891
2024-06-07,31.932105,29700000,31.998723
2024-06-06,32.336871,29700000,32.323871
2024-06-05,32.310131,29700000,32.151113
2024-06-04,31.972023,29700000,31.889993
2024-06-03,32.235624,29700000,32.175637
2024-05-31,32.140792,29700000,31.92411
2024-05-30,31.745584,29700000,31.840528
2024-05-29,31.722821,29700000,31.750687
2024-05-28,32.227718,29700000,32.300071
2024-05-24,32.27358,29700000,32.249605
2024-05-23,31.938586,30300000,32.159723
2024-05-22,32.096425,30300000,32.187109
2024-05-21,32.329462,30300000,32.333986
2024-05-20,32.393964,30300000,32.439327
2024-05-17,32.421103,30300000,32.393295
2024-05-16,32.380195,30300000,32.447058
2024-05-15,32.740635,30300000,32.63783
2024-05-14,32.350519,30300000,32.289745
2024-05-13,32.169082,30300000,32.240799
2024-05-10,32.199168,30300000,32.148079
2024-05-09,32.068879,30300000,31.996837
2024-05-08,31.657981,30300000,31.639728
2024-05-07,31.559699,30300000,31.633631
2024-05-06,31.284132,30300000,31.235282
2024-05-03,30.95995,30300000,30.918926
