date,nav_value,shares,Non-FV NAV
2024-08-30,16.128175,31575000,16.22478
2024-08-29,16.19064,31575000,16.185329
2024-08-28,16.058578,31575000,16.085984
2024-08-27,16.149561,31575000,16.164362
2024-08-26,15.994149,31575000,16.062386
2024-08-23,15.897165,31575000,15.812182
2024-08-22,15.732193,31575000,15.831372
2024-08-21,15.630874,31575000,15.564485
2024-08-20,15.608187,31575000,15.691996
2024-08-19,15.800949,31575000,15.70168
2024-08-16,15.671198,31575000,15.590299
2024-08-15,15.59735,31575000,15.495987
2024-08-14,15.474883,31575000,15.506481
2024-08-13,15.628708,31575000,15.534256
2024-08-12,15.451936,31575000,15.440846
2024-08-09,15.486029,31575000,15.494077
2024-08-08,15.559864,31575000,15.394726
2024-08-07,15.296903,31575000,15.37063
2024-08-06,15.204228,31575000,15.161264
2024-08-05,15.343852,31575000,15.28122
2024-08-02,15.147699,31575000,15.164727
2024-08-01,15.271904,31575000,15.442327
2024-07-31,15.295899,31575000,15.332701
2024-07-30,15.292765,31575000,15.241657
2024-07-29,15.405734,31575000,15.45107
2024-07-26,15.363843,31575000,15.287634
2024-07-25,15.254313,31575000,15.221897
2024-07-24,15.29303,31575000,15.343487
2024-07-23,15.496353,31575000,15.518436
2024-07-22,15.64591,31575000,15.599193
2024-07-19,15.5334,31575000,15.533147
2024-07-18,15.590435,31575000,15.744437
2024-07-17,15.712154,31575000,15.738442
2024-07-16,15.621602,31575000,15.549223
2024-07-15,15.690433,31575000,15.802125
2024-07-12,15.984669,31575000,15.989621
2024-07-11,15.544291,31575000,15.482271
2024-07-10,15.164123,31575000,15.083409
2024-07-09,15.068833,31575000,15.054006
2024-07-08,14.916582,31575000,14.965286
2024-07-05,15.131361,31575000,15.203241
2024-07-03,15.505153,31575000,15.427046
2024-07-02,15.286891,31575000,15.235981
2024-07-01,15.273427,31575000,15.271803
2024-06-28,15.263416,31575000,15.285558
2024-06-27,15.245412,31575000,15.295728
2024-06-26,15.394125,31575000,15.518934
2024-06-25,15.455961,31575000,15.528679
2024-06-24,15.672952,31575000,15.616538
2024-06-21,15.566783,31575000,15.616199
2024-06-20,15.794569,31575000,15.839349
2024-06-18,15.785843,31575000,15.7174
2024-06-17,15.791766,31575000,15.745582
2024-06-14,15.705161,31575000,15.799455
2024-06-13,15.865662,31575000,15.991206
2024-06-12,15.89483,31575000,15.842383
2024-06-11,15.928178,31575000,16.039174
2024-06-10,16.651331,31575000,16.70293
2024-06-07,16.572942,31575000,16.716207
2024-06-06,16.892085,31575000,16.843262
2024-06-05,16.850691,31575000,16.809173
2024-06-04,16.767695,31575000,16.781254
2024-06-03,16.686219,31575000,16.73562
2024-05-31,16.700375,31575000,16.628126
2024-05-30,16.837944,31575000,16.68461
2024-05-29,16.888114,31575000,16.974807
2024-05-28,17.116086,31575000,17.205397
2024-05-24,17.103251,31575000,17.03129
2024-05-23,17.191116,31575000,17.324179
2024-05-22,17.46342,31575000,17.556873
2024-05-21,17.620467,31575000,17.613864
2024-05-20,18.012915,31575000,18.080209
2024-05-17,18.042928,31575000,17.957263
2024-05-16,17.818128,31575000,17.735472
2024-05-15,17.584384,31575000,17.512778
2024-05-14,17.541921,31575000,17.520786
2024-05-13,17.676922,31575000,17.607646
2024-05-10,17.409096,31575000,17.427959
2024-05-09,17.055426,31575000,16.937663
2024-05-08,16.730073,31575000,16.692831
2024-05-07,16.945151,31575000,16.916349
2024-05-06,16.993419,31575000,16.96553
2024-05-03,16.905297,31575000,16.8241
2024-05-02,16.771753,31575000,16.578728
2024-05-01,16.171658,31575000,16.258189
2024-04-30,16.135035,31575000,16.263767
2024-04-29,16.225438,31575000,16.219501
2024-04-26,15.963084,31575000,15.986798
2024-04-25,15.720946,31575000,15.715875
2024-04-24,15.497418,31575000,15.523219
2024-04-23,15.266732,31575000,15.221794
2024-04-22,15.011991,31575000,14.920579
2024-04-19,14.712782,31575000,14.657816
2024-04-18,14.752896,31575000,14.797302
2024-04-17,14.68842,31575000,14.707954
2024-04-16,14.711777,31575000,14.724839
2024-04-15,15.000989,31575000,15.122937
2024-04-12,15.189867,31575000,15.358274
2024-04-11,15.677413,31575000,15.741892
2024-04-10,15.66334,31575000,15.857774
2024-04-09,15.745024,31575000,15.723059
2024-04-08,15.613878,31575000,15.585641
2024-04-05,15.619842,31575000,15.617741
2024-04-04,15.613885,31575000,15.61215
2024-04-03,15.666646,31575000,15.614354
2024-04-02,15.789856,31575000,15.817531
2024-04-01,15.672056,31575000,15.537397
2024-03-31,15.54153,31575000,--
2024-03-29,15.54153,31575000,--
2024-03-28,15.54153,31575000,15.523008
2024-03-27,15.655678,31575000,15.607368
2024-03-26,15.698527,31575000,15.746322
2024-03-25,15.736414,31575000,15.73765
2024-03-22,15.877026,31575000,15.886801
2024-03-21,16.13416,31575000,16.214894
2024-03-20,16.00362,31575000,15.893631
2024-03-19,16.026273,31575000,15.992151
2024-03-18,16.188006,31575000,16.243519
2024-03-15,16.450875,31575000,16.454679
2024-03-14,16.518944,31575000,16.640278
2024-03-13,16.886594,31575000,16.88623
2024-03-12,16.786792,31575000,16.810637
2024-03-11,16.451985,31575000,16.414086
2024-03-08,16.180399,31575000,16.193625
2024-03-07,16.125754,31575000,16.038356
2024-03-06,16.08811,31575000,16.050324
2024-03-05,15.925877,31575000,15.933051
2024-03-04,16.26549,31575000,16.347312
2024-03-01,16.268308,31575000,16.227084
2024-02-29,16.367337,31575000,16.43693
2024-02-28,16.397064,31575000,16.461382
2024-02-27,16.544094,31575000,16.525668
2024-02-26,16.547553,31575000,16.527458
2024-02-23,16.591353,31575000,16.588438
2024-02-22,16.623132,31575000,16.674836
2024-02-21,16.588529,31575000,16.605362
2024-02-20,16.257131,31575000,16.276393
2024-02-16,16.37649,31575000,16.407583
2024-02-15,16.12345,31575000,16.088008
2024-02-14,16.043868,31575000,16.031815
2024-02-13,16.026912,31575000,15.987969
2024-02-12,16.177666,31575000,15.986885
2024-02-09,15.993609,31575000,15.981952
2024-02-08,15.986871,31575000,16.064251
2024-02-07,16.124085,31575000,16.177157
2024-02-06,16.1518,31575000,16.088873
2024-02-05,15.712908,31575000,15.704051
2024-02-02,15.655546,31575000,15.767796
2024-02-01,15.88021,31575000,15.806947
2024-01-31,15.723611,31575000,15.699048
2024-01-30,15.867494,31575000,15.882733
2024-01-29,16.202306,31575000,16.285881
2024-01-26,16.31536,31575000,16.215107
2024-01-25,16.163679,31575000,16.219765
2024-01-24,16.10798,31575000,16.027341
2024-01-23,15.725483,31575000,15.647979
2024-01-22,15.358958,31575000,15.28931
2024-01-19,15.775181,31575000,15.68141
2024-01-18,15.663133,31575000,15.644605
2024-01-17,15.575954,34575000,15.571979
2024-01-16,16.080865,34575000,16.148682
2024-01-12,16.480729,34575000,16.447955
2024-01-11,16.409709,34575000,16.477163
2024-01-10,16.349128,34575000,16.335491
2024-01-09,16.394482,34575000,16.468078
2024-01-08,16.575852,34575000,16.465471
2024-01-05,16.753874,34575000,16.737539
2024-01-04,16.728359,34575000,16.781057
2024-01-03,16.856959,34575000,16.869682
2024-01-02,16.95731,34575000,17.07137
2023-12-29,17.380579,34575000,17.382584
2023-12-28,17.307934,34575000,17.356441
2023-12-27,17.068646,34575000,17.036299
2023-12-26,16.954043,34575000,16.928856
2023-12-22,17.009718,34575000,16.91993
2023-12-21,16.96475,34575000,16.900628
2023-12-20,16.739634,34575000,16.895706
2023-12-19,17.35696,34575000,17.247802
2023-12-18,17.287246,34575000,17.35197
2023-12-15,17.294092,34575000,17.426589
2023-12-14,17.083053,34575000,16.965625
2023-12-13,16.512061,34575000,16.451909
2023-12-12,16.536533,34575000,16.553353
2023-12-11,16.532631,34575000,16.475099
2023-12-08,16.514717,34575000,16.531597
2023-12-07,16.480742,34575000,16.447763
2023-12-06,16.492789,34575000,16.546522
2023-12-05,16.345699,34575000,16.324678
2023-12-04,16.704941,34575000,16.704901
2023-12-01,16.856368,34575000,16.804498
2023-11-30,16.819531,34575000,16.844629
2023-11-29,17.009191,34575000,17.000119
2023-11-28,17.30919,34575000,17.303986
2023-11-27,17.423426,34575000,17.430036
2023-11-24,17.655155,34575000,17.575085
2023-11-22,17.731657,34575000,17.78093
2023-11-21,17.703129,34575000,17.749509
2023-11-20,17.894304,34575000,17.791998
2023-11-17,17.669256,34575000,17.551658
2023-11-16,17.562559,34575000,17.682129
2023-11-15,17.953574,34575000,17.890328
2023-11-14,17.535444,34575000,17.245806
2023-11-13,17.187994,34575000,17.118682
2023-11-10,16.964432,34575000,16.90575
2023-11-09,17.096832,34575000,17.185608
2023-11-08,17.203704,34575000,17.176382
2023-11-07,17.354008,34575000,17.329406
2023-11-06,17.673034,34575000,17.757528
2023-11-03,17.580217,34575000,17.475846
2023-11-02,17.140031,34575000,17.005516
2023-11-01,16.837717,34575000,16.790116
2023-10-31,16.79243,34575000,16.790043
2023-10-30,16.993066,34575000,16.993323
2023-10-27,16.809387,34575000,16.946767
2023-10-26,16.706133,34575000,16.68053
2023-10-25,16.748336,34575000,16.729716
2023-10-24,17.026605,34575000,16.807972
2023-10-23,16.781497,34575000,16.843627
2023-10-20,16.772903,34575000,16.857468
2023-10-19,16.83767,34575000,16.842729
2023-10-18,17.095208,34575000,17.239088
2023-10-17,17.320737,34575000,17.329285
2023-10-16,17.348523,34575000,17.208964
2023-10-13,17.277191,34575000,17.346074
2023-10-12,17.563424,34575000,17.764535
2023-10-11,17.569173,34575000,17.498483
2023-10-10,17.490561,34575000,17.365241
2023-10-09,17.276389,34575000,17.214054
2023-10-06,17.393937,34575000,17.292734
2023-10-05,17.071826,34575000,17.020623
2023-10-04,16.950437,34575000,16.937346
2023-10-03,16.920169,34575000,16.954164
2023-10-02,17.11008,34575000,17.267323
2023-09-29,17.187655,34575000,17.27066
2023-09-28,16.978941,34575000,16.896077
2023-09-27,17.099018,34575000,17.134948
2023-09-26,16.903993,34575000,16.935718
2023-09-25,17.213945,34575000,17.227025
2023-09-22,17.499099,34575000,17.5436
2023-09-21,17.178413,34575000,17.254745
2023-09-20,17.443558,34575000,17.454101
2023-09-19,17.492094,34575000,17.512392
2023-09-18,17.468713,34575000,17.462403
2023-09-15,17.558136,34575000,17.682985
2023-09-14,17.615266,34575000,17.565389
2023-09-13,17.690115,34575000,17.697602
2023-09-12,17.698263,34575000,17.659604
2023-09-11,17.586162,34575000,17.608286
2023-09-08,17.735778,34575000,17.8929
2023-09-07,17.799709,34575000,17.903922
2023-09-06,18.090788,34575000,18.083808
2023-09-05,18.144594,34575000,18.134749
2023-09-01,18.413171,34575000,18.20588
2023-08-31,18.173619,34575000,18.197129
2023-08-30,18.320853,34125000,18.274889
2023-08-29,18.302935,34125000,18.18789
2023-08-28,17.83902,34125000,17.75017
2023-08-25,17.589818,34125000,17.576771
2023-08-24,17.634782,34125000,17.771003
2023-08-23,17.661361,34125000,17.583681
2023-08-22,17.430405,34125000,17.522517
2023-08-21,17.397523,34125000,17.371197
2023-08-18,17.722334,34125000,17.785122
2023-08-17,17.947433,34125000,18.059602
2023-08-16,17.943697,34125000,18.100764
2023-08-15,18.171506,34125000,18.30435
2023-08-14,18.437559,34125000,18.499469
2023-08-11,18.652917,34125000,18.784949
2023-08-10,18.868701,34125000,18.890277
2023-08-09,18.823607,34125000,18.882141
2023-08-08,18.884338,34125000,18.947381
2023-08-07,19.185772,34125000,19.246146
2023-08-04,19.122943,34125000,19.194531
2023-08-03,19.559689,34125000,19.435097
2023-08-02,19.331017,34125000,19.422764
2023-08-01,19.73165,34125000,19.829005
2023-07-31,20.021099,34125000,19.912839
2023-07-28,20.079601,34125000,19.995716
2023-07-27,19.633629,34125000,19.819564
2023-07-26,19.565357,34125000,19.501115
2023-07-25,19.319425,34125000,19.358505
2023-07-24,19.226193,34125000,18.987173
2023-07-21,19.322075,34125000,19.380875
2023-07-20,19.220191,34125000,19.231306
2023-07-19,19.258514,34125000,19.24561
2023-07-18,19.275577,34125000,19.329181
2023-07-17,19.419883,34125000,19.570025
2023-07-14,19.503367,34125000,19.571935
2023-07-13,19.612241,34125000,19.511389
2023-07-12,19.249872,34125000,19.068609
2023-07-11,19.025272,34125000,18.950441
2023-07-10,18.799208,34125000,18.710912
2023-07-07,18.877127,34125000,18.695804
2023-07-06,18.884517,34125000,18.95727
2023-07-05,19.416079,34125000,19.438866
2023-07-03,19.530434,34125000,19.56119
2023-06-30,19.363243,36150000,19.285639
2023-06-29,19.321846,36150000,19.344945
2023-06-28,19.505803,36150000,19.533297
2023-06-27,19.471118,36150000,19.438055
2023-06-26,19.176269,36150000,19.152521
2023-06-23,19.20551,36150000,19.274753
2023-06-22,19.588817,36150000,19.641343
2023-06-21,19.657644,36150000,19.645129
2023-06-20,19.71491,36900000,19.854549
2023-06-16,20.007656,37350000,20.03275
2023-06-15,19.94436,37350000,19.852164
2023-06-14,19.866201,37350000,19.756422
2023-06-13,19.865374,37350000,19.848046
2023-06-12,19.739384,37350000,19.757474
2023-06-09,19.647141,37350000,19.67795
2023-06-08,19.733064,37350000,19.656519
2023-06-07,19.517903,37350000,19.545529
2023-06-06,19.887952,37350000,19.725602
2023-06-05,19.785818,37350000,19.779977
2023-06-02,19.635072,37350000,19.500163
2023-06-01,19.152862,37350000,18.964828
2023-05-31,18.989248,37350000,18.983377
2023-05-30,19.146142,37350000,19.287596
2023-05-26,19.460307,37350000,19.413998
2023-05-25,19.319002,37350000,19.410597
2023-05-24,19.549263,37350000,19.65652
2023-05-23,19.721089,37350000,19.821141
2023-05-22,20.0035,37650000,19.984901
2023-05-19,19.887045,37650000,19.887735
2023-05-18,19.818179,38100000,19.888671
2023-05-17,20.003175,38100000,19.898355
2023-05-16,20.206522,38100000,20.271473
2023-05-15,20.510542,38100000,20.391446
2023-05-12,19.926341,38100000,20.0152
2023-05-11,20.333707,38100000,20.302125
2023-05-10,20.359013,38100000,20.353337
2023-05-09,20.410261,38100000,20.389118
2023-05-08,20.681086,38100000,20.71263
2023-05-05,20.664363,38100000,20.563273
2023-05-04,20.675219,38100000,20.696141
2023-05-03,20.55262,38100000,20.570947
2023-05-02,20.606086,38100000,20.754883
2023-05-01,20.818155,38100000,20.755608
2023-04-28,20.843405,38100000,20.759403
2023-04-27,20.787625,38100000,20.668297
2023-04-26,20.497717,38100000,20.551806
2023-04-25,20.224088,38100000,20.365231
