date,nav_value,shares,Non-FV NAV
2024-08-30,38.95176,12075000,38.851998
2024-08-29,38.642657,12075000,38.676295
2024-08-28,38.501135,12300000,38.548756
2024-08-27,38.597193,12300000,38.525066
2024-08-26,38.32705,12300000,38.377784
2024-08-23,38.493152,12300000,38.422866
2024-08-22,37.714203,12300000,37.842354
2024-08-21,37.978107,12300000,37.867254
2024-08-20,37.557821,12300000,37.541043
2024-08-19,37.714688,12300000,37.595946
2024-08-16,37.28495,12000000,37.098469
2024-08-15,36.796562,12000000,36.352194
2024-08-14,36.490795,12300000,36.520968
2024-08-13,36.183966,12300000,35.889263
2024-08-12,35.702292,12300000,35.708298
2024-08-09,35.569369,12300000,35.528061
2024-08-08,35.527197,12300000,35.402219
2024-08-07,35.240333,12300000,35.638084
2024-08-06,34.955118,12300000,34.858921
2024-08-05,35.101426,12300000,35.17904
2024-08-02,35.874098,12300000,35.78364
2024-08-01,36.042899,12300000,36.109295
2024-07-31,37.169676,12300000,37.171125
2024-07-30,37.287221,12300000,37.24156
2024-07-29,37.137279,12300000,37.055984
2024-07-26,37.50166,12300000,37.404961
2024-07-25,37.108591,12300000,37.284851
2024-07-24,37.576198,12300000,37.738173
2024-07-23,37.867993,12300000,37.87232
2024-07-22,38.108187,12300000,37.970558
2024-07-19,37.500659,12300000,37.52906
2024-07-18,37.728274,12300000,37.887119
2024-07-17,37.722245,12300000,37.769782
2024-07-16,37.806819,12300000,37.599471
2024-07-15,37.542273,12300000,37.684271
2024-07-12,37.798885,12300000,37.880813
2024-07-11,37.436391,12300000,37.509071
2024-07-10,37.35918,12300000,37.242419
2024-07-09,36.769622,12300000,36.736214
2024-07-08,36.843035,12300000,36.920295
2024-07-05,37.026878,12300000,36.893222
2024-07-03,36.71766,12300000,36.726005
2024-07-02,36.284136,12300000,36.171657
2024-07-01,36.450216,12300000,36.358219
2024-06-28,35.70039,12300000,35.76214
2024-06-27,35.834368,12075000,35.830596
2024-06-26,36.139015,12075000,36.110814
2024-06-25,36.44614,12075000,36.353674
2024-06-24,36.551095,12075000,36.604267
2024-06-21,35.890702,12075000,35.807791
2024-06-20,36.242555,11850000,36.341838
2024-06-18,35.998298,11850000,35.975192
2024-06-17,35.643666,11850000,35.490263
2024-06-14,35.283066,11850000,35.192876
2024-06-13,36.322193,11850000,36.384018
2024-06-12,37.132282,11850000,37.372729
2024-06-11,36.602527,11850000,36.48668
2024-06-10,38.302738,11850000,38.128344
2024-06-07,38.469203,11850000,38.561139
2024-06-06,39.004276,11850000,38.979626
2024-06-05,38.800092,11850000,38.654702
2024-06-04,38.601297,11850000,38.519272
2024-06-03,39.013619,11850000,38.891441
2024-05-31,38.884771,11850000,38.652337
2024-05-30,38.492092,11850000,38.528552
2024-05-29,38.075683,11850000,38.141933
2024-05-28,38.787548,11850000,38.863843
2024-05-24,38.618969,11850000,38.621133
2024-05-23,38.25264,11850000,38.50019
2024-05-22,38.4032,11850000,38.520321
2024-05-21,38.823076,11700000,38.823116
2024-05-20,39.032285,11700000,39.102844
2024-05-17,39.30189,11700000,39.270284
2024-05-16,39.175512,11475000,39.266411
2024-05-15,39.282489,11325000,39.143144
2024-05-14,38.836035,11325000,38.780305
2024-05-13,38.286534,11325000,38.365457
2024-05-10,38.150776,11325000,38.098906
2024-05-09,37.815308,11325000,37.741087
2024-05-08,37.377086,11325000,37.369095
2024-05-07,37.431469,11325000,37.536646
2024-05-06,37.332795,11325000,37.299911
2024-05-03,36.898948,11325000,36.862806
2024-05-02,36.888611,11325000,36.665615
2024-05-01,36.400434,11325000,36.629987
2024-04-30,36.422804,11325000,36.661538
2024-04-29,37.315477,11325000,37.282296
2024-04-26,37.200765,11325000,37.096287
2024-04-25,37.039111,11325000,36.875426
2024-04-24,37.358259,11325000,37.256732
2024-04-23,37.558435,11325000,37.502654
2024-04-22,36.811463,11325000,36.663809
2024-04-19,36.353398,11325000,36.48363
2024-04-18,36.13329,11325000,36.319907
2024-04-17,36.024358,11325000,35.961064
2024-04-16,35.681462,11325000,35.720024
2024-04-15,36.016802,11325000,36.251867
2024-04-12,35.93779,11325000,36.03732
2024-04-11,36.449781,11325000,36.219705
2024-04-10,36.689231,11325000,36.730608
2024-04-09,37.138167,11325000,37.032771
2024-04-08,37.406007,11325000,37.416971
2024-04-05,37.090277,11325000,36.990825
2024-04-04,37.140945,11325000,37.631854
2024-04-03,37.538593,11325000,37.524568
2024-04-02,37.195328,11325000,37.158721
2024-04-01,37.491833,11325000,37.556848
2024-03-31,37.718508,11325000,--
2024-03-29,37.718508,11325000,--
2024-03-28,37.718508,11325000,37.753118
2024-03-27,37.964156,11325000,37.836948
2024-03-26,37.73016,11325000,37.814376
2024-03-25,37.785085,11325000,37.804456
2024-03-22,37.357091,11325000,37.401619
2024-03-21,37.408312,11325000,37.465895
2024-03-20,37.884089,11325000,37.477823
2024-03-19,37.493728,11325000,37.441758
2024-03-18,37.066066,11100000,37.155269
2024-03-15,37.158315,10875000,37.124893
2024-03-14,36.976551,10875000,36.973472
2024-03-13,37.229645,10875000,37.222604
2024-03-12,37.031704,10875000,36.952196
2024-03-11,36.580887,10875000,36.550472
2024-03-08,36.635338,10875000,36.796518
2024-03-07,36.684999,10875000,36.607241
2024-03-06,36.522744,10800000,36.589323
2024-03-05,36.124663,10650000,36.209296
2024-03-04,35.900102,10650000,35.929274
2024-03-01,35.952781,10650000,35.886097
2024-02-29,35.522275,10650000,35.510471
2024-02-28,35.559984,10650000,35.563135
2024-02-27,35.728757,10650000,35.706637
2024-02-26,35.574934,10650000,35.628429
2024-02-23,35.728455,10650000,35.729531
2024-02-22,35.374274,10650000,35.286106
2024-02-21,35.031083,10425000,34.929395
2024-02-20,34.631683,10425000,34.681054
2024-02-16,34.349907,10425000,34.408857
2024-02-15,34.521451,10425000,34.35448
2024-02-14,33.873372,10050000,33.769893
2024-02-13,33.443769,10050000,33.541753
2024-02-12,34.034354,10050000,34.045686
2024-02-09,33.879366,10050000,33.800162
2024-02-08,33.756847,10050000,33.647835
2024-02-07,33.716253,10050000,33.610413
2024-02-06,33.78107,10050000,33.713167
2024-02-05,33.554053,10050000,33.451419
2024-02-02,33.563784,9825000,33.544593
2024-02-01,33.872082,9825000,33.575026
2024-01-31,33.434399,9825000,33.745223
2024-01-30,33.539416,9825000,33.501277
2024-01-29,33.194759,9600000,32.98266
2024-01-26,33.366878,9600000,33.406735
2024-01-25,33.020419,9450000,32.929289
2024-01-24,33.220347,9450000,33.358464
2024-01-23,33.032281,9450000,32.918025
2024-01-22,33.196925,9450000,33.215548
2024-01-19,33.385748,8775000,33.224806
2024-01-18,33.365417,8175000,33.233818
2024-01-17,33.16487,8175000,33.077512
2024-01-16,33.340907,8625000,33.384538
2024-01-12,33.822738,8400000,33.848761
2024-01-11,33.696064,8400000,33.506991
2024-01-10,33.83696,8400000,33.787098
2024-01-09,33.649425,8400000,33.637557
2024-01-08,34.020866,8400000,33.927655
2024-01-05,33.623052,8400000,33.784192
2024-01-04,33.547004,8400000,33.681532
2024-01-03,33.17236,8400000,33.125826
2024-01-02,33.712931,8400000,33.722407
2023-12-29,33.890112,8400000,33.841171
2023-12-28,33.8542,8400000,33.994784
2023-12-27,34.131378,8400000,34.092844
2023-12-26,33.854782,8400000,33.794767
2023-12-22,33.739307,8400000,33.753323
2023-12-21,33.67844,8400000,33.59388
2023-12-20,33.210022,8325000,33.608971
2023-12-19,34.046498,8325000,34.035859
2023-12-18,33.687253,8325000,33.688515
2023-12-15,33.654735,8100000,33.783422
2023-12-14,34.076511,8100000,34.066833
2023-12-13,33.807809,8100000,33.32457
2023-12-12,33.429109,8100000,33.337275
2023-12-11,33.368417,8100000,33.282297
2023-12-08,33.35034,8100000,33.31994
2023-12-07,33.094974,8100000,33.045385
2023-12-06,33.049174,8100000,33.238062
2023-12-05,32.971087,8100000,33.013734
2023-12-04,33.013561,8100000,32.903113
2023-12-01,33.110866,7950000,32.922606
2023-11-30,32.962365,7950000,32.969274
2023-11-29,33.069756,7950000,33.09442
2023-11-28,32.815581,7950000,32.820647
2023-11-27,32.748855,7950000,32.682433
2023-11-24,32.778657,7950000,32.780852
2023-11-22,32.362379,7950000,32.287988
