date,nav_value,shares,Non-FV NAV
2024-08-30,72.267731,217650000,71.995254
2024-08-29,71.705027,223350000,71.564421
2024-08-28,71.467067,223350000,71.932944
2024-08-27,71.657007,223350000,71.649355
2024-08-26,70.945322,223350000,71.228715
2024-08-23,71.789975,223350000,71.477064
2024-08-22,70.336858,223350000,70.592812
2024-08-21,70.874175,223350000,70.741284
2024-08-20,69.883065,224550000,70.839585
2024-08-19,70.446255,224550000,69.759166
2024-08-16,69.288865,224550000,70.041229
2024-08-15,68.936188,226350000,67.404809
2024-08-14,67.437632,227850000,67.965893
2024-08-13,67.482696,227850000,67.123508
2024-08-12,65.677571,227850000,64.702793
2024-08-09,65.458288,227850000,65.277828
2024-08-08,65.844559,229200000,64.454062
2024-08-07,64.368781,229200000,65.219155
2024-08-06,63.819129,227550000,64.985157
2024-08-05,63.271976,228300000,60.07836
2024-08-02,64.999633,228300000,66.719003
2024-08-01,67.752916,229800000,69.533136
2024-07-31,71.246117,229800000,71.657282
2024-07-30,68.724931,229800000,68.800888
2024-07-29,68.916368,229800000,69.110562
2024-07-26,68.570031,229800000,67.843004
2024-07-25,67.88903,229800000,68.101474
2024-07-24,68.784198,229800000,70.609583
2024-07-23,70.353514,229800000,70.331355
2024-07-22,70.385434,229800000,69.860341
2024-07-19,69.873359,229800000,70.509034
2024-07-18,70.555309,228600000,70.941927
2024-07-17,71.200496,228600000,72.386977
2024-07-16,71.732267,228600000,71.256647
2024-07-15,71.072493,228600000,71.290189
2024-07-12,71.275283,228600000,71.363414
2024-07-11,70.856842,228600000,72.149878
2024-07-10,71.135537,228600000,70.301537
2024-07-09,69.988545,228600000,70.010988
2024-07-08,69.648328,228600000,69.59164
2024-07-05,70.119818,229650000,69.863845
2024-07-03,69.339437,229650000,69.248298
2024-07-02,69.031065,229650000,68.797291
2024-07-01,67.755978,230550000,67.782538
2024-06-28,68.029026,230550000,67.762225
2024-06-27,67.700189,231150000,67.393852
2024-06-26,67.208344,231150000,67.624962
2024-06-25,67.716771,231150000,67.566916
2024-06-24,66.274494,231150000,66.345098
2024-06-21,65.904091,231150000,66.042487
2024-06-20,66.264993,231150000,66.415596
2024-06-18,66.749192,231150000,66.442092
2024-06-17,66.665144,231150000,66.073689
2024-06-14,67.039706,231150000,67.482648
2024-06-13,67.224242,232500000,67.486654
2024-06-12,68.465635,232500000,68.534639
2024-06-11,68.176296,231750000,68.4228
2024-06-10,69.409628,231750000,69.252136
