date,nav_value,shares,Non-FV NAV
2024-08-30,20.134835,800000,20.140679
2024-08-29,20.088644,800000,20.099045
2024-08-28,20.013282,800000,20.052536
2024-08-27,20.129447,800000,20.064542
2024-08-26,20.079968,800000,20.13262
2024-08-23,20.096445,800000,20.079803
2024-08-22,19.897312,800000,19.94493
2024-08-21,19.97044,800000,19.915261
2024-08-20,19.807373,800000,19.793569
2024-08-19,19.856103,800000,19.835468
2024-08-16,19.749142,800000,19.668636
2024-08-15,19.672623,800000,19.696177
2024-08-14,19.538963,800000,19.595746
2024-08-13,19.592577,800000,19.472444
2024-08-12,19.411851,800000,19.405041
2024-08-09,19.478567,800000,19.432724
2024-08-08,19.248364,800000,19.155085
2024-08-07,19.046578,800000,19.21508
2024-08-06,18.807791,800000,18.77193
2024-08-05,18.796779,800000,18.86279
2024-08-02,19.434328,800000,19.341078
2024-08-01,19.457779,1120000,19.434843
2024-07-31,19.523142,1120000,19.529952
2024-07-30,19.572472,1120000,19.518213
2024-07-29,19.472682,1120000,19.432626
2024-07-26,19.521051,1120000,19.479433
2024-07-25,19.378333,1120000,19.406092
2024-07-24,19.248853,1120000,19.327906
2024-07-23,19.339497,1120000,19.312656
2024-07-22,19.421043,1120000,19.394224
2024-07-19,19.223669,1120000,19.214725
2024-07-18,19.26735,1120000,19.403653
2024-07-17,19.450581,1120000,19.429287
2024-07-16,19.350922,1200000,19.22914
2024-07-15,19.223085,1200000,19.308927
2024-07-12,19.446647,1200000,19.497167
2024-07-11,19.299498,1200000,19.357718
2024-07-10,19.12544,1200000,19.08525
2024-07-09,18.864549,1200000,18.819961
2024-07-08,18.828432,1200000,18.858737
2024-07-05,18.968057,1200000,18.905431
2024-07-03,18.832828,1200000,18.830625
2024-07-02,18.636293,1200000,18.61146
2024-07-01,18.5096,880000,18.488868
2024-06-28,18.386245,880000,18.431561
2024-06-27,18.593037,880000,18.607399
2024-06-26,18.542581,880000,18.543231
2024-06-25,18.816327,880000,18.781309
2024-06-24,18.881139,880000,18.875676
2024-06-21,18.39941,880000,18.365551
2024-06-20,18.44246,880000,18.45789
2024-06-18,18.36336,880000,18.362937
2024-06-17,18.294136,880000,18.215092
2024-06-14,18.190473,880000,18.15057
2024-06-13,18.479941,880000,18.482034
2024-06-12,18.731153,880000,18.827881
2024-06-11,18.477058,880000,18.430386
2024-06-10,19.094021,880000,19.014715
2024-06-07,19.155454,880000,19.22208
2024-06-06,19.471962,880000,19.442978
2024-06-05,19.399634,880000,19.342643
2024-06-04,19.418489,880000,19.380278
2024-06-03,19.51611,880000,19.476901
2024-05-31,19.45333,880000,19.350678
2024-05-30,19.270302,880000,19.291152
2024-05-29,19.246743,880000,19.271059
2024-05-28,19.475568,880000,19.513641
2024-05-24,19.614563,880000,19.598039
2024-05-23,19.452318,880000,19.567076
2024-05-22,19.647077,880000,19.701264
2024-05-21,19.730621,880000,19.728418
2024-05-20,19.762314,880000,19.833073
2024-05-17,19.877695,880000,19.885627
2024-05-16,19.806686,880000,19.827935
2024-05-15,19.986474,880000,19.92058
2024-05-14,19.625621,880000,19.587345
2024-05-13,19.501614,880000,19.5642
2024-05-10,19.519503,880000,19.492403
2024-05-09,19.489318,880000,19.423585
2024-05-08,19.432928,880000,19.452331
2024-05-07,19.311464,880000,19.342719
2024-05-06,19.048482,880000,19.024796
2024-05-03,18.960169,720000,18.936457
2024-05-02,18.809751,1120000,18.695827
2024-05-01,18.544515,1120000,18.614341
2024-04-30,18.53551,1120000,18.630607
2024-04-29,18.725303,1120000,18.696098
2024-04-26,18.583996,1120000,18.539288
2024-04-25,18.53169,1120000,18.480139
2024-04-24,18.617243,1120000,18.570222
2024-04-23,18.634628,1120000,18.600731
2024-04-22,18.484601,1120000,18.401217
2024-04-19,18.218104,1120000,18.255165
2024-04-18,18.132201,1120000,18.204642
2024-04-17,18.090197,1120000,18.026006
2024-04-16,18.025596,1120000,18.046675
