date,nav_value,shares,Non-FV NAV
2024-08-30,25.899453,12450000,25.880475
2024-08-29,25.56074,12450000,25.56061
2024-08-28,25.72747,12450000,25.750651
2024-08-27,25.386222,12450000,25.384107
2024-08-26,25.113429,12450000,25.13113
2024-08-23,24.962178,12450000,24.938938
2024-08-22,25.006221,12450000,25.038584
2024-08-21,24.936881,12450000,24.921645
2024-08-20,24.982815,12450000,24.994508
2024-08-19,25.067367,12450000,25.034622
2024-08-16,24.383267,12450000,24.378769
2024-08-15,24.236396,12450000,24.193126
2024-08-14,24.296974,12450000,24.285637
2024-08-13,24.107653,12450000,24.068361
2024-08-12,24.010498,12450000,24.011233
2024-08-09,24.03011,12450000,24.027514
2024-08-08,23.691105,12450000,23.62985
2024-08-07,23.49022,12450000,23.545877
2024-08-06,23.42338,12450000,23.415847
2024-08-05,23.103204,12450000,23.104816
2024-08-02,23.852997,12450000,23.875992
2024-08-01,23.682833,12450000,23.71893
2024-07-31,23.603777,12450000,23.592094
2024-07-30,23.234842,12450000,23.251089
2024-07-29,23.3334,12450000,23.338202
2024-07-26,23.092741,12450000,23.086836
2024-07-25,23.08177,12450000,23.092399
2024-07-24,23.099833,12450000,23.13474
2024-07-23,23.26642,12450000,23.26574
2024-07-22,23.128678,12450000,23.114899
2024-07-19,23.288102,12450000,23.299477
2024-07-18,23.360562,12450000,23.389281
2024-07-17,23.395111,12450000,23.40745
2024-07-16,23.227683,12450000,23.212781
2024-07-15,23.275063,12450000,23.279819
2024-07-12,23.13685,12450000,23.130873
2024-07-11,23.104035,12450000,23.118074
2024-07-10,23.003561,12450000,22.984787
2024-07-09,22.876724,12450000,22.876944
2024-07-08,22.808923,12450000,22.79812
2024-07-05,22.807771,12450000,22.798957
2024-07-03,22.802992,12450000,22.791668
2024-07-02,22.546289,12450000,22.52421
2024-07-01,22.536918,12450000,22.535887
2024-06-28,22.416008,12450000,22.432115
2024-06-27,22.346119,12450000,22.340688
2024-06-26,22.444231,12450000,22.451604
2024-06-25,22.410594,12450000,22.41093
2024-06-24,22.441002,12450000,22.448577
2024-06-21,22.436352,12225000,22.435578
2024-06-20,22.472078,12075000,22.486078
2024-06-18,22.655982,12075000,22.64606
2024-06-17,22.68061,12075000,22.659845
2024-06-14,22.663486,12075000,22.660292
2024-06-13,22.761795,12075000,22.763073
2024-06-12,22.664934,12075000,22.649234
2024-06-11,22.643454,11925000,22.635997
2024-06-10,23.039164,11925000,23.025929
2024-06-07,23.204945,11925000,23.214788
2024-06-06,23.154608,11925000,23.153225
2024-06-05,23.083842,11925000,23.060265
2024-06-04,23.134769,11925000,23.12457
2024-06-03,22.85731,11925000,22.83263
2024-05-31,22.852667,11925000,22.833595
2024-05-30,22.968663,11925000,22.96943
2024-05-29,22.961196,11925000,22.967706
2024-05-28,23.145153,11925000,23.152269
2024-05-24,23.133517,11925000,23.125596
2024-05-23,23.234714,11925000,23.261033
2024-05-22,23.225073,11925000,23.22751
2024-05-21,23.233124,11925000,23.227669
2024-05-20,23.354497,11550000,23.357205
2024-05-17,23.176368,11550000,23.168066
2024-05-16,23.101493,11550000,23.104024
2024-05-15,22.91289,11550000,22.890528
2024-05-14,22.875466,11550000,22.86381
2024-05-13,22.770757,11550000,22.769899
2024-05-10,22.687404,11550000,22.693028
2024-05-09,22.709337,11550000,22.694169
2024-05-08,22.75853,11550000,22.75591
2024-05-07,22.774755,11550000,22.774217
2024-05-06,22.681057,11550000,22.667535
2024-05-03,22.556994,11550000,22.535258
2024-05-02,22.351181,11550000,22.339535
2024-05-01,22.158258,11550000,22.190898
2024-04-30,22.164041,11550000,22.191158
2024-04-29,22.331096,11550000,22.327363
2024-04-26,22.227083,11550000,22.221346
2024-04-25,22.095497,11550000,22.094608
2024-04-24,22.13601,11550000,22.139664
2024-04-23,22.001907,11550000,21.984858
2024-04-22,21.971391,11550000,21.959375
2024-04-19,21.776034,11550000,21.776488
2024-04-18,21.752235,11550000,21.762646
2024-04-17,21.618892,11550000,21.63569
2024-04-16,21.562091,11550000,21.566022
2024-04-15,21.684148,11550000,21.715788
2024-04-12,21.857149,11550000,21.886553
2024-04-11,22.022568,11550000,22.0286
2024-04-10,22.009894,11550000,22.028303
2024-04-09,22.034013,11550000,22.030107
2024-04-08,22.092628,11550000,22.086516
2024-04-05,22.072593,11550000,22.059374
2024-04-04,22.032355,11550000,22.05855
2024-04-03,21.775215,11550000,21.769372
2024-04-02,21.889814,11550000,21.900526
2024-04-01,21.967425,11550000,21.979726
2024-03-31,21.798429,11550000,--
2024-03-29,21.798429,11550000,--
2024-03-28,21.798429,11550000,21.787833
2024-03-27,21.795728,11550000,21.786811
2024-03-26,21.890087,11550000,21.901959
2024-03-25,21.851797,11550000,21.85512
2024-03-22,21.843497,11550000,21.85039
2024-03-21,21.931642,11250000,21.936953
2024-03-20,21.757323,11250000,21.735935
2024-03-19,21.875696,11250000,21.866604
2024-03-18,22.058991,11250000,22.058422
2024-03-15,22.065816,11250000,22.078019
2024-03-14,21.991099,11250000,22.005107
2024-03-13,21.890028,11250000,21.891912
2024-03-12,22.012928,11250000,21.997614
2024-03-11,21.835958,11250000,21.835648
2024-03-08,21.727737,11250000,21.743498
2024-03-07,21.626002,11250000,21.593337
2024-03-06,21.413929,11250000,21.408196
2024-03-05,21.454044,11250000,21.469628
2024-03-04,21.548174,11250000,21.552269
2024-03-01,21.464557,11250000,21.447239
2024-02-29,21.673859,11250000,21.661598
2024-02-28,21.473752,11250000,21.473686
2024-02-27,21.669457,11250000,21.664946
2024-02-26,21.485183,11250000,21.486998
2024-02-23,21.532184,11250000,21.529115
2024-02-22,21.601665,11250000,21.587834
2024-02-21,21.560604,11250000,21.554936
2024-02-20,21.564939,11250000,21.56803
2024-02-16,21.302494,11250000,21.315318
2024-02-15,21.2091,11250000,21.202971
2024-02-14,21.196807,11250000,21.18023
2024-02-13,21.270941,11250000,21.29878
