date,nav_value,shares,Non-FV NAV
2024-08-30,50.809725,5800000,50.719272
2024-08-29,50.637582,5800000,50.877282
2024-08-28,50.253589,5800000,50.351216
2024-08-27,50.504539,5800000,50.319886
2024-08-26,50.183874,5800000,50.321011
2024-08-23,50.656856,5800000,50.677863
2024-08-22,50.186684,5800000,50.440155
2024-08-21,50.848612,5800000,50.670069
2024-08-20,50.25937,5950000,50.158903
2024-08-19,50.43488,6550000,50.097472
2024-08-16,49.864796,6550000,49.59275
2024-08-15,49.586319,6450000,49.458617
2024-08-14,48.572054,6400000,48.635614
2024-08-13,48.493225,6400000,48.112021
2024-08-12,47.679503,6400000,47.752029
2024-08-09,47.743157,5550000,47.639269
2024-08-08,47.876881,5550000,47.648109
2024-08-07,47.091568,5250000,47.753986
2024-08-06,46.550706,5250000,46.647455
2024-08-05,46.080576,5250000,46.295293
2024-08-02,46.61686,5250000,46.529094
2024-08-01,48.023602,5250000,48.164038
2024-07-31,49.371558,5250000,49.213572
2024-07-30,48.302299,5450000,48.317417
2024-07-29,48.174365,5450000,48.124041
2024-07-26,48.772315,5450000,48.678577
2024-07-25,48.014031,5450000,48.205317
2024-07-24,48.959933,5950000,49.434474
2024-07-23,50.264186,5950000,50.284562
2024-07-22,50.631162,5950000,50.380186
2024-07-19,49.442803,5950000,49.585899
2024-07-18,50.129976,5850000,50.196545
2024-07-17,50.39384,5700000,50.601936
2024-07-16,52.267103,5700000,52.008303
2024-07-15,52.016159,5700000,52.430816
2024-07-12,52.670637,5700000,52.860059
2024-07-11,51.928277,5700000,52.172022
2024-07-10,52.27071,5700000,51.981219
2024-07-09,51.330157,5700000,51.360904
2024-07-08,51.568812,5700000,51.699717
2024-07-05,51.861193,5700000,51.709403
2024-07-03,51.47273,5700000,51.459354
2024-07-02,50.821525,5700000,50.593464
2024-07-01,50.528368,5700000,50.323344
2024-06-28,50.086834,5700000,50.318932
2024-06-27,50.371567,5700000,50.389079
2024-06-26,50.244284,5700000,50.136284
2024-06-25,50.71832,5700000,50.548993
2024-06-24,50.548668,5700000,50.723601
2024-06-21,50.618854,5900000,50.525956
2024-06-20,51.179868,5900000,51.393569
2024-06-18,51.222076,5850000,51.122917
2024-06-17,50.962418,5850000,50.654823
2024-06-14,50.350756,5550000,50.141777
2024-06-13,51.067007,5550000,51.081647
2024-06-12,51.836608,5550000,52.151259
2024-06-11,51.050588,5500000,50.812135
2024-06-10,52.067883,5500000,51.793273
2024-06-07,51.901315,5350000,52.112268
2024-06-06,52.677034,5350000,52.480007
2024-06-05,52.435912,5350000,52.120999
2024-06-04,50.85385,5350000,50.791524
2024-06-03,51.440136,5350000,51.13423
2024-05-31,51.254079,5350000,50.884474
2024-05-30,51.127008,5350000,51.081573
2024-05-29,50.829607,5350000,50.947151
2024-05-28,51.924641,5250000,51.804555
2024-05-24,51.682041,5250000,51.671074
2024-05-23,51.081227,5450000,51.485825
2024-05-22,51.196468,5450000,51.361112
2024-05-21,51.519935,5450000,51.548026
2024-05-20,51.777721,5450000,51.872383
2024-05-17,51.711103,5450000,51.716011
2024-05-16,51.523479,5450000,51.721974
2024-05-15,51.806163,5700000,51.484401
2024-05-14,51.097293,5700000,51.02993
2024-05-13,50.729808,5700000,50.842286
2024-05-10,50.659024,5700000,50.59807
2024-05-09,50.417914,5700000,50.3672
2024-05-08,49.929854,5700000,49.904207
2024-05-07,49.7701,5700000,50.006317
2024-05-06,49.60753,5700000,49.562236
2024-05-03,49.194032,5700000,49.170663
2024-05-02,48.426997,5700000,48.148361
2024-05-01,47.701048,5700000,48.216779
2024-04-30,47.782472,5700000,48.24738
2024-04-29,48.730044,5700000,48.717792
2024-04-26,48.424287,5700000,48.291989
2024-04-25,48.004876,5700000,47.713983
2024-04-24,48.317264,5850000,48.196463
2024-04-23,48.27074,5850000,48.150814
2024-04-22,47.472701,5850000,47.263422
2024-04-19,46.794874,5850000,47.105894
2024-04-18,47.210309,5850000,47.454363
2024-04-17,47.527407,5850000,47.422671
2024-04-16,48.182131,5850000,48.150082
2024-04-15,48.223352,5850000,48.500018
2024-04-12,48.302734,5850000,48.393548
2024-04-11,49.482435,5650000,49.034013
2024-04-10,49.37086,5650000,49.501439
2024-04-09,49.842063,5650000,49.638854
2024-04-08,49.956713,5650000,50.074029
2024-04-05,49.709801,5650000,49.632205
2024-04-04,49.292941,5650000,50.034398
2024-04-03,49.823583,5650000,49.759131
2024-04-02,49.186392,5650000,49.084693
2024-04-01,49.466278,5250000,49.165959
2024-03-31,49.463276,5250000,--
2024-03-29,49.463276,5250000,--
2024-03-28,49.463276,5250000,49.438728
2024-03-27,49.664511,5050000,49.484025
2024-03-26,49.263527,5050000,49.397397
2024-03-25,49.092505,5050000,49.225056
2024-03-22,48.995503,5000000,49.070182
2024-03-21,49.221302,4700000,49.416754
2024-03-20,48.995502,4700000,48.342216
2024-03-19,48.398164,4700000,48.226703
2024-03-18,48.038972,4700000,48.216458
2024-03-15,47.984396,4700000,48.041107
2024-03-14,48.461575,4700000,48.463003
2024-03-13,48.971285,4500000,48.876435
2024-03-12,49.12303,4500000,48.878108
2024-03-11,48.414763,4500000,48.441289
2024-03-08,48.855687,4500000,49.220419
2024-03-07,49.878332,4500000,49.67461
2024-03-06,48.681141,4500000,48.631127
2024-03-05,47.831395,4500000,48.047042
2024-03-04,48.47384,4500000,48.448646
2024-03-01,48.361673,4500000,48.052884
2024-02-29,47.68347,4500000,47.560191
2024-02-28,47.461005,4500000,47.513686
2024-02-27,47.677567,4350000,47.88585
2024-02-26,47.679822,4350000,47.657936
2024-02-23,47.484773,4350000,47.532314
2024-02-22,47.915163,4350000,47.741105
2024-02-21,46.896619,4350000,46.7319
2024-02-20,46.886622,4350000,46.91519
2024-02-16,47.369513,4350000,47.552564
2024-02-15,47.235039,4350000,47.092269
2024-02-14,46.570704,4350000,46.387548
2024-02-13,46.109413,4350000,46.272879
2024-02-12,47.21001,4350000,47.410864
2024-02-09,47.32924,4350000,47.186607
2024-02-08,46.755206,4350000,46.594598
2024-02-07,46.178311,4350000,46.01146
2024-02-06,46.024623,4350000,45.898162
2024-02-05,45.735725,4350000,45.510314
2024-02-02,45.775946,4350000,45.689394
2024-02-01,46.049068,4350000,45.663303
2024-01-31,45.535201,4350000,45.798219
2024-01-30,45.927233,4300000,45.862014
2024-01-29,46.134475,4300000,45.742598
2024-01-26,45.930895,4750000,45.968366
2024-01-25,45.889213,4750000,45.955839
2024-01-24,45.580847,4750000,45.686589
2024-01-23,44.198087,4750000,43.953978
2024-01-22,43.962984,4750000,44.049778
2024-01-19,43.745666,4750000,43.475294
2024-01-18,43.535228,4750000,43.263061
2024-01-17,42.845179,4750000,42.633253
2024-01-16,42.943988,4750000,43.040058
2024-01-12,43.553293,4750000,43.589277
2024-01-11,43.507211,4750000,43.231947
2024-01-10,43.322416,4750000,43.230041
2024-01-09,43.195731,4750000,43.129498
2024-01-08,43.488454,4750000,43.431074
2024-01-05,42.918612,4750000,43.129304
2024-01-04,42.931387,4750000,43.134509
2024-01-03,42.943814,5000000,42.901606
2024-01-02,43.586595,5000000,43.714763
2023-12-29,44.566491,5000000,44.495307
2023-12-28,44.639794,5000000,44.817176
2023-12-27,44.85067,5000000,44.799613
2023-12-26,44.427502,5000000,44.273737
2023-12-22,44.191948,5000000,44.21892
2023-12-21,44.648184,5000000,44.482718
2023-12-20,43.945633,5150000,44.47586
2023-12-19,44.892788,5150000,44.894231
2023-12-18,44.463612,5150000,44.395879
2023-12-15,44.687714,5150000,44.879798
2023-12-14,44.960412,5150000,44.92015
2023-12-13,44.111608,5150000,43.49453
2023-12-12,43.456848,5150000,43.302833
2023-12-11,43.216263,5150000,43.107709
2023-12-08,42.869899,5150000,42.875395
2023-12-07,42.684915,5150000,42.588183
2023-12-06,42.24179,5150000,42.516206
2023-12-05,42.224071,5150000,42.272595
2023-12-04,42.27978,5150000,42.072756
2023-12-01,42.46678,5150000,42.238931
2023-11-30,42.17294,5150000,42.161766
2023-11-29,42.272921,5150000,42.270379
2023-11-28,42.019867,5150000,42.086907
2023-11-27,42.264295,5150000,42.152686
2023-11-24,42.326554,5150000,42.312114
2023-11-22,41.842828,5150000,41.799123
2023-11-21,41.7365,5150000,41.814637
2023-11-20,42.194476,5150000,42.077334
2023-11-17,42.019748,5150000,41.876129
2023-11-16,41.56641,5150000,41.60163
2023-11-15,41.743782,5150000,41.893488
2023-11-14,41.530641,5150000,41.391762
2023-11-13,40.205865,5150000,40.168229
2023-11-10,39.987898,5150000,39.684919
2023-11-09,39.584762,5150000,39.995484
2023-11-08,39.30534,5150000,39.215185
2023-11-07,39.115015,5150000,39.144185
2023-11-06,39.165302,5150000,39.227618
2023-11-03,39.440588,5150000,39.456533
2023-11-02,38.61923,5150000,38.469625
2023-11-01,37.642948,5150000,37.406696
2023-10-31,37.400778,5150000,37.255498
2023-10-30,37.111695,5150000,37.015908
2023-10-27,36.694614,5150000,36.864192
2023-10-26,36.817396,5150000,36.864652
2023-10-25,36.615295,5350000,36.911211
2023-10-24,37.131737,5350000,37.073657
2023-10-23,36.845072,5350000,36.83781
2023-10-20,36.520588,5350000,36.523734
2023-10-19,36.990474,5350000,37.133196
2023-10-18,36.989883,5350000,37.091437
2023-10-17,37.939185,5350000,37.876366
2023-10-16,37.85214,5350000,37.764281
2023-10-13,37.556333,5550000,37.584482
2023-10-12,38.327607,5450000,38.525929
2023-10-11,38.645452,5550000,38.605378
2023-10-10,38.48293,5550000,38.561218
2023-10-09,37.741143,5550000,37.497151
2023-10-06,38.055368,5550000,37.772904
2023-10-05,37.530017,5550000,37.345443
2023-10-04,37.53943,5550000,37.344189
2023-10-03,36.936626,5550000,36.974037
2023-10-02,37.462973,5550000,37.57641
2023-09-29,38.004446,5550000,38.181795
2023-09-28,37.670504,5550000,37.693654
2023-09-27,37.349844,5550000,37.386134
2023-09-26,37.675675,5550000,37.751206
2023-09-25,38.162737,5550000,38.066103
2023-09-22,38.3733,5550000,38.581095
2023-09-21,38.528325,5550000,38.680224
2023-09-20,38.955486,5550000,39.360624
2023-09-19,39.039976,6050000,38.962621
2023-09-18,39.0411,6050000,38.99185
2023-09-15,39.250665,6050000,39.346849
2023-09-14,39.668998,6050000,39.700846
2023-09-13,39.439915,6050000,39.498078
2023-09-12,39.568269,6050000,39.535082
2023-09-11,39.974802,6050000,39.866669
2023-09-08,39.70082,6050000,39.780853
2023-09-07,39.8457,6050000,39.85478
2023-09-06,40.687019,6050000,40.566595
2023-09-05,40.634913,6050000,40.65388
2023-09-01,41.076741,6050000,41.141857
2023-08-31,41.176222,6050000,41.290202
2023-08-30,41.676103,6050000,41.660986
2023-08-29,41.742614,6550000,41.453176
2023-08-28,41.110295,6550000,40.984515
2023-08-25,40.563351,6550000,40.280225
2023-08-24,40.374704,6550000,40.675139
2023-08-23,41.322389,6550000,41.286278
2023-08-22,41.022396,6550000,41.150748
2023-08-21,41.180937,6550000,40.932549
2023-08-18,41.004112,6550000,40.919758
2023-08-17,40.940348,6550000,41.084153
2023-08-16,41.863959,7100000,42.228427
2023-08-15,42.242978,7100000,42.468927
2023-08-14,42.839753,7100000,42.722643
2023-08-11,42.85976,7100000,42.942413
2023-08-10,43.559055,7100000,43.89158
2023-08-09,43.198292,7100000,43.250008
2023-08-08,43.255993,6650000,43.062519
2023-08-07,43.887703,6650000,43.744142
2023-08-04,43.436668,6650000,43.765326
2023-08-03,43.285329,6650000,43.225749
2023-08-02,43.444436,6650000,43.414652
2023-08-01,44.404888,6650000,44.327823
2023-07-31,44.668396,6650000,44.815514
2023-07-28,45.024093,6650000,45.137507
2023-07-27,44.314318,6650000,44.692579
2023-07-26,44.020815,6650000,43.855433
2023-07-25,44.025415,6650000,44.082761
2023-07-24,43.822725,6650000,43.89608
2023-07-21,44.151516,6650000,44.184033
2023-07-20,43.956497,6650000,44.170172
2023-07-19,44.791272,6650000,44.892335
2023-07-18,45.218616,6650000,45.093518
2023-07-17,45.122427,6650000,44.975733
2023-07-14,45.229152,6650000,45.492609
2023-07-13,45.208914,6650000,44.946805
2023-07-12,44.098041,6650000,44.137519
2023-07-11,42.970867,6650000,42.770998
2023-07-10,42.817384,6650000,42.713273
2023-07-07,42.389815,6650000,42.420664
2023-07-06,42.172343,6650000,41.943896
