date,nav_value,shares,Non-FV NAV
2024-08-30,23.334494,2750000,23.364184
2024-08-29,23.253262,2750000,23.224911
2024-08-28,23.238168,2750000,23.296755
2024-08-27,23.404759,2750000,23.352775
2024-08-26,23.326972,2750000,23.36412
2024-08-23,23.339544,2750000,23.309556
2024-08-22,22.923342,2750000,22.967962
2024-08-21,23.135483,2750000,23.061766
2024-08-20,22.908714,2750000,22.89171
2024-08-19,22.989167,2750000,22.961823
2024-08-16,22.688201,2750000,22.594028
2024-08-15,22.565265,2750000,22.580686
2024-08-14,22.454142,2750000,22.479562
2024-08-13,22.279617,2750000,22.161359
2024-08-12,22.117639,2750000,22.118226
2024-08-09,22.078943,2750000,22.042412
2024-08-08,21.961769,2750000,21.911858
2024-08-07,21.887853,2750000,21.994727
2024-08-06,21.563389,2750000,21.508176
2024-08-05,21.393521,2750000,21.412606
2024-08-02,21.856277,2750000,21.822609
2024-08-01,22.196517,2750000,22.218316
2024-07-31,22.639638,2750000,22.631408
2024-07-30,22.630188,2750000,22.604865
2024-07-29,22.44877,2750000,22.422667
2024-07-26,22.577627,2750000,22.547102
2024-07-25,22.483136,2750000,22.513983
2024-07-24,22.504092,2750000,22.582037
2024-07-23,22.609045,2750000,22.602941
2024-07-22,22.715627,2750000,22.689941
2024-07-19,22.601587,2750000,22.615728
2024-07-18,22.65605,2750000,22.736836
2024-07-17,22.774753,2750000,22.773315
2024-07-16,22.817397,2750000,22.724658
2024-07-15,22.731861,2750000,22.796557
2024-07-12,22.873119,2750000,22.90088
2024-07-11,22.666322,2750000,22.707879
2024-07-10,22.494532,2750000,22.467611
2024-07-09,22.348366,2750000,22.336683
2024-07-08,22.684546,2750000,22.724717
2024-07-05,22.770589,2750000,22.714305
2024-07-03,22.518261,2750000,22.528223
2024-07-02,22.309172,2750000,22.278055
2024-07-01,22.232948,2750000,22.202057
2024-06-28,21.899334,2750000,21.925571
2024-06-27,21.860356,2750000,21.867237
2024-06-26,21.770314,2750000,21.766098
2024-06-25,21.925882,2750000,21.882755
2024-06-24,21.970366,2750000,21.976098
2024-06-21,21.712308,2750000,21.68451
2024-06-20,21.974036,2750000,22.011358
2024-06-18,21.809013,2750000,21.794225
2024-06-17,21.630747,2750000,21.559717
2024-06-14,21.382858,2750000,21.336382
2024-06-13,21.861124,2750000,21.898622
2024-06-12,22.281794,2750000,22.408002
2024-06-11,21.930341,2750000,21.87632
2024-06-10,23.195541,2750000,23.112163
2024-06-07,23.278506,2750000,23.320356
2024-06-06,23.59397,2750000,23.56445
2024-06-05,23.443885,2750000,23.397178
2024-06-04,23.276327,2750000,23.253502
2024-06-03,23.6194,2750000,23.55818
2024-05-31,23.507011,2750000,23.443988
2024-05-30,23.168492,2750000,23.190702
2024-05-29,23.104688,2750000,23.131276
2024-05-28,23.572737,2750000,23.612917
2024-05-24,23.521465,2750000,23.513061
2024-05-23,23.52822,2750000,23.616793
2024-05-22,23.584121,2750000,23.629812
2024-05-21,23.769774,2750000,23.775578
2024-05-20,23.684488,2750000,23.728187
2024-05-17,23.70324,2750000,23.696054
2024-05-16,23.414656,2750000,23.444313
2024-05-15,23.484432,2750000,23.409334
2024-05-14,23.417412,2750000,23.401602
2024-05-13,23.094887,2750000,23.127153
2024-05-10,23.012634,2750000,22.994615
2024-05-09,22.988643,2750000,22.953523
2024-05-08,22.646069,2750000,22.640952
2024-05-07,22.667038,2750000,22.725591
2024-05-06,22.432125,2750000,22.44318
2024-05-03,22.320496,2700000,22.303106
2024-05-02,22.261616,2700000,22.146006
2024-05-01,21.874053,2700000,21.960474
2024-04-30,21.875687,2700000,21.980033
2024-04-29,22.056482,2700000,22.034602
2024-04-26,21.942867,2700000,21.876553
2024-04-25,22.092877,2700000,22.023162
2024-04-24,22.072623,2700000,22.025807
2024-04-23,22.100632,2700000,22.080612
2024-04-22,21.837003,2700000,21.776891
2024-04-19,21.627318,2700000,21.675275
2024-04-18,21.571406,2700000,21.648147
2024-04-17,21.510746,2700000,21.441712
2024-04-16,21.339856,2700000,21.356159
2024-04-15,21.524782,2700000,21.597635
2024-04-12,21.663625,2700000,21.703872
2024-04-11,21.908707,2700000,21.79374
2024-04-10,21.988484,2700000,22.00616
2024-04-09,22.240935,2700000,22.202811
2024-04-08,22.170157,2700000,22.181248
2024-04-05,21.992797,2700000,21.943476
2024-04-04,21.876984,2700000,22.075482
2024-04-03,21.890308,2700000,21.876778
2024-04-02,21.726296,2700000,21.69948
2024-04-01,21.58537,2700000,21.603603
2024-03-31,21.691828,2700000,--
2024-03-29,21.691828,2700000,--
2024-03-28,21.691828,2700000,21.714795
2024-03-27,21.78097,2700000,21.718855
2024-03-26,21.549301,2700000,21.580306
2024-03-25,21.535908,2700000,21.554147
2024-03-22,21.424789,2700000,21.445758
2024-03-21,21.401256,2700000,21.41679
2024-03-20,21.427929,2750000,21.228984
2024-03-19,21.209868,2750000,21.195669
2024-03-18,21.076904,2750000,21.11406
2024-03-15,21.036349,2750000,21.029973
2024-03-14,20.971872,2750000,20.976675
2024-03-13,21.137965,2750000,21.129786
2024-03-12,20.906217,2750000,20.872906
2024-03-11,20.84456,2750000,20.826467
2024-03-08,20.941609,2750000,21.014256
2024-03-07,21.014741,2750000,20.985068
2024-03-06,20.935438,2750000,20.966166
2024-03-05,20.748616,2750000,20.796565
2024-03-04,20.740707,2750000,20.756403
2024-03-01,20.790447,2750000,20.765261
2024-02-29,20.570821,2750000,20.570662
2024-02-28,20.859262,2750000,20.858626
2024-02-27,20.967533,2750000,20.965368
2024-02-26,20.853306,2750000,20.863639
