date,nav_value,shares,Non-FV NAV
2024-08-30,33.776897,31050000,33.817289
2024-08-29,33.685627,31050000,33.658473
2024-08-28,33.730274,31050000,33.800257
2024-08-27,33.931624,31050000,33.840326
2024-08-26,33.594345,31050000,33.658882
2024-08-23,33.688062,31050000,33.711702
2024-08-22,33.06487,30750000,33.143017
2024-08-21,33.184556,30750000,33.069993
2024-08-20,32.977704,30750000,32.964361
2024-08-19,33.018999,30750000,32.940837
2024-08-16,32.43105,30525000,32.270441
2024-08-15,32.102191,30525000,32.124551
2024-08-14,31.833609,30525000,31.879352
2024-08-13,31.838521,30525000,31.61791
2024-08-12,31.307479,30525000,31.314017
2024-08-09,31.302841,30525000,31.252014
2024-08-08,31.114992,30525000,31.027953
2024-08-07,30.932857,30525000,31.228299
2024-08-06,30.656865,30525000,30.548313
2024-08-05,30.756607,31725000,30.76687
2024-08-02,31.448632,31725000,31.407388
2024-08-01,31.543648,31725000,31.533117
2024-07-31,32.355148,31725000,32.324594
2024-07-30,32.759135,31725000,32.724115
2024-07-29,32.544345,31725000,32.480881
2024-07-26,32.802895,31725000,32.718966
2024-07-25,32.690457,31725000,32.683501
2024-07-24,32.704453,31725000,32.868694
2024-07-23,32.72608,31725000,32.742271
2024-07-22,32.74447,31725000,32.660004
2024-07-19,32.488774,31725000,32.48367
2024-07-18,32.636394,31725000,32.768229
2024-07-17,32.641102,31725000,32.66599
2024-07-16,32.54148,31725000,32.350254
2024-07-15,32.493026,31725000,32.622481
2024-07-12,32.876117,31725000,32.944205
2024-07-11,32.59825,31725000,32.674091
2024-07-10,32.336736,31725000,32.260075
2024-07-09,31.727665,31725000,31.703828
2024-07-08,32.044935,31725000,32.126156
2024-07-05,32.169667,31725000,32.084654
2024-07-03,31.888417,31725000,31.907914
2024-07-02,31.364575,31725000,31.29524
2024-07-01,31.683853,31725000,31.61976
2024-06-28,31.178853,31725000,31.150706
2024-06-27,31.171108,31725000,31.164349
2024-06-26,31.351417,31725000,31.330274
2024-06-25,31.718416,31725000,31.641559
2024-06-24,31.829519,31725000,31.844034
2024-06-21,31.343845,31725000,31.261316
2024-06-20,31.6778,31725000,31.696869
2024-06-18,31.543215,31725000,31.515529
2024-06-17,31.241456,31725000,31.09334
2024-06-14,31.215559,31725000,31.151192
2024-06-13,31.553547,31725000,31.583578
2024-06-12,32.177662,31725000,32.357937
2024-06-11,31.969083,31275000,31.882914
2024-06-10,33.108435,31275000,32.965268
2024-06-07,33.311799,31275000,33.383596
2024-06-06,33.691659,31275000,33.663571
2024-06-05,33.481561,31275000,33.370773
2024-06-04,33.378499,31275000,33.325591
2024-06-03,33.751969,31275000,33.668314
2024-05-31,33.578067,31275000,33.439996
2024-05-30,33.379477,31275000,33.35917
2024-05-29,32.704012,31200000,32.72014
2024-05-28,33.309094,31200000,33.351926
2024-05-24,33.092926,31200000,33.078766
2024-05-23,33.041893,31200000,33.238338
2024-05-22,33.304517,31200000,33.390634
2024-05-21,33.58716,31200000,33.561155
2024-05-20,33.478382,31200000,33.583128
2024-05-17,33.611612,31200000,33.591841
2024-05-16,33.387104,31200000,33.482328
2024-05-15,33.718967,31200000,33.60296
2024-05-14,33.119976,31200000,33.100587
2024-05-13,32.710198,31200000,32.775877
2024-05-10,32.58187,31200000,32.567608
2024-05-09,32.450616,31200000,32.425419
2024-05-08,32.64815,31200000,32.638203
2024-05-07,32.417224,31200000,32.506562
2024-05-06,32.01349,31200000,31.948221
2024-05-03,31.722726,31200000,31.699742
2024-05-02,31.652648,31200000,31.468784
2024-05-01,31.286959,31200000,31.442108
2024-04-30,31.320517,31200000,31.468498
2024-04-29,32.359159,31200000,32.323215
2024-04-26,32.252245,31725000,32.193519
2024-04-25,31.87933,31725000,31.760388
2024-04-24,31.980804,32025000,31.888363
2024-04-23,32.079401,32025000,32.039172
2024-04-22,31.476361,32025000,31.389544
2024-04-19,30.961127,33000000,31.036236
2024-04-18,31.004644,33000000,31.115484
2024-04-17,30.854135,33000000,30.725873
2024-04-16,30.385422,33000000,30.372435
2024-04-15,30.637053,33000000,30.764336
2024-04-12,30.767725,33000000,30.82714
2024-04-11,31.059944,33000000,30.877702
2024-04-10,31.366839,33000000,31.390963
2024-04-09,31.91122,33000000,31.859064
2024-04-08,32.04569,33000000,32.058516
