date,nav_value,shares,Non-FV NAV
2024-08-30,39.876413,16800000,39.894557
2024-08-29,39.955803,16800000,39.944569
2024-08-28,39.728345,16800000,39.839146
2024-08-27,39.998569,16800000,39.899878
2024-08-26,40.002418,16800000,40.06885
2024-08-23,40.072709,16800000,40.007988
2024-08-22,39.419167,16800000,39.5107
2024-08-21,39.681765,16800000,39.528573
2024-08-20,39.33242,16800000,39.27983
2024-08-19,39.248157,16800000,39.197453
2024-08-16,38.87496,16800000,38.671758
2024-08-15,38.466209,16800000,38.507504
2024-08-14,38.194975,16800000,38.236195
2024-08-13,37.984324,16800000,37.671508
2024-08-12,37.425396,16800000,37.444397
2024-08-09,37.558091,16800000,37.517681
2024-08-08,37.411074,16800000,37.326774
2024-08-07,37.157518,16800000,37.519205
2024-08-06,36.916907,16800000,36.829088
2024-08-05,37.01414,16800000,37.071296
2024-08-02,37.585765,16800000,37.402198
2024-08-01,37.579274,16800000,37.548634
2024-07-31,38.400616,16800000,38.449843
2024-07-30,38.176617,16800000,38.095359
2024-07-29,38.095573,16800000,37.975542
2024-07-26,38.538025,16800000,38.459712
2024-07-25,37.945504,16800000,37.932042
2024-07-24,38.06181,16800000,38.296925
2024-07-23,38.587415,16800000,38.700175
2024-07-22,39.063935,16800000,38.92686
2024-07-19,38.520858,16800000,38.499058
2024-07-18,38.651998,16800000,38.86287
2024-07-17,38.81388,16800000,38.85798
2024-07-16,38.91467,16800000,38.71538
2024-07-15,38.969976,16800000,39.100806
2024-07-12,39.464659,16800000,39.557372
2024-07-11,38.861353,16800000,38.949497
2024-07-10,38.533655,16800000,38.450804
2024-07-09,38.169178,16800000,38.107827
2024-07-08,38.674208,16800000,38.787003
2024-07-05,39.171098,16800000,39.000706
2024-07-03,38.691299,16800000,38.690871
2024-07-02,38.084587,16800000,37.993746
2024-07-01,38.100134,16800000,38.03774
2024-06-28,37.595417,16400000,37.578421
2024-06-27,37.833049,16400000,37.831732
2024-06-26,38.130641,16400000,38.095039
2024-06-25,38.635839,16200000,38.443738
2024-06-24,38.662901,16200000,38.777194
2024-06-21,38.256685,16000000,38.22288
2024-06-20,38.508211,16000000,38.593876
2024-06-18,38.438554,15800000,38.406264
2024-06-17,38.239643,15800000,38.03381
2024-06-14,37.677741,15800000,37.609579
2024-06-13,38.920188,15800000,38.937887
2024-06-12,39.754547,15800000,39.997029
2024-06-11,39.28283,15600000,39.158058
2024-06-10,40.905643,15600000,40.655004
2024-06-07,41.384512,15600000,41.506272
2024-06-06,42.020549,15600000,41.974138
2024-06-05,41.900194,15600000,41.757424
2024-06-04,41.554828,15600000,41.438288
2024-06-03,41.76313,15600000,41.672788
2024-05-31,41.816498,15600000,41.570062
2024-05-30,41.385547,15600000,41.420212
2024-05-29,41.02519,15600000,41.076308
2024-05-28,41.812585,15600000,41.903545
2024-05-24,41.897708,15600000,41.900923
2024-05-23,41.605688,15600000,41.868692
2024-05-22,41.820935,15600000,41.856133
2024-05-21,42.185669,15600000,42.179219
2024-05-20,42.242882,15600000,42.349449
2024-05-17,42.25956,15600000,42.209398
2024-05-16,42.188498,15600000,42.290302
2024-05-15,42.608642,15600000,42.475467
2024-05-14,42.327203,15600000,42.263269
2024-05-13,42.035158,15600000,42.092859
2024-05-10,41.996018,15600000,41.93874
2024-05-09,41.936178,15600000,41.830679
2024-05-08,41.475262,15600000,41.470413
2024-05-07,41.16498,15600000,41.259522
2024-05-06,40.883612,15600000,40.854544
2024-05-03,40.633052,15600000,40.585171
2024-05-02,40.273975,15600000,40.033272
2024-05-01,39.930057,15600000,40.209099
2024-04-30,39.982989,15600000,40.244156
2024-04-29,40.553555,15600000,40.519668
2024-04-26,40.659436,15600000,40.513268
2024-04-25,40.426137,16000000,40.227045
2024-04-24,40.620133,16000000,40.515396
2024-04-23,40.60885,16000000,40.631224
2024-04-22,40.192299,16000000,40.024682
2024-04-19,39.861736,16000000,39.964278
2024-04-18,39.709486,16400000,39.910371
2024-04-17,39.702951,16400000,39.65941
2024-04-16,39.459154,16400000,39.391855
2024-04-15,39.653593,16400000,39.890532
2024-04-12,39.641626,16400000,39.753975
2024-04-11,40.369106,16400000,40.082061
2024-04-10,40.351947,16400000,40.37851
2024-04-09,40.922753,16400000,40.819136
2024-04-08,41.13043,16400000,41.14509
2024-04-05,40.855964,16400000,40.733482
2024-04-04,40.849653,16400000,41.39106
2024-04-03,41.231836,16400000,41.228741
2024-04-02,40.938141,16400000,40.884111
2024-04-01,41.140106,16400000,41.174859
2024-03-31,41.353933,16400000,--
2024-03-29,41.353933,16400000,--
2024-03-28,41.353933,16400000,41.390005
2024-03-27,41.584651,16400000,41.443658
2024-03-26,41.280349,16400000,41.365906
2024-03-25,41.201682,16400000,41.206414
2024-03-22,41.103668,16400000,41.133791
2024-03-21,41.386679,16400000,41.447382
2024-03-20,41.799005,16400000,41.311581
2024-03-19,41.318353,16400000,41.478046
2024-03-18,41.246267,16400000,41.352739
2024-03-15,41.480883,16400000,41.456485
2024-03-14,41.494008,16400000,41.500954
2024-03-13,41.59761,16400000,41.59506
2024-03-12,41.304418,16400000,41.234306
2024-03-11,41.00195,16400000,40.945309
2024-03-08,40.935859,16400000,41.119641
2024-03-07,41.006011,16400000,40.930137
2024-03-06,40.477343,16400000,40.525488
2024-03-05,40.199608,16400000,40.304122
2024-03-04,40.388087,16400000,40.405124
2024-03-01,40.264772,16400000,40.21746
2024-02-29,40.159503,16400000,40.147149
2024-02-28,40.311879,16400000,40.321607
2024-02-27,40.380073,16400000,40.371889
2024-02-26,40.26029,16400000,40.284225
2024-02-23,40.375645,17000000,40.362224
2024-02-22,40.15506,17000000,40.059523
2024-02-21,39.704602,17000000,39.54231
2024-02-20,39.444337,17000000,39.530444
2024-02-16,39.105168,17000000,39.186899
2024-02-15,39.180725,17000000,39.013214
2024-02-14,38.681751,17000000,38.584128
2024-02-13,38.207788,17000000,38.324246
2024-02-12,38.838703,17000000,38.84766
2024-02-09,38.793462,17000000,38.710025
2024-02-08,38.818338,17000000,38.736133
2024-02-07,38.590852,17000000,38.467676
2024-02-06,38.664038,17000000,38.567816
2024-02-05,38.429639,17000000,38.276473
2024-02-02,38.560507,17000000,38.548856
2024-02-01,38.953126,17000000,38.646587
2024-01-31,38.759989,17000000,39.126273
2024-01-30,39.189428,17000000,39.136384
2024-01-29,39.126737,17000000,38.867117
2024-01-26,39.049781,17000000,39.072828
2024-01-25,38.324622,17000000,38.047812
2024-01-24,38.068093,17000000,38.237441
2024-01-23,37.76635,17000000,37.638378
2024-01-22,37.918024,17000000,37.945367
2024-01-19,37.897428,17000000,37.705099
2024-01-18,37.916845,17000000,37.734701
2024-01-17,37.417492,17000000,37.315122
2024-01-16,37.743299,17200000,37.8225
2024-01-12,38.426539,17200000,38.442358
2024-01-11,38.247967,17200000,37.973145
2024-01-10,38.299417,17200000,38.24235
2024-01-09,38.118237,17200000,38.093217
2024-01-08,38.503065,17200000,38.39994
2024-01-05,38.091117,17200000,38.268812
2024-01-04,38.237928,17200000,38.367636
2024-01-03,38.071036,17200000,37.987723
2024-01-02,38.692129,17200000,38.713022
2023-12-29,39.179866,17200000,39.111813
2023-12-28,39.128699,17200000,39.281707
2023-12-27,39.510665,17200000,39.461971
2023-12-26,39.245199,17200000,39.163579
2023-12-22,39.075956,17200000,39.11541
2023-12-21,39.177878,17200000,39.049656
2023-12-20,38.580123,17200000,39.061971
2023-12-19,39.30642,17200000,39.300189
2023-12-18,39.004494,17200000,38.980357
2023-12-15,38.95391,17200000,39.1296
2023-12-14,39.331852,17200000,39.334458
2023-12-13,38.922843,17200000,38.346235
2023-12-12,38.44782,17200000,38.350605
2023-12-11,38.360408,17800000,38.26227
2023-12-08,38.266018,21000000,38.220961
2023-12-07,37.861669,21000000,37.778486
2023-12-06,37.631106,22400000,37.843559
2023-12-05,37.60268,22400000,37.667941
2023-12-04,37.567904,22400000,37.424991
2023-12-01,37.719216,23400000,37.528868
2023-11-30,37.599338,23400000,37.613678
2023-11-29,37.620952,23400000,37.626643
2023-11-28,37.544116,23400000,37.587533
2023-11-27,37.592133,23400000,37.512666
2023-11-24,37.688078,23400000,37.679851
2023-11-22,37.39446,23400000,37.266276
2023-11-21,37.281467,23400000,37.317916
2023-11-20,37.452639,23400000,37.422486
2023-11-17,37.329021,23400000,37.203368
2023-11-16,36.796721,24200000,36.820386
2023-11-15,36.834925,24200000,36.976004
2023-11-14,36.902107,24200000,36.76406
2023-11-13,35.752259,24200000,35.723556
2023-11-10,35.697076,24200000,35.465616
2023-11-09,35.618988,24200000,35.98198
2023-11-08,35.52856,24200000,35.538001
2023-11-07,35.241366,24200000,35.228469
2023-11-06,35.430054,24200000,35.553592
2023-11-03,35.632248,24200000,35.69203
2023-11-02,35.477847,24200000,35.364246
2023-11-01,34.687041,24200000,34.454284
2023-10-31,34.442707,24200000,34.334245
2023-10-30,34.275321,24200000,34.201919
2023-10-27,33.71148,24200000,33.901388
2023-10-26,34.192628,24200000,34.235937
2023-10-25,34.304168,24200000,34.505051
2023-10-24,34.466487,24200000,34.469482
2023-10-23,34.290329,24200000,34.322629
2023-10-20,33.990633,24200000,34.039359
2023-10-19,34.405667,24200000,34.482937
2023-10-18,34.453535,24200000,34.577742
2023-10-17,35.014043,24200000,35.028658
2023-10-16,34.938195,24200000,34.910831
2023-10-13,34.673079,24200000,34.654987
2023-10-12,35.207601,24200000,35.373962
2023-10-11,35.705307,24200000,35.743779
2023-10-10,35.645482,24200000,35.85507
2023-10-09,35.194714,24200000,34.974356
2023-10-06,35.435486,24200000,35.166203
2023-10-05,34.974473,24200000,34.835109
2023-10-04,34.836881,24200000,34.693231
2023-10-03,34.659219,24200000,34.636247
2023-10-02,34.965343,24200000,35.07248
2023-09-29,35.555784,24200000,35.722132
2023-09-28,35.506175,24200000,35.518285
2023-09-27,35.14287,24200000,35.142665
2023-09-26,35.306332,24200000,35.405616
2023-09-25,35.757009,24200000,35.639955
2023-09-22,36.047974,24200000,36.237911
