date,nav_value,shares,Non-FV NAV
2024-08-30,20.669105,24800000,20.682995
2024-08-29,20.395649,25200000,20.420668
2024-08-28,20.36855,25200000,20.426915
2024-08-27,20.501499,25200000,20.476425
2024-08-26,20.430959,25200000,20.479558
2024-08-23,20.560842,25200000,20.461514
2024-08-22,20.170761,25200000,20.26621
2024-08-21,20.379186,25200000,20.310749
2024-08-20,20.318507,25200000,20.328945
2024-08-19,20.297232,24600000,20.203884
2024-08-16,20.066093,24600000,19.999671
2024-08-15,19.767309,24600000,19.741607
2024-08-14,19.562525,24600000,19.575375
2024-08-13,19.461374,24600000,19.256767
2024-08-12,19.051284,24600000,19.00553
2024-08-09,19.133697,24600000,19.005783
2024-08-08,19.024607,25050000,18.938373
2024-08-07,18.763235,25500000,18.834668
2024-08-06,18.549145,25500000,18.516419
2024-08-05,18.777646,25500000,18.839818
2024-08-02,19.527652,26000000,19.559702
2024-08-01,19.529451,26000000,19.612651
2024-07-31,19.837264,26000000,19.793835
2024-07-30,19.606852,26000000,19.5902
2024-07-29,19.592203,26000000,19.5848
2024-07-26,19.562402,26000000,19.542616
2024-07-25,19.536557,26000000,19.576482
2024-07-24,19.679201,26000000,19.762686
2024-07-23,19.743523,26000000,19.742468
2024-07-22,19.642536,26000000,19.648231
2024-07-19,19.693227,26000000,19.722544
2024-07-18,19.794832,26000000,19.89734
2024-07-17,19.981949,26000000,20.033324
2024-07-16,20.024109,26000000,19.98067
2024-07-15,20.078786,26000000,20.159281
2024-07-12,20.211501,26000000,20.218804
2024-07-11,20.11152,26000000,20.100252
2024-07-10,20.028272,25500000,19.980842
2024-07-09,19.741784,25500000,19.744189
2024-07-08,19.601751,25500000,19.627939
2024-07-05,19.685298,25500000,19.650333
2024-07-03,19.690024,25200000,19.645654
2024-07-02,19.359036,25200000,19.280379
2024-07-01,19.071171,25200000,19.117954
2024-06-28,19.118731,25200000,19.169077
2024-06-27,19.248974,25200000,19.263276
2024-06-26,19.097647,25200000,19.135364
2024-06-25,19.124691,25200000,19.144987
2024-06-24,19.126663,24750000,19.114861
2024-06-21,19.007906,24750000,19.016252
2024-06-20,18.977233,24750000,19.004024
2024-06-18,19.12034,24400000,19.050933
2024-06-17,19.056049,24400000,18.984195
2024-06-14,18.990392,24050000,18.966961
2024-06-13,19.160324,23750000,19.187987
2024-06-12,19.158241,22450000,19.156114
2024-06-11,19.045774,22050000,19.013015
2024-06-10,19.472725,22050000,19.42323
2024-06-07,19.457161,22050000,19.52022
2024-06-06,19.620501,22050000,19.584603
2024-06-05,19.57149,22050000,19.535282
2024-06-04,19.623669,22050000,19.593389
2024-06-03,19.713934,22050000,19.675515
2024-05-31,19.624682,22050000,19.582245
2024-05-30,19.569196,22050000,19.557267
2024-05-29,19.495818,22050000,19.554938
2024-05-28,19.631113,22050000,19.674238
2024-05-24,19.623841,22300000,19.601295
2024-05-23,19.544914,22300000,19.624058
2024-05-22,19.550954,22300000,19.604724
2024-05-21,19.651872,22300000,19.644424
2024-05-20,19.629928,22300000,19.657984
2024-05-17,19.760896,22300000,19.712389
2024-05-16,19.590462,22300000,19.597023
2024-05-15,19.507603,22500000,19.428709
2024-05-14,19.512894,22500000,19.457779
2024-05-13,19.335587,22500000,19.344477
2024-05-10,19.234506,22500000,19.252661
2024-05-09,19.260236,22500000,19.175173
2024-05-08,19.11887,22500000,19.091572
2024-05-07,19.205125,22500000,19.22982
2024-05-06,19.271369,22500000,19.269309
2024-05-03,19.299246,22500000,19.237622
2024-05-02,19.224327,22500000,19.110494
2024-05-01,18.876225,22500000,18.957261
2024-04-30,18.866312,22500000,18.969915
2024-04-29,19.042777,22500000,19.004592
2024-04-26,18.904369,22500000,18.908825
2024-04-25,18.964486,22500000,18.955502
2024-04-24,18.893521,22500000,18.910373
2024-04-23,18.855896,22500000,18.795497
2024-04-22,18.513732,22500000,18.457881
2024-04-19,18.139139,22500000,18.147753
2024-04-18,18.169265,22500000,18.212108
2024-04-17,17.967896,22500000,17.97154
2024-04-16,17.924608,23100000,17.919482
2024-04-15,17.988144,23100000,18.072631
2024-04-12,18.19659,23100000,18.315923
2024-04-11,18.562695,23100000,18.505602
2024-04-10,18.501809,23100000,18.596395
2024-04-09,18.704162,23100000,18.678477
2024-04-08,18.546512,23100000,18.510715
2024-04-05,18.516019,23100000,18.460096
2024-04-04,18.388442,23100000,18.50226
2024-04-03,18.419283,23100000,18.380485
2024-04-02,18.469928,23100000,18.494767
2024-04-01,18.327183,23100000,18.375593
2024-03-31,18.334167,23100000,--
2024-03-29,18.334167,23100000,--
2024-03-28,18.334167,23100000,18.336267
2024-03-27,18.570344,23100000,18.537562
2024-03-26,18.467493,22800000,18.493477
2024-03-25,18.266554,22800000,18.261506
2024-03-22,18.291275,22800000,18.329556
2024-03-21,18.394516,22800000,18.446319
2024-03-20,18.308094,22450000,18.180106
2024-03-19,18.199491,22450000,18.173938
2024-03-18,18.258203,22450000,18.265373
2024-03-15,18.274777,22450000,18.304984
2024-03-14,18.407667,22450000,18.47518
2024-03-13,18.349545,22450000,18.347441
2024-03-12,18.208546,22450000,18.170742
2024-03-11,18.21997,22450000,18.203201
2024-03-08,18.170201,22450000,18.225967
2024-03-07,18.238694,22450000,18.154306
2024-03-06,18.143744,22450000,18.118917
2024-03-05,17.832523,22450000,17.843806
2024-03-04,17.864756,22450000,17.869782
2024-03-01,17.932502,22450000,17.861654
2024-02-29,17.812348,22450000,17.805148
2024-02-28,17.785455,22450000,17.765667
2024-02-27,17.940935,22450000,17.940127
2024-02-26,17.945081,22450000,17.947652
2024-02-23,18.081767,22450000,18.051427
2024-02-22,18.250035,22450000,18.250714
2024-02-21,18.259534,22450000,18.2411
2024-02-20,18.4525,22450000,18.465056
2024-02-16,18.294529,22450000,18.320375
2024-02-15,18.099267,22450000,18.061101
2024-02-14,17.791241,22450000,17.740945
2024-02-13,17.578862,22450000,17.688029
2024-02-12,17.808704,22450000,17.756298
2024-02-09,17.795004,22850000,17.758091
2024-02-08,17.732686,22850000,17.733429
2024-02-07,17.900548,22850000,17.869554
2024-02-06,17.676231,22850000,17.639642
2024-02-05,17.641291,22850000,17.635292
2024-02-02,17.966078,22850000,17.986177
2024-02-01,17.86255,22850000,17.768002
2024-01-31,17.685064,22850000,17.811633
2024-01-30,17.774033,22850000,17.75615
2024-01-29,17.820841,22850000,17.777259
2024-01-26,17.840382,22850000,17.825817
2024-01-25,17.784975,22850000,17.760715
2024-01-24,17.791317,22850000,17.833359
2024-01-23,17.697994,22850000,17.68393
2024-01-22,17.708865,26250000,17.709282
2024-01-19,17.776003,26250000,17.711194
2024-01-18,17.635886,26750000,17.588923
2024-01-17,17.572079,26750000,17.553637
2024-01-16,17.86856,26750000,17.881751
2024-01-12,18.070799,26750000,18.088172
2024-01-11,18.125452,26750000,18.142944
2024-01-10,18.117079,26750000,18.082218
2024-01-09,18.177785,26750000,18.183134
2024-01-08,18.284511,26750000,18.189002
2024-01-05,18.149504,26750000,18.163899
2024-01-04,18.050078,26750000,18.072711
2024-01-03,18.203889,26750000,18.2299
2024-01-02,18.365766,26750000,18.44476
2023-12-29,18.643596,26750000,18.665314
2023-12-28,18.463968,26350000,18.52571
2023-12-27,18.258628,26350000,18.232693
2023-12-26,18.035114,26350000,18.014441
2023-12-22,18.037662,26350000,18.003616
2023-12-21,17.853592,26350000,17.796834
2023-12-20,17.540385,26050000,17.670027
2023-12-19,18.34334,26050000,18.312353
2023-12-18,18.228351,26050000,18.219608
2023-12-15,18.187466,26050000,18.253943
2023-12-14,18.369875,26050000,18.374585
2023-12-13,18.28625,26050000,18.080477
2023-12-12,18.079953,26050000,18.052842
2023-12-11,17.984036,26050000,17.943281
2023-12-08,18.165134,26050000,18.184465
2023-12-07,17.988211,26050000,17.941794
2023-12-06,17.912713,26050000,17.972593
2023-12-05,17.916435,26050000,17.926942
2023-12-04,17.999043,26050000,18.013999
2023-12-01,18.125575,26050000,18.046153
2023-11-30,17.931996,26050000,17.957519
2023-11-29,18.016813,26050000,18.057605
2023-11-28,18.019727,26050000,17.983985
2023-11-27,17.991703,26050000,17.975178
2023-11-24,17.984449,26050000,17.978251
2023-11-22,18.096195,25700000,18.079225
2023-11-21,18.032298,25700000,18.05995
2023-11-20,18.213522,25700000,18.145311
2023-11-17,18.192098,25700000,18.171766
2023-11-16,18.119551,25700000,18.133566
2023-11-15,18.097405,25700000,18.144577
2023-11-14,18.010861,25700000,17.868366
2023-11-13,18.057351,25700000,17.959015
2023-11-10,18.002884,26350000,17.928967
2023-11-09,18.006687,25850000,18.109255
2023-11-08,18.05984,25850000,18.065273
2023-11-07,18.324955,25850000,18.302271
2023-11-06,18.382994,25850000,18.410814
2023-11-03,18.24196,25850000,18.157879
2023-11-02,17.690869,25850000,17.613204
2023-11-01,17.586813,25850000,17.498546
2023-10-31,17.502984,25850000,17.484133
2023-10-30,17.576626,25850000,17.550617
2023-10-27,17.352286,25850000,17.435627
2023-10-26,17.4663,26150000,17.49239
2023-10-25,17.550667,26150000,17.617698
2023-10-24,17.720816,26150000,17.709192
2023-10-23,17.529531,26150000,17.493901
2023-10-20,17.516303,26150000,17.58753
2023-10-19,17.695574,26150000,17.701704
2023-10-18,17.853847,26150000,17.931512
2023-10-17,18.239136,26150000,18.215429
2023-10-16,18.21132,26150000,18.154649
2023-10-13,18.195453,26150000,18.218989
2023-10-12,18.348818,26150000,18.43433
2023-10-11,18.353526,26150000,18.365047
2023-10-10,18.374522,26150000,18.335894
2023-10-09,18.108886,26150000,18.032359
2023-10-06,18.18716,26150000,18.101922
2023-10-05,18.017908,26150000,17.981942
2023-10-04,17.899784,26150000,17.842702
2023-10-03,18.028549,26750000,18.096393
2023-10-02,18.182048,26750000,18.214035
2023-09-29,18.339783,26750000,18.398262
2023-09-28,18.309358,26750000,18.262258
2023-09-27,18.101541,26750000,18.133627
2023-09-26,18.157272,26750000,18.217351
2023-09-25,18.277069,26750000,18.227671
2023-09-22,18.077077,26750000,18.127263
2023-09-21,18.040168,26750000,18.087393
2023-09-20,18.344178,26750000,18.440879
2023-09-19,18.392949,26550000,18.425421
2023-09-18,18.557964,26550000,18.557653
2023-09-15,18.633388,26300000,18.700833
2023-09-14,18.541394,26300000,18.519131
2023-09-13,18.348911,26300000,18.350614
2023-09-12,18.326056,26300000,18.314143
2023-09-11,18.377349,26300000,18.368767
2023-09-08,18.223885,26300000,18.228468
2023-09-07,18.332483,26300000,18.348722
2023-09-06,18.339998,26300000,18.352421
2023-09-05,18.419271,26300000,18.425208
2023-09-01,18.562522,26300000,18.582179
2023-08-31,18.559836,26300000,18.588131
2023-08-30,18.53577,26300000,18.506843
2023-08-29,18.589965,26300000,18.482301
2023-08-28,18.379054,26300000,18.342713
2023-08-25,18.250275,26300000,18.197257
2023-08-24,18.072214,26300000,18.193056
2023-08-23,18.25164,26300000,18.199725
2023-08-22,17.951891,26300000,17.991094
2023-08-21,18.036325,26300000,18.007925
2023-08-18,18.109349,26450000,18.116552
2023-08-17,18.178881,26450000,18.213362
2023-08-16,18.248069,26450000,18.319791
2023-08-15,18.35312,26450000,18.480276
2023-08-14,18.952492,26450000,18.934371
2023-08-11,19.153977,26450000,19.187654
2023-08-10,19.293207,26450000,19.342173
2023-08-09,19.248465,26450000,19.291533
2023-08-08,19.300836,26450000,19.287231
2023-08-07,19.408393,26450000,19.379182
2023-08-04,19.298147,26450000,19.341557
2023-08-03,19.397532,26450000,19.369751
2023-08-02,19.446866,26450000,19.474595
2023-08-01,19.918081,26450000,19.930627
2023-07-31,20.043054,26450000,20.050473
2023-07-28,19.953781,26950000,19.905371
2023-07-27,19.52951,26950000,19.641295
2023-07-26,19.591212,26950000,19.546806
2023-07-25,19.365282,26950000,19.363762
2023-07-24,19.223586,26950000,19.220891
2023-07-21,19.277084,26950000,19.282004
2023-07-20,19.290486,26950000,19.323609
2023-07-19,19.372463,26950000,19.340272
2023-07-18,19.313383,26950000,19.300308
2023-07-17,19.37477,26950000,19.345995
2023-07-14,19.318772,26950000,19.362716
2023-07-13,19.337458,26950000,19.294136
2023-07-12,18.83655,26950000,18.785412
2023-07-11,18.541804,26950000,18.48337
2023-07-10,18.349769,26950000,18.290232
2023-07-07,18.135948,26950000,18.123149
2023-07-06,18.08768,26950000,18.104937
2023-07-05,18.374931,26950000,18.37816
2023-07-03,18.509208,26950000,18.520107
2023-06-30,18.49674,25950000,18.441353
2023-06-29,18.421478,25950000,18.416383
2023-06-28,18.425359,25950000,18.409603
2023-06-27,18.481887,25950000,18.450642
2023-06-26,18.327562,25950000,18.327717
2023-06-23,18.409988,25950000,18.413167
2023-06-22,18.725289,25950000,18.732032
2023-06-21,18.825329,25950000,18.81108
2023-06-20,18.810997,25950000,18.805606
2023-06-16,19.132484,25950000,19.156684
2023-06-15,19.165508,25950000,19.081387
2023-06-14,18.858411,25950000,18.912142
2023-06-13,18.752011,25950000,18.761031
2023-06-12,18.72839,25950000,18.708056
2023-06-09,18.61847,25950000,18.617574
2023-06-08,18.668101,25950000,18.61468
2023-06-07,18.400536,25950000,18.424626
2023-06-06,19.195477,25950000,19.14816
2023-06-05,19.056743,25950000,19.063225
2023-06-02,19.025621,25950000,18.939348
2023-06-01,18.946415,25950000,18.885198
2023-05-31,18.796538,25950000,18.772474
2023-05-30,18.967183,25950000,18.979678
2023-05-26,19.17694,25950000,19.116719
2023-05-25,19.062135,25650000,19.076201
2023-05-24,19.169646,25650000,19.216708
2023-05-23,19.23422,25650000,19.295713
2023-05-22,19.292224,25650000,19.285785
2023-05-19,19.233024,25650000,19.222631
2023-05-18,19.101603,25650000,19.07891
2023-05-17,19.255664,25650000,19.19719
2023-05-16,19.387117,25650000,19.496808
2023-05-15,19.770724,25650000,19.726971
2023-05-12,19.614144,25650000,19.662549
2023-05-11,19.892454,25650000,19.921242
2023-05-10,20.066765,25650000,20.010062
2023-05-09,19.998609,25650000,20.000848
2023-05-08,20.104109,25650000,20.078475
2023-05-05,19.978497,25650000,19.91261
2023-05-04,19.835706,25650000,19.847879
2023-05-03,19.690264,25650000,19.723491
2023-05-02,19.74973,25650000,19.79058
2023-05-01,19.804935,25650000,19.74528
2023-04-28,19.82282,25650000,19.754359
2023-04-27,19.742656,26300000,19.652908
2023-04-26,19.674853,26100000,19.751397
2023-04-25,19.654713,26200000,19.715536
2023-04-24,20.02592,26200000,19.997161
2023-04-21,20.00876,26200000,19.984234
2023-04-20,19.97232,26200000,19.992162
2023-04-19,20.050031,26200000,20.029183
2023-04-18,19.976622,26200000,19.988615
2023-04-17,20.02753,26200000,20.012067
2023-04-14,19.969456,26200000,19.98966
2023-04-13,20.155092,26200000,20.09117
2023-04-12,19.892865,26200000,19.90615
2023-04-11,19.925967,26200000,19.937454
2023-04-10,19.93376,26200000,19.932268
2023-04-06,19.975695,26200000,19.972075
2023-04-05,20.124246,26200000,20.147904
2023-04-04,20.147519,26200000,20.179134
2023-04-03,20.002901,27050000,19.948719
2023-03-31,19.78069,27250000,19.750275
2023-03-30,19.741595,27250000,19.727083
2023-03-29,19.769101,27250000,19.743852
2023-03-28,19.65588,27250000,19.651718
