date,nav_value,shares,Non-FV NAV
2024-08-30,53.961383,97000000,53.883523
2024-08-29,54.127396,97000000,53.938873
2024-08-28,53.824426,97000000,54.128828
2024-08-27,54.153389,97000000,53.887032
2024-08-26,53.967024,97000000,54.229337
2024-08-23,53.983342,97000000,53.738291
2024-08-22,53.104099,96700000,53.714815
2024-08-21,53.972934,96700000,53.902913
2024-08-20,53.99274,96700000,54.295853
2024-08-19,54.577051,96700000,54.095765
2024-08-16,53.666584,96700000,53.559372
2024-08-15,53.623854,96700000,52.427975
2024-08-14,52.906937,96700000,52.867423
2024-08-13,52.87306,96700000,51.996075
2024-08-12,52.111475,96700000,51.916201
2024-08-09,51.597397,96700000,51.117531
2024-08-08,50.790621,96700000,49.520761
2024-08-07,49.169893,96700000,50.216891
2024-08-06,48.660271,96700000,48.587837
2024-08-05,48.384645,96700000,47.117831
2024-08-02,50.134685,96700000,50.883264
2024-08-01,51.989793,96700000,53.186558
2024-07-31,52.955381,96700000,52.146473
2024-07-30,51.451479,96700000,52.086336
2024-07-29,51.455958,96700000,51.968421
2024-07-26,52.243723,96700000,51.980757
2024-07-25,51.967758,96700000,53.50979
2024-07-24,52.118916,96700000,53.52566
2024-07-23,53.306661,96700000,53.54574
2024-07-22,52.812969,97300000,52.128865
2024-07-19,53.425563,97300000,53.812942
2024-07-18,54.357902,97300000,55.077656
2024-07-17,54.668841,97300000,55.7986
2024-07-16,56.451891,97300000,56.295934
2024-07-15,56.064329,97300000,56.2352
2024-07-12,56.672347,97300000,56.409189
2024-07-11,56.886228,97300000,57.572893
2024-07-10,57.060108,97300000,56.591493
2024-07-09,56.19458,97300000,56.441741
2024-07-08,56.253861,97300000,56.351266
2024-07-05,55.610699,97300000,55.489793
2024-07-03,55.147297,97300000,54.421337
2024-07-02,54.269497,97300000,53.834317
2024-07-01,54.128284,97300000,54.347542
2024-06-28,54.242359,97300000,54.378637
2024-06-27,53.903946,97300000,53.884541
2024-06-26,53.790857,97300000,54.05752
2024-06-25,54.100326,97300000,54.140303
2024-06-24,53.853381,97300000,54.167748
2024-06-21,54.605528,97300000,55.157574
2024-06-20,55.026294,97300000,55.65202
2024-06-18,54.272889,97300000,53.860468
2024-06-17,53.761578,97300000,53.211497
2024-06-14,53.400619,97300000,53.381514
2024-06-13,52.826605,97300000,52.924957
2024-06-12,52.512203,97300000,52.034227
2024-06-11,51.613025,97300000,51.379089
2024-06-10,52.073013,97300000,51.781882
2024-06-07,51.715795,97300000,51.784769
2024-06-06,51.681288,97300000,51.83003
2024-06-05,51.505381,97300000,50.747408
2024-06-04,50.315817,97300000,50.374791
2024-06-03,50.888179,97300000,50.991098
2024-05-31,50.436544,97300000,50.180842
2024-05-30,50.980058,97300000,50.640138
2024-05-29,51.210145,97000000,51.51598
2024-05-28,52.346488,97000000,52.406971
2024-05-24,51.704673,97000000,51.429462
2024-05-23,51.258366,97000000,51.611451
2024-05-22,51.149271,95500000,51.272515
2024-05-21,50.469269,95100000,50.386329
2024-05-20,50.83816,94500000,50.70134
2024-05-17,50.829343,94500000,50.670277
2024-05-16,50.821086,93300000,51.005105
2024-05-15,50.909829,92900000,50.356789
2024-05-14,50.274384,92900000,49.797405
2024-05-13,49.49048,89400000,49.444676
2024-05-10,49.494616,89400000,49.080923
2024-05-09,48.756596,89400000,48.509971
2024-05-08,48.970592,89400000,48.797481
2024-05-07,48.676292,87900000,48.744285
2024-05-06,48.796491,87900000,48.458795
2024-05-03,48.371071,87900000,47.791659
2024-05-02,47.585693,87900000,47.263334
2024-05-01,46.826701,87900000,47.584095
2024-04-30,47.214728,87900000,47.58568
2024-04-29,47.855915,87900000,47.853047
2024-04-26,47.150108,87900000,46.91915
2024-04-25,46.575512,87900000,46.197221
2024-04-24,46.66337,87600000,47.068592
2024-04-23,46.112672,86100000,45.683728
2024-04-22,45.667648,86100000,45.264318
2024-04-19,45.52359,86100000,45.579268
2024-04-18,46.776699,86100000,47.579504
2024-04-17,46.845587,86100000,47.206609
2024-04-16,46.634788,86100000,46.624803
2024-04-15,47.649164,86100000,48.123151
2024-04-12,48.457945,86100000,48.999896
2024-04-11,49.444471,84900000,49.304354
2024-04-10,49.482013,84200000,49.668511
2024-04-09,49.526438,84200000,49.576678
2024-04-08,49.070994,84200000,48.863538
2024-04-05,48.792259,84200000,48.764948
2024-04-04,48.657513,84200000,48.76662
2024-04-03,49.021514,84200000,48.767258
2024-04-02,48.985378,84200000,49.114626
2024-04-01,48.866123,84200000,48.722294
2024-03-31,48.582821,84200000,--
2024-03-29,48.582821,84200000,--
2024-03-28,48.582821,84200000,48.615264
2024-03-27,48.611069,84200000,48.638895
2024-03-26,48.462305,84200000,48.605731
2024-03-25,48.769526,84200000,48.754666
2024-03-22,48.868764,83600000,48.84141
2024-03-21,48.819401,83600000,48.955244
2024-03-20,48.164494,83600000,47.873135
2024-03-19,48.239012,83600000,48.20865
2024-03-18,48.368803,83600000,48.523084
2024-03-15,48.242333,83100000,48.226889
2024-03-14,48.492095,83100000,48.856109
2024-03-13,48.615179,81600000,48.839609
2024-03-12,49.065325,81600000,48.901947
2024-03-11,48.243674,81600000,48.438197
2024-03-08,48.331633,81600000,48.493846
2024-03-07,48.697315,81600000,48.069722
2024-03-06,47.930398,81600000,47.481531
2024-03-05,46.995505,81600000,47.245749
2024-03-04,47.449735,81600000,47.231906
2024-03-01,46.858954,81600000,46.34637
2024-02-29,46.562967,81600000,46.491308
2024-02-28,45.951437,81600000,46.158113
2024-02-27,46.14245,81600000,46.158965
2024-02-26,46.446694,81600000,46.424356
2024-02-23,46.384477,81600000,46.361176
2024-02-22,46.712476,81600000,46.346084
