date,nav_value,shares,Non-FV NAV
2024-08-30,65.645126,77200000,65.528451
2024-08-29,65.458851,77200000,65.418652
2024-08-28,65.392453,77200000,65.80688
2024-08-27,66.167019,77200000,66.04525
2024-08-26,66.307853,77200000,66.619225
2024-08-23,66.617674,77200000,66.16165
2024-08-22,65.759133,77200000,66.465765
2024-08-21,66.515292,77200000,66.1565
2024-08-20,66.333699,77200000,66.457788
2024-08-19,66.528167,77200000,65.82681
2024-08-16,65.405587,78700000,65.218903
2024-08-15,64.748212,78700000,63.604734
2024-08-14,63.823912,78700000,63.60034
2024-08-13,63.523245,78700000,62.631657
2024-08-12,62.464852,78700000,62.334706
2024-08-09,61.957767,78700000,61.982884
2024-08-08,61.906753,78700000,60.528112
2024-08-07,59.817666,81200000,60.980107
2024-08-06,60.896827,81200000,59.898741
2024-08-05,58.951283,82200000,58.009616
2024-08-02,63.58392,83650000,63.924151
2024-08-01,65.549517,83650000,66.785976
2024-07-31,66.859773,83650000,66.196723
2024-07-30,64.541523,83650000,65.008815
2024-07-29,65.472353,83650000,65.759231
2024-07-26,65.033871,83650000,64.732476
2024-07-25,64.113608,83650000,64.241831
2024-07-24,64.603881,83650000,65.471688
2024-07-23,65.819527,83650000,65.828252
2024-07-22,65.850741,83650000,65.472862
2024-07-19,65.675915,83650000,66.253723
2024-07-18,66.387248,83650000,67.116789
2024-07-17,67.248302,83650000,67.680104
2024-07-16,68.383457,83650000,68.068411
2024-07-15,67.863391,83650000,68.08171
2024-07-12,68.637892,83650000,68.203664
2024-07-11,68.836509,83650000,69.129432
2024-07-10,68.848645,83650000,68.323701
2024-07-09,68.443494,83650000,68.56375
2024-07-08,68.429351,83650000,68.391808
2024-07-05,68.993974,83650000,68.762689
2024-07-03,66.663291,83650000,66.207961
2024-07-02,66.245603,83650000,65.684621
2024-07-01,66.51234,83650000,66.730843
2024-06-28,66.290455,83650000,66.687402
2024-06-27,66.163893,83650000,66.006544
2024-06-26,65.657468,83650000,65.80776
2024-06-25,65.303909,83650000,65.370998
2024-06-24,64.977375,83650000,64.986738
2024-06-21,65.328043,83650000,65.494675
2024-06-20,65.75531,83650000,66.30235
2024-06-18,65.538099,83650000,65.229453
2024-06-17,65.19255,83800000,64.681012
2024-06-14,65.026363,85000000,65.12476
2024-06-13,65.129798,85000000,65.258709
2024-06-12,65.189679,85000000,64.604886
2024-06-11,63.967065,85000000,63.954431
2024-06-10,64.223727,85000000,63.905957
2024-06-07,64.587017,85000000,65.093215
2024-06-06,64.12116,85000000,63.626046
