date,nav_value,shares,Non-FV NAV
2024-08-30,29.792596,137350000,29.651841
2024-08-29,29.859238,140100000,29.773959
2024-08-28,30.508194,140100000,30.665255
2024-08-27,30.639396,140100000,30.676109
2024-08-26,30.7485,140100000,30.715471
2024-08-23,30.42009,140100000,30.301622
2024-08-22,29.764508,141300000,29.958039
2024-08-21,30.620397,141300000,30.646473
2024-08-20,30.554361,141300000,30.664698
2024-08-19,30.872527,141300000,30.879525
2024-08-16,30.244445,141300000,30.185639
2024-08-15,30.164249,141300000,30.22348
2024-08-14,30.067774,141300000,30.216892
2024-08-13,29.973007,143800000,29.77038
2024-08-12,29.438162,143800000,29.509803
2024-08-09,29.168346,145100000,29.269734
2024-08-08,28.488265,147600000,28.308082
2024-08-07,28.002727,148600000,28.064821
2024-08-06,27.57515,148600000,27.548545
2024-08-05,26.923949,148600000,26.757518
2024-08-02,27.17742,150100000,27.012907
2024-08-01,27.407875,152200000,27.747282
2024-07-31,27.823417,152200000,27.839931
2024-07-30,27.627994,152200000,27.525994
2024-07-29,27.788703,152800000,27.610958
2024-07-26,27.758852,152800000,27.781625
2024-07-25,27.503032,153900000,27.529961
2024-07-24,27.571112,153900000,27.756051
2024-07-23,27.915891,153900000,28.014168
2024-07-22,28.295255,155850000,28.37326
2024-07-19,28.08058,155850000,28.346059
2024-07-18,28.162799,155850000,28.377545
2024-07-17,29.048383,155850000,29.149506
2024-07-16,29.222202,157350000,29.287581
2024-07-15,29.179538,158550000,29.136828
2024-07-12,29.154231,158550000,28.999546
2024-07-11,28.968675,158550000,29.061537
2024-07-10,28.866245,158550000,28.934955
2024-07-09,28.824677,158550000,28.697074
2024-07-08,28.436108,158550000,28.416171
2024-07-05,28.380501,158550000,28.232093
2024-07-03,28.037974,157800000,27.871783
2024-07-02,27.116222,157800000,27.121877
2024-07-01,27.172176,157800000,27.4805
2024-06-28,27.30478,157800000,27.477001
2024-06-27,27.756214,157800000,27.652873
2024-06-26,27.338292,157800000,27.406115
2024-06-25,27.597155,157800000,27.691822
2024-06-24,27.976396,157800000,27.971555
2024-06-21,27.41434,157800000,27.397029
2024-06-20,27.122309,157800000,27.279819
2024-06-18,27.066948,157800000,27.176538
2024-06-17,26.959215,157800000,26.987911
2024-06-14,27.252844,160300000,27.383573
2024-06-13,27.288351,160300000,27.113722
2024-06-12,27.209337,160300000,27.217968
2024-06-11,27.823114,157050000,27.900296
2024-06-10,28.579406,157050000,28.532267
2024-06-07,28.758631,157050000,29.005789
2024-06-06,29.720976,157050000,29.649094
2024-06-05,29.122835,157050000,29.153714
2024-06-04,29.240581,157050000,29.322769
2024-06-03,29.56656,157050000,29.582688
2024-05-31,29.523494,157050000,29.496127
2024-05-30,30.033192,157050000,29.891121
2024-05-29,29.859321,157050000,29.941855
2024-05-28,30.423661,157050000,30.394968
2024-05-24,30.428114,157050000,30.521307
2024-05-23,30.637397,157050000,30.638867
2024-05-22,30.843222,157050000,30.847925
2024-05-21,31.444599,157050000,31.482076
2024-05-20,31.653698,157050000,31.723296
2024-05-17,31.77413,157050000,31.707078
2024-05-16,31.705194,157050000,31.725123
2024-05-15,31.625937,157050000,31.645193
2024-05-14,31.938527,157050000,31.919687
2024-05-13,31.78146,157050000,31.839176
2024-05-10,31.607739,157050000,31.659647
2024-05-09,31.838393,157050000,31.758412
2024-05-08,32.470181,157050000,32.515096
2024-05-07,32.547425,157050000,32.649972
2024-05-06,32.330663,157050000,32.362423
2024-05-03,32.346786,157050000,32.337753
2024-05-02,31.792459,157050000,31.797969
2024-05-01,31.080294,157050000,31.018049
2024-04-30,31.028074,157050000,31.084055
2024-04-29,31.828617,157050000,31.841795
2024-04-26,31.60496,157050000,31.535084
2024-04-25,30.871041,157050000,30.830207
2024-04-24,30.965507,157050000,30.866561
2024-04-23,31.171507,157050000,31.013935
2024-04-22,31.029524,157050000,30.882989
2024-04-19,30.74223,157050000,30.653999
2024-04-18,30.190759,157050000,30.195606
2024-04-17,30.20605,157050000,30.228051
2024-04-16,30.094554,157050000,30.028167
2024-04-15,30.7969,157050000,30.813103
2024-04-12,31.328811,157050000,31.18758
2024-04-11,31.84156,157050000,31.881919
2024-04-10,32.073004,157050000,32.153356
2024-04-09,32.935905,157050000,32.933948
2024-04-08,32.525205,157050000,32.452587
2024-04-05,31.817396,157050000,31.90109
2024-04-04,32.069065,157050000,32.220229
2024-04-03,32.08984,157050000,31.851094
2024-04-02,32.045446,157050000,32.098301
2024-04-01,31.854158,157050000,31.894177
2024-03-31,32.391523,157050000,--
2024-03-29,32.391523,157050000,--
2024-03-28,32.391523,157050000,32.454741
2024-03-27,32.498086,157050000,32.521396
2024-03-26,32.244448,157050000,32.195585
2024-03-25,32.287026,157050000,32.214802
2024-03-22,32.152006,157050000,32.212691
2024-03-21,32.549747,157050000,32.552665
2024-03-20,32.827137,157050000,32.627669
2024-03-19,32.089587,157050000,32.137081
2024-03-18,32.024241,157050000,32.059086
2024-03-15,32.140202,157050000,32.151913
2024-03-14,32.390582,157050000,32.424207
2024-03-13,32.59705,157050000,32.585062
2024-03-12,32.526482,158550000,32.478895
2024-03-11,32.083691,158550000,32.149523
2024-03-08,32.294614,158550000,32.366218
2024-03-07,33.116531,158550000,33.114219
2024-03-06,33.17481,158550000,33.214477
2024-03-05,32.842681,158550000,32.935522
2024-03-04,33.011877,158800000,33.018132
2024-03-01,33.189346,159600000,33.224791
2024-02-29,33.041572,159900000,33.057638
2024-02-28,33.386307,161900000,33.491874
2024-02-27,34.103148,161900000,34.028362
2024-02-26,33.331638,161900000,33.333288
2024-02-23,33.182989,161900000,33.209872
2024-02-22,33.56631,161900000,33.703966
2024-02-21,33.713101,162900000,33.733718
2024-02-20,33.712654,168900000,33.66076
2024-02-16,33.143858,169900000,33.151431
2024-02-15,32.869487,169900000,32.842459
2024-02-14,32.635288,169900000,32.682281
2024-02-13,32.632066,169900000,32.994462
2024-02-12,33.169616,169900000,32.995067
2024-02-09,32.994134,170900000,32.916158
2024-02-08,32.77457,170900000,32.847214
2024-02-07,33.380479,170900000,33.43723
2024-02-06,33.579156,170900000,33.592522
2024-02-05,32.713526,170900000,32.540516
2024-02-02,32.675673,170900000,32.675997
2024-02-01,33.376888,170900000,33.343454
2024-01-31,32.87585,170900000,32.963024
2024-01-30,32.845247,170900000,32.721851
2024-01-29,33.108216,170900000,33.115469
2024-01-26,33.423128,170900000,33.389648
2024-01-25,33.168988,170900000,33.142431
2024-01-24,32.926203,170900000,32.98779
2024-01-23,32.940734,170900000,32.753973
2024-01-22,32.335655,170900000,32.44045
2024-01-19,32.976919,170900000,32.990762
2024-01-18,32.91318,170900000,32.816187
2024-01-17,33.228461,170900000,33.21884
2024-01-16,33.438207,171900000,33.509219
2024-01-12,34.36358,171900000,34.395341
2024-01-11,34.138671,171900000,34.099694
2024-01-10,34.013603,171900000,34.030046
2024-01-09,34.063605,171900000,34.087149
2024-01-08,34.579555,171900000,34.581646
2024-01-05,34.508901,171900000,34.527731
2024-01-04,34.119953,171900000,34.036556
2024-01-03,34.411142,171900000,34.393888
2024-01-02,34.314356,171900000,34.408921
2023-12-29,34.917548,171900000,35.05881
2023-12-28,35.061917,171900000,35.187038
2023-12-27,35.228233,171900000,35.282915
2023-12-26,35.10082,171900000,35.10082
2023-12-22,34.631213,171900000,34.640635
2023-12-21,34.310546,171900000,34.391831
2023-12-20,33.75806,168950000,33.983692
2023-12-19,35.605527,168950000,35.646216
2023-12-18,35.115516,168950000,34.8854
2023-12-15,34.5936,165950000,34.590511
