date,nav_value,shares,Non-FV NAV
2024-08-30,46.776523,6300000,47.064976
2024-08-29,47.470214,6300000,47.487747
2024-08-28,46.984925,6300000,47.073759
2024-08-27,47.668409,6300000,47.586927
2024-08-26,47.463925,6300000,47.46984
2024-08-23,47.613385,6300000,47.46075
2024-08-22,46.348724,6300000,46.469654
2024-08-21,47.412327,6300000,47.211213
2024-08-20,47.19648,6300000,47.105263
2024-08-19,47.668854,6300000,47.483675
2024-08-16,46.7738,6300000,46.574031
2024-08-15,45.821505,6300000,45.760908
2024-08-14,45.16137,6300000,45.187811
2024-08-13,44.637226,6300000,44.527965
2024-08-12,43.869598,6300000,44.034581
2024-08-09,43.902122,6300000,43.907517
2024-08-08,43.791791,6300000,43.758857
2024-08-07,43.160175,6300000,43.528284
2024-08-06,42.766585,6300000,42.719272
2024-08-05,42.778713,6300000,42.604398
2024-08-02,43.85362,6300000,43.915902
2024-08-01,44.636621,6300000,44.960318
2024-07-31,45.425116,6300000,45.459902
2024-07-30,44.090706,6300000,43.966523
2024-07-29,43.471944,6300000,43.309718
2024-07-26,43.923847,6300000,43.972333
2024-07-25,43.682718,6300000,43.669581
2024-07-24,43.456174,6300000,43.781458
2024-07-23,43.542705,6300000,43.527606
2024-07-22,43.830522,6300000,43.582609
2024-07-19,43.376728,6300000,43.363948
2024-07-18,43.47886,6300000,43.895698
2024-07-17,43.740301,6300000,43.677884
2024-07-16,44.818666,6300000,44.62087
2024-07-15,44.805811,6300000,44.790545
2024-07-12,45.010694,6300000,45.033352
2024-07-11,44.733675,6300000,44.775173
2024-07-10,44.089286,6300000,44.033106
2024-07-09,44.120615,6300000,44.120701
2024-07-08,44.259633,6300000,44.332032
2024-07-05,44.074523,6300000,43.926637
2024-07-03,43.217391,6300000,43.498713
2024-07-02,42.085816,6200000,42.083342
2024-07-01,42.894569,6200000,43.219606
2024-06-28,43.457315,6000000,43.263379
2024-06-27,42.114775,6000000,42.120643
2024-06-26,43.095,6000000,42.861001
2024-06-25,43.195809,6000000,43.288178
2024-06-24,43.792071,6000000,43.78433
2024-06-21,44.008925,5900000,44.095069
2024-06-20,44.218827,5900000,44.016283
2024-06-18,43.810026,5900000,43.608459
2024-06-17,41.656414,5900000,41.374409
2024-06-14,41.104229,5900000,41.061035
2024-06-13,40.375718,5900000,40.458779
2024-06-12,40.845334,5900000,40.721749
2024-06-11,39.861462,6000000,39.600039
2024-06-10,40.293839,6000000,40.04614
2024-06-07,40.002708,6000000,40.026103
2024-06-06,40.376496,6000000,40.129292
2024-06-05,40.145164,6000000,39.984187
2024-06-04,40.680366,6000000,40.710882
2024-06-03,41.649676,6000000,41.655387
2024-05-31,40.437932,6300000,40.265567
2024-05-30,40.938646,6300000,41.174927
2024-05-29,42.402248,6300000,42.644147
2024-05-28,42.982365,6300000,42.931004
2024-05-24,42.930406,6300000,42.91067
2024-05-23,42.586406,6300000,42.675692
2024-05-22,43.51915,6300000,43.670993
2024-05-21,44.347783,6300000,44.394351
2024-05-20,44.222023,6300000,44.074202
2024-05-17,43.826722,6300000,43.800684
2024-05-16,43.740793,6300000,43.773559
2024-05-15,43.649408,6300000,43.461478
2024-05-14,42.769151,6300000,42.666839
2024-05-13,42.922273,6300000,43.048577
2024-05-10,42.553775,6300000,42.518361
2024-05-09,41.978042,6300000,41.929111
2024-05-08,41.461085,6300000,41.431849
2024-05-07,41.524978,6300000,41.665337
2024-05-06,41.56745,6300000,41.687051
2024-05-03,41.247904,6300000,41.219984
2024-05-02,40.905429,6300000,40.824447
2024-05-01,40.464327,6300000,40.758149
2024-04-30,40.19897,6300000,40.301712
2024-04-29,41.048937,6300000,41.080465
2024-04-26,40.027913,6500000,39.986952
2024-04-25,38.967659,6500000,38.765559
2024-04-24,38.840081,6500000,38.762857
2024-04-23,38.822504,6500000,38.735296
2024-04-22,38.271485,6600000,38.397643
2024-04-19,38.495063,6600000,38.426687
2024-04-18,38.384403,6600000,38.392147
2024-04-17,38.459874,6600000,38.437458
2024-04-16,38.558608,6600000,38.491511
2024-04-15,39.25266,6600000,39.292592
2024-04-12,40.02233,6600000,40.137451
2024-04-11,40.67775,6600000,40.364173
2024-04-10,40.384398,6800000,40.483384
2024-04-09,41.06769,6800000,41.003504
2024-04-08,40.504472,6800000,40.51757
2024-04-05,40.197827,6800000,40.132412
2024-04-04,40.082906,6800000,40.486054
2024-04-03,39.640678,6800000,39.482674
2024-04-02,39.568185,6800000,39.528949
2024-04-01,39.079242,6800000,39.11414
2024-03-31,39.174899,6800000,--
2024-03-29,39.174899,6800000,--
2024-03-28,39.174899,6800000,39.197001
2024-03-27,38.946686,6800000,38.940552
2024-03-26,38.516436,6800000,38.548168
2024-03-25,38.382227,6800000,38.389427
2024-03-22,38.173482,6800000,38.218231
2024-03-21,38.257789,6800000,38.036201
2024-03-20,38.482569,6800000,38.122981
2024-03-19,37.465275,6800000,37.443234
2024-03-18,37.658978,6800000,37.635689
2024-03-15,38.393872,6800000,38.445259
2024-03-14,38.910651,6800000,38.904872
2024-03-13,39.7363,6800000,39.788484
2024-03-12,39.066421,6800000,39.01004
2024-03-11,39.286246,6800000,39.273959
2024-03-08,38.938102,6800000,39.082656
2024-03-07,39.046072,6800000,38.978979
2024-03-06,38.916601,6800000,38.963694
2024-03-05,37.758505,6800000,37.924565
2024-03-04,38.029368,6800000,37.9269
2024-03-01,37.893935,6800000,37.712423
2024-02-29,37.467962,6800000,37.445994
2024-02-28,36.964028,6800000,36.991204
2024-02-27,37.847604,6800000,37.924045
2024-02-26,37.692512,6800000,37.644055
2024-02-23,37.891431,6800000,37.810391
2024-02-22,38.223483,6800000,38.245988
2024-02-21,38.296573,6800000,38.281507
2024-02-20,38.250239,6800000,38.275693
2024-02-16,38.581461,6800000,38.55408
2024-02-15,38.175043,6800000,38.165381
2024-02-14,37.913979,6800000,37.860465
2024-02-13,37.674835,6800000,37.746782
2024-02-12,38.561512,6800000,38.476963
2024-02-09,38.290424,6800000,38.229889
2024-02-08,38.52665,6800000,38.512054
2024-02-07,39.180974,6800000,39.133435
2024-02-06,39.448786,6800000,39.352676
2024-02-05,38.642666,6800000,38.584209
2024-02-02,39.148704,6800000,39.143409
2024-02-01,39.936404,6800000,39.841522
2024-01-31,39.362525,6800000,39.695222
2024-01-30,39.272761,6800000,39.156473
2024-01-29,39.200334,6800000,39.074049
2024-01-26,39.690458,6800000,39.800969
2024-01-25,38.990601,6800000,38.984582
2024-01-24,39.043144,6800000,39.188797
2024-01-23,38.23957,6800000,38.155825
2024-01-22,37.307709,7000000,37.348058
2024-01-19,37.943824,7000000,37.920642
2024-01-18,37.887665,7100000,37.829101
2024-01-17,37.405008,7600000,37.164468
2024-01-16,38.171573,7600000,38.254804
2024-01-12,39.709375,7600000,39.899471
2024-01-11,39.35562,7600000,39.317709
2024-01-10,39.051625,7600000,39.110163
2024-01-09,39.332074,7600000,39.338723
2024-01-08,39.777584,7600000,39.70884
2024-01-05,39.701961,7900000,39.846669
2024-01-04,39.65714,7900000,39.633791
2024-01-03,39.77648,7900000,39.586756
2024-01-02,40.773644,7900000,40.879375
2023-12-29,42.086471,7900000,42.127087
2023-12-28,41.002099,7900000,41.423122
2023-12-27,41.783179,7900000,41.924897
2023-12-26,39.928814,7900000,39.886585
2023-12-22,40.100972,7900000,40.208163
2023-12-21,41.290966,7900000,41.359437
2023-12-20,40.838737,7900000,41.196879
2023-12-19,41.52357,7900000,41.511612
2023-12-18,40.562057,7900000,40.48466
2023-12-15,41.929799,7900000,42.026929
2023-12-14,41.908853,7900000,42.007591
2023-12-13,39.62709,7900000,38.645224
2023-12-12,38.808507,7900000,38.590271
2023-12-11,39.137726,7900000,39.023162
2023-12-08,39.071249,7900000,39.169873
2023-12-07,39.716616,7900000,39.491472
2023-12-06,39.705746,7900000,39.892751
2023-12-05,39.546798,7900000,39.549513
2023-12-04,40.291306,7900000,40.264339
2023-12-01,40.569983,7900000,40.494261
2023-11-30,40.312795,7900000,40.052957
2023-11-29,40.383308,7900000,40.684669
2023-11-28,40.863573,7900000,40.613821
2023-11-27,40.39662,7900000,40.261138
2023-11-24,40.126932,7900000,40.123902
2023-11-22,39.398303,7900000,39.44452
2023-11-21,39.723457,7900000,39.987085
2023-11-20,40.451537,7900000,40.294255
2023-11-17,40.249879,7900000,40.233969
2023-11-16,40.284338,7900000,40.397117
2023-11-15,41.335872,7900000,41.363992
2023-11-14,40.478835,7900000,40.086022
2023-11-13,38.473993,8000000,38.413277
2023-11-10,38.51633,8000000,38.396498
2023-11-09,38.8351,8000000,39.192713
2023-11-08,39.382745,8000000,39.547897
2023-11-07,39.225655,8000000,39.135769
2023-11-06,40.35861,8000000,40.394737
2023-11-03,40.33399,8000000,40.339783
2023-11-02,38.889778,8000000,38.793203
2023-11-01,37.679792,8000000,37.423848
2023-10-31,37.391347,8000000,37.21017
