date,nav_value,shares,Non-FV NAV
2024-08-30,51.357978,153700000,51.33432
2024-08-29,51.261085,153700000,51.346751
2024-08-28,51.017752,153700000,51.135207
2024-08-27,51.279931,153700000,51.149551
2024-08-26,51.047016,153700000,51.154467
2024-08-23,51.275655,153700000,51.239667
2024-08-22,50.505248,153700000,50.672552
2024-08-21,50.888217,153700000,50.700763
2024-08-20,50.419916,153700000,50.352344
2024-08-19,50.461494,153700000,50.289714
2024-08-16,49.882439,153700000,49.644221
2024-08-15,49.394811,153700000,49.336823
2024-08-14,48.803226,153700000,48.860105
2024-08-13,48.606825,153700000,48.234179
2024-08-12,47.868808,154100000,47.901055
2024-08-09,47.972162,154800000,47.87805
2024-08-08,47.852397,154800000,47.688299
2024-08-07,47.275145,154800000,47.82315
2024-08-06,46.979734,154800000,46.933017
2024-08-05,46.948902,154800000,47.074018
2024-08-02,47.765917,154800000,47.596915
2024-08-01,48.240038,154800000,48.28759
2024-07-31,49.419606,154800000,49.405483
2024-07-30,49.097955,154800000,49.040658
2024-07-29,48.966481,154800000,48.853205
2024-07-26,49.460089,154800000,49.353491
2024-07-25,48.784773,154800000,48.899863
2024-07-24,49.116985,154800000,49.414429
2024-07-23,49.838251,154800000,49.881408
2024-07-22,50.112086,154800000,49.93052
2024-07-19,49.298639,155700000,49.333618
2024-07-18,49.662309,155700000,49.855133
2024-07-17,49.95718,155700000,50.035777
2024-07-16,50.552674,155700000,50.278695
2024-07-15,50.463341,155700000,50.706731
2024-07-12,51.049902,155700000,51.200677
2024-07-11,50.358604,155700000,50.511526
2024-07-10,50.184265,155700000,50.015927
2024-07-09,49.494431,155700000,49.451787
2024-07-08,49.958318,155700000,50.093037
2024-07-05,50.359183,155700000,50.167901
2024-07-03,49.852778,155700000,49.857245
2024-07-02,49.150201,155700000,49.013836
2024-07-01,49.234033,155700000,49.11865
2024-06-28,48.657967,155700000,48.742937
2024-06-27,48.852927,155700000,48.850532
2024-06-26,48.920628,155700000,48.872155
2024-06-25,49.372083,155700000,49.185078
2024-06-24,49.316412,155700000,49.475209
2024-06-21,48.920426,155700000,48.841236
2024-06-20,49.315123,155700000,49.42839
2024-06-18,49.218392,155700000,49.160652
2024-06-17,48.984948,155700000,48.712046
2024-06-14,48.430778,155700000,48.313655
2024-06-13,49.565939,155700000,49.597378
2024-06-12,50.578579,155700000,50.867257
2024-06-11,49.84289,152800000,49.671643
2024-06-10,51.584536,152800000,51.312417
2024-06-07,51.852842,152800000,52.007688
2024-06-06,52.605725,152800000,52.521505
2024-06-05,52.419986,152800000,52.182153
2024-06-04,51.692403,152800000,51.578264
2024-06-03,52.129992,152800000,51.968079
2024-05-31,52.021703,152800000,51.696062
2024-05-30,51.569605,152800000,51.608769
2024-05-29,51.210476,152800000,51.282676
2024-05-28,52.17571,152800000,52.219667
2024-05-24,52.103799,152800000,52.088535
2024-05-23,51.656241,152800000,52.0117
2024-05-22,51.866026,152800000,51.982833
2024-05-21,52.266004,152800000,52.271025
2024-05-20,52.375787,152800000,52.484228
2024-05-17,52.425648,152800000,52.390089
2024-05-16,52.282875,152800000,52.429443
2024-05-15,52.745034,152800000,52.533558
2024-05-14,52.170426,152800000,52.091189
2024-05-13,51.797056,152800000,51.897838
2024-05-10,51.769395,152800000,51.702158
2024-05-09,51.542907,152800000,51.437829
2024-05-08,51.074086,152800000,51.058742
2024-05-07,50.83962,152800000,50.993371
2024-05-06,50.504339,152800000,50.447488
2024-05-03,50.070136,152800000,50.022366
2024-05-02,49.623094,152800000,49.331699
2024-05-01,49.076732,152800000,49.444974
2024-04-30,49.162638,152800000,49.487038
2024-04-29,50.090944,152800000,50.056139
2024-04-26,50.1169,152800000,49.971809
2024-04-25,49.707347,152800000,49.476598
2024-04-24,49.934372,152800000,49.8087
2024-04-23,50.014935,152800000,49.958721
2024-04-22,49.252163,152800000,49.038848
2024-04-19,48.652283,152800000,48.83926
2024-04-18,48.662799,152800000,48.915672
2024-04-17,48.728144,152800000,48.633659
2024-04-16,48.703775,152800000,48.673032
2024-04-15,48.978123,152800000,49.264436
2024-04-12,48.997402,152800000,49.111029
2024-04-11,49.900405,152800000,49.523441
2024-04-10,49.94212,152800000,50.00916
2024-04-09,50.58142,152800000,50.439895
2024-04-08,50.821184,152800000,50.881803
2024-04-05,50.521929,152800000,50.405236
2024-04-04,50.458114,152800000,51.150149
2024-04-03,50.910351,152800000,50.884841
2024-04-02,50.44765,152800000,50.369805
2024-04-01,50.755248,152800000,50.675949
2024-03-31,50.923243,152800000,--
2024-03-29,50.923243,152800000,--
2024-03-28,50.923243,152800000,50.941727
2024-03-27,51.1804,152800000,51.016442
2024-03-26,50.756388,152800000,50.871264
