date,nav_value,shares,Non-FV NAV
2024-08-30,26.507886,149400000,26.731523
2024-08-29,26.392891,153300000,26.415315
2024-08-28,26.269158,153300000,26.353936
2024-08-27,26.602046,154650000,26.689553
2024-08-26,26.339449,154650000,26.628091
2024-08-23,26.527174,154650000,26.386496
2024-08-22,26.158418,156750000,26.50954
2024-08-21,26.304874,156750000,26.081946
2024-08-20,26.116487,156750000,26.388424
2024-08-19,26.677728,156750000,26.462104
2024-08-16,26.401571,156750000,26.167518
2024-08-15,25.846141,157800000,25.595188
2024-08-14,25.433366,160200000,25.548148
2024-08-13,25.873457,160200000,25.738952
2024-08-12,25.688598,160200000,25.66534
2024-08-09,25.503293,161550000,25.533611
2024-08-08,25.527055,161550000,25.164586
2024-08-07,25.010397,162750000,25.168408
2024-08-06,24.894205,163350000,24.807762
2024-08-05,25.071592,164250000,24.984286
2024-08-02,25.219528,164250000,25.241769
2024-08-01,25.374379,165000000,25.70587
2024-07-31,25.753839,165000000,25.860576
2024-07-30,25.385926,165750000,25.341249
2024-07-29,25.631506,165750000,25.670065
2024-07-26,25.573292,165750000,25.405613
2024-07-25,25.472682,165750000,25.386089
2024-07-24,25.817172,168150000,25.904215
2024-07-23,26.032342,169200000,26.053548
2024-07-22,26.442466,170850000,26.314779
2024-07-19,25.915637,170850000,25.893347
2024-07-18,26.158536,171750000,26.469621
2024-07-17,26.318291,171750000,26.479317
2024-07-16,26.651375,171750000,26.500585
2024-07-15,26.723439,171750000,26.98906
2024-07-12,27.333822,171750000,27.44118
2024-07-11,26.963278,172950000,26.757531
2024-07-10,26.492944,172950000,26.302594
2024-07-09,26.502504,172950000,26.316418
2024-07-08,26.29832,172950000,26.335124
2024-07-05,26.494008,172950000,26.569136
2024-07-03,26.902673,172950000,26.660093
2024-07-02,26.433778,173850000,26.276911
2024-07-01,26.16409,173850000,26.1262
2024-06-28,26.064585,173850000,26.142958
2024-06-27,26.015905,175950000,26.159866
2024-06-26,26.546411,175950000,26.747865
2024-06-25,26.596834,175950000,26.716134
2024-06-24,26.773948,175950000,26.607321
2024-06-21,26.507529,175950000,26.600357
2024-06-20,26.958978,175950000,27.102808
2024-06-18,26.545244,177750000,26.376985
2024-06-17,26.522752,177750000,26.452451
