date,nav_value,shares
2024-08-30,148.239826,52950000
2024-08-29,148.321549,52550000
2024-08-28,147.80232,52550000
2024-08-27,147.862232,52500000
2024-08-26,147.918232,52750000
2024-08-23,148.042133,52750000
2024-08-22,146.452558,53400000
2024-08-21,148.238873,53600000
2024-08-20,147.510964,53600000
2024-08-19,147.818947,53650000
2024-08-16,144.817848,53800000
2024-08-15,144.928927,53850000
2024-08-14,142.802555,53900000
2024-08-13,143.58951,53950000
2024-08-12,141.578449,53850000
2024-08-09,142.216827,53950000
2024-08-08,142.202826,53950000
2024-08-07,138.265747,54150000
2024-08-06,140.805974,54250000
2024-08-05,139.99377,54200000
2024-08-02,144.233292,53600000
2024-08-01,147.126065,53500000
2024-07-31,147.837663,53950000
2024-07-30,147.836892,53800000
2024-07-29,147.815144,53500000
2024-07-26,148.253288,53500000
2024-07-25,147.11802,53150000
2024-07-24,145.638263,53000000
2024-07-23,145.402399,53050000
2024-07-22,146.203865,53100000
2024-07-19,144.019677,53550000
2024-07-18,144.097284,53000000
2024-07-17,146.355247,52450000
2024-07-16,147.973714,52500000
2024-07-15,145.198605,52550000
2024-07-12,144.989704,52850000
2024-07-11,143.855314,53150000
2024-07-10,140.589733,53150000
2024-07-09,138.881102,53550000
2024-07-08,137.705027,53450000
2024-07-05,136.225537,53500000
2024-07-03,135.123111,53450000
2024-07-02,135.976905,53500000
2024-07-01,136.963692,53700000
2024-06-28,137.246414,53650000
2024-06-27,137.919261,54000000
2024-06-26,137.942324,54300000
2024-06-25,139.545092,54150000
2024-06-24,140.002346,54150000
2024-06-21,137.413876,54200000
2024-06-20,135.675251,54600000
2024-06-18,134.355861,54500000
2024-06-17,135.401747,54450000
2024-06-14,136.393733,54450000
2024-06-13,137.315531,54200000
2024-06-12,137.796895,53850000
2024-06-11,136.83132,53850000
2024-06-10,136.849618,53400000
2024-06-07,136.689969,53450000
2024-06-06,137.570151,53350000
2024-06-05,138.031653,53550000
2024-06-04,135.422163,53400000
2024-06-03,135.543057,53150000
2024-05-31,133.778042,52900000
2024-05-30,133.377202,53100000
2024-05-29,132.429644,52250000
2024-05-28,134.095181,52150000
2024-05-24,135.703731,52350000
2024-05-23,135.613314,52400000
2024-05-22,137.908471,52600000
2024-05-21,136.85869,52850000
2024-05-20,137.524277,53000000
2024-05-17,136.66226,53000000
2024-05-16,137.282644,52800000
2024-05-15,137.284257,52950000
2024-05-14,135.498106,52800000
2024-05-13,134.387173,52500000
2024-05-10,133.403957,52500000
2024-05-09,133.373662,52500000
2024-05-08,132.596436,53150000
2024-05-07,133.289947,53200000
2024-05-06,133.009049,53900000
2024-05-03,132.984279,53750000
2024-05-02,130.705537,54650000
2024-05-01,129.574787,54950000
2024-04-30,126.878739,55100000
2024-04-29,128.392909,55250000
2024-04-26,126.512815,55500000
2024-04-25,125.600885,55350000
2024-04-24,127.813715,55600000
2024-04-23,128.055885,55550000
2024-04-22,126.084826,55700000
2024-04-19,124.724624,55450000
2024-04-18,124.610489,55350000
2024-04-17,125.899498,55550000
2024-04-16,126.927586,55600000
2024-04-15,127.866563,55000000
2024-04-12,129.546324,54900000
2024-04-11,132.357689,54750000
2024-04-10,131.911035,55000000
2024-04-09,134.302472,55150000
2024-04-08,132.689317,55350000
2024-04-05,132.551319,55300000
2024-04-04,131.667352,55150000
2024-04-03,133.555747,55250000
2024-04-02,133.887965,55450000
2024-04-01,136.848708,55600000
2024-03-31,137.273648,55600000
2024-03-29,137.273648,55600000
2024-03-28,137.273648,55600000
2024-03-27,137.777774,55700000
2024-03-26,135.895287,56350000
2024-03-25,136.062558,56400000
2024-03-22,136.295353,56550000
2024-03-21,137.233433,56800000
2024-03-20,136.513252,56100000
2024-03-19,136.16441,56100000
2024-03-18,135.245582,56500000
2024-03-15,135.905981,56650000
2024-03-14,135.652296,56650000
2024-03-13,138.22638,56700000
2024-03-12,138.059107,56650000
2024-03-11,138.670052,56900000
2024-03-08,138.618984,56850000
2024-03-07,138.350572,58000000
2024-03-06,137.851872,58000000
2024-03-05,137.312194,56200000
2024-03-04,138.509585,55350000
2024-03-01,139.784927,55550000
2024-02-29,136.917172,55800000
2024-02-28,139.429901,55750000
2024-02-27,140.85858,55450000
2024-02-26,139.107901,55050000
2024-02-23,138.19304,54950000
2024-02-22,137.210767,55150000
2024-02-21,135.197929,54600000
2024-02-20,134.824826,54800000
2024-02-16,135.771745,55300000
2024-02-15,136.554403,55300000
2024-02-14,134.88183,55550000
2024-02-13,132.31478,55700000
2024-02-12,135.719535,55300000
2024-02-09,134.5997,55500000
2024-02-08,134.250282,55500000
2024-02-07,133.744578,55500000
2024-02-06,136.112507,55200000
2024-02-05,134.884176,55100000
2024-02-02,134.640124,55100000
2024-02-01,136.247235,54550000
2024-01-31,134.388834,54600000
2024-01-30,136.630708,55150000
2024-01-29,137.482988,54750000
2024-01-26,135.396325,55350000
2024-01-25,135.67965,55050000
2024-01-24,134.804287,55400000
2024-01-23,136.38534,55450000
2024-01-22,135.629186,55450000
2024-01-19,135.200668,55550000
2024-01-18,134.553437,55750000
2024-01-17,135.045333,56000000
2024-01-16,135.93359,56750000
2024-01-12,137.094476,56650000
2024-01-11,136.847685,56500000
2024-01-10,137.998838,56450000
2024-01-09,138.926494,56550000
2024-01-08,139.380084,56450000
2024-01-05,136.083135,56150000
2024-01-04,136.522676,56050000
2024-01-03,135.818522,55250000
2024-01-02,138.036041,54850000
2023-12-29,135.809154,54900000
2023-12-28,136.960743,54650000
2023-12-27,136.845063,55250000
2023-12-26,135.060476,55100000
2023-12-22,133.726194,55100000
2023-12-21,130.954631,54900000
2023-12-20,128.875757,54650000
2023-12-19,132.892124,54650000
2023-12-18,130.84103,54900000
2023-12-15,131.810203,54750000
2023-12-14,132.737251,54650000
2023-12-13,131.373775,54350000
2023-12-12,126.119616,53700000
2023-12-11,124.762687,53500000
2023-12-08,123.903699,53650000
2023-12-07,124.752335,53850000
2023-12-06,123.865262,54150000
2023-12-05,122.924152,54250000
2023-12-04,123.411827,54200000
2023-12-01,122.645667,54100000
2023-11-30,120.942641,53900000
2023-11-29,119.332574,54200000
2023-11-28,118.143916,54000000
2023-11-27,118.57714,54150000
2023-11-24,119.403931,54300000
2023-11-22,118.753048,54450000
2023-11-21,117.989381,54650000
2023-11-20,118.924682,54750000
2023-11-17,118.121733,54950000
2023-11-16,117.010969,54900000
2023-11-15,118.029009,55000000
2023-11-14,117.925728,55200000
2023-11-13,115.408662,55150000
2023-11-10,115.566506,55100000
2023-11-09,114.949567,55250000
2023-11-08,118.476274,55350000
2023-11-07,120.276681,55400000
2023-11-06,119.359802,55750000
2023-11-03,119.840544,55800000
2023-11-02,116.865597,56350000
2023-11-01,115.21108,56350000
2023-10-31,113.711418,56350000
2023-10-30,113.045514,56150000
2023-10-27,112.409625,56300000
2023-10-26,115.041016,56100000
2023-10-25,115.05038,56100000
2023-10-24,117.350466,56300000
2023-10-23,116.019713,56100000
2023-10-20,117.17508,56100000
2023-10-19,117.639086,56300000
2023-10-18,119.560277,56050000
2023-10-17,122.116388,55900000
2023-10-16,122.306768,56100000
2023-10-13,121.645599,56250000
2023-10-12,121.138059,57300000
2023-10-11,123.611186,57300000
2023-10-10,123.032334,57200000
2023-10-09,122.001918,57100000
2023-10-06,122.50975,57100000
2023-10-05,121.792323,57100000
2023-10-04,120.175117,56700000
2023-10-03,119.313111,56800000
2023-10-02,120.640338,56900000
2023-09-29,122.320166,57100000
2023-09-28,122.869114,57400000
2023-09-27,123.091077,57150000
2023-09-26,122.535907,57500000
2023-09-25,122.263685,57650000
2023-09-22,122.570575,57800000
2023-09-21,123.063262,58100000
2023-09-20,124.643052,58150000
2023-09-19,125.691322,58650000
2023-09-18,125.228891,58650000
2023-09-15,126.603207,58750000
2023-09-14,127.590007,58800000
2023-09-13,126.95567,58800000
2023-09-12,127.471674,58850000
2023-09-11,127.641991,58750000
2023-09-08,126.822611,58550000
2023-09-07,126.85934,58250000
2023-09-06,127.271929,58100000
2023-09-05,128.09975,58150000
2023-09-01,129.988862,58150000
2023-08-31,128.745709,58150000
2023-08-30,129.850733,58300000
2023-08-29,129.483093,57750000
2023-08-28,128.094608,57600000
2023-08-25,127.603311,57600000
2023-08-24,126.841993,57700000
2023-08-23,128.005219,58000000
2023-08-22,127.288164,58050000
2023-08-21,127.23269,57850000
2023-08-18,125.39252,57750000
2023-08-17,125.545974,57850000
2023-08-16,126.154708,57850000
2023-08-15,127.98661,58000000
2023-08-14,128.402687,58050000
2023-08-11,128.555376,58100000
2023-08-10,128.155081,58100000
2023-08-09,127.740273,58250000
2023-08-08,127.332772,58350000
2023-08-07,126.55519,58200000
2023-08-04,127.338551,58350000
