date,nav_value,shares
2024-08-30,75.045778,700000
2024-08-29,74.379761,700000
2024-08-28,74.219627,700000
2024-08-27,75.139733,700000
2024-08-26,75.137412,700000
2024-08-23,75.946145,700000
2024-08-22,74.31848,700000
2024-08-21,74.935813,700000
2024-08-20,74.707909,700000
2024-08-19,74.850424,700000
2024-08-16,74.133904,700000
2024-08-15,73.814587,700000
2024-08-14,72.693673,700000
2024-08-13,72.80505,700000
2024-08-12,71.541526,700000
2024-08-09,71.414766,700000
2024-08-08,71.599839,700000
2024-08-07,70.705863,700000
2024-08-06,71.749749,700000
2024-08-05,70.573606,700000
2024-08-02,73.383706,700000
2024-08-01,74.011409,700000
2024-07-31,74.073199,700000
2024-07-30,72.442673,700000
2024-07-29,72.377176,700000
2024-07-26,72.412894,700000
2024-07-25,71.481072,700000
2024-07-24,71.655073,700000
2024-07-23,73.223072,700000
2024-07-22,73.177491,700000
2024-07-19,72.662275,700000
2024-07-18,73.072064,700000
2024-07-17,74.251047,700000
2024-07-16,75.486223,700000
2024-07-15,74.568985,700000
2024-07-12,74.31831,700000
2024-07-11,73.338653,700000
2024-07-10,72.118895,700000
2024-07-09,71.578363,700000
2024-07-08,71.639342,700000
2024-07-05,70.603193,700000
2024-07-03,70.532447,700000
2024-07-02,70.120387,700000
2024-07-01,70.181548,700000
2024-06-28,70.41937,600000
2024-06-27,70.093712,600000
2024-06-26,68.839084,600000
2024-06-25,68.989531,600000
2024-06-24,69.279712,600000
2024-06-21,70.233272,600000
2024-06-20,70.041456,600000
2024-06-18,70.296826,600000
2024-06-17,69.827403,600000
2024-06-14,69.852396,600000
2024-06-13,70.194356,600000
2024-06-12,69.796041,600000
2024-06-11,69.223477,600000
2024-06-10,69.581239,600000
2024-06-07,69.223205,600000
2024-06-06,69.964853,600000
2024-06-05,70.167013,600000
2024-06-04,69.529557,600000
2024-06-03,69.340389,600000
2024-05-31,69.517086,600000
2024-05-30,69.262363,600000
2024-05-29,68.538216,600000
2024-05-28,69.334159,600000
2024-05-24,69.213385,600000
2024-05-23,68.830326,600000
2024-05-22,70.008834,600000
2024-05-21,70.048571,600000
2024-05-20,69.982258,600000
2024-05-17,70.128046,600000
2024-05-16,70.380126,600000
2024-05-15,70.527603,600000
2024-05-14,69.093622,600000
2024-05-13,68.137603,600000
2024-05-10,67.839779,600000
2024-05-09,67.71975,600000
2024-05-08,66.61102,600000
2024-05-07,66.649834,600000
2024-05-06,66.386479,600000
2024-05-03,66.611719,600000
2024-05-02,66.419416,600000
2024-05-01,66.375068,600000
2024-04-30,66.597457,600000
2024-04-29,68.122347,600000
2024-04-26,67.72916,600000
2024-04-25,67.253239,600000
2024-04-24,67.317219,600000
2024-04-23,67.268072,600000
2024-04-22,66.238828,600000
2024-04-19,65.676541,600000
2024-04-18,66.542843,600000
2024-04-17,66.58331,600000
2024-04-16,67.086005,600000
2024-04-15,67.419166,600000
2024-04-12,68.628726,600000
2024-04-11,69.938674,600000
2024-04-10,69.608967,600000
2024-04-09,71.714711,600000
2024-04-08,70.747368,600000
2024-04-05,70.447425,600000
2024-04-04,70.228771,600000
2024-04-03,71.341769,600000
2024-04-02,71.090275,600000
2024-04-01,71.863285,600000
2024-03-31,72.143306,600000
2024-03-29,72.143306,600000
2024-03-28,72.143306,600000
2024-03-27,72.077793,600000
2024-03-26,70.944716,600000
2024-03-25,71.181691,600000
2024-03-22,71.099594,600000
2024-03-21,71.600818,600000
2024-03-20,71.589852,600000
2024-03-19,71.243946,600000
