date,nav_value,shares,Non-FV NAV
2024-08-30,58.163783,30400000,58.086072
2024-08-29,58.066363,30400000,58.055151
2024-08-28,57.781854,30400000,57.901046
2024-08-27,58.045125,30400000,57.901517
2024-08-26,57.756459,30400000,57.838586
2024-08-23,57.939558,30400000,57.86771
2024-08-22,57.107788,30400000,57.291814
2024-08-21,57.344166,30400000,57.148762
2024-08-20,56.924985,30400000,56.890926
2024-08-19,56.99702,30400000,56.902806
2024-08-16,56.413796,30400000,56.176296
2024-08-15,56.009311,30400000,55.976658
2024-08-14,55.489905,30400000,55.526961
2024-08-13,55.203298,30400000,54.870273
2024-08-12,54.419868,30400000,54.458477
2024-08-09,54.548256,30400000,54.444243
2024-08-08,54.273573,30400000,54.073271
2024-08-07,53.547235,30400000,54.104654
2024-08-06,53.378756,30400000,53.301564
2024-08-05,53.284091,30400000,53.37636
2024-08-02,54.488584,30400000,54.257174
2024-08-01,54.987548,30400000,55.119294
2024-07-31,55.97826,30400000,55.939706
2024-07-30,55.482342,30400000,55.396367
2024-07-29,55.299883,30400000,55.211285
2024-07-26,55.638399,31050000,55.52836
2024-07-25,54.954316,31050000,55.078575
2024-07-24,55.202095,31050000,55.447982
2024-07-23,55.696125,31050000,55.750537
2024-07-22,56.041967,31050000,55.870347
2024-07-19,55.35564,31050000,55.367429
2024-07-18,55.633272,31050000,55.920711
2024-07-17,56.120324,31050000,56.129489
2024-07-16,56.406073,31050000,56.136496
2024-07-15,56.265169,31050000,56.496752
2024-07-12,56.895007,31050000,57.052826
2024-07-11,56.22599,31050000,56.388994
2024-07-10,55.995823,31050000,55.802981
2024-07-09,55.304298,31050000,55.255328
2024-07-08,55.730361,31050000,55.852186
2024-07-05,56.050088,31050000,55.829128
2024-07-03,55.521974,31050000,55.530611
2024-07-02,54.971843,31050000,54.828916
2024-07-01,55.067884,31050000,54.986624
2024-06-28,54.642912,31050000,54.752481
2024-06-27,54.846096,31050000,54.843133
2024-06-26,54.943415,31050000,54.926026
2024-06-25,55.457607,31050000,55.327049
2024-06-24,55.441507,31050000,55.580061
2024-06-21,55.014213,31050000,54.947008
2024-06-20,55.443,31050000,55.555444
2024-06-18,55.293654,31050000,55.232523
2024-06-17,55.017736,31050000,54.74764
2024-06-14,54.689113,31050000,54.563097
2024-06-13,55.545646,31050000,55.4932
2024-06-12,56.279568,31050000,56.593514
2024-06-11,55.549928,30500000,55.366544
2024-06-10,57.46279,30500000,57.19893
2024-06-07,57.582113,30500000,57.742538
2024-06-06,58.305338,30500000,58.194068
2024-06-05,58.016792,30500000,57.717147
2024-06-04,57.479353,30500000,57.301094
2024-06-03,57.649724,30500000,57.530945
2024-05-31,57.635201,30500000,57.300423
2024-05-30,56.999788,30500000,57.033027
2024-05-29,56.486017,30500000,56.542964
2024-05-28,57.378379,30500000,57.45
2024-05-24,57.445913,30500000,57.433651
2024-05-23,57.080105,30500000,57.447241
2024-05-22,57.327078,30500000,57.431099
2024-05-21,57.764102,30500000,57.775408
2024-05-20,57.78791,30500000,57.864444
2024-05-17,57.843578,30500000,57.779346
2024-05-16,57.681773,30500000,57.799782
2024-05-15,58.018203,30500000,57.797115
2024-05-14,57.42017,30500000,57.30629
2024-05-13,57.017408,30500000,57.124507
2024-05-10,56.952718,30500000,56.868731
2024-05-09,56.666639,30500000,56.482899
2024-05-08,56.163845,30500000,56.159884
2024-05-07,55.968413,30500000,56.105744
2024-05-06,55.60737,30500000,55.468685
2024-05-03,55.191942,30500000,55.113791
2024-05-02,54.713387,30500000,54.447647
2024-05-01,54.222694,30500000,54.491056
2024-04-30,54.26071,30500000,54.618244
2024-04-29,55.090257,30500000,55.062521
2024-04-26,54.997396,30500000,54.864163
2024-04-25,54.625975,30500000,54.374946
2024-04-24,54.716696,30500000,54.570168
2024-04-23,54.878151,30500000,54.814371
2024-04-22,54.143196,30500000,53.939831
2024-04-19,53.493348,30500000,53.668159
2024-04-18,53.38147,30500000,53.622096
2024-04-17,53.485336,30500000,53.415646
2024-04-16,53.374297,30500000,53.358201
2024-04-15,53.833637,30500000,54.133672
2024-04-12,53.868182,30500000,54.081978
2024-04-11,54.712969,30500000,54.338874
2024-04-10,54.702325,30500000,54.757212
2024-04-09,55.342082,30500000,55.189552
2024-04-08,55.450001,30500000,55.492203
2024-04-05,55.193289,30500000,55.069393
2024-04-04,55.129871,30500000,55.790119
2024-04-03,55.497442,30500000,55.465796
2024-04-02,55.110515,30500000,55.020292
2024-04-01,55.369402,30500000,55.3231
2024-03-31,55.608733,30500000,--
2024-03-29,55.608733,30500000,--
2024-03-28,55.608733,30500000,55.627458
2024-03-27,55.79467,30500000,55.618388
2024-03-26,55.46056,30500000,55.595948
2024-03-25,55.441708,30500000,55.526331
2024-03-22,55.331522,30500000,55.373139
2024-03-21,55.47437,30500000,55.581245
2024-03-20,55.608325,30500000,55.045735
2024-03-19,55.065862,30500000,55.056998
2024-03-18,54.910325,30500000,55.058698
2024-03-15,55.193529,30500000,55.172957
2024-03-14,55.344235,30500000,55.35132
2024-03-13,55.707406,30500000,55.691994
2024-03-12,55.597489,30500000,55.469352
2024-03-11,55.040489,30500000,54.960376
2024-03-08,55.07755,30500000,55.323551
2024-03-07,55.302069,30500000,55.179349
2024-03-06,54.401557,30500000,54.43329
2024-03-05,53.902355,30500000,54.05826
2024-03-04,54.124566,30500000,54.126295
2024-03-01,54.13281,30500000,53.996782
2024-02-29,53.609594,30500000,53.62136
2024-02-28,53.696082,30500000,53.683587
2024-02-27,53.925574,30500000,53.934021
2024-02-26,53.838198,30500000,53.855014
2024-02-23,53.90494,30500000,53.904694
2024-02-22,53.783102,31800000,53.610061
2024-02-21,53.324135,31800000,53.140011
2024-02-20,53.210388,31800000,53.328788
2024-02-16,52.945741,31800000,53.026287
2024-02-15,52.799561,31800000,52.645287
2024-02-14,52.239587,31800000,52.076236
2024-02-13,51.662217,31800000,51.812371
2024-02-12,52.546871,31800000,52.530654
2024-02-09,52.475968,31800000,52.362155
2024-02-08,52.428383,31800000,52.279596
2024-02-07,52.37484,31800000,52.302712
2024-02-06,52.504732,31800000,52.369775
2024-02-05,52.14479,31800000,51.95441
2024-02-02,52.360986,31800000,52.332346
2024-02-01,52.901045,31800000,52.450862
2024-01-31,52.373841,31800000,52.800709
2024-01-30,52.810299,31800000,52.693881
2024-01-29,52.758988,31800000,52.42322
2024-01-26,52.577236,31800000,52.613666
2024-01-25,52.049346,31800000,51.870667
2024-01-24,51.816953,31800000,52.053922
2024-01-23,51.315764,31800000,51.121764
2024-01-22,51.480412,31800000,51.518171
2024-01-19,51.347967,31800000,51.117548
2024-01-18,51.334693,31800000,51.092676
2024-01-17,50.891611,31800000,50.750595
2024-01-16,51.331204,31800000,51.449733
2024-01-12,52.208469,31800000,52.245426
2024-01-11,52.041424,31800000,51.730797
2024-01-10,52.289738,31800000,52.228863
2024-01-09,52.10527,31800000,52.085377
2024-01-08,52.58588,31800000,52.432934
2024-01-05,52.063667,31800000,52.290683
2024-01-04,52.137635,31800000,52.314111
2024-01-03,51.844709,31800000,51.705954
2024-01-02,52.280434,31800000,52.307919
2023-12-29,52.867683,31800000,52.83793
2023-12-28,52.747878,31800000,52.99507
2023-12-27,53.130498,31800000,53.04154
2023-12-26,52.632596,31800000,52.53119
2023-12-22,52.466449,31800000,52.508781
2023-12-21,52.473398,31800000,52.325053
2023-12-20,51.766886,31800000,52.35052
2023-12-19,52.674485,31800000,52.682532
2023-12-18,52.186205,31800000,52.157432
2023-12-15,52.064408,31800000,52.305303
2023-12-14,52.64942,31800000,52.674544
2023-12-13,52.053688,31800000,51.343952
2023-12-12,51.431289,31800000,51.313633
2023-12-11,51.338644,31800000,51.233302
2023-12-08,51.228869,31800000,51.196076
2023-12-07,50.982378,31800000,50.890569
2023-12-06,50.786251,31800000,51.045274
2023-12-05,50.776914,31800000,50.868403
2023-12-04,50.913352,31800000,50.736492
2023-12-01,51.113101,31800000,50.849786
2023-11-30,50.672804,31800000,50.710977
2023-11-29,50.710305,31800000,50.704322
2023-11-28,50.494503,31800000,50.514749
2023-11-27,50.521462,31800000,50.454741
2023-11-24,50.665774,31800000,50.665653
2023-11-22,50.140599,32350000,50.003832
2023-11-21,50.118114,32350000,50.169006
2023-11-20,50.267952,32350000,50.211661
2023-11-17,50.058292,32350000,49.922037
2023-11-16,49.363706,32350000,49.38571
2023-11-15,49.448339,32350000,49.637583
2023-11-14,49.444608,32350000,49.29359
2023-11-13,48.124001,32350000,48.057217
2023-11-10,47.93058,32350000,47.600687
2023-11-09,47.827504,32350000,48.271132
2023-11-08,47.816326,32350000,47.827554
2023-11-07,47.608437,32350000,47.603277
2023-11-06,47.803858,32350000,47.93742
2023-11-03,47.887273,32350000,47.944867
2023-11-02,47.578527,32350000,47.391759
2023-11-01,46.586554,32350000,46.321929
2023-10-31,46.30721,32350000,46.137773
2023-10-30,46.208912,32350000,46.102471
2023-10-27,45.559313,32350000,45.775853
2023-10-26,45.947949,32350000,46.03293
2023-10-25,46.19964,32350000,46.4566
2023-10-24,46.473356,33050000,46.462188
2023-10-23,46.358894,33500000,46.394281
2023-10-20,46.213387,33500000,46.274342
2023-10-19,46.759585,33500000,46.824279
2023-10-18,47.107896,33500000,47.250563
2023-10-17,47.93445,33500000,47.914384
2023-10-16,47.92404,33500000,47.842009
2023-10-13,47.605775,33500000,47.54876
2023-10-12,48.007538,33500000,48.229551
2023-10-11,48.516959,33500000,48.475481
2023-10-10,48.200917,33500000,48.269384
2023-10-09,47.412371,33500000,47.121661
2023-10-06,47.556837,33500000,47.196475
2023-10-05,46.970903,33500000,46.781811
2023-10-04,46.717294,33500000,46.486857
2023-10-03,46.480382,33500000,46.478825
2023-10-02,46.991493,33500000,47.067429
2023-09-29,47.726817,33500000,47.950125
2023-09-28,47.687688,33500000,47.685312
2023-09-27,47.240763,33500000,47.262358
2023-09-26,47.531951,33500000,47.670555
2023-09-25,48.072438,33500000,47.93138
2023-09-22,48.358114,33500000,48.591777
2023-09-21,48.561804,33500000,48.749934
2023-09-20,49.224969,33500000,49.659243
2023-09-19,49.135451,33500000,49.083407
2023-09-18,49.067188,33500000,49.029571
2023-09-15,49.39712,33500000,49.518
2023-09-14,49.391449,33500000,49.393299
2023-09-13,48.888865,33500000,48.976934
2023-09-12,49.074932,33500000,49.025159
2023-09-11,49.305628,33500000,49.246139
2023-09-08,48.835663,33500000,48.939047
2023-09-07,48.776108,33500000,48.797374
2023-09-06,48.94913,33500000,48.848416
2023-09-05,49.082442,33500000,49.125112
2023-09-01,49.604519,33500000,49.695591
2023-08-31,49.758444,33500000,49.900917
2023-08-30,50.286004,33500000,50.347877
2023-08-29,50.338321,33500000,49.980043
2023-08-28,49.548995,33500000,49.387016
2023-08-25,49.065955,33500000,48.806617
2023-08-24,48.806987,33500000,49.138464
2023-08-23,49.469241,33500000,49.363764
2023-08-22,49.09146,33500000,49.188021
2023-08-21,49.242248,33500000,49.024746
2023-08-18,48.954014,33500000,48.925063
2023-08-17,49.084161,33500000,49.277198
2023-08-16,49.467538,33500000,49.784878
2023-08-15,49.729236,33500000,49.957095
2023-08-14,50.353876,33500000,50.277917
2023-08-11,50.485473,33500000,50.512673
2023-08-10,50.905046,33500000,51.276483
2023-08-09,50.641102,33500000,50.661162
2023-08-08,50.489823,33500000,50.263367
2023-08-07,50.750605,33500000,50.628764
2023-08-04,50.334562,33500000,50.663528
2023-08-03,50.215192,33500000,50.118975
2023-08-02,50.416844,33500000,50.404929
2023-08-01,51.336044,33500000,51.340777
2023-07-31,51.858145,33500000,52.015875
2023-07-28,51.894571,33500000,51.998189
2023-07-27,51.491411,33500000,51.880917
2023-07-26,51.704014,33500000,51.513161
2023-07-25,51.721429,33500000,51.708088
2023-07-24,51.524903,33500000,51.631354
2023-07-21,51.78101,33500000,51.750947
2023-07-20,51.608775,33500000,51.728635
2023-07-19,51.734052,33500000,51.696117
2023-07-18,51.78971,33500000,51.809938
2023-07-17,51.53867,33500000,51.477906
2023-07-14,51.672969,33500000,51.847337
2023-07-13,51.813033,33500000,51.670264
2023-07-12,50.959253,33500000,50.991862
2023-07-11,49.848236,33500000,49.664421
2023-07-10,49.39239,35000000,49.2568
2023-07-07,49.073847,35750000,49.051063
2023-07-06,48.88902,35750000,48.668042
2023-07-05,49.765103,35750000,49.866338
2023-07-03,50.401394,35750000,50.341836
2023-06-30,50.524219,35750000,50.454533
2023-06-29,49.760496,35750000,49.771104
2023-06-28,49.857673,35750000,49.771372
2023-06-27,49.894036,35750000,49.674873
2023-06-26,49.427027,35750000,49.444384
2023-06-23,49.391356,35750000,49.374509
2023-06-22,49.950447,35750000,49.872253
2023-06-21,50.176509,35750000,50.089216
2023-06-20,50.215011,35750000,50.078694
2023-06-16,50.890217,35750000,50.97463
2023-06-15,50.874031,35750000,50.646739
2023-06-14,50.168163,35750000,50.421453
2023-06-13,49.964329,35750000,50.002697
2023-06-12,49.629852,35750000,49.45666
2023-06-09,49.416558,35750000,49.421586
2023-06-08,49.69669,35750000,49.576226
2023-06-07,49.166845,36600000,49.27571
2023-06-06,50.488152,36600000,50.419942
2023-06-05,50.310396,36600000,50.319747
2023-06-02,50.589066,36600000,50.630736
2023-06-01,50.082922,36600000,49.91937
2023-05-31,49.464209,36600000,49.20216
2023-05-30,50.065579,36600000,50.056984
2023-05-26,50.581872,36600000,50.452094
2023-05-25,50.001233,36600000,49.945682
2023-05-24,50.165816,36600000,50.25226
