date,nav_value,shares
2024-08-30,45.036994,11500000
2024-08-29,44.891168,11500000
2024-08-28,44.416375,11500000
2024-08-27,44.810663,11500000
2024-08-26,45.193026,11500000
2024-08-23,44.869868,11550000
2024-08-22,44.086062,11550000
2024-08-21,44.140347,11550000
2024-08-20,44.009421,11550000
2024-08-19,44.803045,11550000
2024-08-16,44.438648,11550000
2024-08-15,44.414087,11550000
2024-08-14,43.804452,11550000
2024-08-13,43.648188,11550000
2024-08-12,43.791142,11550000
2024-08-09,43.395213,11550000
2024-08-08,43.331456,11550000
2024-08-07,42.426106,11550000
2024-08-06,42.527636,11550000
2024-08-05,42.174118,11550000
2024-08-02,43.209874,11550000
2024-08-01,44.480304,11550000
2024-07-31,45.576963,11550000
2024-07-30,45.075436,11550000
2024-07-29,44.604905,11700000
2024-07-26,44.843278,11700000
2024-07-25,44.498059,11750000
2024-07-24,44.206977,11750000
2024-07-23,44.452242,11750000
2024-07-22,44.932691,11750000
2024-07-19,44.988628,11800000
2024-07-18,45.344221,11800000
2024-07-17,45.490456,11800000
2024-07-16,45.456864,11850000
2024-07-15,45.164517,11850000
2024-07-12,44.687974,11850000
2024-07-11,44.536228,12050000
2024-07-10,43.970533,12050000
2024-07-09,43.428515,12050000
2024-07-08,43.785509,12100000
2024-07-05,43.944722,12100000
2024-07-03,44.422007,12100000
2024-07-02,44.017894,12100000
2024-07-01,43.914287,12100000
2024-06-28,44.017883,12100000
2024-06-27,43.923005,12100000
2024-06-26,43.82969,12250000
2024-06-25,44.125211,12250000
2024-06-24,44.216573,12200000
2024-06-21,43.286081,12200000
2024-06-20,43.56218,12200000
2024-06-18,42.996557,12250000
2024-06-17,42.790898,12150000
2024-06-14,42.722313,12150000
2024-06-13,43.067503,12150000
2024-06-12,43.542465,12200000
2024-06-11,43.729952,12250000
2024-06-10,44.182717,12200000
2024-06-07,43.760964,12350000
2024-06-06,44.283111,12350000
2024-06-05,43.985481,12400000
2024-06-04,43.841935,12650000
2024-06-03,44.50901,12750000
2024-05-31,45.504783,12850000
2024-05-30,44.670876,12900000
2024-05-29,44.460334,12900000
2024-05-28,45.261255,12900000
2024-05-24,44.80053,13050000
2024-05-23,44.574639,13250000
2024-05-22,45.011,13600000
2024-05-21,45.901278,13800000
2024-05-20,46.054055,13950000
2024-05-17,46.100726,13950000
2024-05-16,45.476682,13950000
2024-05-15,45.67524,13950000
2024-05-14,45.57035,13950000
2024-05-13,45.402832,14100000
2024-05-10,45.510783,14100000
2024-05-09,45.735304,14100000
2024-05-08,45.120817,14100000
2024-05-07,45.152653,14100000
2024-05-06,45.095218,14100000
2024-05-03,44.614751,14100000
2024-05-02,44.494541,14100000
2024-05-01,44.160372,14100000
2024-04-30,44.643147,13800000
2024-04-29,46.091141,13800000
2024-04-26,45.778998,13800000
2024-04-25,45.869202,13800000
2024-04-24,45.442575,13700000
2024-04-23,45.361571,13700000
2024-04-22,45.127018,13150000
2024-04-19,45.010954,13150000
2024-04-18,44.632328,13150000
2024-04-17,44.65825,13150000
2024-04-16,44.729742,13100000
2024-04-15,45.113639,13150000
2024-04-12,45.564342,13150000
2024-04-11,46.297016,13150000
2024-04-10,46.40753,13100000
2024-04-09,46.396638,12950000
2024-04-08,46.266236,12950000
2024-04-05,46.490648,12950000
2024-04-04,46.010484,12950000
2024-04-03,46.171443,12700000
2024-04-02,45.734432,12500000
2024-04-01,45.287821,12500000
2024-03-31,44.993062,12500000
2024-03-29,44.993062,12500000
2024-03-28,44.993062,12550000
2024-03-27,44.482552,12550000
2024-03-26,43.95065,12550000
2024-03-25,44.251713,12550000
2024-03-22,43.882974,12550000
2024-03-21,44.086167,12550000
2024-03-20,44.098873,12550000
2024-03-19,43.872502,12500000
2024-03-18,43.55448,12500000
2024-03-15,43.445544,12500000
2024-03-14,43.351565,12450000
2024-03-13,43.152835,12500000
2024-03-12,42.495427,12500000
2024-03-11,42.534605,12500000
2024-03-08,42.138766,12500000
2024-03-07,42.115343,12500000
2024-03-06,41.663479,12500000
2024-03-05,41.468907,12550000
2024-03-04,41.306625,12550000
2024-03-01,41.502481,12550000
2024-02-29,40.9321,12550000
2024-02-28,40.550643,12550000
2024-02-27,40.690703,12550000
2024-02-26,40.760756,12550000
2024-02-23,40.793064,12550000
2024-02-22,40.89842,12550000
2024-02-21,40.877643,12550000
2024-02-20,40.222191,12550000
2024-02-16,40.544503,12550000
2024-02-15,40.42943,12650000
2024-02-14,39.369116,12650000
2024-02-13,39.311872,12800000
2024-02-12,39.959041,12800000
2024-02-09,39.529088,12800000
2024-02-08,39.934924,12800000
2024-02-07,39.706336,12850000
2024-02-06,39.642883,12950000
2024-02-05,39.468332,12950000
2024-02-02,39.809402,12950000
2024-02-01,40.065853,12950000
2024-01-31,39.923521,12950000
2024-01-30,40.616384,13500000
2024-01-29,40.340032,13500000
2024-01-26,40.30702,13500000
2024-01-25,40.073485,13500000
2024-01-24,39.401457,13500000
2024-01-23,39.111144,13500000
2024-01-22,38.956973,13500000
2024-01-19,38.880769,13650000
2024-01-18,38.73653,13650000
2024-01-17,38.747223,13650000
2024-01-16,39.193706,13650000
2024-01-12,40.127673,13650000
2024-01-11,39.708476,14100000
2024-01-10,39.705934,14100000
2024-01-09,40.000962,14150000
2024-01-08,40.550589,14150000
2024-01-05,40.817608,14150000
2024-01-04,40.719301,14150000
2024-01-03,41.191779,14150000
2024-01-02,40.884859,14150000
2023-12-29,40.726208,14200000
2023-12-28,40.860901,14200000
2023-12-27,41.40124,14200000
2023-12-26,41.52929,14200000
2023-12-22,41.117822,14250000
2023-12-21,40.965189,14250000
2023-12-20,40.649817,14250000
2023-12-19,41.455747,14250000
2023-12-18,40.938071,14250000
2023-12-15,40.64563,14250000
2023-12-14,40.938893,14250000
2023-12-13,39.859427,14300000
2023-12-12,39.02418,14300000
2023-12-11,39.571334,14150000
2023-12-08,39.594102,14150000
2023-12-07,39.23154,14150000
2023-12-06,39.356637,14150000
2023-12-05,39.975224,14150000
2023-12-04,40.649342,14150000
2023-12-01,41.006532,14150000
2023-11-30,40.635859,14150000
2023-11-29,40.337309,14200000
2023-11-28,40.432196,14200000
2023-11-27,40.243647,14350000
2023-11-24,40.381546,14350000
2023-11-22,40.202894,14350000
2023-11-21,40.202714,14350000
2023-11-20,40.223975,14450000
2023-11-17,40.174482,14450000
2023-11-16,39.471718,14450000
2023-11-15,40.104887,14450000
2023-11-14,40.193436,14450000
2023-11-13,39.578014,14450000
2023-11-10,39.389064,14450000
2023-11-09,39.02505,14450000
2023-11-08,39.088042,14450000
2023-11-07,39.582074,14450000
2023-11-06,40.529229,14350000
2023-11-03,41.014046,14350000
2023-11-02,41.117224,14350000
2023-11-01,39.966272,14350000
2023-10-31,39.901264,14400000
2023-10-30,39.819242,14400000
2023-10-27,39.741083,14450000
2023-10-26,40.297979,14450000
2023-10-25,40.561429,14400000
2023-10-24,40.700042,14400000
2023-10-23,41.047416,14400000
2023-10-20,41.571307,14400000
2023-10-19,42.238562,14400000
2023-10-18,42.377204,14400000
2023-10-17,42.310161,14400000
2023-10-16,41.919694,14400000
2023-10-13,41.606378,14400000
2023-10-12,40.88175,14400000
2023-10-11,41.053783,14450000
2023-10-10,41.188154,14450000
2023-10-09,41.06801,14450000
2023-10-06,39.855636,14450000
2023-10-05,39.463714,14500000
2023-10-04,39.483128,14700000
2023-10-03,40.551001,14750000
2023-10-02,40.65979,14450000
2023-09-29,41.590641,14450000
