date,nav_value,shares
2024-08-30,93.190533,54200000
2024-08-29,92.088772,54200000
2024-08-28,92.12009,54200000
2024-08-27,93.32454,54100000
2024-08-26,93.01532,54100000
2024-08-23,93.931791,54100000
2024-08-22,92.729383,54100000
2024-08-21,94.502996,54100000
2024-08-20,93.836201,54100000
2024-08-19,94.060834,54100000
2024-08-16,92.845843,54100000
2024-08-15,92.767378,53850000
2024-08-14,90.463832,53850000
2024-08-13,90.325574,53700000
2024-08-12,88.021471,53700000
2024-08-09,87.879635,53700000
2024-08-08,87.271506,53650000
2024-08-07,84.208495,53700000
2024-08-06,85.077666,53550000
2024-08-05,84.052553,53900000
2024-08-02,86.790906,53550000
2024-08-01,89.315258,53550000
2024-07-31,91.783588,53550000
2024-07-30,88.963678,53550000
2024-07-29,90.387396,53550000
2024-07-26,90.594412,53300000
2024-07-25,89.508962,53300000
2024-07-24,90.346309,53300000
2024-07-23,94.159261,53400000
2024-07-22,94.337613,53400000
2024-07-19,92.487257,53400000
2024-07-18,93.464133,53400000
2024-07-17,93.818122,53400000
2024-07-16,97.415126,53300000
2024-07-15,97.43119,53300000
2024-07-12,97.004649,53300000
2024-07-11,96.456008,53150000
2024-07-10,98.603516,53150000
2024-07-09,97.51738,53150000
2024-07-08,97.818524,53150000
2024-07-05,97.560689,53150000
2024-07-03,96.488562,53150000
2024-07-02,95.619346,53050000
2024-07-01,94.906857,52900000
2024-06-28,94.30676,52900000
2024-06-27,94.643812,52900000
2024-06-26,94.109537,52900000
2024-06-25,94.024375,52900000
2024-06-24,92.726006,52900000
2024-06-21,94.03417,56250000
2024-06-20,94.377114,56100000
2024-06-18,95.309177,52850000
2024-06-17,95.09873,52600000
2024-06-14,94.094537,52600000
2024-06-13,93.557783,52500000
2024-06-12,93.055818,52500000
2024-06-11,91.377252,52450000
2024-06-10,90.473247,52350000
2024-06-07,89.926745,52250000
2024-06-06,90.058559,52250000
2024-06-05,90.281927,52150000
2024-06-04,87.977806,52150000
2024-06-03,87.840604,52150000
2024-05-31,87.343331,51900000
2024-05-30,87.48151,51900000
2024-05-29,89.60618,51900000
2024-05-28,90.158964,51900000
2024-05-24,89.448688,51150000
2024-05-23,88.589386,51150000
2024-05-22,88.864341,51100000
2024-05-21,88.77922,51000000
2024-05-20,88.820498,51000000
2024-05-17,87.873545,51000000
2024-05-16,87.966442,51000000
2024-05-15,88.260372,50650000
2024-05-14,86.319609,50650000
2024-05-13,85.535415,50650000
2024-05-10,85.352431,50650000
2024-05-09,85.11223,50650000
2024-05-08,85.258174,50400000
2024-05-07,85.324348,50400000
2024-05-06,85.415538,50400000
2024-05-03,84.039439,50400000
2024-05-02,82.294947,50400000
2024-05-01,81.054909,50400000
2024-04-30,81.743806,50300000
2024-04-29,83.409788,50300000
2024-04-26,83.654374,50300000
2024-04-25,81.709451,50300000
2024-04-24,82.483287,50300000
2024-04-23,82.433014,50100000
2024-04-22,80.907765,49400000
2024-04-19,79.996098,50250000
2024-04-18,82.281585,50250000
2024-04-17,82.707383,50600000
2024-04-16,83.866991,50600000
2024-04-15,83.631644,50400000
2024-04-12,85.354733,50600000
2024-04-11,87.030922,50600000
2024-04-10,85.466302,50600000
2024-04-09,86.2491,50600000
2024-04-08,85.965179,50600000
2024-04-05,86.061452,50600000
2024-04-04,84.826807,50600000
2024-04-03,86.297657,50550000
2024-04-02,85.947392,50450000
2024-04-01,86.65095,50200000
2024-03-31,86.18023,50200000
2024-03-29,86.18023,50200000
2024-03-28,86.18023,50200000
2024-03-27,86.333187,50200000
2024-03-26,86.199311,50100000
2024-03-25,86.598845,50100000
2024-03-22,86.991771,50050000
2024-03-21,86.734061,50050000
2024-03-20,86.48045,50050000
2024-03-19,85.343081,50050000
2024-03-18,85.180314,50050000
2024-03-15,84.28209,52950000
2024-03-14,85.47952,52950000
2024-03-13,86.017216,50050000
2024-03-12,86.847251,49900000
2024-03-11,84.882279,49800000
2024-03-08,85.564939,49750000
2024-03-07,87.237299,49800000
2024-03-06,85.402431,49500000
2024-03-05,84.378373,49500000
2024-03-04,86.148197,49500000
2024-03-03,86.004062,49200000
2024-03-02,86.004062,49200000
2024-03-01,86.004062,49200000
2024-02-29,84.225172,49200000
2024-02-28,83.131911,49200000
2024-02-27,83.72342,49200000
2024-02-26,83.568468,48900000
2024-02-25,83.548858,48900000
2024-02-24,83.548858,48900000
2024-02-23,83.548858,48900000
2024-02-22,83.717137,48900000
2024-02-21,80.26227,48900000
2024-02-20,81.090969,49200000
2024-02-19,82.214508,49200000
2024-02-18,82.214508,49200000
2024-02-17,82.214508,49200000
2024-02-16,82.214508,49200000
2024-02-15,83.23313,49200000
2024-02-14,83.295897,49200000
2024-02-13,81.798179,49200000
2024-02-12,83.323358,49200000
2024-02-11,83.812562,49200000
2024-02-10,83.812562,49200000
2024-02-09,83.812562,49200000
2024-02-08,82.54593,49200000
2024-02-07,82.076535,49200000
2024-02-06,80.792663,49200000
2024-02-05,81.249397,49200000
2024-02-04,81.134233,49200000
2024-02-03,81.134233,49200000
2024-02-02,81.134233,49200000
2024-02-01,78.91924,49200000
2024-01-31,77.996582,49200000
2024-01-30,79.988828,49200000
2024-01-29,80.568132,49200000
2024-01-28,79.515408,49200000
2024-01-27,79.515408,49200000
2024-01-26,79.515408,49200000
2024-01-25,80.229458,49200000
2024-01-24,79.775732,49200000
2024-01-23,79.013578,49200000
2024-01-22,78.672075,49200000
2024-01-21,78.308226,49200000
2024-01-20,78.308226,49200000
2024-01-19,78.308226,49200000
2024-01-18,76.387273,49200000
2024-01-17,75.051378,49200000
2024-01-16,75.466968,49200000
2024-01-15,75.314217,49200000
2024-01-14,75.314217,49200000
2024-01-13,75.314217,49200000
2024-01-12,75.314217,49200000
2024-01-11,75.124816,49200000
2024-01-10,74.775169,49200000
2024-01-09,74.028705,49200000
2024-01-08,73.769851,49200000
2024-01-07,71.761932,49200000
2024-01-06,71.761932,49200000
2024-01-05,71.761932,49200000
2024-01-04,71.563848,49200000
2024-01-03,71.86658,49200000
2024-01-02,72.743916,50400000
2024-01-01,74.670357,50400000
2023-12-31,74.670357,50400000
2023-12-30,74.670357,50400000
2023-12-29,74.670357,50400000
2023-12-28,75.088959,50400000
2023-12-27,75.068537,50400000
2023-12-26,75.046666,50400000
2023-12-25,74.569881,50400000
2023-12-24,74.569881,50400000
2023-12-23,74.569881,50400000
2023-12-22,74.569881,50400000
2023-12-21,74.446747,50400000
2023-12-20,73.356461,50400000
2023-12-19,74.628426,50400000
2023-12-18,74.248845,50400000
2023-12-17,73.669691,50400000
2023-12-16,73.669691,50400000
2023-12-15,73.669691,50400000
2023-12-14,73.187217,50400000
2023-12-13,73.034401,50400000
2023-12-12,72.291627,50400000
2023-12-11,71.752098,50400000
2023-12-10,71.192025,50400000
2023-12-09,71.192025,50400000
2023-12-08,71.192025,50400000
2023-12-07,70.622627,50400000
2023-12-06,69.409642,50400000
2023-12-05,70.066165,50400000
2023-12-04,69.87073,50400000
2023-12-03,70.771142,50400000
2023-12-02,70.771142,50400000
2023-12-01,70.771142,50400000
2023-11-30,70.473135,50400000
2023-11-29,70.696564,50400000
2023-11-28,70.528374,50100000
2023-11-27,70.401625,50100000
2023-11-26,70.478186,49800000
2023-11-25,70.478186,49800000
2023-11-24,70.478186,49800000
2023-11-23,70.661897,49800000
2023-11-22,70.661897,49800000
2023-11-21,70.419562,49500000
2023-11-20,70.883096,49500000
2023-11-19,69.890558,49500000
2023-11-18,69.890558,49500000
2023-11-17,69.890558,49500000
2023-11-16,69.86607,49800000
2023-11-15,69.682152,49800000
2023-11-14,69.635794,49800000
2023-11-13,67.99187,49800000
2023-11-12,68.229088,49800000
2023-11-11,68.229088,49800000
2023-11-10,68.229088,49800000
2023-11-09,66.490064,49800000
2023-11-08,66.857447,49800000
2023-11-07,66.511232,49800000
2023-11-06,65.763842,49800000
2023-11-05,65.567166,49800000
2023-11-04,65.567166,49800000
2023-11-03,65.567166,49800000
2023-11-02,64.519213,49200000
2023-11-01,63.437617,49200000
2023-10-31,62.312241,49200000
2023-10-30,61.902287,49200000
2023-10-29,61.289588,49200000
2023-10-28,61.289588,49200000
2023-10-27,61.289588,49200000
2023-10-26,60.968027,49200000
2023-10-25,62.08,49200000
2023-10-24,64.099917,49200000
2023-10-23,63.494253,49200000
2023-10-22,63.282687,49200000
2023-10-21,63.282687,49200000
2023-10-20,63.282687,49200000
2023-10-19,64.428648,49200000
2023-10-18,64.770902,49200000
2023-10-17,65.798605,49200000
2023-10-16,66.047006,49200000
2023-10-15,65.189234,49200000
2023-10-14,65.189234,49200000
2023-10-13,65.189234,49200000
2023-10-12,66.356936,49200000
2023-10-11,66.577213,49200000
2023-10-10,65.945014,49200000
2023-10-09,65.664849,49200000
2023-10-08,65.388631,49200000
2023-10-07,65.388631,49200000
2023-10-06,65.388631,49200000
2023-10-05,64.005203,49200000
2023-10-04,64.049506,49200000
2023-10-03,63.209021,49200000
2023-10-02,64.438367,48900000
2023-10-01,63.748647,48900000
2023-09-30,63.748647,48900000
2023-09-29,63.748647,48900000
2023-09-28,63.650032,48900000
2023-09-27,62.974396,48900000
2023-09-26,62.648993,48900000
2023-09-25,63.752138,48900000
2023-09-24,63.475919,48900000
2023-09-23,63.475919,48900000
2023-09-22,63.475919,48900000
2023-09-21,63.209855,48900000
2023-09-20,64.47757,48900000
2023-09-19,65.514355,48900000
2023-09-18,65.626035,48900000
2023-09-17,65.451977,48900000
2023-09-16,65.451977,48900000
2023-09-15,65.451977,48900000
2023-09-14,66.798448,48900000
