date,nav_value,shares
2024-08-30,86.82052,73700000
2024-08-29,86.316478,73000000
2024-08-28,85.263195,73100000
2024-08-27,86.371227,73250000
2024-08-26,86.101822,73500000
2024-08-23,86.404983,73750000
2024-08-22,85.878336,73800000
2024-08-21,87.212571,74050000
2024-08-20,86.679855,73950000
2024-08-19,86.487705,73750000
2024-08-16,85.543914,74100000
2024-08-15,85.408407,73250000
2024-08-14,83.884697,73350000
2024-08-13,83.420688,74000000
2024-08-12,81.948919,74150000
2024-08-09,82.442837,74050000
2024-08-08,81.52477,74650000
2024-08-07,78.968412,74600000
2024-08-06,79.136123,73900000
2024-08-05,78.001866,73350000
2024-08-02,80.238478,78600000
2024-08-01,83.040699,79200000
2024-07-31,84.628428,79050000
2024-07-30,83.456667,79350000
2024-07-29,84.262402,78100000
2024-07-26,84.764905,77900000
2024-07-25,83.660875,75900000
2024-07-24,82.87194,77200000
2024-07-23,85.774714,78800000
2024-07-22,85.643082,79550000
2024-07-19,84.84287,80450000
2024-07-18,85.025678,80200000
2024-07-17,86.336741,80000000
2024-07-16,88.265848,81200000
2024-07-15,87.953356,80900000
2024-07-12,87.282992,79350000
2024-07-11,86.398087,79100000
2024-07-10,86.667209,78400000
2024-07-09,86.692173,78800000
2024-07-08,88.103567,79150000
2024-07-05,88.915682,78800000
2024-07-03,87.957431,78750000
2024-07-02,87.762842,78650000
2024-07-01,87.323955,78400000
2024-06-28,86.829822,78450000
2024-06-27,86.420491,77750000
2024-06-26,84.645797,78250000
2024-06-25,84.586196,78600000
2024-06-24,83.902266,79150000
2024-06-21,84.725238,78850000
2024-06-20,83.924005,78100000
2024-06-18,83.991277,78000000
2024-06-17,83.752471,77500000
2024-06-14,83.000073,77200000
2024-06-13,81.85389,77700000
2024-06-12,82.75776,77150000
2024-06-11,80.902847,76050000
2024-06-10,80.618975,73400000
2024-06-07,80.355446,73600000
2024-06-06,80.272523,73050000
2024-06-05,80.024982,69550000
2024-06-04,78.24481,70450000
2024-06-03,77.955239,69800000
2024-05-31,78.048929,71850000
2024-05-30,77.420314,74150000
2024-05-29,82.073081,73600000
2024-05-28,82.350109,74200000
2024-05-24,82.886852,74650000
2024-05-23,83.737893,74700000
2024-05-22,84.423181,75500000
2024-05-21,84.487465,75300000
2024-05-20,85.095001,74750000
2024-05-17,84.243022,74850000
2024-05-16,83.837084,74650000
2024-05-15,84.060943,76350000
2024-05-14,81.987725,75250000
2024-05-13,81.498717,75650000
2024-05-10,81.420862,76050000
2024-05-09,81.143393,75750000
2024-05-08,81.234369,76250000
2024-05-07,81.585861,76400000
2024-05-06,82.0312,76750000
2024-05-03,80.840337,76800000
2024-05-02,79.879305,76500000
2024-05-01,79.068098,76900000
2024-04-30,78.952238,77400000
2024-04-29,80.956134,77650000
2024-04-26,81.127492,77600000
2024-04-25,80.205431,78000000
2024-04-24,80.932601,78400000
2024-04-23,80.883882,77650000
2024-04-22,79.382377,77700000
2024-04-19,78.559789,77550000
2024-04-18,79.461576,77200000
2024-04-17,80.044326,77600000
2024-04-16,80.730508,78150000
2024-04-15,80.473343,77900000
2024-04-12,82.736527,78500000
2024-04-11,84.174547,79100000
2024-04-10,83.625945,80150000
2024-04-09,84.707443,80300000
2024-04-08,84.445846,80650000
2024-04-05,84.218075,87250000
2024-04-04,83.227777,87250000
2024-04-03,84.283551,87400000
2024-04-02,84.126858,87450000
2024-04-01,85.016476,87400000
2024-03-31,85.344364,87400000
2024-03-29,85.344364,87400000
2024-03-28,85.344364,87450000
2024-03-27,85.41773,87850000
2024-03-26,85.859054,87400000
2024-03-25,85.696813,87800000
2024-03-22,85.979453,87900000
2024-03-21,86.571514,87700000
2024-03-20,85.999061,87550000
2024-03-19,85.115466,87500000
2024-03-18,84.534751,86500000
2024-03-15,83.563243,88350000
2024-03-14,85.938335,87200000
2024-03-13,86.427253,87500000
2024-03-12,86.993719,87250000
2024-03-11,85.127586,86250000
2024-03-08,84.957793,86700000
2024-03-07,85.438993,87500000
2024-03-06,84.364138,88000000
2024-03-05,83.243145,89250000
2024-03-04,86.569797,89250000
2024-03-03,86.88463,89250000
2024-03-02,86.88463,89250000
2024-03-01,86.88463,89250000
2024-02-29,86.122477,89250000
2024-02-28,85.364339,89000000
2024-02-27,85.55906,90250000
2024-02-26,85.478226,89750000
2024-02-25,84.674372,89750000
2024-02-24,84.674372,89750000
2024-02-23,84.674372,89750000
2024-02-22,84.288527,89250000
