date,nav_value,shares
2024-08-30,122.892353,63150000
2024-08-29,122.000994,63150000
2024-08-28,121.517056,63150000
2024-08-27,121.748157,63150000
2024-08-26,122.100433,63200000
2024-08-23,122.406294,63200000
2024-08-22,119.595995,63200000
2024-08-21,120.249306,63200000
2024-08-20,119.115955,63200000
2024-08-19,120.189833,63200000
2024-08-16,119.173074,63200000
2024-08-15,118.736666,63200000
2024-08-14,116.63269,63300000
2024-08-13,116.545135,63350000
2024-08-12,115.132296,63350000
2024-08-09,115.880165,63450000
2024-08-08,115.888502,63450000
2024-08-07,113.571046,63350000
2024-08-06,114.254353,63450000
2024-08-05,113.193653,63550000
2024-08-02,116.536998,63350000
2024-08-01,119.673642,63600000
2024-07-31,122.13057,63600000
2024-07-30,121.709432,63550000
2024-07-29,120.906671,63550000
2024-07-26,121.067263,63450000
2024-07-25,119.164162,63500000
2024-07-24,117.734781,63500000
2024-07-23,119.606441,63500000
2024-07-22,119.290738,63550000
2024-07-19,118.015672,63550000
2024-07-18,118.916866,64300000
2024-07-17,120.451873,64300000
2024-07-16,121.14841,64300000
2024-07-15,118.126844,64300000
2024-07-12,117.315522,64300000
2024-07-11,116.299405,64300000
2024-07-10,113.209057,64350000
2024-07-09,111.90917,64350000
2024-07-08,112.421166,64450000
2024-07-05,112.054507,64450000
2024-07-03,113.023918,64450000
2024-07-02,113.007303,64750000
2024-07-01,112.51163,64750000
2024-06-28,113.577884,64900000
2024-06-27,112.876898,64900000
2024-06-26,112.578967,64950000
2024-06-25,112.875179,64950000
2024-06-24,114.048923,64950000
2024-06-21,113.217779,64950000
2024-06-20,112.809173,64950000
2024-06-18,112.841415,64950000
2024-06-17,112.77392,64950000
2024-06-14,111.866924,64950000
2024-06-13,113.123383,65000000
2024-06-12,113.905004,65000000
2024-06-11,112.847872,65000000
2024-06-10,113.984564,65000000
2024-06-07,114.065816,65000000
2024-06-06,115.15019,65000000
2024-06-05,115.13255,65000000
2024-06-04,114.385871,65050000
2024-06-03,115.884754,65050000
2024-05-31,116.32466,65100000
2024-05-30,114.613457,65150000
2024-05-29,113.159392,65200000
2024-05-28,114.678164,65200000
2024-05-24,115.338111,65250000
2024-05-23,114.488938,65250000
2024-05-22,116.279909,65250000
2024-05-21,117.196459,65300000
2024-05-20,117.453517,65300000
2024-05-17,117.703832,65350000
2024-05-16,117.65997,65350000
2024-05-15,118.400426,65350000
2024-05-14,117.989918,65350000
2024-05-13,116.661964,65350000
2024-05-10,116.328132,65350000
2024-05-09,116.326488,65350000
2024-05-08,115.200107,64600000
2024-05-07,115.2109,64650000
2024-05-06,115.096308,64650000
2024-05-03,113.800224,64650000
2024-05-02,112.779786,64700000
2024-05-01,111.406118,64700000
2024-04-30,111.145274,64750000
2024-04-29,112.925541,64750000
2024-04-26,112.28713,64750000
2024-04-25,111.996059,64750000
2024-04-24,112.73531,64750000
2024-04-23,112.551087,64550000
2024-04-22,111.564139,64550000
2024-04-19,110.550928,64550000
2024-04-18,109.495808,64550000
2024-04-17,109.434375,64600000
2024-04-16,110.124328,64600000
2024-04-15,110.763105,64600000
2024-04-12,111.923091,64600000
2024-04-11,113.778325,64600000
2024-04-10,113.811003,64600000
2024-04-09,116.64494,64600000
2024-04-08,116.142116,64600000
2024-04-05,115.374981,64600000
2024-04-04,114.870381,64600000
2024-04-03,116.031288,64600000
2024-04-02,115.736825,64600000
2024-04-01,117.258111,64600000
2024-03-31,118.31375,64600000
2024-03-29,118.31375,64600000
2024-03-28,118.31375,64600000
2024-03-27,117.672974,64600000
2024-03-26,115.173775,64550000
2024-03-25,115.438533,64550000
2024-03-22,115.329674,64600000
2024-03-21,116.461719,64600000
2024-03-20,115.599007,64600000
2024-03-19,113.931704,64600000
2024-03-18,113.159807,64600000
2024-03-15,113.50063,64700000
2024-03-14,113.348096,64700000
2024-03-13,114.971392,64700000
2024-03-12,114.780792,64700000
2024-03-11,114.744547,64700000
2024-03-08,114.824203,64700000
2024-03-07,114.932484,64700000
2024-03-06,113.906511,64700000
2024-03-05,113.506444,64700000
2024-03-04,113.465377,64700000
2024-03-01,113.13796,64700000
2024-02-29,112.613883,64700000
2024-02-28,112.010037,64700000
2024-02-27,112.362316,64700000
2024-02-26,111.734488,64750000
2024-02-23,112.27478,64750000
2024-02-22,112.133487,64750000
2024-02-21,111.548821,64750000
2024-02-20,111.154168,64750000
2024-02-16,111.84617,64750000
2024-02-15,112.683126,64750000
2024-02-14,110.834185,64800000
2024-02-13,109.494886,64900000
2024-02-12,112.829253,64900000
2024-02-09,111.4308,64900000
2024-02-08,110.733701,64950000
2024-02-07,109.918633,65000000
2024-02-06,109.857807,65000000
2024-02-05,109.43993,64850000
2024-02-02,111.023795,64800000
2024-02-01,111.508218,64800000
2024-01-31,110.483816,64900000
2024-01-30,112.835268,64950000
2024-01-29,113.206669,64950000
2024-01-26,112.272733,64950000
2024-01-25,111.959301,64950000
2024-01-24,111.320847,64900000
2024-01-23,111.848066,64900000
2024-01-22,112.179243,64900000
2024-01-19,110.970399,64900000
2024-01-18,109.906321,64900000
2024-01-17,109.209527,64900000
2024-01-16,110.248154,64900000
2024-01-12,111.214404,64900000
2024-01-11,111.485663,64900000
2024-01-10,112.100516,64900000
2024-01-09,111.956098,64850000
2024-01-08,112.879586,64850000
2024-01-05,111.66775,64850000
2024-01-04,111.1535,64850000
2024-01-03,111.366203,64650000
2024-01-02,113.984588,64500000
2023-12-29,114.020007,64500000
2023-12-28,115.126067,64500000
2023-12-27,114.943243,64500000
2023-12-26,114.96166,64500000
2023-12-22,114.088806,64450000
2023-12-21,113.685112,64450000
2023-12-20,112.231969,64400000
2023-12-19,114.569347,64450000
2023-12-18,113.014763,64450000
2023-12-15,112.786933,78850000
2023-12-14,113.951833,78850000
2023-12-13,110.600519,64400000
2023-12-12,107.53327,64400000
2023-12-11,107.976279,64400000
2023-12-08,107.366528,64350000
2023-12-07,106.907307,64350000
2023-12-06,106.148232,64400000
2023-12-05,106.209419,64400000
2023-12-04,107.835317,64450000
