date,nav_value,shares
2024-08-30,91.113027,108550000
2024-08-29,90.416852,108550000
2024-08-28,90.216709,108550000
2024-08-27,90.945933,108650000
2024-08-26,91.288193,108650000
2024-08-23,91.685759,108650000
2024-08-22,89.854892,108600000
2024-08-21,90.579906,108550000
2024-08-20,89.120658,108550000
2024-08-19,89.916424,108550000
2024-08-16,89.031639,108600000
2024-08-15,89.196144,108550000
2024-08-14,87.45456,108550000
2024-08-13,87.573402,108550000
2024-08-12,86.344964,108550000
2024-08-09,86.923111,108550000
2024-08-08,86.956014,108650000
2024-08-07,84.969192,108650000
2024-08-06,85.840446,108650000
2024-08-05,84.924481,108650000
2024-08-02,87.142988,108150000
2024-08-01,89.805887,107700000
2024-07-31,91.803963,107700000
2024-07-30,91.038911,107700000
2024-07-29,91.02715,107700000
2024-07-26,91.214822,107700000
2024-07-25,89.724136,107650000
2024-07-24,89.17339,107650000
2024-07-23,91.302404,107650000
2024-07-22,91.173808,107650000
2024-07-19,89.934613,107500000
2024-07-18,90.530828,107400000
2024-07-17,91.374347,107350000
2024-07-16,93.439171,107350000
2024-07-15,91.210043,107350000
2024-07-12,90.717793,107350000
2024-07-11,89.893395,107350000
2024-07-10,87.967915,107250000
2024-07-09,86.874285,107250000
2024-07-08,87.544326,107250000
2024-07-05,87.23472,107250000
2024-07-03,87.813149,107250000
2024-07-02,87.404837,107450000
2024-07-01,87.171194,107950000
2024-06-28,88.104447,107800000
2024-06-27,88.092236,107800000
2024-06-26,87.705482,107900000
2024-06-25,88.007198,107900000
2024-06-24,88.852316,107900000
2024-06-21,88.369309,107900000
2024-06-20,88.02603,107950000
2024-06-18,88.513285,107950000
2024-06-17,88.064549,107950000
2024-06-14,87.204941,107950000
2024-06-13,88.523016,108050000
2024-06-12,88.926594,108050000
2024-06-11,87.470365,108050000
2024-06-10,87.880592,108050000
2024-06-07,87.490887,108100000
2024-06-06,87.998395,108200000
2024-06-05,88.486469,108300000
2024-06-04,87.236188,108350000
2024-06-03,88.411911,108350000
2024-05-31,89.391974,108350000
2024-05-30,88.664175,107300000
2024-05-29,87.970107,107850000
2024-05-28,89.072978,107750000
2024-05-24,89.718973,107750000
2024-05-23,88.891903,107700000
2024-05-22,89.805118,107650000
2024-05-21,90.557538,107650000
2024-05-20,90.655306,107650000
2024-05-17,90.272958,107600000
2024-05-16,90.17716,107600000
2024-05-15,91.122137,107550000
2024-05-14,90.252431,107500000
2024-05-13,89.497615,107500000
2024-05-10,89.888948,107500000
2024-05-09,90.009967,107500000
2024-05-08,89.156569,107550000
2024-05-07,89.603772,107450000
2024-05-06,89.346837,107450000
2024-05-03,87.906177,107550000
2024-05-02,86.993481,107450000
2024-05-01,85.869722,107400000
2024-04-30,85.868049,107350000
2024-04-29,87.540721,107350000
2024-04-26,86.997385,107350000
2024-04-25,86.723985,107350000
2024-04-24,86.990253,107150000
2024-04-23,87.035209,107350000
2024-04-22,85.63484,107350000
2024-04-19,84.854875,107350000
2024-04-18,84.973603,107350000
2024-04-17,85.313913,107300000
2024-04-16,86.184151,107300000
2024-04-15,86.537186,107300000
2024-04-12,87.490677,107250000
2024-04-11,88.859825,107350000
2024-04-10,88.749819,107300000
2024-04-09,90.191328,107200000
2024-04-08,90.36203,107200000
2024-04-05,90.165426,107200000
2024-04-04,89.107392,107200000
2024-04-03,90.097697,106900000
2024-04-02,89.721847,106600000
2024-04-01,90.86494,103350000
2024-03-31,91.35464,103350000
2024-03-29,91.35464,103350000
2024-03-28,91.35464,103350000
2024-03-27,91.098761,103350000
2024-03-26,89.959072,102800000
2024-03-25,90.07242,102550000
2024-03-22,90.189002,102550000
2024-03-21,90.650979,102550000
2024-03-20,89.726999,102550000
2024-03-19,88.603991,102500000
2024-03-18,87.89936,102500000
2024-03-15,87.990898,107900000
2024-03-14,88.23085,107900000
2024-03-13,89.14841,102500000
2024-03-12,88.69677,102350000
2024-03-11,87.890368,102450000
2024-03-08,88.58546,102400000
2024-03-07,89.406082,102300000
2024-03-06,88.481511,102200000
2024-03-05,87.670928,102050000
2024-03-04,88.212588,101950000
2024-03-01,87.29761,101850000
2024-02-29,86.523881,101850000
2024-02-28,85.58331,101800000
2024-02-27,85.317337,101800000
2024-02-26,85.046607,101800000
2024-02-23,84.88372,101900000
2024-02-22,84.791856,101850000
2024-02-21,82.813022,101900000
2024-02-20,82.784556,101900000
2024-02-16,83.462262,101900000
2024-02-15,84.377266,101900000
2024-02-14,82.801787,101950000
2024-02-13,81.452772,102050000
2024-02-12,83.08673,102200000
2024-02-09,82.569488,102200000
2024-02-08,81.851501,102200000
2024-02-07,80.983571,102400000
2024-02-06,80.296282,102400000
2024-02-05,79.8456,102450000
2024-02-02,80.505615,102600000
2024-02-01,80.17649,102950000
2024-01-31,78.882709,102950000
2024-01-30,80.172977,102950000
2024-01-29,80.232641,102950000
2024-01-26,79.435577,103000000
2024-01-25,79.435203,103000000
2024-01-24,78.971335,103000000
2024-01-23,79.564356,103000000
2024-01-22,79.941076,103050000
2024-01-19,79.029498,103050000
2024-01-18,78.211747,103050000
2024-01-17,77.444719,103200000
2024-01-16,77.820958,103200000
2024-01-12,78.154555,103200000
2024-01-11,78.078152,103200000
2024-01-10,78.025793,103300000
2024-01-09,77.749661,103300000
2024-01-08,78.079315,103400000
2024-01-05,76.931132,103400000
2024-01-04,76.794792,103400000
2024-01-03,76.906313,103950000
2024-01-02,78.68742,105650000
2023-12-29,79.184267,105650000
2023-12-28,79.853404,105650000
2023-12-27,80.013873,105650000
2023-12-26,79.965667,105600000
2023-12-22,79.36337,105500000
2023-12-21,79.101303,105450000
2023-12-20,78.027665,105300000
2023-12-19,79.495914,105250000
2023-12-18,78.62441,105250000
2023-12-15,78.514922,105250000
2023-12-14,79.150596,105200000
2023-12-13,77.694235,105200000
2023-12-12,76.016949,105000000
2023-12-11,76.029954,105000000
2023-12-08,75.662253,105000000
2023-12-07,75.326407,104850000
2023-12-06,75.001301,104300000
2023-12-05,75.189124,104300000
2023-12-04,76.088154,104250000
2023-12-01,75.586174,103450000
2023-11-30,73.991228,103450000
2023-11-29,73.504354,103350000
2023-11-28,73.213797,103350000
2023-11-27,73.877557,102500000
2023-11-24,73.975209,102250000
2023-11-22,73.658589,102150000
2023-11-21,73.223472,102150000
2023-11-20,73.487889,102200000
2023-11-17,73.167474,102200000
2023-11-16,72.650465,102200000
2023-11-15,73.397616,102100000
2023-11-14,73.287207,102150000
2023-11-13,70.833451,102150000
2023-11-10,70.796667,102150000
2023-11-09,69.920816,102150000
2023-11-08,70.515013,102150000
2023-11-07,70.883273,102150000
2023-11-06,71.102064,101950000
2023-11-03,71.692443,102050000
2023-11-02,70.553904,102050000
2023-11-01,69.313367,101900000
2023-10-31,68.774738,101900000
2023-10-30,68.187567,101900000
2023-10-27,67.785727,101900000
2023-10-26,68.503985,101900000
2023-10-25,68.252188,101900000
2023-10-24,69.392037,101900000
2023-10-23,69.011432,101900000
2023-10-20,69.660104,101900000
2023-10-19,70.500376,102450000
2023-10-18,71.465607,102450000
2023-10-17,72.98653,102500000
2023-10-16,72.200967,102500000
2023-10-13,71.071428,102500000
2023-10-12,71.390957,102500000
2023-10-11,72.741781,102350000
2023-10-10,72.578717,102500000
2023-10-09,71.942687,102500000
2023-10-06,71.273554,102300000
2023-10-05,70.645116,101950000
2023-10-04,70.696756,102150000
2023-10-03,70.402495,102150000
2023-10-02,71.383944,102150000
2023-09-29,72.292435,102150000
2023-09-28,72.680238,102150000
2023-09-27,72.041557,102300000
2023-09-26,71.467226,102300000
2023-09-25,72.702895,102350000
2023-09-22,72.238222,102350000
2023-09-21,72.285222,102550000
2023-09-20,73.641872,102600000
2023-09-19,74.140981,102600000
2023-09-18,74.328765,102600000
2023-09-15,74.275082,102600000
2023-09-14,75.138448,102600000
2023-09-13,74.320082,102650000
2023-09-12,74.673245,102750000
2023-09-11,74.604624,102750000
2023-09-08,74.401928,103500000
2023-09-07,74.423752,104550000
2023-09-06,74.957056,104600000
2023-09-05,75.080039,104750000
2023-09-01,76.860204,105550000
2023-08-31,76.224464,105550000
2023-08-30,76.260617,105550000
2023-08-29,76.061948,105550000
2023-08-28,75.030142,105550000
2023-08-25,74.47738,105550000
2023-08-24,74.09785,105550000
2023-08-23,74.936535,105550000
2023-08-22,74.182543,105450000
2023-08-21,74.454829,105450000
2023-08-18,74.277463,105450000
2023-08-17,73.984933,105500000
2023-08-16,75.03907,105500000
2023-08-15,75.58172,105550000
2023-08-14,76.505188,105550000
2023-08-11,76.256458,105750000
2023-08-10,76.222083,105750000
2023-08-09,76.283069,105700000
2023-08-08,76.625316,105700000
2023-08-07,77.277246,105700000
2023-08-04,76.65368,105700000
2023-08-03,76.577861,105700000
2023-08-02,76.759783,105700000
2023-08-01,77.700414,105850000
2023-07-31,77.854891,105850000
2023-07-28,77.624227,105850000
2023-07-27,76.963825,105850000
2023-07-26,77.91056,105900000
2023-07-25,77.710226,105900000
2023-07-24,77.453533,105900000
2023-07-21,77.497751,105900000
2023-07-20,77.481578,105900000
