date,nav_value,shares
2024-08-30,116.521509,744800000
2024-08-29,115.900884,745050000
2024-08-28,115.341499,745250000
2024-08-27,115.644914,745100000
2024-08-26,116.275295,745100000
2024-08-23,116.433328,744600000
2024-08-22,113.030439,744650000
2024-08-21,113.947957,744400000
2024-08-20,112.591616,744400000
2024-08-19,113.941344,744050000
2024-08-16,112.955393,743900000
2024-08-15,112.645621,743900000
2024-08-14,110.108962,744050000
2024-08-13,110.578899,744050000
2024-08-12,108.746668,743800000
2024-08-09,110.091828,743550000
2024-08-08,110.280028,743500000
2024-08-07,107.779174,743300000
2024-08-06,108.988791,743100000
2024-08-05,107.643843,742800000
2024-08-02,111.218265,738400000
2024-08-01,115.074878,734050000
2024-07-31,118.246445,733800000
2024-07-30,117.602148,732850000
2024-07-29,116.893302,732350000
2024-07-26,117.695903,731850000
2024-07-25,115.604259,732400000
2024-07-24,114.021902,730300000
2024-07-23,116.186963,729650000
2024-07-22,115.354988,728750000
2024-07-19,113.664113,728850000
2024-07-18,114.443083,727150000
2024-07-17,116.173185,726650000
2024-07-16,116.77684,725750000
2024-07-15,112.747897,726050000
2024-07-12,111.185822,725250000
2024-07-11,110.178307,725300000
2024-07-10,106.640913,725300000
2024-07-09,105.462112,725200000
2024-07-08,106.169933,725150000
2024-07-05,105.585932,725450000
2024-07-03,106.353963,725550000
2024-07-02,106.252701,725550000
2024-07-01,105.835173,725250000
2024-06-28,106.738655,724100000
2024-06-27,105.697313,722550000
2024-06-26,105.258107,722500000
2024-06-25,105.257195,722850000
2024-06-24,106.159402,722850000
2024-06-21,105.46447,724650000
2024-06-20,105.349387,724400000
2024-06-18,105.661837,724200000
2024-06-17,105.60428,724150000
2024-06-14,104.633078,724150000
2024-06-13,106.277708,724300000
2024-06-12,107.365244,724300000
2024-06-11,105.618561,724450000
2024-06-10,106.450222,724400000
2024-06-07,106.931901,725100000
2024-06-06,108.114536,725100000
2024-06-05,108.799321,725100000
2024-06-04,107.643212,724350000
2024-06-03,109.163604,724400000
2024-05-31,109.61834,724350000
2024-05-30,108.42768,724500000
2024-05-29,107.125869,724500000
2024-05-28,108.448268,724550000
2024-05-24,108.839316,724550000
2024-05-23,107.862642,724550000
2024-05-22,109.387985,724800000
2024-05-21,110.131628,724800000
2024-05-20,110.21511,724600000
2024-05-17,110.299372,724550000
2024-05-16,110.453454,724550000
2024-05-15,110.841257,724600000
2024-05-14,110.40131,724950000
2024-05-13,109.22171,725200000
2024-05-10,109.068048,725800000
2024-05-09,109.500645,726150000
2024-05-08,108.251051,726050000
2024-05-07,108.481704,726050000
2024-05-06,108.276127,726050000
2024-05-03,107.150741,725550000
2024-05-02,106.307837,725550000
2024-05-01,104.737975,725750000
2024-04-30,104.370442,725500000
2024-04-29,106.387969,725500000
2024-04-26,105.676033,725650000
2024-04-25,104.863429,726650000
2024-04-24,105.733908,726750000
2024-04-23,106.01404,726850000
2024-04-22,104.033594,726850000
2024-04-19,103.185543,727500000
2024-04-18,102.260959,727800000
2024-04-17,102.168829,728050000
2024-04-16,102.976208,728250000
2024-04-15,103.570155,728500000
2024-04-12,104.504402,728500000
2024-04-11,106.196342,728450000
2024-04-10,105.693723,727850000
2024-04-09,108.890537,727950000
2024-04-08,108.326027,727800000
