date,nav_value,shares
2024-08-30,107.283936,67100000
2024-08-29,106.753209,67150000
2024-08-28,106.28873,67150000
2024-08-27,106.441121,67200000
2024-08-26,107.072519,67200000
2024-08-23,107.078581,67200000
2024-08-22,103.779417,67150000
2024-08-21,104.57433,67100000
2024-08-20,103.623674,67100000
2024-08-19,105.005552,67100000
2024-08-16,104.061985,67100000
2024-08-15,103.604025,67100000
2024-08-14,101.243372,67100000
2024-08-13,101.523469,67100000
2024-08-12,99.611837,67100000
2024-08-09,101.211996,66800000
2024-08-08,101.550563,66750000
2024-08-07,99.502319,66850000
2024-08-06,100.213173,66650000
2024-08-05,98.926221,66750000
2024-08-02,102.324935,66750000
2024-08-01,105.804907,66250000
2024-07-31,108.646696,66100000
2024-07-30,108.209233,66100000
2024-07-29,107.312773,66000000
2024-07-26,108.241114,66000000
2024-07-25,106.302211,66100000
2024-07-24,104.734488,66050000
2024-07-23,106.522088,66000000
2024-07-22,105.726458,66000000
2024-07-19,104.229333,66050000
2024-07-18,105.055204,65850000
2024-07-17,106.76177,65800000
2024-07-16,106.493965,65700000
2024-07-15,102.709151,65800000
2024-07-12,101.493312,65850000
2024-07-11,100.68837,65900000
2024-07-10,97.030689,65900000
2024-07-09,95.904313,65950000
2024-07-08,96.417412,65950000
2024-07-05,95.883306,65950000
2024-07-03,96.665586,66000000
2024-07-02,96.623174,66150000
2024-07-01,96.236096,66200000
2024-06-28,97.278733,66450000
2024-06-27,96.290306,66500000
2024-06-26,95.794997,66500000
2024-06-25,95.820452,66650000
2024-06-24,97.032935,66650000
2024-06-21,96.248856,66650000
2024-06-20,96.057643,66850000
2024-06-18,96.054682,66850000
2024-06-17,96.057859,66950000
2024-06-14,95.329472,66950000
2024-06-13,96.745043,67100000
2024-06-12,97.749758,67150000
2024-06-11,96.289075,67150000
2024-06-10,97.304115,67200000
2024-06-07,98.024823,67300000
2024-06-06,99.030963,67550000
2024-06-05,99.681816,67600000
2024-06-04,98.871438,67650000
2024-06-03,100.206279,68050000
2024-05-31,100.485562,68100000
2024-05-30,99.144016,68150000
2024-05-29,97.657092,68250000
2024-05-28,99.167529,68250000
2024-05-24,99.604259,68250000
2024-05-23,98.85352,68250000
2024-05-22,100.68412,68350000
2024-05-21,101.201575,68450000
2024-05-20,101.235383,68450000
2024-05-17,101.839777,68450000
2024-05-16,102.054277,68450000
2024-05-15,102.16474,68950000
2024-05-14,102.102043,68950000
2024-05-13,100.939922,69050000
2024-05-10,100.548516,69050000
2024-05-09,100.928021,69200000
2024-05-08,99.788651,69250000
2024-05-07,99.630833,69250000
2024-05-06,99.737156,69250000
2024-05-03,98.751897,69500000
2024-05-02,98.030906,69500000
2024-05-01,96.440632,69900000
2024-04-30,96.078775,69950000
2024-04-29,97.926806,69950000
2024-04-26,97.280503,69950000
2024-04-25,96.660232,69950000
2024-04-24,97.846719,70000000
2024-04-23,98.176853,69800000
2024-04-22,96.411129,69800000
2024-04-19,95.697459,69950000
2024-04-18,94.526566,69950000
2024-04-17,94.127325,70050000
2024-04-16,94.609749,70050000
2024-04-15,95.311535,70050000
2024-04-12,96.172103,70050000
2024-04-11,97.873182,70050000
2024-04-10,97.508035,70200000
2024-04-09,100.840523,70200000
2024-04-08,100.010169,70200000
2024-04-05,99.154074,70200000
2024-04-04,98.995453,70200000
2024-04-03,99.86546,70250000
2024-04-02,99.594404,70300000
2024-04-01,101.379998,70300000
2024-03-31,102.772317,70300000
2024-03-29,102.772317,70300000
2024-03-28,102.772317,70350000
2024-03-27,102.307877,70350000
2024-03-26,99.395442,70300000
2024-03-25,99.615565,70350000
2024-03-22,99.67598,70350000
2024-03-21,101.176953,70350000
2024-03-20,100.526546,70450000
2024-03-19,98.527356,70450000
2024-03-18,98.046239,70550000
2024-03-15,98.598063,70550000
2024-03-14,98.034965,70550000
2024-03-13,99.87881,70600000
2024-03-12,99.879015,70600000
2024-03-11,100.340108,70550000
2024-03-08,100.578858,70550000
2024-03-07,100.314875,70600000
2024-03-06,99.522249,70650000
2024-03-05,99.415892,70650000
2024-03-04,99.373718,70550000
2024-03-01,100.074612,70550000
2024-02-29,99.773416,70400000
2024-02-28,98.968422,70300000
2024-02-27,99.626349,70300000
2024-02-26,98.605016,70150000
2024-02-23,98.960217,70150000
2024-02-22,98.810299,70000000
2024-02-21,98.774783,69950000
2024-02-20,99.219736,69950000
2024-02-16,100.205421,69950000
2024-02-15,101.295832,69950000
2024-02-14,98.565139,69950000
2024-02-13,96.684198,70050000
2024-02-12,100.579846,70050000
2024-02-09,98.381362,70050000
2024-02-08,97.549235,70050000
2024-02-07,96.325529,70150000
2024-02-06,96.933069,70150000
2024-02-05,96.128107,69850000
2024-02-02,97.872115,70000000
2024-02-01,98.553119,70050000
2024-01-31,97.484964,70200000
2024-01-30,100.321524,70250000
2024-01-29,100.998717,70250000
2024-01-26,99.99785,70450000
2024-01-25,99.786039,70450000
2024-01-24,98.895906,70550000
2024-01-23,99.48673,74250000
2024-01-22,99.95099,74250000
2024-01-19,97.818519,74350000
2024-01-18,96.681895,74700000
2024-01-17,95.891503,77550000
2024-01-16,97.237543,77650000
2024-01-12,98.592798,77750000
2024-01-11,99.001618,77750000
2024-01-10,100.037968,77600000
2024-01-09,99.619368,77450000
2024-01-08,101.016208,77450000
2024-01-05,99.395378,77450000
2024-01-04,99.398316,77350000
2024-01-03,99.524123,77150000
2024-01-02,102.681983,77500000
2023-12-29,103.018895,77500000
2023-12-28,104.517582,77500000
2023-12-27,104.525983,77450000
2023-12-26,104.142593,77400000
2023-12-22,102.886038,77200000
2023-12-21,102.418029,76800000
2023-12-20,100.620046,73950000
2023-12-19,102.660323,73700000
2023-12-18,100.682932,73550000
2023-12-15,101.29461,73450000
2023-12-14,102.3779,73350000
2023-12-13,99.124456,73400000
2023-12-12,95.825258,69950000
2023-12-11,95.987474,69950000
2023-12-08,95.489847,70000000
2023-12-07,94.941527,70000000
2023-12-06,93.674266,70000000
2023-12-05,93.8327,70000000
2023-12-04,95.399513,69900000
2023-12-01,94.105315,69650000
2023-11-30,91.094405,69650000
2023-11-29,90.907248,69650000
2023-11-28,90.474969,69750000
2023-11-27,90.691993,69900000
2023-11-24,90.952029,69950000
2023-11-22,90.479106,69950000
2023-11-21,90.023201,69950000
2023-11-20,91.262727,69950000
2023-11-17,90.898008,69850000
2023-11-16,89.78666,69850000
2023-11-15,91.359798,69950000
2023-11-14,90.949058,69850000
2023-11-13,85.98907,69850000
2023-11-10,86.241312,69850000
2023-11-09,85.478065,69950000
2023-11-08,86.851329,69950000
2023-11-07,87.637648,69850000
2023-11-06,88.261526,69750000
2023-11-03,89.34259,69750000
2023-11-02,86.684125,70000000
2023-11-01,84.000883,70100000
2023-10-31,83.583302,70250000
2023-10-30,82.823709,70250000
2023-10-27,82.047445,70250000
2023-10-26,83.237114,70800000
2023-10-25,82.702998,70750000
2023-10-24,83.955345,70750000
2023-10-23,83.526647,70750000
2023-10-20,84.47657,70850000
2023-10-19,85.436222,70950000
2023-10-18,86.815575,71000000
2023-10-17,88.436771,71100000
2023-10-16,87.28075,71100000
2023-10-13,85.539698,71100000
2023-10-12,86.573239,71100000
2023-10-11,88.341696,71200000
2023-10-10,88.072208,71300000
2023-10-09,87.068413,71300000
2023-10-06,86.326154,71300000
2023-10-05,86.085944,71300000
2023-10-04,86.356355,71300000
2023-10-03,86.094297,71250000
2023-10-02,87.900227,70700000
2023-09-29,89.196018,70700000
2023-09-28,89.568474,70700000
2023-09-27,88.436638,70700000
2023-09-26,87.600293,70700000
2023-09-25,89.689756,70750000
2023-09-22,89.436601,70750000
2023-09-21,89.909562,70850000
2023-09-20,91.285762,70850000
2023-09-19,91.922422,70850000
2023-09-18,91.96096,70850000
2023-09-15,92.673759,71100000
2023-09-14,93.435838,71100000
2023-09-13,91.578615,71150000
2023-09-12,92.195143,71300000
2023-09-11,92.300049,71300000
2023-09-08,92.273413,71300000
2023-09-07,92.647497,71300000
2023-09-06,93.364114,71300000
2023-09-05,93.695556,71350000
2023-09-01,96.859541,71400000
2023-08-31,95.81733,71450000
2023-08-30,95.886683,71450000
2023-08-29,95.53829,71450000
2023-08-28,94.31853,71450000
2023-08-25,93.354618,71500000
2023-08-24,93.448683,71500000
2023-08-23,94.190224,71450000
2023-08-22,93.185749,71450000
2023-08-21,93.676663,71450000
2023-08-18,94.382226,71450000
2023-08-17,94.043624,71450000
2023-08-16,94.839991,71450000
2023-08-15,96.006239,71350000
2023-08-14,97.2712,71350000
2023-08-11,97.933805,71250000
2023-08-10,97.941645,71250000
2023-08-09,98.460266,71250000
2023-08-08,99.113982,71250000
2023-08-07,99.739658,71350000
2023-08-04,99.040784,71350000
2023-08-03,98.904785,71400000
2023-08-02,99.359079,71400000
2023-08-01,100.432154,71450000
2023-07-31,100.789062,71450000
2023-07-28,99.950618,71500000
2023-07-27,99.10273,71550000
2023-07-26,100.296482,71550000
2023-07-25,99.165575,71550000
2023-07-24,99.421168,71500000
2023-07-21,98.578807,71500000
2023-07-20,99.172351,71350000
2023-07-19,99.857334,71400000
2023-07-18,98.778045,71400000
2023-07-17,97.332815,71400000
2023-07-14,96.828061,71450000
2023-07-13,97.804527,71450000
2023-07-12,97.312824,71500000
2023-07-11,96.306865,71500000
2023-07-10,95.210833,71500000
2023-07-07,94.06676,71500000
2023-07-06,92.952725,71500000
2023-07-05,94.406149,71500000
2023-07-03,95.894092,71550000
2023-06-30,95.083454,71550000
2023-06-29,95.067399,71550000
2023-06-28,93.46168,71600000
2023-06-27,93.457804,71600000
2023-06-26,91.677679,71600000
2023-06-23,90.902194,71600000
2023-06-22,92.40369,71600000
2023-06-21,93.53508,71600000
2023-06-20,93.675814,71600000
2023-06-16,94.121514,71650000
2023-06-15,94.542216,71650000
2023-06-14,93.61174,71650000
