date,nav_value,shares
2024-08-30,138.895759,47050000
2024-08-29,138.101971,46950000
2024-08-28,137.371093,46950000
2024-08-27,137.898048,46900000
2024-08-26,138.585208,46500000
2024-08-23,138.959137,46500000
2024-08-22,135.118804,46300000
2024-08-21,136.275203,46200000
2024-08-20,134.26973,46200000
2024-08-19,135.697451,46200000
2024-08-16,134.570606,46150000
2024-08-15,134.420696,46150000
2024-08-14,131.435017,46150000
2024-08-13,132.193649,46150000
2024-08-12,130.30632,46150000
2024-08-09,131.439504,46150000
2024-08-08,131.445389,46150000
2024-08-07,128.136061,46150000
2024-08-06,130.099422,46150000
2024-08-05,128.547292,46150000
2024-08-02,132.672398,46400000
2024-08-01,137.364195,46350000
2024-07-31,141.250389,46100000
2024-07-30,140.279048,46100000
2024-07-29,139.759167,46050000
2024-07-26,140.477987,46050000
2024-07-25,138.003371,46000000
2024-07-24,136.256694,46000000
2024-07-23,139.11074,45950000
2024-07-22,138.153529,45950000
2024-07-19,136.059773,45950000
2024-07-18,136.849567,45900000
2024-07-17,138.764711,45650000
2024-07-16,140.546751,45600000
2024-07-15,135.843454,45450000
2024-07-12,133.692173,45450000
2024-07-11,132.333838,45450000
2024-07-10,128.631936,45500000
2024-07-09,127.253452,45500000
2024-07-08,128.2735,45500000
2024-07-05,127.573437,45500000
2024-07-03,128.393629,45500000
2024-07-02,128.207276,45500000
2024-07-01,127.736676,45350000
2024-06-28,128.543543,45400000
2024-06-27,127.339953,45400000
2024-06-26,126.934119,45400000
2024-06-25,126.900752,45400000
2024-06-24,127.48547,45400000
2024-06-21,126.848639,45400000
2024-06-20,126.819728,45450000
2024-06-18,127.556699,45450000
2024-06-17,127.417622,45400000
2024-06-14,126.054345,45400000
2024-06-13,128.139756,45200000
2024-06-12,129.427958,45200000
2024-06-11,127.15829,45250000
2024-06-10,127.86922,45250000
2024-06-07,128.102683,45250000
2024-06-06,129.61501,45200000
2024-06-05,130.405548,45200000
2024-06-04,128.711248,45200000
2024-06-03,130.60797,45200000
2024-05-31,131.329519,45200000
2024-05-30,130.214988,45250000
2024-05-29,129.021478,45050000
2024-05-28,130.234388,45050000
2024-05-24,130.610416,45050000
2024-05-23,129.25816,45050000
2024-05-22,130.548914,45050000
2024-05-21,131.647032,45050000
2024-05-20,131.802835,45050000
2024-05-17,131.250594,45050000
2024-05-16,131.343338,45100000
2024-05-15,132.1123,44950000
2024-05-14,131.1569,44950000
2024-05-13,129.844349,44950000
2024-05-10,129.976769,44950000
2024-05-09,130.514715,44950000
2024-05-08,129.009444,44950000
2024-05-07,129.743854,44950000
2024-05-06,129.130589,44950000
2024-05-03,127.726196,44950000
2024-05-02,126.652137,44950000
2024-05-01,124.958359,44950000
2024-04-30,124.550456,44950000
2024-04-29,126.970433,45000000
2024-04-26,126.110696,45050000
2024-04-25,124.982136,45050000
2024-04-24,125.543534,45100000
2024-04-23,125.788875,45100000
2024-04-22,123.354327,45100000
2024-04-19,122.259655,45200000
2024-04-18,121.556908,45200000
2024-04-17,121.83938,45200000
2024-04-16,123.130786,45200000
2024-04-15,123.645598,45200000
2024-04-12,124.763176,45200000
2024-04-11,126.60277,45200000
2024-04-10,125.882019,45150000
2024-04-09,129.210373,45150000
2024-04-08,128.929051,45150000
2024-04-05,128.392286,45150000
2024-04-04,127.530242,45150000
2024-04-03,128.641984,45200000
2024-04-02,127.661951,45200000
2024-04-01,129.848281,45200000
2024-03-31,130.791591,45200000
2024-03-29,130.791591,45200000
2024-03-28,130.791591,45200000
2024-03-27,129.839812,45200000
2024-03-26,127.345801,45050000
2024-03-25,127.444342,45000000
2024-03-22,128.058365,45000000
2024-03-21,129.287751,45000000
2024-03-20,127.862211,45000000
2024-03-19,126.224389,45000000
2024-03-18,125.11152,44950000
2024-03-15,125.445231,44950000
2024-03-14,124.937012,44950000
2024-03-13,126.546727,44950000
2024-03-12,126.274216,44950000
2024-03-11,126.395232,45100000
2024-03-08,127.283704,45100000
2024-03-07,127.854301,45100000
2024-03-06,126.815958,45100000
2024-03-05,126.20485,45100000
2024-03-04,127.344295,45050000
2024-03-01,127.897401,45050000
2024-02-29,127.0796,45050000
2024-02-28,126.390437,45000000
2024-02-27,127.350566,45000000
2024-02-26,126.59787,45000000
2024-02-23,126.108607,45000000
2024-02-22,125.523849,44950000
