date,nav_value,shares
2024-08-30,77.900335,13650000
2024-08-29,77.102431,13650000
2024-08-28,77.071186,13650000
2024-08-27,77.553119,13650000
2024-08-26,77.434915,13600000
2024-08-23,77.686094,13600000
2024-08-22,76.779959,13600000
2024-08-21,77.482305,13600000
2024-08-20,77.118434,13550000
2024-08-19,77.286226,13550000
2024-08-16,76.534488,13550000
2024-08-15,76.376705,13500000
2024-08-14,75.122889,13500000
2024-08-13,74.831902,13500000
2024-08-12,73.585198,13600000
2024-08-09,73.590824,13450000
2024-08-08,73.231092,13400000
2024-08-07,71.553816,13300000
2024-08-06,72.10562,13250000
2024-08-05,71.364922,13050000
2024-08-02,73.555035,12550000
2024-08-01,74.977327,12300000
2024-07-31,76.046924,12300000
2024-07-30,74.880667,12300000
2024-07-29,75.245952,12300000
2024-07-26,75.188979,12300000
2024-07-25,74.355506,12300000
2024-07-24,74.70365,12300000
2024-07-23,76.504473,12300000
2024-07-22,76.607051,12300000
2024-07-19,75.779566,12300000
2024-07-18,76.27907,12300000
2024-07-17,76.905509,12300000
2024-07-16,78.043862,12300000
2024-07-15,77.519703,12300000
2024-07-12,77.273596,12300000
2024-07-11,76.839517,12300000
2024-07-10,77.457832,12300000
2024-07-09,76.685618,12300000
2024-07-08,76.656286,12300000
2024-07-05,76.580307,12300000
2024-07-03,76.155355,12300000
2024-07-02,75.776053,12300000
2024-07-01,75.320777,12300000
2024-06-28,75.126778,12300000
2024-06-27,75.420383,12300000
2024-06-26,75.320912,12300000
2024-06-25,75.213659,12300000
2024-06-24,74.924749,12300000
2024-06-21,75.134666,12300000
2024-06-20,75.239744,12300000
2024-06-18,75.422983,12300000
2024-06-17,75.242223,12300000
2024-06-14,74.660361,12300000
2024-06-13,74.684441,12300000
2024-06-12,74.54356,12300000
2024-06-11,73.902661,12300000
2024-06-10,73.906718,12300000
2024-06-07,73.681796,12300000
2024-06-06,73.768681,12300000
2024-06-05,73.785571,12300000
2024-06-04,72.911362,12300000
2024-06-03,72.820569,12300000
2024-05-31,72.759241,12300000
2024-05-30,72.232104,12300000
2024-05-29,72.663108,12300000
2024-05-28,73.206259,12300000
2024-05-24,73.219006,12300000
2024-05-23,72.718048,12300000
2024-05-22,73.284322,12300000
2024-05-21,73.496783,12300000
2024-05-20,73.338537,12300000
2024-05-17,73.246576,12300000
2024-05-16,73.147577,12300000
2024-05-15,73.295928,12300000
2024-05-14,72.409396,12300000
2024-05-13,72.042596,12300000
2024-05-10,72.068456,12300000
2024-05-09,71.947957,12300000
2024-05-08,71.566447,12300000
2024-05-07,71.584905,12300000
2024-05-06,71.508788,12300000
2024-05-03,70.751247,12300000
2024-05-02,69.897301,12300000
2024-05-01,69.243818,12350000
2024-04-30,69.458235,12350000
2024-04-29,70.579996,12350000
2024-04-26,70.357068,12350000
2024-04-25,69.642707,12350000
2024-04-24,69.956746,12350000
2024-04-23,69.949987,12350000
2024-04-22,69.099471,12350000
2024-04-19,68.497949,12350000
2024-04-18,69.105743,12350000
2024-04-17,69.265107,12350000
2024-04-16,69.681555,12350000
2024-04-15,69.8214,12350000
2024-04-12,70.702922,12350000
2024-04-11,71.751215,12350000
2024-04-10,71.218874,12350000
2024-04-09,71.900058,12350000
2024-04-08,71.793693,12350000
2024-04-05,71.812687,12350000
2024-04-04,71.009237,12350000
2024-04-03,71.879152,12350000
2024-04-02,71.783819,12350000
2024-04-01,72.306997,12350000
2024-03-31,72.456607,12350000
2024-03-29,72.456607,12350000
2024-03-28,72.456607,12350000
2024-03-27,72.381622,12350000
2024-03-26,71.777162,12350000
2024-03-25,71.962788,12350000
2024-03-22,72.169738,12350000
2024-03-21,72.277645,12350000
2024-03-20,72.23354,12350000
2024-03-19,71.561618,12350000
2024-03-18,71.165516,12350000
2024-03-15,70.729517,12350000
2024-03-14,71.201345,12350000
2024-03-13,71.413003,12350000
2024-03-12,71.531496,12350000
2024-03-11,70.748628,12350000
2024-03-08,70.847249,12400000
2024-03-07,71.32083,12400000
2024-03-06,70.58271,12400000
2024-03-05,70.191692,12400000
2024-03-04,70.950286,12400000
