date,nav_value,shares
2024-08-30,81.86854,27550000
2024-08-29,80.867737,27550000
2024-08-28,81.119292,27550000
2024-08-27,81.969334,27600000
2024-08-26,81.763178,27650000
2024-08-23,82.422806,27650000
2024-08-22,81.375268,27650000
2024-08-21,82.658318,27650000
2024-08-20,82.215235,27650000
2024-08-19,82.328025,27650000
2024-08-16,81.276529,27650000
2024-08-15,81.18907,27700000
2024-08-14,79.452121,27700000
2024-08-13,79.132669,27700000
2024-08-12,77.312303,28150000
2024-08-09,77.066049,28250000
2024-08-08,76.505482,28300000
2024-08-07,74.299745,28450000
2024-08-06,75.155999,28550000
2024-08-05,74.121366,28750000
2024-08-02,76.743979,29200000
2024-08-01,78.631663,29450000
2024-07-31,80.151564,29550000
2024-07-30,78.06095,29600000
2024-07-29,79.128391,29600000
2024-07-26,78.98073,29600000
2024-07-25,78.21453,29600000
2024-07-24,78.992114,29600000
2024-07-23,82.099257,29600000
2024-07-22,82.044002,29600000
2024-07-19,80.710145,29600000
2024-07-18,81.29138,29600000
2024-07-17,81.907792,29600000
2024-07-16,84.258008,29600000
2024-07-15,84.179008,29150000
2024-07-12,84.00305,29150000
2024-07-11,83.512127,29150000
2024-07-10,85.07756,29150000
2024-07-09,84.228435,29150000
2024-07-08,84.192325,29150000
2024-07-05,84.083591,29150000
2024-07-03,83.406596,29150000
2024-07-02,82.66523,29150000
2024-07-01,82.043063,28950000
2024-06-28,81.460317,28950000
2024-06-27,82.063542,28950000
2024-06-26,81.838983,28950000
2024-06-25,81.486001,28950000
2024-06-24,80.466247,28950000
2024-06-21,81.419315,28950000
2024-06-20,81.555036,28950000
2024-06-18,82.094254,29000000
2024-06-17,81.90629,29000000
2024-06-14,81.202592,29000000
2024-06-13,81.083518,29000000
2024-06-12,80.783055,29000000
2024-06-11,79.64531,29000000
2024-06-10,78.991144,29000000
2024-06-07,78.75112,29000000
2024-06-06,78.773694,29000000
2024-06-05,78.776235,29000000
2024-06-04,77.454151,29000000
2024-06-03,77.191427,29000000
2024-05-31,76.783731,28950000
2024-05-30,76.660309,28850000
2024-05-29,77.806269,28850000
2024-05-28,78.140775,28850000
2024-05-24,77.794388,28850000
2024-05-23,77.108313,28850000
2024-05-22,77.291955,28850000
2024-05-21,77.505153,28800000
2024-05-20,77.238727,28800000
2024-05-17,76.799971,28800000
2024-05-16,76.791997,28650000
2024-05-15,77.06808,28650000
2024-05-14,75.913196,28600000
2024-05-13,75.487879,28500000
2024-05-10,75.45043,28500000
2024-05-09,75.411731,28500000
2024-05-08,75.173626,28450000
2024-05-07,75.288384,27950000
2024-05-06,75.359488,27750000
2024-05-03,74.324801,27750000
2024-05-02,73.036963,27750000
2024-05-01,72.104178,27800000
2024-04-30,72.350352,27800000
2024-04-29,73.707049,28050000
2024-04-26,73.457786,28050000
2024-04-25,72.207766,28050000
2024-04-24,72.499871,28000000
2024-04-23,72.533929,28000000
2024-04-22,71.38035,28000000
2024-04-19,70.695726,28000000
2024-04-18,72.230802,28000000
2024-04-17,72.625613,28000000
2024-04-16,73.309946,28000000
2024-04-15,73.345839,28000000
2024-04-12,74.707825,27900000
2024-04-11,75.741636,27900000
2024-04-10,74.667,27900000
2024-04-09,75.156808,27900000
2024-04-08,75.121065,27900000
2024-04-05,75.163311,27900000
2024-04-04,74.061366,27900000
2024-04-03,75.076051,27800000
2024-04-02,74.874015,27800000
2024-04-01,75.485047,27800000
2024-03-31,75.551992,27800000
2024-03-29,75.551992,27800000
2024-03-28,75.551992,27800000
2024-03-27,75.650174,27800000
2024-03-26,75.380792,27800000
2024-03-25,75.648783,27800000
2024-03-22,75.908699,27800000
2024-03-21,75.842917,27800000
2024-03-20,75.902415,27800000
2024-03-19,75.115402,27800000
2024-03-18,74.621276,27800000
2024-03-15,74.013214,27800000
2024-03-14,74.835146,27800000
2024-03-13,74.864582,27800000
2024-03-12,75.162077,27800000
2024-03-11,73.84577,27900000
2024-03-08,74.203649,27900000
2024-03-07,74.957782,27900000
2024-03-06,73.916217,27900000
2024-03-05,73.534421,27900000
2024-03-04,74.802872,27900000
2024-03-01,75.026989,27900000
2024-02-29,74.310515,28050000
2024-02-28,73.75331,28050000
2024-02-27,73.920462,28050000
2024-02-26,73.818919,28050000
2024-02-23,73.944741,28050000
2024-02-22,74.05589,28050000
2024-02-21,71.768812,28050000
2024-02-20,71.979064,28050000
2024-02-16,72.779849,28050000
2024-02-15,73.283862,28050000
2024-02-14,73.142753,28050000
2024-02-13,72.191535,28050000
2024-02-12,73.173429,28050000
2024-02-09,73.619058,28100000
2024-02-08,72.849656,28100000
2024-02-07,72.707218,28100000
