date,nav_value,shares
2024-08-30,81.514073,11900000
2024-08-29,80.827416,11900000
2024-08-28,80.534541,11900000
2024-08-27,80.72476,11900000
2024-08-26,80.676478,11900000
2024-08-23,80.577676,11900000
2024-08-22,79.716151,11900000
2024-08-21,79.952708,11900000
2024-08-20,79.627265,11900000
2024-08-19,79.861767,11900000
2024-08-16,79.314319,11900000
2024-08-15,79.077425,11900000
2024-08-14,78.149467,11900000
2024-08-13,77.863713,11900000
2024-08-12,77.025892,11900000
2024-08-09,77.263176,11900000
2024-08-08,77.053095,11900000
2024-08-07,75.701811,11900000
2024-08-06,76.02705,11900000
2024-08-05,75.485669,11900000
2024-08-02,77.484985,11900000
2024-08-01,78.615516,11950000
2024-07-31,79.373805,11950000
2024-07-30,78.942946,12050000
2024-07-29,78.700386,12050000
2024-07-26,78.720468,12050000
2024-07-25,77.747778,12050000
2024-07-24,77.736027,12050000
2024-07-23,78.511131,12050000
2024-07-22,78.767441,12050000
2024-07-19,78.32588200000001,12050000
2024-07-18,78.797031,12100000
2024-07-17,79.491058,12100000
2024-07-16,79.62864,12100000
2024-07-15,78.648789,12100000
2024-07-12,78.31584,12100000
2024-07-11,77.893804,12100000
2024-07-10,77.702484,12100000
2024-07-09,76.929192,12100000
2024-07-08,76.903187,12100000
2024-07-05,76.850697,12100000
2024-07-03,76.616413,12100000
2024-07-02,76.532353,12100000
2024-07-01,76.187463,12100000
2024-06-28,76.330129,12100000
2024-06-27,76.368368,12100000
2024-06-26,76.374061,12100000
2024-06-25,76.481628,12100000
2024-06-24,76.833685,12100000
2024-06-21,76.383777,12900000
2024-06-20,76.464456,12900000
2024-06-18,76.287578,12100000
2024-06-17,76.093916,12100000
2024-06-14,75.584795,12100000
2024-06-13,75.766834,12100000
2024-06-12,75.785198,12100000
2024-06-11,75.6063,12100000
2024-06-10,76.334968,12100000
2024-06-07,76.101244,12100000
2024-06-06,76.266353,12100000
2024-06-05,76.297501,12100000
2024-06-04,75.811057,12100000
2024-06-03,75.896356,12100000
2024-05-31,76.200556,12100000
2024-05-30,75.183105,12100000
2024-05-29,74.887938,12100000
2024-05-28,75.713325,12100000
2024-05-24,76.114673,12100000
2024-05-23,75.757733,12100000
2024-05-22,76.797196,12100000
2024-05-21,77.030067,12100000
2024-05-20,76.973203,12100000
2024-05-17,77.242748,12100000
2024-05-16,77.033302,12100000
2024-05-15,77.058685,12100000
2024-05-14,76.368316,12100000
2024-05-13,76.025597,12100000
2024-05-10,76.11913,12100000
2024-05-09,75.898119,12100000
2024-05-08,75.321556,12150000
2024-05-07,75.240881,12150000
2024-05-06,75.005325,12150000
2024-05-03,74.463022,12150000
2024-05-02,73.984283,12150000
2024-05-01,73.5616,12150000
2024-04-30,73.763592,12150000
2024-04-29,74.75342,12150000
2024-04-26,74.535423,12150000
2024-04-25,74.318752,12150000
2024-04-24,74.69132,12150000
2024-04-23,74.639007,12150000
2024-04-22,74.021478,12150000
2024-04-19,73.444367,12150000
2024-04-18,73.119146,12150000
2024-04-17,73.04383,12150000
2024-04-16,73.217433,12150000
2024-04-15,73.483882,12150000
2024-04-12,73.945136,12150000
2024-04-11,75.12214,12150000
2024-04-10,75.113361,12150000
2024-04-09,76.074465,12150000
2024-04-08,75.881831,12150000
2024-04-05,75.876341,12150000
2024-04-04,75.307997,12150000
2024-04-03,76.116142,12150000
2024-04-02,76.122539,12150000
2024-04-01,76.607112,12150000
2024-03-31,76.860758,12150000
2024-03-29,76.860758,12150000
2024-03-28,76.860758,12150000
2024-03-27,76.590941,12150000
2024-03-26,75.561854,12150000
2024-03-25,75.681036,12150000
2024-03-22,75.854533,12150000
2024-03-21,76.161006,12150000
2024-03-20,75.999776,12150000
2024-03-19,75.380017,12150000
2024-03-18,75.047484,12200000
2024-03-15,74.7487,12200000
2024-03-14,74.894248,12200000
2024-03-13,75.326583,12200000
2024-03-12,75.267697,12200000
2024-03-11,74.97691,12200000
2024-03-08,74.807425,12200000
2024-03-07,75.02955,12250000
2024-03-06,74.536861,12250000
2024-03-05,74.096842,12250000
2024-03-04,74.387575,12250000
2024-03-01,74.298948,12250000
2024-02-29,73.828254,12350000
2024-02-28,73.574234,12350000
2024-02-27,73.62058,12350000
2024-02-26,73.452495,12350000
2024-02-23,73.829887,12350000
2024-02-22,73.673559,12350000
2024-02-21,72.934107,12350000
2024-02-20,72.581461,12350000
2024-02-16,72.682759,12350000
2024-02-15,72.872476,12350000
2024-02-14,72.081186,12350000
2024-02-13,71.547,12350000
2024-02-12,72.569496,12350000
2024-02-09,72.234798,12350000
2024-02-08,72.14567,12350000
2024-02-07,72.10549,12350000
2024-02-06,71.815699,12350000
2024-02-05,71.493516,12350000
2024-02-02,72.004421,12350000
2024-02-01,71.810335,12400000
2024-01-31,71.17969,12400000
2024-01-30,72.024973,12400000
2024-01-29,71.816419,12450000
2024-01-26,71.520983,12450000
2024-01-25,71.50944,12450000
2024-01-24,70.870102,12450000
2024-01-23,71.014047,12450000
2024-01-22,70.832132,12500000
2024-01-19,70.691517,12500000
2024-01-18,69.952824,12500000
2024-01-17,69.605462,12500000
2024-01-16,70.026884,12500000
2024-01-12,70.454132,12500000
2024-01-11,70.389124,12500000
2024-01-10,70.61867,12500000
2024-01-09,70.527255,12500000
2024-01-08,70.863435,12500000
2024-01-05,70.346977,12500000
2024-01-04,70.167148,12500000
2024-01-03,70.301501,12500000
2024-01-02,70.798732,12500000
2023-12-29,70.576646,12500000
2023-12-28,70.740483,12500000
2023-12-27,70.698542,12500000
2023-12-26,70.595728,12500000
2023-12-22,70.200041,12500000
2023-12-21,69.929218,12500000
2023-12-20,69.231101,12500000
2023-12-19,70.801776,12500000
2023-12-18,70.290485,12500000
2023-12-15,70.137351,12500000
2023-12-14,70.411773,12500000
2023-12-13,69.685077,12500000
2023-12-12,68.627443,12500000
2023-12-11,68.537942,12500000
2023-12-08,67.985483,12500000
2023-12-07,67.777433,12500000
2023-12-06,67.394778,12500000
2023-12-05,67.518492,12500000
2023-12-04,67.970825,12500000
2023-12-01,68.038207,12500000
2023-11-30,67.444815,12500000
2023-11-29,66.928916,12500000
2023-11-28,66.866981,12500000
2023-11-27,66.849515,12500000
2023-11-24,67.070443,12500000
2023-11-22,66.879189,12500000
2023-11-21,66.574589,12500000
2023-11-20,66.651144,12500000
2023-11-17,66.370635,12500000
2023-11-16,66.1459,12500000
2023-11-15,66.233067,12500000
2023-11-14,65.891959,12500000
2023-11-13,64.644956,12500000
2023-11-10,64.698903,12500000
2023-11-09,63.944575,12550000
2023-11-08,64.46097,12550000
2023-11-07,64.625219,12550000
2023-11-06,64.810084,12450000
2023-11-03,65.016411,12450000
2023-11-02,64.380805,12450000
2023-11-01,63.208684,12450000
2023-10-31,62.8167,12450000
2023-10-30,62.316013,12450000
2023-10-27,61.645636,12450000
2023-10-26,62.432167,12400000
2023-10-25,62.673892,12400000
2023-10-24,63.381534,12400000
2023-10-23,62.968553,12400000
