date,nav_value,shares,Non-FV NAV
2024-08-30,25.891115,53500000,25.882689
2024-08-29,25.789794,53500000,25.758173
2024-08-28,26.023679,53250000,26.098661
2024-08-27,26.16317,53250000,26.178381
2024-08-26,26.421353,53250000,26.413474
2024-08-23,26.249209,53250000,26.227893
2024-08-22,25.734036,53250000,25.787443
2024-08-21,26.329763,53250000,26.358721
2024-08-20,26.39337,52500000,26.445266
2024-08-19,26.697752,51000000,26.663294
2024-08-16,26.318401,51000000,26.300138
2024-08-15,26.26981,51500000,26.279998
2024-08-14,25.892078,51500000,25.928641
2024-08-13,25.756614,52250000,25.708654
2024-08-12,25.363465,52250000,25.446703
2024-08-09,25.253748,52750000,25.281817
2024-08-08,24.81926,53250000,24.7315
2024-08-07,24.293194,53250000,24.343828
2024-08-06,23.99008,55000000,24.030786
2024-08-05,23.460869,55000000,23.371391
2024-08-02,23.804675,55000000,23.820862
2024-08-01,24.277483,55000000,24.410402
2024-07-31,24.81336,55000000,24.812804
2024-07-30,24.538611,55000000,24.521796
2024-07-29,24.757919,55000000,24.732344
2024-07-26,24.924118,55000000,24.920764
2024-07-25,24.808935,55000000,24.843601
2024-07-24,24.929726,55000000,24.93854
2024-07-23,25.346485,55000000,25.390923
2024-07-22,25.66445,55000000,25.676258
2024-07-19,25.594659,56000000,25.705488
2024-07-18,25.50607,56000000,25.591504
2024-07-17,26.169272,56000000,26.178832
2024-07-16,26.486655,56000000,26.474315
2024-07-15,26.344473,56000000,26.316172
2024-07-12,26.532701,53750000,26.470137
2024-07-11,26.256145,53750000,26.261392
2024-07-10,26.178716,54250000,26.16674
2024-07-09,25.901016,55250000,25.865013
2024-07-08,25.570423,55250000,25.573944
2024-07-05,25.420407,55250000,25.372671
2024-07-03,25.22465,55250000,25.200237
2024-07-02,24.647345,55250000,24.659882
2024-07-01,24.681732,55250000,24.710064
2024-06-28,24.805713,55250000,24.831517
2024-06-27,24.83845,55250000,24.842418
2024-06-26,24.723979,55250000,24.795204
2024-06-25,24.869901,55250000,24.864743
2024-06-24,24.976377,55250000,24.953179
2024-06-21,24.806868,56000000,24.769642
2024-06-20,24.699857,56000000,24.713532
2024-06-18,24.512326,56000000,24.540293
2024-06-17,24.314665,56000000,24.317659
2024-06-14,24.330424,56250000,24.349687
2024-06-13,24.391842,56250000,24.327666
2024-06-12,24.400236,57000000,24.363849
2024-06-11,24.774576,56250000,24.805532
2024-06-10,25.55088,57000000,25.487214
2024-06-07,25.630578,57000000,25.675625
2024-06-06,26.562601,57000000,26.69129
2024-06-05,26.374655,57000000,26.372939
2024-06-04,26.095451,56250000,26.134998
2024-06-03,26.226135,56250000,26.289311
2024-05-31,27.0496,56250000,27.006098
2024-05-30,27.205975,56250000,27.19716
2024-05-29,27.092331,56750000,27.110145
2024-05-28,27.605758,56750000,27.63454
2024-05-24,27.527186,56750000,27.533095
2024-05-23,27.57579,56750000,27.578728
2024-05-22,27.804239,56750000,27.817578
2024-05-21,28.30821,56750000,28.338573
2024-05-20,28.481332,56750000,28.481539
2024-05-17,28.497779,56500000,28.476185
2024-05-16,28.336092,56500000,28.328355
2024-05-15,28.431107,56500000,28.418008
2024-05-14,28.50519,56500000,28.4955
2024-05-13,28.501168,56500000,28.522179
2024-05-10,28.432558,56500000,28.460618
2024-05-09,28.534953,56500000,28.464613
2024-05-08,28.629444,56500000,28.620891
2024-05-07,28.614411,56500000,28.647254
2024-05-06,28.428477,56500000,28.422342
2024-05-03,28.231406,56500000,28.215863
2024-05-02,27.842541,56500000,27.859293
2024-05-01,27.479793,56500000,27.462691
2024-04-30,27.409236,56500000,27.463688
2024-04-29,28.068209,56500000,28.056469
2024-04-26,27.799755,56500000,27.775593
2024-04-25,27.251802,56500000,27.221264
2024-04-24,27.294578,56500000,27.265406
2024-04-23,27.497844,56500000,27.46705
2024-04-22,27.338818,56500000,27.311807
2024-04-19,27.095115,56500000,27.012621
2024-04-18,26.785204,56500000,26.770795
2024-04-17,26.831951,57250000,26.845343
2024-04-16,26.75359,57250000,26.726402
2024-04-15,27.265652,57750000,27.274797
