date,nav_value,shares
2024-08-30,74.650787,13250000
2024-08-29,74.057858,13250000
2024-08-28,73.774158,13250000
2024-08-27,74.100159,13250000
2024-08-26,74.133418,13250000
2024-08-23,74.253905,13250000
2024-08-22,73.16543,13250000
2024-08-21,73.440058,13250000
2024-08-20,72.730084,12550000
2024-08-19,73.145967,12550000
2024-08-16,72.568326,12550000
2024-08-15,72.361713,12550000
2024-08-14,71.368823,12550000
2024-08-13,71.162466,12500000
2024-08-12,70.3135,12500000
2024-08-09,70.648292,12500000
2024-08-08,70.503728,12500000
2024-08-07,69.071028,12500000
2024-08-06,69.588213,12500000
2024-08-05,68.806269,12500000
2024-08-02,70.504326,12500000
2024-08-01,71.954931,12500000
2024-07-31,72.90432,12500000
2024-07-30,72.575644,12500000
2024-07-29,72.325108,12500000
2024-07-26,72.20662,12500000
2024-07-25,71.265738,12500000
2024-07-24,71.248259,12500000
2024-07-23,72.315352,12500000
2024-07-22,72.604043,12500000
2024-07-19,71.85344,12500000
2024-07-18,72.275941,12450000
2024-07-17,72.867249,12450000
2024-07-16,73.47853,12450000
2024-07-15,72.184084,12450000
2024-07-12,71.990543,12450000
2024-07-11,71.339737,12450000
2024-07-10,70.341327,12450000
2024-07-09,69.745326,12450000
2024-07-08,69.979387,12450000
2024-07-05,69.859038,12450000
2024-07-03,69.947162,12450000
2024-07-02,69.867281,12450000
2024-07-01,69.593122,12450000
2024-06-28,70.144248,12450000
2024-06-27,70.102963,12450000
2024-06-26,69.894255,12450000
2024-06-25,70.262911,12450000
2024-06-24,70.699351,12450000
2024-06-21,70.347354,12450000
2024-06-20,70.294246,12450000
2024-06-18,70.369704,12450000
2024-06-17,70.111769,12450000
2024-06-14,69.635631,12450000
2024-06-13,70.22564,12450000
2024-06-12,70.478914,12450000
2024-06-11,69.916119,12450000
2024-06-10,70.369173,12450000
2024-06-07,70.043495,12450000
2024-06-06,70.334183,12450000
2024-06-05,70.605424,12450000
2024-06-04,70.002828,12450000
2024-06-03,70.290031,12450000
2024-05-31,70.751869,12300000
2024-05-30,70.168035,12150000
2024-05-29,69.948,11950000
2024-05-28,70.793095,11950000
2024-05-24,71.448515,11950000
2024-05-23,70.891865,11950000
2024-05-22,71.865019,11950000
2024-05-21,72.150565,11950000
2024-05-20,72.226897,11950000
2024-05-17,72.173755,11950000
2024-05-16,72.083357,11950000
2024-05-15,72.31315,11950000
2024-05-14,71.523958,11950000
2024-05-13,71.152218,11950000
2024-05-10,71.290866,11950000
2024-05-09,71.208901,11950000
2024-05-08,70.585683,11950000
2024-05-07,70.702893,11950000
2024-05-06,70.645546,11950000
2024-05-03,69.948094,11950000
2024-05-02,69.489373,11950000
2024-05-01,68.893148,11950000
2024-04-30,69.095241,11950000
2024-04-29,70.256551,11950000
2024-04-26,69.782393,11950000
2024-04-25,69.626029,11950000
2024-04-24,69.672615,12000000
2024-04-23,69.578491,12000000
2024-04-22,68.832824,12000000
2024-04-19,68.23789,12000000
2024-04-18,68.264345,12000000
2024-04-17,68.345599,12000000
2024-04-16,68.660854,12000000
2024-04-15,68.999173,12000000
2024-04-12,69.820452,12000000
