date,nav_value,shares
2024-08-30,71.029829,29250000
2024-08-29,70.528172,29250000
2024-08-28,70.14165,29250000
2024-08-27,70.646266,29250000
2024-08-26,70.600889,29250000
2024-08-23,70.909054,29250000
2024-08-22,69.896243,29250000
2024-08-21,70.343785,29250000
2024-08-20,69.563481,29250000
2024-08-19,69.935356,29250000
2024-08-16,69.416661,29250000
2024-08-15,69.250738,29250000
2024-08-14,68.165211,29250000
2024-08-13,67.971304,29350000
2024-08-12,66.957878,29350000
2024-08-09,67.223065,29350000
2024-08-08,67.087296,29350000
2024-08-07,65.445104,29350000
2024-08-06,65.989167,29300000
2024-08-05,65.18738,29350000
2024-08-02,66.775097,29300000
2024-08-01,68.208898,29200000
2024-07-31,69.335725,29100000
2024-07-30,68.757005,29100000
2024-07-29,68.672844,29100000
2024-07-26,68.506956,29100000
2024-07-25,67.773236,29050000
2024-07-24,67.740209,29050000
2024-07-23,69.289264,29050000
2024-07-22,69.413136,29050000
2024-07-19,68.569477,29050000
2024-07-18,68.838271,29000000
2024-07-17,69.607936,29000000
2024-07-16,70.808088,29000000
2024-07-15,69.59426,29000000
2024-07-12,69.40302,29000000
2024-07-11,68.737447,29000000
2024-07-10,67.981033,29000000
2024-07-09,67.460958,29100000
2024-07-08,67.874703,29100000
2024-07-05,67.836593,29100000
2024-07-03,67.716258,29100000
2024-07-02,67.547915,29200000
2024-07-01,67.22955,29150000
2024-06-28,67.774954,29150000
2024-06-27,67.954112,29150000
2024-06-26,67.606268,29150000
2024-06-25,67.976318,29150000
2024-06-24,68.202443,29100000
2024-06-21,68.101567,29100000
2024-06-20,68.000901,29100000
2024-06-18,68.19508,29100000
2024-06-17,67.907036,29100000
2024-06-14,67.379234,29100000
2024-06-13,67.916725,29100000
2024-06-12,68.20806,29100000
2024-06-11,67.470448,29050000
2024-06-10,67.630481,29050000
2024-06-07,67.193506,29050000
2024-06-06,67.437995,29100000
2024-06-05,67.767642,29100000
2024-06-04,66.907897,29100000
2024-06-03,67.062778,29100000
2024-05-31,67.512181,29100000
2024-05-30,67.351587,29050000
2024-05-29,67.54172,29050000
2024-05-28,68.39683,29050000
2024-05-24,69.057119,29200000
2024-05-23,68.42629,29200000
2024-05-22,69.360165,29100000
2024-05-21,69.54984,29100000
2024-05-20,69.710654,29000000
2024-05-17,69.464117,29000000
2024-05-16,69.397349,29000000
2024-05-15,69.658717,28950000
2024-05-14,68.683143,28900000
2024-05-13,68.309721,28900000
2024-05-10,68.534462,28900000
2024-05-09,68.430988,28900000
2024-05-08,67.844582,28900000
2024-05-07,68.095644,28900000
2024-05-06,68.21873,28900000
2024-05-03,67.36051,28900000
2024-05-02,66.864498,28900000
2024-05-01,66.19214,28750000
2024-04-30,66.467198,28800000
2024-04-29,67.670584,28800000
2024-04-26,67.336521,28900000
2024-04-25,67.005908,28900000
2024-04-24,66.994497,28900000
2024-04-23,66.972472,29000000
2024-04-22,65.995875,29000000
2024-04-19,65.420473,29000000
2024-04-18,65.91763,29000000
2024-04-17,66.188036,29000000
2024-04-16,66.787806,29450000
2024-04-15,66.912635,29450000
2024-04-12,67.965826,29450000
2024-04-11,69.165437,29450000
2024-04-10,68.913791,29400000
2024-04-09,69.902554,29350000
2024-04-08,69.709433,29350000
2024-04-05,69.494992,29350000
2024-04-04,68.674806,29350000
2024-04-03,69.637256,29350000
2024-04-02,69.509338,29300000
2024-04-01,70.190225,29300000
2024-03-31,70.656321,29300000
2024-03-29,70.656321,29300000
2024-03-28,70.656321,29300000
2024-03-27,70.536489,29300000
2024-03-26,69.863169,29200000
2024-03-25,69.81571,29250000
2024-03-22,69.919067,29250000
2024-03-21,70.352415,29250000
2024-03-20,69.893316,29200000
2024-03-19,69.196213,29200000
2024-03-18,68.908854,29300000
2024-03-15,68.745313,29300000
2024-03-14,69.115241,29300000
2024-03-13,69.781924,29200000
2024-03-12,69.861105,29200000
2024-03-11,69.376849,29200000
2024-03-08,69.606333,30650000
2024-03-07,70.067895,30650000
2024-03-06,69.311543,30650000
2024-03-05,68.570121,30650000
2024-03-04,69.410895,30650000
2024-03-01,69.143101,30650000
2024-02-29,68.679505,30850000
2024-02-28,68.123135,30850000
2024-02-27,67.932533,31000000
2024-02-26,67.653092,31000000
2024-02-23,67.668834,31000000
2024-02-22,67.540715,31000000
2024-02-21,66.282225,30450000
2024-02-20,66.441415,30350000
2024-02-16,66.927244,30150000
2024-02-15,67.437893,30150000
2024-02-14,66.815508,30150000
2024-02-13,65.7094,30150000
2024-02-12,66.742758,30150000
2024-02-09,66.714022,30150000
2024-02-08,66.398025,30150000
2024-02-07,65.897123,30100000
2024-02-06,65.380052,30050000
2024-02-05,64.814122,30050000
2024-02-02,65.335774,30050000
2024-02-01,64.947148,30050000
2024-01-31,63.935506,30000000
2024-01-30,64.965316,30000000
2024-01-29,65.057584,29900000
2024-01-26,64.252275,29900000
2024-01-25,64.333381,29900000
2024-01-24,63.965428,29850000
2024-01-23,64.502399,29850000
2024-01-22,64.464467,29800000
2024-01-19,63.833623,29800000
2024-01-18,63.192371,29800000
2024-01-17,62.610237,29800000
2024-01-16,63.050773,29800000
2024-01-12,63.440294,29800000
2024-01-11,63.568902,29750000
2024-01-10,63.586622,29700000
2024-01-09,63.409515,29700000
2024-01-08,63.504704,29700000
2024-01-05,62.422759,29700000
2024-01-04,62.417572,29700000
2024-01-03,62.376169,29650000
2024-01-02,63.609832,29650000
2023-12-29,64.452402,29650000
2023-12-28,64.852106,29600000
2023-12-27,64.780983,29500000
2023-12-26,64.638963,29450000
2023-12-22,64.224005,27700000
2023-12-21,63.972674,27700000
2023-12-20,63.069666,27550000
2023-12-19,64.331595,27450000
2023-12-18,63.775432,27450000
2023-12-15,63.603021,27450000
2023-12-14,63.906881,27450000
2023-12-13,62.981545,27300000
2023-12-12,61.761468,27300000
2023-12-11,61.430995,27300000
2023-12-08,60.772354,27650000
2023-12-07,60.515668,27650000
2023-12-06,60.276331,27600000
2023-12-05,60.370043,27600000
2023-12-04,60.941897,27600000
2023-12-01,61.002073,27600000
2023-11-30,59.978737,27400000
2023-11-29,59.603931,27300000
2023-11-28,59.196167,27200000
2023-11-27,59.356529,27200000
2023-11-24,59.478601,27200000
2023-11-22,59.255884,27200000
2023-11-21,59.044638,27200000
2023-11-20,59.147839,27100000
2023-11-17,58.746931,27100000
2023-11-16,58.381046,27100000
2023-11-15,58.6641,27100000
2023-11-14,58.549715,26900000
2023-11-13,56.673127,26900000
2023-11-10,56.718723,26900000
2023-11-09,55.932488,26900000
2023-11-08,56.437053,26900000
2023-11-07,56.431247,26800000
2023-11-06,56.090314,26800000
2023-11-03,56.461269,26800000
2023-11-02,55.306329,26800000
2023-11-01,54.039043,26800000
2023-10-31,53.955503,26800000
2023-10-30,53.476533,26800000
2023-10-27,53.256244,26800000
2023-10-26,53.769061,27050000
2023-10-25,53.95866,27050000
2023-10-24,55.148853,27050000
2023-10-23,54.810538,27050000
2023-10-20,55.115506,27050000
2023-10-19,55.90089,27050000
2023-10-18,56.631571,27000000
2023-10-17,57.923721,27000000
2023-10-16,57.626247,27000000
2023-10-13,56.826805,27000000
2023-10-12,57.32537,27000000
2023-10-11,58.198168,27000000
2023-10-10,57.950726,26900000
2023-10-09,57.424652,26800000
2023-10-06,57.02964,26800000
2023-10-05,56.189237,26750000
2023-10-04,56.308037,26650000
2023-10-03,55.701479,26650000
2023-10-02,56.639506,26550000
2023-09-29,57.127969,26550000
2023-09-28,57.251165,26550000
2023-09-27,56.724471,26550000
2023-09-26,56.396442,26500000
2023-09-25,57.298659,26750000
2023-09-22,57.135118,26750000
2023-09-21,57.153373,26750000
2023-09-20,58.432347,26750000
2023-09-19,58.743361,26700000
2023-09-18,58.940513,26700000
2023-09-15,59.0846,26700000
2023-09-14,59.70601,26700000
2023-09-13,59.253667,26700000
2023-09-12,59.597854,26700000
2023-09-11,59.88994,26700000
2023-09-08,59.647804,26700000
2023-09-07,59.942765,26700000
2023-09-06,60.214626,26650000
2023-09-05,60.349797,26650000
2023-09-01,61.063981,26650000
2023-08-31,60.727323,26600000
2023-08-30,60.765633,26450000
2023-08-29,60.409534,26450000
2023-08-28,59.539587,26450000
2023-08-25,59.132841,26450000
2023-08-24,58.710659,26450000
2023-08-23,59.61144,26800000
2023-08-22,58.849941,26750000
2023-08-21,58.932567,26700000
2023-08-18,58.798233,26700000
2023-08-17,58.636657,26700000
2023-08-16,59.442026,26700000
2023-08-15,59.96653,26700000
2023-08-14,60.700514,26700000
2023-08-11,60.443663,26700000
2023-08-10,60.590478,26700000
