date,nav_value,shares
2024-08-30,75.945413,8500000
2024-08-29,75.276305,8500000
2024-08-28,75.110801,8500000
2024-08-27,75.238407,8500000
2024-08-26,75.353879,8500000
2024-08-23,75.271986,8500000
2024-08-22,74.140276,8500000
2024-08-21,74.225622,8500000
2024-08-20,73.613646,8500000
2024-08-19,74.062018,8500000
2024-08-16,73.44222,8500000
2024-08-15,73.199993,8500000
2024-08-14,72.338349,8500000
2024-08-13,72.127677,8500000
2024-08-12,71.479248,8500000
2024-08-09,71.875344,8500000
2024-08-08,71.726519,8500000
2024-08-07,70.56431,8500000
2024-08-06,71.035707,8500000
2024-08-05,70.301645,8500000
2024-08-02,72.059624,8500000
2024-08-01,73.475805,8450000
2024-07-31,74.207424,8450000
2024-07-30,74.149753,8450000
2024-07-29,73.734655,8450000
2024-07-26,73.669905,8450000
2024-07-25,72.543933,8450000
2024-07-24,72.545007,8450000
2024-07-23,73.070077,8450000
2024-07-22,73.522357,8450000
2024-07-19,72.894565,8450000
2024-07-18,73.463633,8450000
2024-07-17,73.848642,8450000
2024-07-16,73.820622,8450000
2024-07-15,72.484721,8450000
2024-07-12,72.296652,8450000
2024-07-11,71.682917,8450000
2024-07-10,70.461575,8450000
2024-07-09,69.805849,8450000
2024-07-08,69.842872,8450000
2024-07-05,69.640497,8450000
2024-07-03,69.942965,8450000
2024-07-02,69.959178,8450000
2024-07-01,69.740045,8450000
2024-06-28,70.279043,8450000
2024-06-27,70.008075,8450000
2024-06-26,69.952191,8450000
2024-06-25,70.306464,8450000
2024-06-24,70.947203,8450000
2024-06-21,70.344646,9000000
2024-06-20,70.336846,9000000
2024-06-18,70.295921,8450000
2024-06-17,70.06997,8450000
2024-06-14,69.681555,8450000
2024-06-13,70.315533,8450000
2024-06-12,70.529476,8450000
2024-06-11,70.159242,8450000
2024-06-10,70.954438,8450000
2024-06-07,70.751999,8500000
2024-06-06,71.080312,8500000
2024-06-05,71.270187,8500000
2024-06-04,70.956628,8500000
2024-06-03,71.378312,8500000
2024-05-31,71.834249,8500000
2024-05-30,70.821353,8500000
2024-05-29,70.160432,8500000
2024-05-28,70.962385,8500000
2024-05-24,71.590624,8500000
2024-05-23,71.122305,8500000
2024-05-22,72.106355,8500000
2024-05-21,72.479695,8500000
2024-05-20,72.464713,8500000
2024-05-17,72.610768,8500000
2024-05-16,72.490199,8500000
2024-05-15,72.681153,8500000
2024-05-14,72.121542,8550000
2024-05-13,71.76697,8550000
2024-05-10,71.796635,8550000
2024-05-09,71.742839,8550000
2024-05-08,71.100787,8550000
2024-05-07,71.078276,8600000
2024-05-06,70.858076,8600000
2024-05-03,70.348896,8600000
2024-05-02,69.943405,8600000
2024-05-01,69.447452,8600000
2024-04-30,69.561563,8600000
2024-04-29,70.642468,8600000
2024-04-26,70.032183,8600000
2024-04-25,70.060671,8600000
2024-04-24,70.168889,8600000
2024-04-23,69.995751,8600000
2024-04-22,69.512699,8600000
2024-04-19,68.912475,8600000
2024-04-18,68.431822,8600000
2024-04-17,68.313132,8600000
2024-04-16,68.315481,8600000
2024-04-15,68.870434,8600000
2024-04-12,69.425287,8600000
2024-04-11,70.417185,8600000
2024-04-10,70.630009,8600000
2024-04-09,71.971675,8600000
2024-04-08,71.739203,8600000
2024-04-05,71.533966,8600000
2024-04-04,71.127715,8600000
2024-04-03,71.667016,8600000
2024-04-02,71.492942,8650000
2024-04-01,72.076054,8650000
2024-03-31,72.574162,8650000
2024-03-29,72.574162,8650000
2024-03-28,72.574162,8650000
2024-03-27,72.157507,8650000
2024-03-26,70.839274,8650000
2024-03-25,70.988046,8650000
2024-03-22,71.039563,8650000
2024-03-21,71.48727,8650000
2024-03-20,71.230569,8650000
2024-03-19,70.554633,8650000
2024-03-18,70.040845,8650000
2024-03-15,69.880679,8650000
2024-03-14,69.755546,8650000
2024-03-13,70.665414,8650000
2024-03-12,70.576899,8650000
2024-03-11,70.583065,8650000
2024-03-08,70.345374,8650000
2024-03-07,70.376501,8650000
2024-03-06,69.834719,8650000
2024-03-05,69.431501,8650000
2024-03-04,69.706068,8650000
2024-03-01,69.343263,8650000
2024-02-29,68.939994,8700000
2024-02-28,68.515852,8700000
2024-02-27,68.50066,8700000
2024-02-26,68.093519,8700000
2024-02-23,68.474343,8700000
2024-02-22,68.237756,8700000
2024-02-21,67.854149,8800000
2024-02-20,67.479991,8800000
2024-02-16,67.590396,8800000
2024-02-15,67.83482,8800000
2024-02-14,66.745165,8800000
2024-02-13,66.151968,8800000
2024-02-12,67.484142,8800000
2024-02-09,66.825536,8800000
2024-02-08,66.773274,8800000
2024-02-07,66.686534,8800000
2024-02-06,66.529422,8800000
2024-02-05,66.080132,8650000
2024-02-02,66.869863,8650000
2024-02-01,67.159537,8650000
2024-01-31,66.501549,8650000
2024-01-30,67.273966,8650000
2024-01-29,67.12132,8650000
2024-01-26,66.788682,8650000
2024-01-25,66.739158,8650000
2024-01-24,65.963677,8650000
2024-01-23,66.403777,8650000
2024-01-22,66.449544,8650000
2024-01-19,66.208024,8650000
2024-01-18,65.736319,8650000
2024-01-17,65.689172,8650000
2024-01-16,66.3381,8650000
2024-01-12,66.891986,8650000
2024-01-11,66.969801,8650000
2024-01-10,67.35482,8650000
2024-01-09,67.357789,8800000
2024-01-08,67.812962,8800000
2024-01-05,67.22661,8800000
2024-01-04,66.894908,8800000
2024-01-03,67.105546,8800000
2024-01-02,67.963563,8800000
2023-12-29,67.668482,8800000
2023-12-28,67.972636,8800000
2023-12-27,67.865005,8800000
2023-12-26,67.777682,8800000
2023-12-22,67.332104,8800000
2023-12-21,67.063521,8800000
2023-12-20,66.330159,8800000
2023-12-19,67.940627,8800000
2023-12-18,67.331881,8800000
2023-12-15,67.413814,8800000
2023-12-14,68.026006,8800000
2023-12-13,66.84975,8800000
2023-12-12,65.28035,8800000
2023-12-11,65.344802,8750000
2023-12-08,64.919069,8750000
2023-12-07,64.638641,8750000
2023-12-06,64.277699,8750000
2023-12-05,64.204307,8750000
2023-12-04,64.806517,8750000
2023-12-01,64.736416,8750000
2023-11-30,63.639204,8750000
2023-11-29,63.051976,8750000
2023-11-28,62.795008,8750000
2023-11-27,62.767626,8750000
2023-11-24,62.883109,8750000
2023-11-22,62.612993,8750000
2023-11-21,62.285311,8750000
2023-11-20,62.453173,8750000
2023-11-17,62.311337,8750000
2023-11-16,61.911665,8750000
2023-11-15,62.164893,8750000
2023-11-14,61.865004,8700000
2023-11-13,59.944023,8700000
2023-11-10,60.1453,8700000
2023-11-09,59.44247,8700000
2023-11-08,59.936312,8700000
2023-11-07,60.182318,8700000
