date,nav_value,shares,Non-FV NAV
2024-08-30,98.082152,62050000,98.055352
2024-08-29,97.195491,62050000,97.192664
2024-08-28,97.466845,62050000,97.534524
2024-08-27,98.226516,62050000,98.191405
2024-08-26,97.941811,62050000,97.965912
2024-08-23,98.382393,61950000,98.347002
2024-08-22,97.112146,61950000,97.185933
2024-08-21,98.244123,61700000,98.187254
2024-08-20,97.893883,61700000,97.944539
2024-08-19,98.045631,61700000,97.969239
2024-08-16,96.919222,61600000,96.881502
2024-08-15,96.534883,61600000,96.433631
2024-08-14,94.859415,61600000,94.893536
2024-08-13,94.47638,61600000,94.360236
2024-08-12,92.677154,61600000,92.645642
2024-08-09,92.3401,61600000,92.311695
2024-08-08,91.834417,61600000,91.711926
2024-08-07,89.784001,61600000,89.989208
2024-08-06,90.213078,61600000,90.214525
2024-08-05,89.644018,61600000,89.516438
2024-08-02,92.797282,61600000,92.820172
2024-08-01,94.549123,61600000,94.668587
2024-07-31,96.242361,61600000,96.249896
2024-07-30,94.185011,61350000,94.182864
2024-07-29,95.10889,61350000,95.099628
2024-07-26,95.253,61350000,95.1826
2024-07-25,94.353391,61250000,94.368889
2024-07-24,95.189888,61250000,95.337693
2024-07-23,97.649972,61250000,97.654389
2024-07-22,97.702905,61250000,97.618895
2024-07-19,96.526667,61250000,96.563041
2024-07-18,97.279976,61250000,97.396607
2024-07-17,98.124882,61250000,98.192431
2024-07-16,99.717684,61250000,99.632153
2024-07-15,99.845461,61250000,99.946702
2024-07-12,99.781971,61250000,99.818891
2024-07-11,99.189304,61250000,99.297184
2024-07-10,100.739051,61250000,100.637387
2024-07-09,99.452119,61250000,99.445992
2024-07-08,99.416799,61250000,99.446584
2024-07-05,99.304701,61250000,99.247793
2024-07-03,98.623791,61250000,98.594895
2024-07-02,97.808588,61100000,97.75116
2024-07-01,97.427678,61100000,97.401357
2024-06-28,96.426896,61100000,96.456633
2024-06-27,97.161452,61100000,97.159443
2024-06-26,97.150978,60500000,97.170668
2024-06-25,96.902021,60500000,96.871753
2024-06-24,95.914782,60500000,95.933368
2024-06-21,96.480802,60450000,96.469434
2024-06-20,96.92091,60200000,96.961445
2024-06-18,97.316436,60200000,97.28528
2024-06-17,97.066608,60200000,96.953732
2024-06-14,96.380693,60200000,96.384878
2024-06-13,96.367467,60200000,96.372851
2024-06-12,96.062743,60200000,96.129708
2024-06-11,95.039713,59850000,95.021354
2024-06-10,95.192596,59850000,95.127925
2024-06-07,94.985051,59500000,95.051962
2024-06-06,95.245931,59500000,95.19383
2024-06-05,95.114405,59500000,95.009111
2024-06-04,93.791342,59500000,93.789557
2024-06-03,93.523449,59500000,93.539098
2024-05-31,92.981022,59500000,92.876399
2024-05-30,92.561377,59500000,92.537118
2024-05-29,93.290388,59400000,93.331838
2024-05-28,93.846115,59400000,93.878807
2024-05-24,93.249339,59400000,93.230037
2024-05-23,92.570637,59400000,92.731478
2024-05-22,92.70046,59400000,92.766659
2024-05-21,93.058875,59250000,93.082476
2024-05-20,92.794231,59250000,92.825392
2024-05-17,92.54111,59250000,92.51212
2024-05-16,92.49828,59250000,92.53011
2024-05-15,92.74034,58850000,92.62503
2024-05-14,91.611073,58850000,91.506815
2024-05-13,91.083681,58850000,91.111866
2024-05-10,90.885712,58850000,90.867208
2024-05-09,90.788114,58850000,90.709771
2024-05-08,90.443798,58850000,90.417407
2024-05-07,90.368113,58850000,90.417271
2024-05-06,90.274566,58700000,90.198089
2024-05-03,89.346126,58600000,89.318257
2024-05-02,88.038203,58600000,87.963266
2024-05-01,86.96781,58600000,87.083518
2024-04-30,87.126433,58600000,87.272643
2024-04-29,88.529784,58600000,88.477784
2024-04-26,88.538548,58600000,88.462266
2024-04-25,86.990795,58600000,86.932627
2024-04-24,87.294116,58600000,87.264113
2024-04-23,87.335784,58600000,87.280918
2024-04-22,86.215346,58600000,86.141066
2024-04-19,85.145989,58600000,85.168748
2024-04-18,86.291113,58600000,86.37202
2024-04-17,86.535185,58600000,86.520546
2024-04-16,87.111645,58450000,87.106086
2024-04-15,87.447802,58450000,87.558016
2024-04-12,88.410791,58450000,88.551488
2024-04-11,89.668773,58450000,89.568766
2024-04-10,88.579392,58450000,88.6258
2024-04-09,89.021705,58450000,88.989723
2024-04-08,88.924894,58450000,88.911339
2024-04-05,88.950112,58450000,88.897657
2024-04-04,88.044582,58450000,88.262255
