date,nav_value,shares
2024-08-30,58.04674,3950000
2024-08-29,57.690813,3950000
2024-08-28,57.351121,3950000
2024-08-27,57.674629,3950000
2024-08-26,57.920041,4000000
2024-08-23,58.01162,3950000
2024-08-22,56.473626,3950000
2024-08-21,56.902193,3950000
2024-08-20,56.187503,3950000
2024-08-19,56.760859,3950000
2024-08-16,56.15963,3950000
2024-08-15,56.024871,3950000
2024-08-14,54.830641,3950000
2024-08-13,55.009579,3950000
2024-08-12,54.12966,3950000
2024-08-09,54.637594,3950000
2024-08-08,54.647772,3950000
2024-08-07,53.390953,3950000
2024-08-06,54.010351,3950000
2024-08-05,53.425092,3950000
2024-08-02,55.033301,3950000
2024-08-01,56.790595,3950000
2024-07-31,58.260531,3950000
2024-07-30,57.938828,3950000
2024-07-29,57.76611,3950000
2024-07-26,58.095366,3950000
2024-07-25,57.114571,3950000
2024-07-24,56.475968,3950000
2024-07-23,57.73187,3950000
2024-07-22,57.408172,3950000
2024-07-19,56.647803,3950000
2024-07-18,57.003794,3950000
2024-07-17,57.89559,3950000
2024-07-16,58.502286,3950000
2024-07-15,56.78826,3950000
2024-07-12,56.136968,3950000
2024-07-11,55.551718,4000000
2024-07-10,53.980328,4000000
2024-07-09,53.458361,4000000
2024-07-08,53.720159,4000000
2024-07-05,53.486589,4000000
2024-07-03,53.768458,4000000
2024-07-02,53.686753,4000000
2024-07-01,53.508356,4000000
2024-06-28,53.996929,4000000
2024-06-27,53.637485,4000000
2024-06-26,53.337967,4000000
2024-06-25,53.360295,4000000
2024-06-24,53.784146,4000000
2024-06-21,53.476304,4000000
2024-06-20,53.274326,4000000
2024-06-18,53.440915,4000000
2024-06-17,53.383911,4000000
2024-06-14,52.996289,4000000
2024-06-13,53.763451,4000000
2024-06-12,54.293842,4000000
2024-06-11,53.475626,4000000
2024-06-10,53.852332,4000000
2024-06-07,53.752476,4000000
2024-06-06,54.314994,4000000
2024-06-05,54.542813,4000000
2024-06-04,53.84462,4000000
