date,nav_value,shares
2024-08-30,48.246357,12300000
2024-08-29,47.942955,12300000
2024-08-28,47.595029,12300000
2024-08-27,47.982932,12300000
2024-08-26,48.149325,12300000
2024-08-23,48.261409,12300000
2024-08-22,47.121406,12300000
2024-08-21,47.556602,12300000
2024-08-20,46.862847,12300000
2024-08-19,47.274625,12300000
2024-08-16,46.735239,12300000
2024-08-15,46.68346,12300000
2024-08-14,45.673193,12300000
2024-08-13,45.812178,12300000
2024-08-12,45.078869,12300000
2024-08-09,45.412098,12300000
2024-08-08,45.375942,12300000
2024-08-07,44.207242,12300000
2024-08-06,44.833242,12300000
2024-08-05,44.251708,12300000
2024-08-02,45.537136,12300000
2024-08-01,46.98132,12300000
2024-07-31,48.173244,12250000
2024-07-30,47.812618,12250000
2024-07-29,47.826252,12250000
2024-07-26,48.085654,12200000
2024-07-25,47.29664,12200000
2024-07-24,46.932052,12200000
2024-07-23,48.132496,12150000
2024-07-22,47.838703,12150000
2024-07-19,47.113383,12150000
2024-07-18,47.373533,12100000
2024-07-17,48.144252,12100000
2024-07-16,49.023164,12100000
2024-07-15,47.646011,12100000
2024-07-12,47.102744,12100000
2024-07-11,46.559396,12100000
2024-07-10,45.4375,12100000
2024-07-09,45.094124,12150000
2024-07-08,45.395901,12150000
2024-07-05,45.212787,12150000
2024-07-03,45.269152,12150000
2024-07-02,45.170101,12150000
2024-07-01,45.066896,12150000
2024-06-28,45.457098,12150000
2024-06-27,45.26542,12150000
2024-06-26,44.885166,12150000
2024-06-25,44.936218,12150000
2024-06-24,45.102647,12150000
2024-06-21,44.984515,12150000
2024-06-20,44.735064,12150000
2024-06-18,44.964084,12150000
2024-06-17,44.893395,12150000
2024-06-14,44.599214,12150000
2024-06-13,45.232334,12150000
2024-06-12,45.640574,12150000
2024-06-11,44.930673,12150000
2024-06-10,45.105453,12150000
2024-06-07,44.891892,12150000
2024-06-06,45.363747,12150000
2024-06-05,45.584877,12150000
2024-06-04,44.836916,12150000
2024-06-03,45.358068,12150000
2024-05-31,45.512575,12150000
2024-05-30,45.233836,12150000
2024-05-29,45.031832,12150000
2024-05-28,45.557671,12150000
2024-05-24,45.690158,12150000
2024-05-23,45.256129,12150000
2024-05-22,45.930062,12150000
2024-05-21,46.177123,12150000
2024-05-20,46.301104,12150000
2024-05-17,46.043928,12150000
2024-05-16,46.029376,12150000
2024-05-15,46.421687,12150000
2024-05-14,45.910417,12150000
2024-05-13,45.413672,12150000
2024-05-10,45.400154,12150000
2024-05-09,45.577575,12150000
2024-05-08,45.174551,12150000
2024-05-07,45.523217,12150000
2024-05-06,45.399382,12150000
2024-05-03,44.75388,12150000
2024-05-02,44.308761,12150000
2024-05-01,43.706214,12150000
2024-04-30,43.5592,12200000
2024-04-29,44.376166,12200000
2024-04-26,44.140465,12200000
2024-04-25,43.749166,12200000
2024-04-24,43.988936,12200000
2024-04-23,44.062255,12200000
2024-04-22,43.285668,12200000
2024-04-19,42.80984,12200000
2024-04-18,42.808204,12200000
2024-04-17,42.956035,12200000
2024-04-16,43.378119,12200000
2024-04-15,43.546484,12200000
2024-04-12,44.233525,12200000
2024-04-11,45.141559,12200000
2024-04-10,44.928819,11950000
2024-04-09,45.836609,11950000
2024-04-08,45.672671,12000000
2024-04-05,45.411096,12000000
2024-04-04,45.085496,12000000
2024-04-03,45.562143,12000000
2024-04-02,45.370924,12000000
2024-04-01,46.142149,12000000
2024-03-31,46.616385,12000000
2024-03-29,46.616385,12000000
2024-03-28,46.616385,12000000
2024-03-27,46.487269,12000000
