date,nav_value,shares
2024-08-30,63.131196,6850000
2024-08-29,62.756362,6850000
2024-08-28,62.467086,6850000
2024-08-27,62.662411,6850000
2024-08-26,62.98116,6850000
2024-08-23,63.03597,6850000
2024-08-22,61.18069,6850000
2024-08-21,61.535957,6850000
2024-08-20,60.893196,6850000
2024-08-19,61.603704,6850000
2024-08-16,61.004246,6850000
2024-08-15,60.775841,6850000
2024-08-14,59.505193,6850000
2024-08-13,59.713676,6850000
2024-08-12,58.758642,6850000
2024-08-09,59.427583,6850000
2024-08-08,59.50205,6850000
2024-08-07,58.305316,6850000
2024-08-06,58.828474,6850000
2024-08-05,58.321696,6850000
2024-08-02,60.133827,6850000
2024-08-01,62.073118,6850000
2024-07-31,63.706518,6850000
2024-07-30,63.484615,6850000
2024-07-29,63.081196,6850000
2024-07-26,63.453755,6850000
2024-07-25,62.353695,6850000
2024-07-24,61.4359,6850000
2024-07-23,62.595938,6850000
2024-07-22,62.273517,6850000
2024-07-19,61.570851,6850000
2024-07-18,62.004356,6850000
2024-07-17,62.933297,6850000
2024-07-16,63.099867,6850000
2024-07-15,61.161527,6850000
2024-07-12,60.469901,6850000
2024-07-11,59.913322,6850000
2024-07-10,57.965705,6850000
2024-07-09,57.280978,6850000
2024-07-08,57.458285,6850000
2024-07-05,57.187522,6850000
2024-07-03,57.729794,6850000
2024-07-02,57.683235,6900000
2024-07-01,57.420782,6900000
2024-06-28,57.975402,6900000
2024-06-27,57.442772,6900000
2024-06-26,57.29358,6900000
2024-06-25,57.277925,6900000
2024-06-24,57.982759,6900000
2024-06-21,57.476021,7700000
2024-06-20,57.367884,7700000
2024-06-18,57.432157,6900000
2024-06-17,57.402022,6900000
2024-06-14,56.936309,6900000
2024-06-13,57.776072,6900000
2024-06-12,58.397372,6900000
2024-06-11,57.545045,6900000
2024-06-10,58.137821,6900000
2024-06-07,58.210179,6900000
2024-06-06,58.816453,6900000
2024-06-05,59.025332,6900000
2024-06-04,58.488389,6900000
2024-06-03,59.416915,6900000
2024-05-31,59.743981,6900000
2024-05-30,58.950607,6900000
2024-05-29,58.142842,6900000
2024-05-28,58.970733,6900000
2024-05-24,59.234836,6900000
2024-05-23,58.740017,6900000
2024-05-22,59.725319,6900000
2024-05-21,60.279775,6900000
2024-05-20,60.403953,6900000
2024-05-17,60.514114,6900000
2024-05-16,60.536836,6900000
2024-05-15,60.951737,6950000
2024-05-14,60.739241,6950000
2024-05-13,60.007046,6950000
2024-05-10,59.815028,6950000
2024-05-09,60.046616,6950000
2024-05-08,59.351138,6950000
2024-05-07,59.34826,6950000
2024-05-06,59.399394,6950000
2024-05-03,58.739901,6950000
2024-05-02,58.207385,6950000
2024-05-01,57.255867,6950000
2024-04-30,57.115203,6950000
2024-04-29,58.25392,6950000
2024-04-26,57.890433,6950000
2024-04-25,57.623026,6950000
