date,nav_value,shares
2024-08-30,123.580105,493600000
2024-08-29,122.370045,493500000
2024-08-28,122.273559,493300000
2024-08-27,123.031797,493300000
2024-08-26,122.907622,492800000
2024-08-23,123.284959,492800000
2024-08-22,121.669927,492800000
2024-08-21,122.775912,492800000
2024-08-20,122.109206,492800000
2024-08-19,122.468097,492800000
2024-08-16,121.258019,492350000
2024-08-15,120.997333,491100000
2024-08-14,118.958585,490050000
2024-08-13,118.570007,490050000
2024-08-12,116.592407,490050000
2024-08-09,116.69033400000001,490050000
2024-08-08,116.186005,488500000
2024-08-07,113.517214,488100000
2024-08-06,114.452099,487500000
2024-08-05,113.261241,487500000
2024-08-02,116.745414,487500000
2024-08-01,119.149542,486200000
2024-07-31,120.990118,486050000
2024-07-30,119.233041,486050000
2024-07-29,119.742405,486100000
2024-07-26,119.731289,486100000
2024-07-25,118.339932,485250000
2024-07-24,118.706514,485250000
2024-07-23,121.548398,483650000
2024-07-22,121.637708,483650000
2024-07-19,120.289484,481050000
2024-07-18,121.090573,481050000
2024-07-17,122.152415,479350000
2024-07-16,123.913637,479350000
2024-07-15,122.82041100000001,479350000
2024-07-12,122.329366,479700000
2024-07-11,121.588153,479450000
2024-07-10,122.175414,479450000
2024-07-09,120.950161,479450000
2024-07-08,120.952253,479450000
2024-07-05,120.79231,479450000
2024-07-03,120.250905,479450000
2024-07-02,119.678353,479450000
2024-07-01,118.994055,479450000
2024-06-28,118.806423,479450000
2024-06-27,119.155661,479450000
2024-06-26,118.955206,479450000
2024-06-25,118.811641,479450000
2024-06-24,118.472196,479250000
2024-06-21,118.725845,479250000
2024-06-20,118.846678,479250000
2024-06-18,119.155962,478800000
2024-06-17,118.864664,478800000
2024-06-14,117.955578,478350000
2024-06-13,118.142266,477550000
2024-06-12,118.043077,477550000
2024-06-11,116.955695,477100000
2024-06-10,117.048441,477100000
2024-06-07,116.700376,477100000
2024-06-06,116.929897,476700000
2024-06-05,117.012665,476700000
2024-06-04,115.601334,476700000
2024-06-03,115.603234,476700000
2024-05-31,115.553715,476700000
2024-05-30,114.702075,476400000
2024-05-29,115.239968,476400000
2024-05-28,116.155628,476400000
2024-05-24,116.200285,476400000
2024-05-23,115.365493,476400000
2024-05-22,116.333669,475800000
2024-05-21,116.707035,474750000
2024-05-20,116.501354,474100000
2024-05-17,116.352395,474100000
2024-05-16,116.218107,474100000
2024-05-15,116.513086,473600000
2024-05-14,115.153038,473300000
2024-05-13,114.502512,472950000
2024-05-10,114.517201,472950000
2024-05-09,114.3853,472950000
2024-05-08,113.734031,472350000
2024-05-07,113.801009,472350000
2024-05-06,113.697112,472350000
2024-05-03,112.47234,472350000
2024-05-02,111.140927,472350000
2024-05-01,110.041251,471050000
2024-04-30,110.316714,471050000
2024-04-29,112.143,471050000
2024-04-26,111.753763,471050000
2024-04-25,110.658435,470800000
2024-04-24,111.173452,471350000
2024-04-23,111.17986,471350000
2024-04-22,109.776311,470750000
2024-04-19,108.806242,470750000
2024-04-18,109.642951,470750000
2024-04-17,109.87591,470350000
2024-04-16,110.561189,469850000
2024-04-15,110.818229,469850000
2024-04-12,112.23501,469850000
2024-04-11,113.951782,469850000
2024-04-10,113.146432,469850000
2024-04-09,114.381433,469550000
2024-04-08,114.186286,469550000
2024-04-05,114.146554,469550000
2024-04-04,112.927843,469950000
2024-04-03,114.298778,469950000
2024-04-02,114.119922,469950000
2024-04-01,115.067072,470000000
2024-03-31,115.40046,470000000
2024-03-29,115.40046,470000000
2024-03-28,115.40046,470350000
2024-03-27,115.239486,470350000
2024-03-26,114.14878,470350000
2024-03-25,114.424568,470350000
2024-03-22,114.719001,471300000
2024-03-21,115.002364,471300000
2024-03-20,114.837886,471400000
2024-03-19,113.683177,472600000
2024-03-18,113.041643,473100000
2024-03-15,112.454592,473100000
2024-03-14,113.096648,473100000
2024-03-13,113.588708,472800000
2024-03-12,113.738968,472450000
2024-03-11,112.603307,472450000
2024-03-08,112.804439,472450000
2024-03-07,113.498396,472450000
2024-03-06,112.349011,472100000
2024-03-05,111.714211,472100000
2024-03-04,112.891809,472100000
2024-03-01,113.003799,471950000
2024-02-29,112.099269,471950000
2024-02-28,111.482429,471350000
2024-02-27,111.693468,471350000
2024-02-26,111.39282,471350000
2024-02-23,111.700041,471350000
2024-02-22,111.626559,471350000
2024-02-21,109.425258,470650000
2024-02-20,109.387849,470650000
2024-02-16,110.1336,470650000
2024-02-15,110.715539,470650000
2024-02-14,109.907706,470650000
2024-02-13,108.670031,470650000
2024-02-12,110.403094,470650000
2024-02-09,110.346221,470650000
2024-02-08,109.624162,471100000
2024-02-07,109.369321,470850000
2024-02-06,108.541762,470550000
2024-02-05,108.194935,470550000
2024-02-02,108.680939,470550000
2024-02-01,107.666813,470300000
2024-01-31,106.329838,470300000
2024-01-30,108.147905,470000000
2024-01-29,108.285474,470000000
2024-01-26,107.346179,470000000
2024-01-25,107.378558,470000000
2024-01-24,106.819575,470550000
2024-01-23,106.849201,470550000
2024-01-22,106.617955,470550000
2024-01-19,106.197861,470550000
2024-01-18,104.910542,470550000
2024-01-17,104.017055,470550000
2024-01-16,104.631411,470550000
2024-01-12,105.089687,470250000
2024-01-11,105.053791,470250000
2024-01-10,105.171913,470250000
2024-01-09,104.624496,469600000
2024-01-08,104.832256,470200000
2024-01-05,103.302355,470200000
2024-01-04,103.125923,470200000
