date,nav_value,shares
2024-08-30,128.443987,150150000
2024-08-29,127.007242,150150000
2024-08-28,127.351471,149900000
2024-08-27,128.610882,149900000
2024-08-26,128.346946,149900000
2024-08-23,129.280713,149900000
2024-08-22,127.630001,149750000
2024-08-21,129.527091,149750000
2024-08-20,128.90052,149600000
2024-08-19,129.074615,149600000
2024-08-16,127.516441,149600000
2024-08-15,127.409274,149600000
2024-08-14,124.77204,149600000
2024-08-13,124.422026,149600000
2024-08-12,121.649087,149600000
2024-08-09,121.305818,149600000
2024-08-08,120.415844,149300000
2024-08-07,117.007236,149150000
2024-08-06,118.19651,149000000
2024-08-05,116.797415,149000000
2024-08-02,120.898711,149000000
2024-08-01,123.677603,148800000
2024-07-31,126.101637,148700000
2024-07-30,122.870163,148700000
2024-07-29,124.394012,148700000
2024-07-26,124.206237,148700000
2024-07-25,122.965854,148550000
2024-07-24,124.177913,148450000
2024-07-23,128.962431,148450000
2024-07-22,128.897633,148600000
2024-07-19,126.898865,148800000
2024-07-18,127.836782,148800000
2024-07-17,128.702916,148850000
2024-07-16,132.396608,148800000
2024-07-15,132.225774,148800000
2024-07-12,131.807723,148800000
2024-07-11,131.059534,148750000
2024-07-10,133.591727,148750000
2024-07-09,132.083613,148750000
2024-07-08,132.003829,148750000
2024-07-05,131.773457,148650000
2024-07-03,130.615931,148500000
2024-07-02,129.464838,148500000
2024-07-01,128.458657,148400000
2024-06-28,127.502712,148400000
2024-06-27,128.445091,148400000
2024-06-26,128.119026,148350000
2024-06-25,127.503787,148450000
2024-06-24,126.030327,148450000
2024-06-21,127.317963,148400000
2024-06-20,127.631398,148150000
2024-06-18,128.546522,147900000
2024-06-17,128.290643,147850000
2024-06-14,127.035821,147750000
2024-06-13,126.817945,147600000
2024-06-12,126.156202,147600000
2024-06-11,124.239957,147550000
2024-06-10,123.294637,147550000
2024-06-07,122.837283,147550000
2024-06-06,122.932563,147350000
2024-06-05,122.972695,147350000
2024-06-04,120.695619,147350000
2024-06-03,120.383872,147300000
2024-05-31,119.82099,147300000
2024-05-30,119.553139,147250000
2024-05-29,121.242034,147250000
2024-05-28,121.85824,147250000
2024-05-24,121.17292,147250000
2024-05-23,120.022496,147200000
2024-05-22,120.301775,147050000
2024-05-21,120.665268,147050000
2024-05-20,120.250237,147050000
2024-05-17,119.52445,146750000
2024-05-16,119.518496,146750000
2024-05-15,120.067361,146750000
2024-05-14,118.223109,146750000
2024-05-13,117.433521,146600000
2024-05-10,117.466255,146450000
2024-05-09,117.363968,146450000
2024-05-08,117.034061,146450000
2024-05-07,117.159102,146350000
2024-05-06,117.160551,146150000
2024-05-03,115.517283,146150000
2024-05-02,113.464349,146150000
2024-05-01,112.047913,146100000
2024-04-30,112.549227,145900000
2024-04-29,114.701818,145800000
2024-04-26,114.420406,145800000
2024-04-25,112.275275,145800000
2024-04-24,112.880788,145650000
2024-04-23,112.882383,145650000
2024-04-22,111.088986,145650000
2024-04-19,110.015334,145300000
2024-04-18,112.392333,145300000
2024-04-17,112.99767,145300000
2024-04-16,114.136209,145300000
2024-04-15,114.135219,145500000
2024-04-12,116.131386,145250000
2024-04-11,117.782416,145250000
2024-04-10,116.065257,145200000
2024-04-09,116.82871,145200000
2024-04-08,116.815368,145400000
2024-04-05,116.914708,144400000
2024-04-04,115.181211,144400000
2024-04-03,116.873243,144300000
2024-04-02,116.453548,144300000
2024-04-01,117.363805,144300000
2024-03-31,117.271145,144300000
2024-03-29,117.271145,144300000
2024-03-28,117.271145,144450000
2024-03-27,117.417455,144600000
2024-03-26,116.989483,144400000
2024-03-25,117.51066,144400000
2024-03-22,117.982383,144350000
2024-03-21,117.767087,144350000
2024-03-20,117.722449,144350000
2024-03-19,116.433994,144350000
