date,nav_value,shares
2024-08-30,94.978478,201750000
2024-08-29,94.174944,201650000
2024-08-28,93.815799,201650000
2024-08-27,93.909782,201650000
2024-08-26,93.858037,201550000
2024-08-23,93.664619,201450000
2024-08-22,92.648252,201200000
2024-08-21,92.760677,201200000
2024-08-20,92.331132,201050000
2024-08-19,92.666593,201050000
2024-08-16,92.051679,201050000
2024-08-15,91.720056,200300000
2024-08-14,90.745895,200300000
2024-08-13,90.326409,200200000
2024-08-12,89.528681,200200000
2024-08-09,89.888859,200100000
2024-08-08,89.807242,199750000
2024-08-07,88.442731,199750000
2024-08-06,88.872604,199650000
2024-08-05,88.137526,199650000
2024-08-02,90.357929,199300000
2024-08-01,91.682768,199000000
2024-07-31,92.380547,199000000
2024-07-30,92.225025,199000000
2024-07-29,91.738766,198850000
2024-07-26,91.772572,198650000
2024-07-25,90.578776,198400000
2024-07-24,90.344083,198400000
2024-07-23,90.72906,198400000
2024-07-22,91.077204,198400000
2024-07-19,90.65694,198800000
2024-07-18,91.272913,198550000
2024-07-17,92.158494,198450000
2024-07-16,91.720892,198300000
2024-07-15,90.299526,198300000
2024-07-12,90.029583,198300000
2024-07-11,89.519674,198050000
2024-07-10,88.647256,197950000
2024-07-09,87.854514,197950000
2024-07-08,87.846316,197950000
2024-07-05,87.813448,197950000
2024-07-03,87.863597,197950000
2024-07-02,87.89714,197550000
2024-07-01,87.579632,197550000
2024-06-28,88.05316,197400000
2024-06-27,87.920662,197150000
2024-06-26,88.003817,197000000
2024-06-25,88.301417,197000000
2024-06-24,89.015778,197000000
2024-06-21,88.335375,196900000
2024-06-20,88.3,196850000
2024-06-18,87.985176,196200000
2024-06-17,87.691211,196100000
2024-06-14,87.242594,195950000
2024-06-13,87.617015,195550000
2024-06-12,87.833658,195550000
2024-06-11,87.821027,195450000
2024-06-10,88.774255,195450000
2024-06-07,88.665866,195450000
2024-06-06,88.840547,195400000
2024-06-05,88.871527,195100000
2024-06-04,88.613699,195000000
2024-06-03,88.755237,195000000
2024-05-31,89.128576,195000000
2024-05-30,87.731835,194650000
2024-05-29,87.16537,194650000
2024-05-28,88.13371,194650000
2024-05-24,88.791902,194650000
2024-05-23,88.438988,194650000
2024-05-22,89.715439,194550000
2024-05-21,89.98382,194550000
2024-05-20,89.906879,194350000
2024-05-17,90.372713,194150000
2024-05-16,90.142635,194050000
2024-05-15,90.088259,193950000
2024-05-14,89.485464,193950000
2024-05-13,89.173558,193950000
2024-05-10,89.196172,193750000
2024-05-09,88.962515,193750000
2024-05-08,88.181515,193650000
2024-05-07,88.097059,193500000
2024-05-06,87.81595,193400000
2024-05-03,87.284932,193300000
2024-05-02,86.79671,193300000
2024-05-01,86.33014,192800000
2024-04-30,86.472573,192800000
2024-04-29,87.541418,192650000
2024-04-26,87.148685,192650000
2024-04-25,87.25783,192650000
2024-04-24,87.573964,192400000
2024-04-23,87.527949,192400000
2024-04-22,86.905003,192200000
2024-04-19,86.251845,191800000
2024-04-18,85.573174,191800000
2024-04-17,85.419661,191550000
2024-04-16,85.500006,191550000
2024-04-15,85.924424,191450000
2024-04-12,86.392233,191450000
2024-04-11,87.719595,191100000
2024-04-10,87.925392,189100000
2024-04-09,89.198903,189100000
2024-04-08,88.904805,188850000
2024-04-05,88.831021,188700000
2024-04-04,88.301736,188400000
2024-04-03,89.12736,188400000
2024-04-02,89.264535,188100000
2024-04-01,89.917598,187950000
2024-03-31,90.460394,187950000
2024-03-29,90.460394,187950000
2024-03-28,90.460394,187850000
2024-03-27,90.06578,187800000
2024-03-26,88.649231,187550000
2024-03-25,88.707884,187550000
2024-03-22,88.846043,187450000
2024-03-21,89.378981,187300000
2024-03-20,89.278064,187150000
2024-03-19,88.645858,187150000
2024-03-18,88.187628,187150000
2024-03-15,88.010063,187150000
2024-03-14,88.078873,186950000
2024-03-13,88.720533,186950000
2024-03-12,88.584448,186950000
2024-03-11,88.433485,186750000
2024-03-08,88.104859,186750000
2024-03-07,88.131542,186750000
2024-03-06,87.720177,186600000
2024-03-05,87.219757,186600000
2024-03-04,87.416275,185750000
2024-03-01,87.202587,185600000
2024-02-29,86.910411,185800000
2024-02-28,86.755563,185800000
2024-02-27,86.708895,185600000
2024-02-26,86.487267,185600000
2024-02-23,86.946772,185500000
2024-02-22,86.679422,185600000
2024-02-21,86.07475,185500000
2024-02-20,85.68558,185500000
2024-02-16,85.758586,185500000
2024-02-15,85.9794,185000000
2024-02-14,84.890704,184750000
2024-02-13,84.323132,184450000
2024-02-12,85.562788,184450000
2024-02-09,85.028382,184450000
2024-02-08,84.999391,184450000
2024-02-07,84.960437,184200000
2024-02-06,84.790454,184200000
2024-02-05,84.252751,184050000
2024-02-02,84.990843,183900000
2024-02-01,85.166157,183050000
2024-01-31,84.395009,183050000
2024-01-30,85.266945,183150000
2024-01-29,84.997463,183150000
2024-01-26,84.632642,183150000
2024-01-25,84.534632,183100000
2024-01-24,83.798615,183100000
2024-01-23,84.225847,183100000
2024-01-22,84.041986,183100000
2024-01-19,83.76763,183100000
2024-01-18,83.110008,183400000
2024-01-17,82.859089,183250000
2024-01-16,83.409119,183500000
2024-01-12,84.009921,183550000
2024-01-11,84.012084,183850000
2024-01-10,84.368806,183800000
2024-01-09,84.321393,183800000
2024-01-08,84.798228,184050000
2024-01-05,84.219269,184200000
2024-01-04,83.995059,184200000
2024-01-03,84.067461,184400000
2024-01-02,84.805703,184400000
2023-12-29,84.324291,184300000
2023-12-28,84.536971,184250000
2023-12-27,84.419387,184100000
2023-12-26,84.294779,184100000
2023-12-22,83.829615,184100000
2023-12-21,83.528476,184100000
2023-12-20,82.728647,184100000
2023-12-19,84.492021,183950000
2023-12-18,83.84128,183800000
2023-12-15,83.747581,233300000
2023-12-14,83.920913,233300000
2023-12-13,83.21217,183250000
2023-12-12,81.869688,183250000
2023-12-11,81.544345,182750000
2023-12-08,80.999147,182350000
2023-12-07,80.628674,182350000
2023-12-06,80.111897,181900000
2023-12-05,80.263385,181900000
2023-12-04,80.717803,181350000
2023-12-01,80.902997,181350000
2023-11-30,80.102114,181350000
2023-11-29,79.573859,181350000
2023-11-28,79.485935,181350000
2023-11-27,79.424769,181750000
2023-11-24,79.590595,181750000
2023-11-22,79.400207,181650000
2023-11-21,78.939158,180800000
2023-11-20,79.213472,180800000
2023-11-17,78.721191,180700000
2023-11-16,78.479464,180700000
2023-11-15,78.488413,180700000
2023-11-14,78.172334,180700000
2023-11-13,76.30017,180600000
2023-11-10,76.462433,180350000
2023-11-09,75.404246,180350000
2023-11-08,75.964512,180350000
2023-11-07,76.029445,180350000
2023-11-06,75.972179,180350000
2023-11-03,76.130517,180000000
2023-11-02,75.126405,180000000
2023-11-01,73.731335,180250000
2023-10-31,73.112468,180400000
2023-10-30,72.450363,180400000
2023-10-27,71.459344,180250000
2023-10-26,71.920697,179750000
2023-10-25,72.403337,179750000
2023-10-24,73.243408,179750000
2023-10-23,72.647664,180000000
2023-10-20,72.894404,180000000
2023-10-19,73.746441,179150000
2023-10-18,74.278011,178950000
2023-10-17,75.430083,178950000
2023-10-16,75.19857,179350000
2023-10-13,74.300969,179350000
2023-10-12,74.694385,179350000
2023-10-11,75.449514,179100000
2023-10-10,75.174143,179100000
2023-10-09,74.625343,179100000
2023-10-06,74.201058,179100000
2023-10-05,73.406483,179000000
2023-10-04,73.59269,178800000
2023-10-03,73.085043,178250000
2023-10-02,74.131528,177850000
2023-09-29,74.589587,178000000
2023-09-28,74.787956,178000000
2023-09-27,74.346126,178000000
2023-09-26,74.427858,177900000
2023-09-25,76.048087,178200000
2023-09-22,75.830153,178750000
2023-09-21,76.118603,178750000
2023-09-20,77.373018,178900000
2023-09-19,77.902157,179550000
2023-09-18,78.107189,179550000
2023-09-15,78.171134,179200000
2023-09-14,79.032041,179200000
2023-09-13,78.205166,179200000
2023-09-12,78.246397,179200000
2023-09-11,78.513206,179450000
2023-09-08,78.030535,179600000
2023-09-07,77.916268,179600000
2023-09-06,78.07113,179450000
2023-09-05,78.272701,179450000
2023-09-01,78.98598,179450000
2023-08-31,78.745272,180100000
2023-08-30,78.838283,180500000
2023-08-29,78.698609,180300000
2023-08-28,77.772687,180300000
2023-08-25,77.243072,180200000
2023-08-24,76.794542,180200000
2023-08-23,77.662708,180150000
2023-08-22,76.916903,180150000
2023-08-21,77.211562,180000000
2023-08-18,77.104175,180000000
2023-08-17,77.074285,180000000
2023-08-16,77.779767,179850000
2023-08-15,78.388627,179700000
2023-08-14,79.428974,179700000
2023-08-11,79.280459,179700000
2023-08-10,79.309331,179700000
2023-08-09,79.295696,179450000
2023-08-08,79.840034,179450000
2023-08-07,80.353369,179450000
2023-08-04,79.474134,179450000
2023-08-03,79.530693,179300000
2023-08-02,79.869846,179100000
2023-08-01,80.819566,179100000
2023-07-31,81.007663,179100000
2023-07-28,80.868695,179100000
2023-07-27,80.203703,179100000
2023-07-26,80.758894,178750000
