date,nav_value,shares
2024-08-30,196.23189,179400000
2024-08-29,194.55746,179250000
2024-08-28,193.81792,179250000
2024-08-27,194.000654,179250000
2024-08-26,193.851281,179250000
2024-08-23,193.395596,179250000
2024-08-22,191.451836,179250000
2024-08-21,191.630954,179250000
2024-08-20,190.804509,179250000
2024-08-19,191.433198,179250000
2024-08-16,190.188489,179300000
2024-08-15,189.504188,179200000
2024-08-14,187.579288,179100000
2024-08-13,186.665928,179100000
2024-08-12,185.057843,179100000
2024-08-09,185.775202,179100000
2024-08-08,185.595472,179100000
2024-08-07,182.833801,179100000
2024-08-06,183.710482,179000000
2024-08-05,182.203714,179000000
2024-08-02,186.74608,178450000
2024-08-01,189.339549,178450000
2024-07-31,190.621148,178400000
2024-07-30,190.32257,178400000
2024-07-29,189.337506,178500000
2024-07-26,189.397491,178600000
2024-07-25,186.969107,178550000
2024-07-24,186.602174,178550000
2024-07-23,187.256594,179150000
2024-07-22,188.054745,179150000
2024-07-19,187.264621,179650000
2024-07-18,188.526896,179800000
2024-07-17,190.317783,180100000
2024-07-16,189.283989,180100000
2024-07-15,186.470237,180100000
2024-07-12,185.96137,180150000
2024-07-11,184.944969,180150000
2024-07-10,183.344474,180200000
2024-07-09,181.734582,180300000
2024-07-08,181.663279,180300000
2024-07-05,181.631618,180350000
2024-07-03,181.643605,180300000
2024-07-02,181.720868,180150000
2024-07-01,181.073978,180350000
2024-06-28,182.0077,180250000
2024-06-27,181.790028,180250000
2024-06-26,182.00425,180250000
2024-06-25,182.630186,180250000
2024-06-24,184.0812,180000000
2024-06-21,182.673156,179400000
2024-06-20,182.637322,179050000
2024-06-18,181.941953,178900000
2024-06-17,181.303038,178900000
2024-06-14,180.411749,178900000
2024-06-13,181.10739,179000000
2024-06-12,181.50543,179000000
2024-06-11,181.587073,179000000
2024-06-10,183.543667,179000000
2024-06-07,183.29913,179000000
2024-06-06,183.572552,178700000
2024-06-05,183.642691,178700000
2024-06-04,183.153736,178500000
2024-06-03,183.312228,178500000
2024-05-31,184.089812,178700000
2024-05-30,181.194393,178800000
2024-05-29,180.097386,178800000
2024-05-28,182.071407,178900000
2024-05-24,183.454291,179050000
2024-05-23,182.765653,179100000
2024-05-22,185.390082,179200000
2024-05-21,185.886982,179200000
2024-05-20,185.691873,179200000
2024-05-17,186.693056,179200000
2024-05-16,186.19157,179200000
2024-05-15,185.997549,179150000
2024-05-14,184.714957,179150000
2024-05-13,184.165862,179150000
2024-05-10,184.252274,179150000
2024-05-09,183.740123,179150000
2024-05-08,182.139112,179150000
2024-05-07,181.952793,179150000
2024-05-06,181.346927,179250000
2024-05-03,180.314162,179300000
2024-05-02,179.345658,179450000
2024-05-01,178.460555,179450000
2024-04-30,178.799517,179450000
2024-04-29,180.968392,179250000
2024-04-26,180.172698,179250000
2024-04-25,180.443106,179150000
2024-04-24,181.064496,179200000
2024-04-23,180.982638,178950000
2024-04-22,179.712552,179150000
2024-04-19,178.382387,179150000
2024-04-18,176.997745,179100000
2024-04-17,176.666022,179500000
2024-04-16,176.772938,179400000
2024-04-15,177.642274,179400000
2024-04-12,178.554477,179400000
2024-04-11,181.283824,179500000
2024-04-10,181.733521,179450000
2024-04-09,184.247546,179450000
2024-04-08,183.652808,179450000
2024-04-05,183.571385,179450000
2024-04-04,182.459903,179450000
2024-04-03,184.156305,179500000
2024-04-02,184.489631,179750000
2024-04-01,185.771482,180550000
2024-03-31,186.860657,180550000
2024-03-29,186.860657,180550000
2024-03-28,186.860657,180600000
2024-03-27,186.057456,180650000
2024-03-26,183.197641,180500000
2024-03-25,183.301318,180650000
2024-03-22,183.61833,180650000
2024-03-21,184.675881,180650000
2024-03-20,184.45417,180400000
2024-03-19,183.233655,180400000
2024-03-18,182.304868,180400000
2024-03-15,181.883765,180450000
2024-03-14,182.051987,180050000
2024-03-13,183.298475,179750000
2024-03-12,183.019037,179750000
2024-03-11,182.692474,179750000
2024-03-08,181.959874,179750000
2024-03-07,182.007854,179750000
2024-03-06,181.213027,179750000
2024-03-05,180.154812,179750000
2024-03-04,180.588166,180000000
2024-03-01,180.153008,179900000
2024-02-29,179.568617,179700000
2024-02-28,179.289491,179650000
2024-02-27,179.152669,179550000
2024-02-26,178.729887,179550000
2024-02-23,179.688189,179500000
2024-02-22,179.114539,179300000
2024-02-21,177.860596,179000000
2024-02-20,177.042657,178950000
2024-02-16,177.13135,178750000
2024-02-15,177.529111,178950000
2024-02-14,175.323542,178800000
2024-02-13,174.214021,178800000
2024-02-12,176.59786,178800000
2024-02-09,175.565733,178650000
2024-02-08,175.575179,178650000
2024-02-07,175.573433,178550000
2024-02-06,175.208651,178200000
2024-02-05,174.068064,178300000
2024-02-02,175.53452,177850000
2024-02-01,175.874454,177900000
2024-01-31,174.284421,177400000
2024-01-30,175.960807,176000000
2024-01-29,175.331558,175850000
2024-01-26,174.628345,173550000
2024-01-25,174.444405,156900000
2024-01-24,172.889642,156900000
2024-01-23,173.775813,156900000
2024-01-22,173.339244,156900000
2024-01-19,172.862041,156850000
2024-01-18,171.526911,156850000
2024-01-17,171.050537,157000000
2024-01-16,172.155115,157000000
2024-01-12,173.383297,157200000
2024-01-11,173.360199,157750000
2024-01-10,174.083656,157800000
2024-01-09,173.995703,157800000
2024-01-08,174.952013,157800000
2024-01-05,173.806886,157700000
2024-01-04,173.365008,157800000
2024-01-03,173.502137,157550000
2024-01-02,174.857661,157750000
2023-12-29,173.796556,157450000
2023-12-28,174.150834,157450000
2023-12-27,173.909382,157450000
2023-12-26,173.634542,157350000
2023-12-22,172.703191,157450000
2023-12-21,172.081386,157300000
2023-12-20,170.47374,157350000
2023-12-19,174.059832,157300000
2023-12-18,172.78945,157300000
2023-12-15,172.610655,200100000
2023-12-14,172.874892,200100000
2023-12-13,171.65473,157050000
2023-12-12,169.014202,157050000
2023-12-11,168.256536,157050000
2023-12-08,167.121469,156900000
2023-12-07,166.35472,156900000
2023-12-06,165.296282,156600000
2023-12-05,165.622569,156600000
2023-12-04,166.458238,156600000
2023-12-01,166.966421,156300000
2023-11-30,165.491745,156000000
2023-11-29,164.385355,155850000
2023-11-28,164.233989,155850000
2023-11-27,164.053573,155350000
2023-11-24,164.406929,155150000
2023-11-22,164.037406,155100000
2023-11-21,163.085694,154650000
2023-11-20,163.623303,154550000
2023-11-17,162.581119,154550000
2023-11-16,162.15271,154550000
2023-11-15,162.066679,154700000
2023-11-14,161.457371,154700000
2023-11-13,157.772039,154700000
2023-11-10,158.09786,154700000
2023-11-09,155.900002,154700000
2023-11-08,156.996853,154650000
2023-11-07,157.100786,154650000
2023-11-06,156.943804,154550000
2023-11-03,157.187653,154550000
2023-11-02,155.213647,154100000
2023-11-01,152.382206,154050000
2023-10-31,151.064213,154050000
2023-10-30,149.703825,154050000
2023-10-27,147.626325,154100000
2023-10-26,148.486286,154150000
2023-10-25,149.603618,154150000
2023-10-24,151.312162,154150000
2023-10-23,150.055713,154200000
2023-10-20,150.507304,154200000
2023-10-19,152.281357,154200000
2023-10-18,153.29269,154500000
2023-10-17,155.592696,154500000
2023-10-16,155.20796,154500000
2023-10-13,153.401867,154500000
2023-10-12,154.19093,154500000
2023-10-11,155.653399,154500000
2023-10-10,155.091932,154800000
2023-10-09,153.988298,154800000
2023-10-06,153.111555,154850000
2023-10-05,151.438845,154850000
2023-10-04,151.814386,154900000
2023-10-03,150.761923,155400000
2023-10-02,152.87349,156100000
2023-09-29,153.736825,156100000
2023-09-28,154.158938,156100000
2023-09-27,153.323257,156100000
2023-09-26,153.533112,156100000
2023-09-25,156.777782,156100000
2023-09-22,156.351748,156300000
2023-09-21,156.963457,156300000
2023-09-20,159.533447,156300000
2023-09-19,160.660345,156350000
2023-09-18,161.093085,156300000
2023-09-15,161.200236,156150000
2023-09-14,162.993652,156150000
2023-09-13,161.33072,156350000
2023-09-12,161.344894,156250000
2023-09-11,161.929983,156350000
2023-09-08,160.869278,156000000
2023-09-07,160.601316,156450000
2023-09-06,160.823395,156500000
2023-09-05,161.221357,156500000
2023-09-01,162.547378,156550000
2023-08-31,162.128338,156550000
2023-08-30,162.349069,156600000
2023-08-29,162.067418,156600000
2023-08-28,160.185083,156700000
2023-08-25,159.13525,156700000
2023-08-24,158.163989,156700000
2023-08-23,159.986633,156700000
2023-08-22,158.476812,157300000
2023-08-21,159.058,157300000
2023-08-18,158.817198,157300000
2023-08-17,158.775282,157300000
2023-08-16,160.205992,157250000
2023-08-15,161.422787,157250000
2023-08-14,163.545897,157250000
2023-08-11,163.225647,157250000
2023-08-10,163.282289,157250000
2023-08-09,163.22544,157250000
2023-08-08,164.360513,157250000
2023-08-07,165.387657,157250000
2023-08-04,163.547452,157200000
2023-08-03,163.654785,157200000
2023-08-02,164.351547,157150000
2023-08-01,166.324947,157200000
2023-07-31,166.707476,157150000
2023-07-28,166.466646,157250000
2023-07-27,165.097176,157300000
2023-07-26,166.18432,157250000
2023-07-25,166.155625,158150000
2023-07-24,166.023908,158100000
2023-07-21,165.497516,158150000
2023-07-20,165.533452,158150000
2023-07-19,166.049152,158700000
2023-07-18,165.257261,158700000
2023-07-17,163.936742,158700000
2023-07-14,163.785116,158700000
2023-07-13,164.586244,158750000
2023-07-12,163.508542,158700000
2023-07-11,162.345762,158700000
2023-07-10,160.693499,158800000
2023-07-07,159.828257,158800000
2023-07-06,159.918182,158800000
2023-07-05,161.25581,157900000
2023-07-03,161.614852,157600000
2023-06-30,161.235997,157650000
2023-06-29,159.585308,157650000
2023-06-28,158.688379,157450000
2023-06-27,158.892954,157500000
2023-06-26,157.074622,157500000
2023-06-23,157.001979,157550000
2023-06-22,158.106678,157600000
2023-06-21,158.246461,157600000
2023-06-20,158.934364,157500000
2023-06-16,160.14583,157500000
2023-06-15,160.661111,157500000
2023-06-14,158.500599,157150000
2023-06-13,158.305904,157000000
2023-06-12,157.146216,157000000
2023-06-09,155.972055,157000000
2023-06-08,155.981293,157000000
2023-06-07,155.460301,157000000
2023-06-06,155.74904,157350000
2023-06-05,154.902215,158000000
2023-06-02,155.394782,158100000
2023-06-01,152.682845,158200000
2023-05-31,151.416581,158250000
2023-05-30,152.221512,158400000
2023-05-26,152.331483,158800000
2023-05-25,150.317866,158750000
2023-05-24,150.213905,158250000
2023-05-23,151.54193,158350000
2023-05-22,153.219945,158250000
2023-05-19,153.150581,158300000
2023-05-18,153.659053,158350000
2023-05-17,152.334641,158450000
2023-05-16,150.212173,158450000
2023-05-15,151.694507,158450000
2023-05-12,150.891775,158550000
2023-05-11,151.238634,158600000
2023-05-10,151.826302,158750000
2023-05-09,151.531698,158950000
2023-05-08,152.099417,159150000
2023-05-05,152.150105,159150000
2023-05-04,149.803134,159650000
2023-05-03,151.011808,159750000
2023-05-02,152.259548,159750000
2023-05-01,154.167901,159700000
2023-04-28,154.37087,159700000
2023-04-27,153.058123,159700000
2023-04-26,149.711959,159850000
2023-04-25,150.487975,159850000
2023-04-24,153.005869,159500000
2023-04-21,152.998601,159500000
2023-04-20,152.752218,159500000
2023-04-19,153.763986,159800000
2023-04-18,153.679309,159900000
2023-04-17,153.563529,159900000
2023-04-14,152.459108,160000000
2023-04-13,152.677688,160050000
2023-04-12,151.105168,160950000
2023-04-11,151.740212,160950000
2023-04-10,151.479392,160950000
2023-04-06,151.04696,160950000
2023-04-05,150.566105,160950000
2023-04-04,150.875048,161050000
2023-04-03,151.840591,161250000
2023-03-31,151.790566,161300000
2023-03-30,149.707153,161300000
2023-03-29,148.902376,161350000
2023-03-28,146.602024,161600000
2023-03-27,146.588366,161900000
2023-03-24,145.834021,162050000
2023-03-23,144.803253,162150000
2023-03-22,145.453259,162600000
2023-03-21,148.387532,162700000
2023-03-20,146.654988,162800000
2023-03-17,145.379167,163650000
2023-03-16,147.674151,164450000
2023-03-15,145.294168,166100000
2023-03-14,146.647018,166050000
2023-03-13,144.259074,166150000
2023-03-10,145.250907,166250000
2023-03-09,147.537638,166250000
2023-03-08,150.693386,166250000
2023-03-07,150.515485,166350000
2023-03-06,153.041728,166350000
2023-03-03,153.383925,166650000
2023-03-02,151.017379,166650000
2023-03-01,149.790433,166650000
2023-02-28,150.566745,166700000
2023-02-27,150.778542,166700000
2023-02-24,150.540262,166850000
2023-02-23,151.774457,166400000
2023-02-22,151.389531,165700000
2023-02-21,151.730858,165850000
2023-02-17,155.002442,166700000
2023-02-16,155.172634,166950000
2023-02-15,157.0258,166950000
2023-02-14,156.476299,166650000
2023-02-13,156.814686,166300000
2023-02-10,154.812206,165850000
2023-02-09,154.459661,165850000
2023-02-08,156.147214,165950000
2023-02-07,157.680689,165950000
2023-02-06,156.235311,166300000
2023-02-03,157.275905,167800000
2023-02-02,159.487725,167800000
2023-02-01,156.727654,167850000
2023-01-31,155.207505,167850000
2023-01-30,152.985228,167850000
2023-01-27,154.506325,168200000
2023-01-26,154.192695,168400000
2023-01-25,152.901063,167600000
2023-01-24,152.713096,167750000
2023-01-23,152.814189,167750000
2023-01-20,151.083943,167900000
2023-01-19,148.438775,167900000
2023-01-18,149.958014,167900000
2023-01-17,152.6372,168450000
2023-01-13,153.391708,168450000
2023-01-12,152.839578,168450000
2023-01-11,152.191208,168950000
2023-01-10,150.459588,168950000
2023-01-09,149.328196,168950000
2023-01-06,149.415446,169400000
2023-01-05,146.033512,170050000
2023-01-04,147.646269,170000000
2023-01-03,145.779902,170000000
2022-12-30,145.080822,170000000
2022-12-29,145.566793,169950000
2022-12-28,143.055966,169550000
2022-12-27,144.681943,169600000
2022-12-23,144.695841,169450000
2022-12-22,143.78332,169600000
2022-12-21,145.343369,168750000
2022-12-20,143.148342,168800000
2022-12-19,142.813528,168950000
2022-12-16,144.043328,199000000
2022-12-15,145.424973,198950000
2022-12-14,148.276657,169050000
2022-12-13,149.020597,168950000
2022-12-12,149.357472,168800000
2022-12-09,147.143688,168800000
2022-12-08,148.273777,168850000
2022-12-07,147.566441,169750000
2022-12-06,147.600781,170750000
2022-12-05,149.09928,170750000
2022-12-02,151.610021,170550000
2022-12-01,151.555306,170500000
2022-11-30,151.871797,170500000
2022-11-29,148.875491,170450000
2022-11-28,148.444823,170450000
2022-11-25,150.614335,170450000
2022-11-23,150.172515,169850000
2022-11-22,149.724095,168400000
2022-11-21,147.88009,168400000
2022-11-18,147.664451,168800000
2022-11-17,146.477191,168800000
2022-11-16,146.759376,168700000
2022-11-15,147.635259,168700000
2022-11-14,146.718449,168600000
2022-11-11,147.729021,168600000
2022-11-10,147.2473,168600000
2022-11-09,141.710531,168700000
2022-11-08,144.312157,169250000
2022-11-07,143.478434,169700000
2022-11-04,142.27599,170200000
2022-11-03,140.420703,170200000
2022-11-02,140.940638,168850000
2022-11-01,143.5002,168400000
2022-10-31,143.26628,167650000
2022-10-28,143.90937,167650000
2022-10-27,140.730435,167000000
2022-10-26,140.363791,166150000
2022-10-25,139.550659,164650000
2022-10-24,137.818108,164700000
2022-10-21,136.234008,164950000
2022-10-20,133.205637,164950000
2022-10-19,134.32938,164900000
2022-10-18,135.131258,164900000
2022-10-17,133.408359,165050000
2022-10-14,130.865016,166500000
2022-10-13,133.234963,166450000
2022-10-12,129.668293,166400000
2022-10-11,130.306592,166400000
2022-10-10,130.537377,166350000
2022-10-07,131.247698,166350000
2022-10-06,133.920132,166350000
2022-10-05,135.577655,166150000
2022-10-04,135.951031,166200000
2022-10-03,132.05272,166100000
2022-09-30,128.495724,166050000
2022-09-29,130.216519,166050000
2022-09-28,132.32127,165900000
2022-09-27,129.667154,165900000
2022-09-26,130.272272,166000000
2022-09-23,133.018702,166000000
2022-09-22,135.520241,166150000
2022-09-21,136.518173,166200000
2022-09-20,138.785229,166300000
2022-09-19,140.56347,166350000
2022-09-16,139.717951,166350000
2022-09-15,140.739426,166200000
2022-09-14,141.748789,166200000
2022-09-13,141.412693,166200000
2022-09-12,146.521582,166250000
2022-09-09,145.249769,166300000
