date,nav_value,shares
2024-08-30,566.957103,920050000
2024-08-29,561.21599,919900000
2024-08-28,561.209149,920850000
2024-08-27,564.581139,921050000
2024-08-26,563.637693,919100000
2024-08-23,565.408456,919100000
2024-08-22,558.98436,918950000
2024-08-21,564.011572,917300000
2024-08-20,561.606761,917900000
2024-08-19,562.706533,917350000
2024-08-16,557.230747,915350000
2024-08-15,556.046823,914800000
2024-08-14,547.060133,914600000
2024-08-13,544.960967,913400000
2024-08-12,535.927338,914650000
2024-08-09,535.832836,917450000
2024-08-08,533.277902,919200000
2024-08-07,521.263715,917500000
2024-08-06,525.308683,917500000
2024-08-05,519.919766,916300000
2024-08-02,535.958628,915600000
2024-08-01,545.988134,909400000
2024-07-31,553.546134,909400000
2024-07-30,544.899392,908500000
2024-07-29,547.613921,903000000
2024-07-26,547.162821,903550000
2024-07-25,541.125732,903500000
2024-07-24,543.918357,904550000
2024-07-23,556.799621,903850000
2024-07-22,557.669198,903250000
2024-07-19,551.694113,901850000
2024-07-18,555.627904,901900000
2024-07-17,560.002764,901500000
2024-07-16,567.905221,901300000
2024-07-15,564.300305,900700000
2024-07-12,562.653632,900700000
2024-07-11,559.568373,900900000
2024-07-10,564.48934,901000000
2024-07-09,558.71931,900900000
2024-07-08,558.292058,900100000
2024-07-05,557.708566,901400000
2024-07-03,554.599169,902450000
2024-07-02,551.780264,901050000
2024-07-01,548.380493,896750000
2024-06-28,546.902038,892200000
2024-06-27,549.077757,890350000
2024-06-26,548.574351,891200000
2024-06-25,547.712762,891200000
2024-06-24,545.567813,890250000
2024-06-21,547.210952,888200000
2024-06-20,548.038938,882800000
2024-06-18,549.423874,878750000
2024-06-17,548.025257,873400000
2024-06-14,543.790597,870500000
2024-06-13,543.871377,868000000
2024-06-12,542.593073,845550000
2024-06-11,538.006519,841100000
2024-06-10,538.155663,844600000
2024-06-07,536.72606,850100000
2024-06-06,537.228533,874050000
2024-06-05,537.329334,874800000
2024-06-04,531.030148,872550000
2024-06-03,530.205328,872250000
2024-05-31,529.553857,872500000
2024-05-30,525.288568,872150000
2024-05-29,528.391907,872050000
2024-05-28,532.307832,871800000
2024-05-24,532.175537,871700000
2024-05-23,528.464043,872100000
2024-05-22,532.374073,871800000
2024-05-21,533.813153,871050000
2024-05-20,532.467573,869950000
2024-05-17,531.936078,870150000
2024-05-16,531.295031,870000000
2024-05-15,532.295088,869450000
2024-05-14,526.033439,869200000
2024-05-13,523.423864,869100000
2024-05-10,523.543605,869250000
2024-05-09,522.600354,866950000
2024-05-08,519.853732,867600000
2024-05-07,519.855565,867300000
2024-05-06,519.131185,867850000
2024-05-03,513.812446,863950000
2024-05-02,507.416553,863700000
2024-05-01,502.819191,863900000
2024-04-30,504.550189,863150000
2024-04-29,512.594857,862900000
2024-04-26,510.945932,861650000
2024-04-25,505.774745,861400000
2024-04-24,508.090957,860650000
2024-04-23,507.980715,859800000
2024-04-22,501.964892,861250000
2024-04-19,497.62115,861650000
2024-04-18,501.994294,860400000
2024-04-17,503.074232,859000000
2024-04-16,506.000206,858250000
2024-04-15,507.042433,857900000
2024-04-12,513.206882,857500000
2024-04-11,520.72315,856600000
2024-04-10,516.863924,857000000
2024-04-09,521.789974,858050000
2024-04-08,520.962486,865200000
2024-04-05,521.14911,865050000
2024-04-04,515.427338,864350000
2024-04-03,521.79944,864250000
2024-04-02,521.206481,863200000
2024-04-01,524.991842,870650000
2024-03-31,526.051078,870650000
2024-03-29,526.051078,870650000
2024-03-28,526.051078,864250000
2024-03-27,525.449816,862800000
2024-03-26,520.892932,860900000
2024-03-25,522.354106,858750000
2024-03-22,523.955681,838650000
2024-03-21,524.666109,838200000
2024-03-20,524.622407,839650000
2024-03-19,519.924269,859300000
2024-03-18,517.004204,869050000
2024-03-15,513.754388,874100000
2024-03-14,517.090324,884200000
2024-03-13,518.452376,883150000
2024-03-12,519.430322,879400000
2024-03-11,513.660781,875100000
2024-03-08,514.237484,874250000
2024-03-07,517.580522,873300000
2024-03-06,512.232283,873600000
2024-03-05,509.575147,873500000
2024-03-04,514.810709,873150000
2024-03-01,515.409137,872850000
2024-02-29,511.284836,870200000
2024-02-28,508.517564,869200000
2024-02-27,509.314583,867800000
2024-02-26,508.439367,867350000
2024-02-23,510.354178,869550000
2024-02-22,510.165889,868700000
2024-02-21,499.587978,868500000
2024-02-20,498.935678,866450000
2024-02-16,501.93264,865200000
2024-02-15,504.276249,864700000
2024-02-14,501.245527,864000000
2024-02-13,496.397615,864650000
2024-02-12,503.220207,864450000
2024-02-09,503.692011,864800000
2024-02-08,500.769597,865200000
2024-02-07,500.421169,865250000
2024-02-06,496.324374,864850000
2024-02-05,495.166273,864950000
2024-02-02,496.745753,862950000
2024-02-01,491.471974,862600000
2024-01-31,485.382541,861900000
2024-01-30,493.312731,857850000
2024-01-29,493.569942,857350000
2024-01-26,489.86027,857000000
2024-01-25,490.180278,854450000
2024-01-24,487.5885,854100000
2024-01-23,487.188511,853700000
2024-01-22,485.758913,853950000
2024-01-19,484.696377,854150000
2024-01-18,478.773759,853500000
2024-01-17,474.557265,849300000
2024-01-16,477.227913,847450000
2024-01-12,479.009554,842500000
2024-01-11,478.610037,842600000
2024-01-10,478.915397,842050000
2024-01-09,476.209734,844250000
2024-01-08,476.847678,844800000
2024-01-05,470.203632,843600000
2024-01-04,469.346701,842800000
2024-01-03,470.900497,836900000
2024-01-02,474.686509,837650000
2023-12-29,477.376603,837150000
2023-12-28,478.705899,836600000
2023-12-27,478.476475,834550000
2023-12-26,477.754066,834600000
2023-12-22,475.739123,816450000
2023-12-21,474.950073,811800000
2023-12-20,470.107032,811400000
2023-12-19,479.010972,810900000
2023-12-18,476.179297,818250000
2023-12-15,474.027585,837100000
2023-12-14,474.039219,835200000
2023-12-13,472.678692,832100000
2023-12-12,466.304663,836850000
2023-12-11,464.152413,834650000
2023-12-08,462.337137,830550000
2023-12-07,460.441107,827550000
2023-12-06,456.730049,825550000
2023-12-05,458.509065,825450000
2023-12-04,458.749847,825200000
2023-12-01,461.24364,826100000
2023-11-30,458.512661,825300000
2023-11-29,456.647014,824550000
2023-11-28,457.000549,824100000
2023-11-27,456.551973,821100000
2023-11-24,457.438292,821100000
2023-11-22,457.156214,820450000
2023-11-21,455.284949,819700000
2023-11-20,456.196328,819300000
2023-11-17,452.804264,819100000
2023-11-16,452.215474,818050000
2023-11-15,451.571043,817400000
2023-11-14,450.768184,817400000
2023-11-13,442.23964,817150000
2023-11-10,442.583413,817100000
2023-11-09,435.712629,814500000
2023-11-08,439.178912,814450000
2023-11-07,438.716622,813900000
2023-11-06,437.466324,813650000
2023-11-03,436.687552,812950000
2023-11-02,432.603963,812450000
2023-11-01,424.569225,812000000
2023-10-31,420.15388,812250000
2023-10-30,417.42233,812050000
2023-10-27,412.433574,811950000
2023-10-26,414.414948,811100000
2023-10-25,419.371465,810700000
2023-10-24,425.47037,810300000
2023-10-23,422.392747,809500000
2023-10-20,423.106664,808750000
2023-10-19,428.485828,805300000
2023-10-18,432.11594,803850000
2023-10-17,437.984299,803850000
2023-10-16,438.027911,804400000
2023-10-13,433.424262,803650000
2023-10-12,435.604703,803250000
2023-10-11,438.296168,803400000
2023-10-10,436.401867,799250000
2023-10-09,434.132102,798750000
2023-10-06,431.412719,799150000
2023-10-05,426.306405,797650000
2023-10-04,426.786187,797500000
2023-10-03,423.352239,794350000
2023-10-02,429.217763,793800000
2023-09-29,429.182727,792050000
2023-09-28,430.334282,791750000
2023-09-27,427.757371,779300000
2023-09-26,427.651645,776600000
2023-09-25,436.035166,779850000
2023-09-22,434.282727,788150000
2023-09-21,435.275646,789150000
2023-09-20,442.519685,790100000
2023-09-19,446.686594,790700000
2023-09-18,447.650555,791600000
2023-09-15,447.322336,791000000
2023-09-14,452.810183,789450000
2023-09-13,448.900412,789300000
2023-09-12,448.340996,785000000
2023-09-11,450.891977,780550000
2023-09-08,447.881901,778550000
2023-09-07,447.211828,777600000
2023-09-06,448.592212,780500000
2023-09-05,451.728788,779350000
2023-09-01,453.613038,780000000
2023-08-31,452.776747,782700000
2023-08-30,453.396068,783350000
2023-08-29,451.590279,782200000
2023-08-28,445.118924,781450000
2023-08-25,442.342546,781350000
2023-08-24,439.339446,781200000
2023-08-23,445.274895,780100000
2023-08-22,440.402809,781150000
2023-08-21,441.623129,781250000
2023-08-18,438.598405,780950000
2023-08-17,438.635509,780900000
2023-08-16,441.959945,780900000
