date,nav_value,shares
2024-08-30,93.285597,569150000
2024-08-29,92.268723,568950000
2024-08-28,92.549269,568700000
2024-08-27,93.463602,569500000
2024-08-26,93.212017,569200000
2024-08-23,93.902932,569200000
2024-08-22,92.735225,568800000
2024-08-21,94.123561,568800000
2024-08-20,93.725863,568250000
2024-08-19,93.821989,568250000
2024-08-16,92.675686,568150000
2024-08-15,92.583631,567850000
2024-08-14,90.703577,568050000
2024-08-13,90.421123,567900000
2024-08-12,88.368917,567900000
2024-08-09,88.078716,567400000
2024-08-08,87.392389,567450000
2024-08-07,84.866782,567350000
2024-08-06,85.759663,567500000
2024-08-05,84.721927,568000000
2024-08-02,87.706612,570250000
2024-08-01,89.55564,570550000
2024-07-31,91.29719,570450000
2024-07-30,88.881766,570250000
2024-07-29,90.049156,569900000
2024-07-26,89.89868,569550000
2024-07-25,89.039831,569450000
2024-07-24,89.996812,569150000
2024-07-23,93.543665,567350000
2024-07-22,93.546233,567550000
2024-07-19,92.052424,567650000
2024-07-18,92.743042,568800000
2024-07-17,93.327812,569300000
2024-07-16,96.036868,569650000
2024-07-15,96.018007,569800000
2024-07-12,95.701596,570950000
2024-07-11,95.158008,570650000
2024-07-10,97.17086,571000000
2024-07-09,96.071232,572150000
2024-07-08,95.975694,572000000
2024-07-05,95.811023,572000000
2024-07-03,94.900709,571900000
2024-07-02,94.005148,571250000
2024-07-01,93.258396,570050000
2024-06-28,92.518269,569850000
2024-06-27,93.239466,569650000
2024-06-26,93.012025,569550000
2024-06-25,92.525559,570600000
2024-06-24,91.35336,570800000
2024-06-21,92.364466,571750000
2024-06-20,92.622689,571300000
2024-06-18,93.294954,569950000
2024-06-17,93.124511,569650000
2024-06-14,92.21501,568900000
2024-06-13,91.977544,567300000
2024-06-12,91.451319,566450000
2024-06-11,90.068277,562600000
2024-06-10,89.296102,561350000
2024-06-07,88.969413,560300000
2024-06-06,89.015085,526950000
2024-06-05,89.019192,526850000
2024-06-04,87.350326,527000000
2024-06-03,87.049154,526200000
2024-05-31,86.566684,525900000
2024-05-30,86.402263,525550000
2024-05-29,87.729034,525250000
2024-05-28,88.139111,524600000
2024-05-24,87.582343,524600000
2024-05-23,86.749757,524250000
2024-05-22,86.913366,524450000
2024-05-21,87.150518,524400000
2024-05-20,86.828787,524250000
2024-05-17,86.297208,524250000
2024-05-16,86.297986,524250000
2024-05-15,86.666201,524050000
2024-05-14,85.306624,524050000
2024-05-13,84.745569,523800000
2024-05-10,84.750204,523900000
2024-05-09,84.666179,523900000
2024-05-08,84.461122,523650000
2024-05-07,84.532763,523550000
2024-05-06,84.548231,523550000
2024-05-03,83.373411,523350000
2024-05-02,81.856287,523100000
2024-05-01,80.837048,522550000
2024-04-30,81.219301,522700000
2024-04-29,82.771497,522550000
2024-04-26,82.58751,522750000
2024-04-25,80.964581,522450000
2024-04-24,81.412968,522500000
2024-04-23,81.412103,522200000
2024-04-22,80.120158,522200000
2024-04-19,79.344195,522000000
2024-04-18,81.152809,521800000
2024-04-17,81.596268,521450000
2024-04-16,82.417854,522950000
2024-04-15,82.398119,522750000
2024-04-12,83.871102,522950000
2024-04-11,85.056784,524750000
2024-04-10,83.752064,524200000
2024-04-09,84.256208,525000000
2024-04-08,84.237237,525100000
2024-04-05,84.324887,524750000
2024-04-04,83.05946,524400000
2024-04-03,84.297269,524100000
2024-04-02,83.997569,523400000
2024-04-01,84.6302,522850000
2024-03-31,84.53426,522850000
2024-03-29,84.53426,522850000
2024-03-28,84.53426,522650000
2024-03-27,84.660267,522800000
2024-03-26,84.396232,521800000
2024-03-25,84.788389,521350000
2024-03-22,85.142877,521150000
2024-03-21,84.953522,520150000
2024-03-20,84.934909,519150000
2024-03-19,84.013402,518500000
2024-03-18,83.504246,516750000
2024-03-15,82.70934,511000000
2024-03-14,83.628799,463350000
2024-03-13,83.560493,463300000
2024-03-12,83.954575,463400000
2024-03-11,82.378749,463550000
2024-03-08,82.826888,463850000
2024-03-07,83.793911,460800000
2024-03-06,82.518967,465600000
2024-03-05,82.136179,467450000
2024-03-04,83.515389,466650000
2024-03-01,83.857388,465550000
2024-02-29,82.863788,465250000
2024-02-28,82.153618,465250000
2024-02-27,82.440633,465150000
2024-02-26,82.342806,465050000
2024-02-23,82.546594,464700000
2024-02-22,82.708496,465000000
2024-02-21,80.065933,464850000
2024-02-20,80.182996,465000000
2024-02-16,81.035129,465100000
2024-02-15,81.576003,464200000
2024-02-14,81.515934,464250000
2024-02-13,80.506684,464350000
2024-02-12,81.617823,464050000
2024-02-09,82.148335,466100000
2024-02-08,81.284248,468750000
2024-02-07,81.182734,468050000
2024-02-06,80.113919,466750000
2024-02-05,80.204067,467700000
2024-02-02,80.117711,466950000
2024-02-01,78.435882,467200000
2024-01-31,77.242429,468100000
2024-01-30,78.947143,468250000
2024-01-29,79.26133,468500000
2024-01-26,78.435372,472050000
2024-01-25,78.599632,489050000
2024-01-24,78.423479,489150000
2024-01-23,77.971274,488500000
2024-01-22,77.715342,488300000
2024-01-19,77.584219,488300000
2024-01-18,76.343413,488400000
2024-01-17,75.280931,488350000
2024-01-16,75.651457,488350000
2024-01-12,75.715028,488100000
2024-01-11,75.606534,488250000
2024-01-10,75.423746,488300000
2024-01-09,74.660046,488300000
2024-01-08,74.487607,488700000
2024-01-05,72.963011,488700000
2024-01-04,72.87767,489300000
2024-01-03,73.284618,489900000
2024-01-02,73.889447,490900000
2023-12-29,75.086403,490800000
2023-12-28,75.345203,490800000
2023-12-27,75.369089,490800000
2023-12-26,75.260951,490700000
2023-12-22,75.020938,490700000
2023-12-21,75.023987,490800000
2023-12-20,74.203991,491400000
2023-12-19,75.418766,491400000
2023-12-18,75.065357,491500000
2023-12-15,74.505926,491650000
2023-12-14,74.413218,491650000
2023-12-13,74.463318,490600000
2023-12-12,73.57909,490600000
2023-12-11,73.232176,490600000
2023-12-08,73.121756,491050000
2023-12-07,72.852424,491200000
2023-12-06,72.162661,491950000
2023-12-05,72.560516,492250000
2023-12-04,72.325387,492850000
2023-12-01,72.865081,492900000
2023-11-30,72.611897,493250000
2023-11-29,72.475392,493300000
2023-11-28,72.633904,493300000
2023-11-27,72.570202,493700000
2023-11-24,72.700034,493700000
2023-11-22,72.754376,491650000
2023-11-21,72.559761,489400000
2023-11-20,72.628097,490050000
2023-11-17,72.026176,490050000
2023-11-16,72.012364,490050000
2023-11-15,71.857357,490200000
2023-11-14,71.847756,490100000
2023-11-13,70.720412,490100000
2023-11-10,70.702453,489650000
2023-11-09,69.51161,489800000
2023-11-08,70.117489,491100000
2023-11-07,69.945593,491400000
2023-11-06,69.640349,493300000
2023-11-03,69.326373,493500000
2023-11-02,68.86346,493250000
2023-11-01,67.566307,493250000
2023-10-31,66.766398,492900000
2023-10-30,66.471484,492750000
2023-10-27,65.784494,492650000
2023-10-26,66.045717,494600000
2023-10-25,67.076823,493400000
2023-10-24,68.2236,494900000
2023-10-23,67.790237,494900000
2023-10-20,67.833702,494300000
2023-10-19,68.747444,494300000
2023-10-18,69.432389,493850000
2023-10-17,70.295759,493850000
