date,nav_value,shares
2024-08-30,309.028633,122900000
2024-08-29,305.946577,122900000
2024-08-28,305.758664,122950000
2024-08-27,307.652573,122950000
2024-08-26,307.235099,122950000
2024-08-23,308.20984,122950000
2024-08-22,304.477702,122800000
2024-08-21,307.208385,122500000
2024-08-20,305.677038,122150000
2024-08-19,306.419743,122150000
2024-08-16,303.455397,122150000
2024-08-15,302.824778,122050000
2024-08-14,297.854781,122250000
2024-08-13,296.742096,122000000
2024-08-12,291.824198,122050000
2024-08-09,291.967876,122050000
2024-08-08,290.582885,121400000
2024-08-07,283.91085,121400000
2024-08-06,286.123415,121700000
2024-08-05,283.179316,121250000
2024-08-02,291.842895,121150000
2024-08-01,297.608402,120900000
2024-07-31,301.911866,120750000
2024-07-30,297.415475,120750000
2024-07-29,298.759655,120450000
2024-07-26,298.550605,120450000
2024-07-25,295.183614,119950000
2024-07-24,296.347601,120000000
2024-07-23,303.468807,120000000
2024-07-22,303.788691,120000000
2024-07-19,300.5616,120100000
2024-07-18,302.507597,120450000
2024-07-17,305.053019,120450000
2024-07-16,309.464617,120550000
2024-07-15,307.145894,120600000
2024-07-12,306.128744,120850000
2024-07-11,304.36123,120950000
2024-07-10,306.38562,120950000
2024-07-09,303.357916,121150000
2024-07-08,303.299165,121150000
2024-07-05,302.989376,121350000
2024-07-03,301.477293,121450000
2024-07-02,300.001694,121550000
2024-07-01,298.238244,121700000
2024-06-28,297.611464,126200000
2024-06-27,298.629632,125900000
2024-06-26,298.260623,125900000
2024-06-25,297.853074,126300000
2024-06-24,296.920354,126300000
2024-06-21,297.587025,122050000
2024-06-20,297.920153,122050000
2024-06-18,298.608544,122050000
2024-06-17,297.901499,122500000
2024-06-14,295.646377,122500000
2024-06-13,295.890251,122400000
2024-06-12,295.53015,122400000
2024-06-11,292.940894,122400000
2024-06-10,292.972559,122400000
2024-06-07,292.107748,122450000
2024-06-06,292.549449,123600000
2024-06-05,292.641182,123600000
2024-06-04,289.209368,123600000
