date,nav_value,shares
2024-08-30,188.308121,317250000
2024-08-29,186.679455,317450000
2024-08-28,185.827835,317450000
2024-08-27,186.146446,317600000
2024-08-26,186.143966,317300000
2024-08-23,185.868984,317650000
2024-08-22,183.619189,317500000
2024-08-21,183.936712,317500000
2024-08-20,182.931206,317500000
2024-08-19,183.726171,317400000
2024-08-16,182.368427,317150000
2024-08-15,181.807164,317300000
2024-08-14,179.628387,317300000
2024-08-13,178.859474,317300000
2024-08-12,177.170508,317450000
2024-08-09,177.92726,317300000
2024-08-08,177.7431,317650000
2024-08-07,174.756265,317700000
2024-08-06,175.618314,317500000
2024-08-05,174.11221,317950000
2024-08-02,178.460589,318100000
2024-08-01,181.581804,318400000
2024-07-31,183.411564,318800000
2024-07-30,182.93115,318800000
2024-07-29,181.902649,318800000
2024-07-26,182.011288,318700000
2024-07-25,179.422398,318950000
2024-07-24,178.884794,318800000
2024-07-23,180.117537,318850000
2024-07-22,180.796108,318350000
2024-07-19,179.805452,321300000
2024-07-18,181.043783,320750000
2024-07-17,182.70514,320500000
2024-07-16,182.398382,320500000
2024-07-15,179.238275,320650000
2024-07-12,178.613978,320650000
2024-07-11,177.51532,320450000
2024-07-10,175.600106,320200000
2024-07-09,173.899903,320100000
2024-07-08,174.011095,320000000
2024-07-05,173.821129,319800000
2024-07-03,174.080854,319800000
2024-07-02,174.026445,319850000
2024-07-01,173.406921,319350000
2024-06-28,174.514859,319200000
2024-06-27,174.288132,319100000
2024-06-26,174.310368,319100000
2024-06-25,174.981475,319300000
2024-06-24,176.252143,319050000
2024-06-21,174.884873,319000000
2024-06-20,174.842454,318900000
2024-06-18,174.285633,315550000
2024-06-17,173.656879,315550000
2024-06-14,172.81087,315200000
2024-06-13,173.824789,315250000
2024-06-12,174.447869,314750000
2024-06-11,174.021616,314600000
2024-06-10,175.811648,314550000
2024-06-07,175.454712,314550000
2024-06-06,175.8332,314250000
2024-06-05,176.119808,313850000
2024-06-04,175.353657,314000000
2024-06-03,175.975154,314000000
2024-05-31,176.906496,314250000
2024-05-30,174.358104,314600000
2024-05-29,173.380178,314650000
2024-05-28,175.369587,314650000
2024-05-24,176.555997,314650000
2024-05-23,175.588989,316100000
2024-05-22,178.116733,315850000
2024-05-21,178.643151,315850000
2024-05-20,178.454848,315850000
2024-05-17,179.068062,315850000
2024-05-16,178.533795,315650000
2024-05-15,178.73747,315200000
2024-05-14,177.457569,314650000
2024-05-13,176.709186,314650000
2024-05-10,176.844761,314650000
2024-05-09,176.547548,314650000
2024-05-08,175.024223,314300000
2024-05-07,174.840464,313950000
2024-05-06,174.490531,313950000
2024-05-03,173.119372,313850000
2024-05-02,172.165231,313850000
2024-05-01,171.199041,313600000
2024-04-30,171.499475,313450000
2024-04-29,173.92986,313250000
2024-04-26,173.086421,313250000
2024-04-25,173.170724,313250000
2024-04-24,173.653286,312700000
2024-04-23,173.577505,312700000
2024-04-22,172.042355,312700000
2024-04-19,170.626775,310400000
2024-04-18,169.573826,310400000
2024-04-17,169.415596,310400000
2024-04-16,169.767722,310750000
2024-04-15,170.690515,312300000
2024-04-12,171.837739,312550000
2024-04-11,174.520211,313350000
2024-04-10,174.793151,313400000
2024-04-09,177.246459,313900000
2024-04-08,176.917318,314050000
2024-04-05,176.782574,312450000
2024-04-04,175.503231,312800000
2024-04-03,177.208924,313100000
2024-04-02,177.163912,313300000
2024-04-01,178.309234,313550000
2024-03-31,179.179395,313550000
2024-03-29,179.179395,313550000
2024-03-28,179.179395,314200000
2024-03-27,178.422592,314500000
2024-03-26,175.649217,314700000
2024-03-25,175.808758,314500000
2024-03-22,175.976166,314500000
2024-03-21,176.963238,314500000
2024-03-20,176.526074,314800000
2024-03-19,175.079735,314850000
2024-03-18,174.258625,314900000
2024-03-15,173.870418,314700000
2024-03-14,173.887245,313150000
2024-03-13,175.288907,313600000
2024-03-12,174.980655,313550000
2024-03-11,174.542253,313400000
2024-03-08,174.062342,313400000
2024-03-07,174.079857,311550000
2024-03-06,173.160651,313150000
2024-03-05,172.093426,313950000
2024-03-04,172.679906,313650000
2024-03-01,172.148034,313250000
2024-02-29,171.418831,313500000
2024-02-28,170.805037,313950000
2024-02-27,170.675686,313900000
2024-02-26,170.160686,313850000
2024-02-23,170.920639,314450000
2024-02-22,170.464195,314450000
2024-02-21,169.112504,314450000
2024-02-20,168.334568,315450000
2024-02-16,168.546703,315100000
2024-02-15,169.041279,315350000
2024-02-14,166.886002,313400000
2024-02-13,165.4803,313450000
2024-02-12,168.002571,313350000
2024-02-09,166.973121,313900000
2024-02-08,166.858374,313900000
2024-02-07,166.634616,313900000
2024-02-06,166.205392,313900000
2024-02-05,165.229453,314200000
2024-02-02,166.743109,314300000
2024-02-01,166.967455,313550000
2024-01-31,165.342496,313550000
2024-01-30,167.14303,313700000
2024-01-29,166.64291,314650000
2024-01-26,165.838473,315200000
2024-01-25,165.70419,315200000
2024-01-24,164.056547,315650000
2024-01-23,164.725722,316000000
2024-01-22,164.38645,317300000
2024-01-19,163.809829,318200000
2024-01-18,162.344681,318250000
2024-01-17,161.825281,318700000
2024-01-16,162.969979,320700000
2024-01-12,164.148545,321600000
2024-01-11,164.136893,323950000
2024-01-10,164.787572,324200000
2024-01-09,164.801379,325100000
2024-01-08,165.819854,327500000
2024-01-05,164.62114,328600000
2024-01-04,164.0985,330000000
2024-01-03,164.32967,331150000
2024-01-02,165.800371,333350000
2023-12-29,165.196359,334700000
2023-12-28,165.716833,335000000
2023-12-27,165.533036,334550000
2023-12-26,165.244515,334700000
2023-12-22,164.2609,334350000
2023-12-21,163.678538,333900000
2023-12-20,161.975764,333750000
2023-12-19,165.699904,333350000
2023-12-18,164.266772,334050000
2023-12-15,164.039351,333450000
2023-12-14,164.9871,333200000
2023-12-13,162.843295,332700000
2023-12-12,160.047851,332000000
2023-12-11,160.012474,330700000
2023-12-08,158.768137,330250000
2023-12-07,158.196175,329400000
2023-12-06,157.677937,327800000
2023-12-05,157.983449,328100000
2023-12-04,159.294491,327600000
2023-12-01,159.266307,327600000
2023-11-30,157.476475,327550000
2023-11-29,156.098476,326300000
2023-11-28,155.657859,325750000
2023-11-27,155.774205,325150000
2023-11-24,156.21841,325150000
2023-11-22,155.626436,324800000
2023-11-21,154.973868,324150000
2023-11-20,155.1909,323900000
2023-11-17,154.612796,323650000
2023-11-16,153.853219,323450000
2023-11-15,154.301509,322900000
2023-11-14,153.576245,321800000
