date,nav_value,shares
2024-08-30,365.740937,263650000
2024-08-29,361.644258,263250000
2024-08-28,362.748485,263150000
2024-08-27,366.498536,263150000
2024-08-26,365.550265,263150000
2024-08-23,368.273447,263200000
2024-08-22,363.811902,263150000
2024-08-21,369.474099,263150000
2024-08-20,367.79262,263150000
2024-08-19,368.055038,262850000
2024-08-16,363.739229,262850000
2024-08-15,363.312665,262900000
2024-08-14,355.899613,262900000
2024-08-13,354.745487,263000000
2024-08-12,346.565879,262750000
2024-08-09,345.530196,262650000
2024-08-08,342.698223,262950000
2024-08-07,332.853992,262950000
2024-08-06,336.349693,263150000
2024-08-05,332.344946,263850000
2024-08-02,344.279697,263950000
2024-08-01,351.806894,263950000
2024-07-31,358.330012,264200000
2024-07-30,348.932516,264300000
2024-07-29,353.860057,264550000
2024-07-26,353.190088,264750000
2024-07-25,350.174359,264800000
2024-07-24,353.8012,264800000
2024-07-23,367.834099,265000000
2024-07-22,367.341762,265550000
2024-07-19,361.7642,266750000
2024-07-18,363.969917,266800000
2024-07-17,366.786794,266600000
2024-07-16,377.413094,266500000
2024-07-15,377.82388,266400000
2024-07-12,376.63228,266200000
2024-07-11,374.576854,266400000
2024-07-10,382.655169,266600000
2024-07-09,378.815512,266150000
2024-07-08,378.481361,266350000
2024-07-05,378.120046,266350000
2024-07-03,374.195307,266300000
2024-07-02,370.922294,266150000
2024-07-01,368.005006,266450000
2024-06-28,364.586879,265950000
2024-06-27,367.124885,265500000
2024-06-26,366.300023,265500000
2024-06-25,364.377364,265650000
2024-06-24,360.389812,265800000
2024-06-21,363.960197,265950000
2024-06-20,364.74138,265800000
2024-06-18,367.090107,264700000
2024-06-17,366.560143,264650000
2024-06-14,363.055259,264600000
2024-06-13,361.991239,264450000
2024-06-12,360.245311,264550000
2024-06-11,355.364133,264550000
2024-06-10,352.570169,264950000
2024-06-07,351.278411,265400000
2024-06-06,351.63378,265350000
2024-06-05,351.382762,266150000
2024-06-04,345.234129,266150000
2024-06-03,343.872185,265900000
2024-05-31,342.002254,265750000
2024-05-30,341.286886,265800000
2024-05-29,346.005703,266050000
2024-05-28,347.648864,266500000
2024-05-24,346.109585,266550000
2024-05-23,343.284408,266650000
2024-05-22,344.348922,266750000
2024-05-21,345.457346,267350000
2024-05-20,344.494753,267000000
2024-05-17,342.839768,266800000
2024-05-16,342.87182,265600000
2024-05-15,343.994147,265550000
2024-05-14,338.766529,265300000
2024-05-13,336.685032,265300000
2024-05-10,336.655008,265150000
2024-05-09,336.162677,265150000
2024-05-08,335.142302,265000000
2024-05-07,335.702374,265200000
2024-05-06,335.664578,265150000
2024-05-03,331.341426,264800000
2024-05-02,325.65604,264800000
2024-05-01,321.607587,264750000
2024-04-30,322.732486,264750000
2024-04-29,328.59408,264650000
2024-04-26,327.99392,264550000
2024-04-25,322.09693,264550000
2024-04-24,324.091506,264650000
2024-04-23,324.161426,264750000
2024-04-22,319.212403,264750000
2024-04-19,316.325785,263450000
2024-04-18,322.657219,263700000
2024-04-17,324.140456,263800000
2024-04-16,327.078522,263750000
2024-04-15,326.996322,264100000
2024-04-12,332.740151,264000000
2024-04-11,337.485418,264950000
2024-04-10,332.803873,264850000
2024-04-09,335.06182,264900000
2024-04-08,334.64657,264250000
2024-04-05,334.802393,264400000
2024-04-04,330.080677,264550000
2024-04-03,334.759674,264750000
2024-04-02,334.010303,264850000
2024-04-01,336.900921,264550000
2024-03-31,337.07864,264550000
2024-03-29,337.07864,264550000
2024-03-28,337.07864,264550000
2024-03-27,337.507375,264400000
2024-03-26,336.396505,264400000
2024-03-25,337.642722,264700000
2024-03-22,339.091943,264800000
2024-03-21,338.741888,265200000
2024-03-20,338.862011,265200000
2024-03-19,335.251741,265050000
2024-03-18,333.107054,265400000
2024-03-15,330.144226,265600000
2024-03-14,333.840341,265300000
2024-03-13,333.676748,265750000
2024-03-12,335.048184,265750000
2024-03-11,329.367421,266050000
2024-03-08,330.934088,266050000
2024-03-07,334.749077,266050000
2024-03-06,330.038613,265250000
2024-03-05,328.375808,264800000
2024-03-04,333.737118,264950000
2024-03-01,335.187505,264900000
2024-02-29,331.727436,265150000
2024-02-28,329.485189,265300000
2024-02-27,330.607448,265400000
2024-02-26,330.191414,265400000
2024-02-23,330.984044,265150000
2024-02-22,331.332883,265150000
2024-02-21,321.445564,265150000
2024-02-20,322.226096,264900000
2024-02-16,325.611026,264850000
2024-02-15,327.642322,264950000
2024-02-14,327.217633,265150000
2024-02-13,323.223931,265500000
2024-02-12,327.722456,265550000
2024-02-09,329.62187,265450000
2024-02-08,326.269468,265450000
2024-02-07,325.691758,265400000
2024-02-06,321.553541,265500000
2024-02-05,321.33357,265500000
2024-02-02,321.341323,265400000
2024-02-01,315.138117,264800000
2024-01-31,310.589816,264850000
2024-01-30,317.212628,264700000
2024-01-29,318.554359,265000000
2024-01-26,315.096508,265050000
2024-01-25,315.506292,265050000
2024-01-24,315.126083,264850000
2024-01-23,314.046537,264850000
2024-01-22,313.179135,264850000
2024-01-19,312.362919,265000000
2024-01-18,307.779845,265150000
2024-01-17,303.751507,265450000
2024-01-16,305.187871,265700000
2024-01-12,305.617878,265800000
2024-01-11,305.30535,266100000
2024-01-10,304.726371,266100000
2024-01-09,301.673008,266400000
2024-01-08,300.940173,267000000
2024-01-05,294.847919,267800000
2024-01-04,294.548283,268400000
2024-01-03,295.786027,269150000
2024-01-02,298.628021,269650000
2023-12-29,303.082895,270100000
2023-12-28,304.210777,270100000
2023-12-27,304.207848,269900000
2023-12-26,303.760315,269750000
2023-12-22,302.784884,269800000
2023-12-21,302.642424,269800000
2023-12-20,299.386711,269600000
2023-12-19,304.085838,269650000
2023-12-18,302.652023,268950000
2023-12-15,300.610822,268450000
2023-12-14,299.440537,268550000
2023-12-13,300.285397,267900000
2023-12-12,296.710886,267900000
2023-12-11,294.399664,267350000
2023-12-08,294.158717,267350000
2023-12-07,292.699518,267050000
2023-12-06,289.277366,266800000
2023-12-05,290.80124,266950000
2023-12-04,289.51458,267050000
2023-12-01,292.069432,267150000
2023-11-30,290.857822,267150000
2023-11-29,290.758479,266650000
2023-11-28,291.350659,266600000
2023-11-27,290.670185,266900000
2023-11-24,290.969222,266950000
2023-11-22,291.351741,267100000
2023-11-21,290.084635,266800000
2023-11-20,290.841384,266850000
2023-11-17,287.793316,266750000
2023-11-16,287.958838,266700000
2023-11-15,286.997344,265850000
2023-11-14,287.109647,266150000
2023-11-13,281.628634,266150000
2023-11-10,281.882398,265550000
2023-11-09,276.442158,265550000
2023-11-08,278.921593,264500000
2023-11-07,277.816023,264050000
2023-11-06,275.132696,263800000
2023-11-03,273.621444,263200000
2023-11-02,270.967815,263200000
2023-11-01,266.078777,261650000
2023-10-31,262.176975,261300000
2023-10-30,261.07625,261350000
2023-10-27,257.531524,261050000
2023-10-26,256.861643,260200000
2023-10-25,261.983078,260200000
2023-10-24,267.478788,260250000
2023-10-23,265.21778,260350000
2023-10-20,264.473215,260350000
2023-10-19,268.327821,260350000
2023-10-18,270.585758,260350000
2023-10-17,274.699917,260450000
2023-10-16,275.415935,261150000
2023-10-13,272.267243,261100000
2023-10-12,275.049774,261100000
2023-10-11,276.275538,261000000
2023-10-10,274.036573,260900000
2023-10-09,272.794049,260750000
2023-10-06,271.451192,260350000
2023-10-05,267.011852,260250000
2023-10-04,267.046989,260100000
2023-10-03,263.469733,259800000
2023-10-02,268.281313,259700000
2023-09-29,266.005604,260000000
2023-09-28,266.100722,260000000
2023-09-27,264.117995,260150000
2023-09-26,263.788358,260300000
2023-09-25,268.573814,260400000
2023-09-22,267.262144,256800000
2023-09-21,267.403543,256950000
2023-09-20,272.533898,256950000
2023-09-19,276.247741,256950000
2023-09-18,276.811077,257050000
2023-09-15,276.535536,256450000
2023-09-14,280.933845,256300000
2023-09-13,279.116115,256000000
2023-09-12,278.22199,255800000
2023-09-11,281.416977,255800000
