date,nav_value,shares
2024-08-30,220.198071,321750000
2024-08-29,218.699177,318400000
2024-08-28,217.259133,321200000
2024-08-27,218.6943,321600000
2024-08-26,220.165773,320000000
2024-08-23,220.231536,318500000
2024-08-22,213.407583,316950000
2024-08-21,215.435867,318050000
2024-08-20,212.619497,317650000
2024-08-19,215.113012,313350000
2024-08-16,212.547625,311200000
2024-08-15,211.88674,306650000
2024-08-14,206.773722,309100000
2024-08-13,207.840751,309100000
2024-08-12,204.554211,309500000
2024-08-09,206.415906,309450000
2024-08-08,206.758326,311200000
2024-08-07,201.861946,313550000
2024-08-06,204.759551,316200000
2024-08-05,202.265577,322350000
2024-08-02,209.205763,327350000
2024-08-01,216.814751,330850000
2024-07-31,223.572187,326950000
2024-07-30,222.442823,327650000
2024-07-29,221.666996,327650000
2024-07-26,224.103372,327600000
2024-07-25,220.432899,323200000
2024-07-24,217.711035,323350000
2024-07-23,222.451504,316200000
2024-07-22,220.203073,317850000
2024-07-19,216.60601,321050000
2024-07-18,217.992245,327550000
2024-07-17,222.094201,322100000
2024-07-16,224.484427,313650000
2024-07-15,216.89051,307400000
2024-07-12,213.052847,303050000
2024-07-11,210.735655,295000000
2024-07-10,203.462581,291500000
2024-07-09,201.248969,291500000
2024-07-08,202.151727,289700000
2024-07-05,200.965206,291800000
2024-07-03,201.940467,291800000
2024-07-02,201.666967,291800000
2024-07-01,201.278227,295050000
2024-06-28,203.050648,295500000
2024-06-27,202.01842,294950000
2024-06-26,200.003933,296550000
2024-06-25,200.418436,295400000
2024-06-24,201.252667,296300000
2024-06-21,200.382669,295950000
2024-06-20,199.915878,298700000
2024-06-18,200.701492,297700000
2024-06-17,200.375141,297300000
2024-06-14,198.800825,297900000
2024-06-13,201.983157,298900000
2024-06-12,203.776087,299500000
2024-06-11,200.515577,298550000
2024-06-10,201.787881,297550000
2024-06-07,201.26975,298100000
2024-06-06,203.51712,297400000
2024-06-05,204.934353,292400000
2024-06-04,201.94979,293950000
2024-06-03,204.498791,291050000
2024-05-31,205.51919,289400000
2024-05-30,204.144105,287200000
2024-05-29,202.109924,290400000
2024-05-28,205.152522,292150000
2024-05-24,205.434763,294000000
2024-05-23,203.324717,294500000
2024-05-22,206.613867,294550000
2024-05-21,208.258203,295200000
2024-05-20,208.653968,295350000
2024-05-17,207.97405,297600000
2024-05-16,208.001934,298300000
2024-05-15,209.282163,297100000
2024-05-14,206.90859,298050000
2024-05-13,204.549739,298100000
2024-05-10,204.319346,297800000
2024-05-09,205.68572,299700000
2024-05-08,203.834074,298850000
2024-05-07,204.772141,299350000
2024-05-06,204.366553,296300000
2024-05-03,201.882796,296350000
2024-05-02,199.919312,293800000
2024-05-01,196.363944,294900000
2024-04-30,195.72809,297250000
2024-04-29,199.899244,296250000
2024-04-26,198.506766,298550000
2024-04-25,196.432855,298700000
2024-04-24,197.84849,300000000
2024-04-23,198.561861,299750000
2024-04-22,195.08135,298300000
2024-04-19,193.112625,302550000
2024-04-18,192.640059,301200000
2024-04-17,193.128653,303050000
2024-04-16,195.062347,304200000
2024-04-15,195.875655,306450000
2024-04-12,198.601899,307950000
