date,nav_value,shares
2024-08-30,167.720668,74950000
2024-08-29,166.727323,74650000
2024-08-28,165.731602,74800000
2024-08-27,166.307075,74600000
2024-08-26,167.653933,74850000
2024-08-23,167.565955,74700000
2024-08-22,161.839289,74800000
2024-08-21,162.982686,74800000
2024-08-20,161.20357,74850000
2024-08-19,163.381548,74850000
2024-08-16,161.451099,74850000
2024-08-15,160.692393,75050000
2024-08-14,156.897957,75050000
2024-08-13,157.641526,75050000
2024-08-12,155.183515,75050000
2024-08-09,156.985371,75300000
2024-08-08,157.726115,75600000
2024-08-07,154.552582,75450000
2024-08-06,156.149989,75450000
2024-08-05,154.558097,75300000
2024-08-02,160.238833,75000000
2024-08-01,165.836563,75000000
2024-07-31,170.969401,74400000
2024-07-30,170.447781,74200000
2024-07-29,169.245072,74200000
2024-07-26,171.267658,74200000
2024-07-25,168.616863,74200000
2024-07-24,165.945014,73950000
2024-07-23,169.076569,74400000
2024-07-22,167.233123,74500000
2024-07-19,164.692944,74500000
2024-07-18,165.735611,74500000
2024-07-17,168.689306,74650000
2024-07-16,168.911752,74450000
2024-07-15,162.753714,74450000
2024-07-12,159.978764,74350000
2024-07-11,158.545604,74350000
2024-07-10,152.430573,74500000
2024-07-09,150.455236,74500000
2024-07-08,151.004997,74600000
2024-07-05,150.085888,74600000
2024-07-03,151.521942,74600000
2024-07-02,151.488636,74600000
2024-07-01,150.88774,74600000
2024-06-28,152.513192,74350000
2024-06-27,150.767341,74250000
2024-06-26,149.809222,74350000
2024-06-25,149.917831,74300000
2024-06-24,151.231178,74550000
2024-06-21,149.858749,74550000
2024-06-20,149.752382,74600000
2024-06-18,150.000668,74100000
2024-06-17,149.893042,74100000
2024-06-14,148.685798,74200000
2024-06-13,151.128932,74500000
2024-06-12,152.796408,74500000
2024-06-11,150.335305,74500000
2024-06-10,151.777274,74500000
2024-06-07,151.870571,74600000
2024-06-06,153.536159,74750000
2024-06-05,154.323706,74750000
2024-06-04,152.786807,75050000
2024-06-03,154.93391,75050000
2024-05-31,155.833874,75450000
2024-05-30,154.188283,75550000
2024-05-29,152.165144,75550000
2024-05-28,154.611504,75700000
2024-05-24,155.163344,75700000
2024-05-23,153.966089,75700000
2024-05-22,156.72947,75700000
2024-05-21,158.151093,76150000
2024-05-20,158.242228,76150000
2024-05-17,158.626835,76250000
2024-05-16,158.413725,76250000
2024-05-15,158.97019,76250000
2024-05-14,157.913098,76250000
2024-05-13,156.235101,76250000
2024-05-10,156.129028,76250000
2024-05-09,157.094931,76500000
2024-05-08,155.342189,77250000
2024-05-07,155.595893,77250000
2024-05-06,155.647889,77250000
2024-05-03,154.278225,77250000
2024-05-02,152.790839,77250000
2024-05-01,149.99438,77400000
2024-04-30,148.89582,77400000
2024-04-29,152.021467,77550000
2024-04-26,151.16954,77550000
2024-04-25,150.16757,77600000
2024-04-24,151.418063,77750000
2024-04-23,151.83336,77700000
2024-04-22,149.366712,77700000
2024-04-19,147.949646,78700000
2024-04-18,146.15882,78700000
2024-04-17,146.135431,78800000
2024-04-16,147.28129,78800000
2024-04-15,148.54088,79000000
2024-04-12,150.27971,79050000
2024-04-11,152.659367,79050000
2024-04-10,151.667311,79200000
2024-04-09,156.303439,79150000
2024-04-08,155.634103,79150000
2024-04-05,154.844061,78850000
2024-04-04,154.115546,78850000
2024-04-03,155.390711,78850000
2024-04-02,154.49757,78850000
2024-04-01,157.125376,78850000
2024-03-31,159.062498,78850000
2024-03-29,159.062498,78850000
2024-03-28,159.062498,78900000
2024-03-27,157.799141,78900000
2024-03-26,153.925975,79050000
2024-03-25,154.547567,79050000
2024-03-22,154.463272,79050000
2024-03-21,156.704505,79050000
2024-03-20,155.494399,79150000
2024-03-19,152.071623,79300000
2024-03-18,150.82715,79300000
2024-03-15,151.675516,78900000
2024-03-14,150.678311,79100000
2024-03-13,153.644014,79100000
2024-03-12,153.342016,79100000
2024-03-11,153.907473,79100000
2024-03-08,154.705749,79100000
2024-03-07,154.579351,79100000
2024-03-06,153.404147,79200000
2024-03-05,152.756258,79400000
2024-03-04,153.213403,79450000
2024-03-01,154.114031,79650000
2024-02-29,152.983944,79250000
2024-02-28,151.555065,79250000
2024-02-27,152.753903,79250000
2024-02-26,151.094432,79250000
2024-02-23,150.848448,79250000
2024-02-22,150.578532,78500000
2024-02-21,150.329239,78650000
2024-02-20,150.418327,78650000
2024-02-16,152.352285,78650000
2024-02-15,154.062245,78700000
2024-02-14,150.070207,77700000
2024-02-13,146.938446,78150000
2024-02-12,153.180669,78150000
2024-02-09,150.258756,78150000
2024-02-08,148.592275,78150000
2024-02-07,146.586597,78600000
2024-02-06,147.102384,78800000
2024-02-05,146.069577,78550000
2024-02-02,148.252718,79050000
2024-02-01,149.47448,78950000
2024-01-31,148.166482,79100000
2024-01-30,152.332088,79100000
2024-01-29,153.182006,79450000
2024-01-26,151.218654,79450000
2024-01-25,150.910554,79450000
2024-01-24,149.60321,79450000
2024-01-23,150.49526,79550000
2024-01-22,151.392263,79400000
2024-01-19,148.369271,79400000
2024-01-18,146.670101,79400000
2024-01-17,145.714395,79600000
2024-01-16,146.930728,79800000
2024-01-12,149.262175,80250000
2024-01-11,149.546012,80400000
2024-01-10,150.722362,80500000
2024-01-09,150.43428,80500000
2024-01-08,152.402324,80750000
2024-01-05,150.222883,80850000
2024-01-04,150.556491,80850000
2024-01-03,150.831268,80600000
