date,nav_value,shares
2024-08-30,281.018624,42050000
2024-08-29,278.855175,42100000
2024-08-28,276.849659,42150000
2024-08-27,279.518031,42150000
2024-08-26,281.030623,42150000
2024-08-23,281.361431,42150000
2024-08-22,273.529205,42150000
2024-08-21,276.776649,42150000
2024-08-20,272.56734,42150000
2024-08-19,275.301158,42100000
2024-08-16,271.999416,42100000
2024-08-15,271.580307,42100000
2024-08-14,264.886791,42050000
2024-08-13,266.365136,42100000
2024-08-12,262.093182,42100000
2024-08-09,263.82203,42100000
2024-08-08,263.429798,42200000
2024-08-07,256.231453,42300000
2024-08-06,260.952148,42300000
2024-08-05,257.234255,42350000
2024-08-02,265.414566,42350000
2024-08-01,275.478213,42350000
2024-07-31,284.144553,42450000
2024-07-30,282.127124,42450000
2024-07-29,282.142442,42450000
2024-07-26,285.007959,42450000
2024-07-25,280.061334,42350000
2024-07-24,277.563021,42450000
2024-07-23,284.432718,42450000
2024-07-22,281.775323,42450000
2024-07-19,276.851631,42500000
2024-07-18,278.623193,42400000
2024-07-17,284.140049,42400000
2024-07-16,289.850543,42250000
2024-07-15,280.782825,42200000
2024-07-12,275.645436,42000000
2024-07-11,272.145236,41950000
2024-07-10,263.826879,42100000
2024-07-09,261.490825,42100000
2024-07-08,262.883609,41950000
2024-07-05,261.38784,41950000
2024-07-03,261.474826,41950000
2024-07-02,260.828098,41900000
2024-07-01,260.844889,41950000
2024-06-28,262.685534,41900000
2024-06-27,263.004378,41950000
2024-06-26,259.469728,42000000
2024-06-25,260.359339,42000000
2024-06-24,260.279077,42000000
2024-06-21,260.36834,42000000
2024-06-20,259.349977,41950000
2024-06-18,260.924497,41950000
2024-06-17,260.268752,41900000
2024-06-14,258.273386,41950000
2024-06-13,262.308033,41900000
2024-06-12,264.080443,41900000
2024-06-11,259.879501,41900000
2024-06-10,260.780768,41900000
2024-06-07,259.314109,41900000
2024-06-06,262.257574,41900000
2024-06-05,264.562423,41900000
2024-06-04,259.517313,41900000
2024-06-03,262.42092,41750000
2024-05-31,263.520545,41650000
2024-05-30,262.76513,41650000
2024-05-29,260.975298,41650000
2024-05-28,264.640515,41650000
2024-05-24,264.435669,41650000
2024-05-23,261.05475,41650000
2024-05-22,264.809816,41650000
2024-05-21,266.623473,41650000
2024-05-20,267.474102,41700000
2024-05-17,265.087238,41700000
2024-05-16,265.515024,41700000
2024-05-15,267.860533,41650000
2024-05-14,263.586439,41650000
2024-05-13,260.376707,41650000
2024-05-10,259.96878,41650000
2024-05-09,261.839081,41700000
2024-05-08,260.04854,41750000
2024-05-07,262.011404,41750000
2024-05-06,260.885368,41750000
2024-05-03,256.834017,41750000
2024-05-02,254.322268,41750000
2024-05-01,249.933205,41800000
2024-04-30,250.173926,41900000
2024-04-29,255.59418,41950000
2024-04-26,253.454122,41950000
2024-04-25,249.828017,41950000
2024-04-24,251.337194,42000000
2024-04-23,252.466088,42100000
2024-04-22,247.705366,42200000
2024-04-19,245.064843,42600000
2024-04-18,246.891818,42600000
2024-04-17,248.191342,42750000
2024-04-16,251.216264,42750000
2024-04-15,251.166432,42800000
2024-04-12,255.223276,42900000
2024-04-11,261.198324,42900000
2024-04-10,259.228612,42900000
2024-04-09,264.690388,42900000
2024-04-08,264.023891,42950000
2024-04-05,262.75791,42950000
2024-04-04,261.524225,42950000
2024-04-03,265.015219,42950000
2024-04-02,263.661235,43000000
2024-04-01,268.816174,43000000
2024-03-31,271.068851,43000000
2024-03-29,271.068851,43000000
2024-03-28,271.068851,43050000
2024-03-27,270.577533,43050000
2024-03-26,265.642076,43050000
2024-03-25,265.587921,43000000
2024-03-22,265.182031,42950000
2024-03-21,268.123181,42950000
2024-03-20,265.433379,43050000
