date,nav_value,shares
2024-08-30,113.720098,126800000
2024-08-29,113.084535,127050000
2024-08-28,112.533288,126950000
2024-08-27,113.782088,127050000
2024-08-26,113.718604,127050000
2024-08-23,114.470386,127350000
2024-08-22,112.865087,127600000
2024-08-21,113.925383,128750000
2024-08-20,112.351566,128650000
2024-08-19,113.293274,127300000
2024-08-16,112.311014,127750000
2024-08-15,111.93389,128050000
2024-08-14,109.879352,129400000
2024-08-13,109.465921,129400000
2024-08-12,107.524164,128100000
2024-08-09,107.938267,128200000
2024-08-08,107.5946,128900000
2024-08-07,104.151313,129450000
2024-08-06,105.377054,129750000
2024-08-05,103.754413,127850000
2024-08-02,106.19589,127850000
2024-08-01,108.711753,128000000
2024-07-31,110.977642,128000000
2024-07-30,109.911815,128250000
2024-07-29,110.225243,128050000
2024-07-26,110.220128,128100000
2024-07-25,109.715027,128800000
2024-07-24,109.320784,128950000
2024-07-23,112.572246,128950000
2024-07-22,112.488137,128000000
2024-07-19,111.157431,130950000
2024-07-18,111.228668,129550000
2024-07-17,112.585918,129550000
2024-07-16,115.317261,129300000
2024-07-15,113.558855,129400000
2024-07-12,113.066605,129400000
2024-07-11,111.748491,129450000
2024-07-10,110.965134,129450000
2024-07-09,110.41804,129300000
2024-07-08,111.12497,129200000
2024-07-05,111.000567,129350000
2024-07-03,110.689181,129400000
2024-07-02,110.197952,129400000
2024-07-01,109.77676,129400000
2024-06-28,110.342995,159900000
2024-06-27,110.522476,159750000
2024-06-26,110.079358,129250000
2024-06-25,110.443428,129650000
2024-06-24,110.565817,129550000
2024-06-21,110.599768,129550000
2024-06-20,110.210412,129800000
2024-06-18,110.565563,128250000
2024-06-17,110.18314,128200000
2024-06-14,109.315155,128300000
2024-06-13,109.941323,128200000
2024-06-12,110.747798,128200000
2024-06-11,109.459238,128200000
2024-06-10,109.419879,128200000
2024-06-07,108.560475,128200000
2024-06-06,108.973258,128200000
2024-06-05,109.306301,127850000
2024-06-04,107.728888,127950000
2024-06-03,107.952231,128000000
2024-05-31,108.652586,128000000
2024-05-30,108.447907,128000000
2024-05-29,109.023765,128000000
2024-05-28,110.119255,128000000
2024-05-24,111.122508,128100000
2024-05-23,110.052904,128200000
2024-05-22,111.447107,128200000
2024-05-21,111.798887,128200000
2024-05-20,112.30745,128300000
2024-05-17,112.021154,128450000
2024-05-16,111.920002,128450000
2024-05-15,112.238352,128250000
2024-05-14,110.667511,128250000
2024-05-13,109.933906,128250000
2024-05-10,110.358252,129300000
2024-05-09,109.980412,129350000
2024-05-08,109.244798,129350000
2024-05-07,109.970859,129350000
2024-05-06,110.33143,129100000
2024-05-03,108.81207,129100000
2024-05-02,108.156652,129300000
2024-05-01,107.455055,129300000
2024-04-30,107.510286,129400000
2024-04-29,109.542357,129650000
2024-04-26,109.020563,129750000
2024-04-25,108.450915,130350000
2024-04-24,108.590901,130350000
2024-04-23,108.565084,133200000
2024-04-22,106.659209,135450000
2024-04-19,105.746392,136050000
2024-04-18,106.509822,136050000
2024-04-17,107.013921,136300000
2024-04-16,108.017716,136350000
2024-04-15,108.122275,136250000
2024-04-12,109.858929,136350000
2024-04-11,111.803216,136050000
2024-04-10,111.42662,136000000
2024-04-09,112.831175,136050000
2024-04-08,112.539499,136000000
2024-04-05,112.230456,136150000
2024-04-04,110.820418,136150000
2024-04-03,112.25114,136200000
2024-04-02,112.03141,136050000
2024-04-01,113.412914,136000000
2024-03-31,114.161324,136000000
2024-03-29,114.161324,136000000
2024-03-28,114.161324,136000000
2024-03-27,114.081638,136100000
2024-03-26,113.097484,136100000
2024-03-25,112.911205,136100000
2024-03-22,113.187739,136100000
2024-03-21,113.883604,136100000
2024-03-20,113.294227,136200000
2024-03-19,112.089386,136200000
2024-03-18,111.407146,136100000
2024-03-15,111.121379,136150000
2024-03-14,111.715769,136050000
2024-03-13,112.686985,135950000
2024-03-12,112.741397,135950000
2024-03-11,111.937549,135950000
2024-03-08,112.338422,135800000
2024-03-07,113.245869,135800000
2024-03-06,112.097053,135900000
2024-03-05,110.896666,135900000
2024-03-04,112.411863,135900000
2024-03-01,112.245484,135850000
2024-02-29,111.631288,135850000
2024-02-28,111.001233,135600000
2024-02-27,110.838891,135600000
2024-02-26,110.484015,135650000
2024-02-23,110.382896,135650000
2024-02-22,109.959998,135850000
2024-02-21,107.972723,135950000
2024-02-20,108.5847,135950000
2024-02-16,109.577889,135950000
2024-02-15,110.085419,135950000
2024-02-14,109.264147,136250000
2024-02-13,107.359878,136200000
2024-02-12,109.140688,136250000
2024-02-09,109.333215,136250000
2024-02-08,108.78017,136000000
2024-02-07,107.685139,135800000
2024-02-06,106.563863,135800000
2024-02-05,105.481409,135850000
2024-02-02,106.238953,135850000
2024-02-01,105.306466,136100000
2024-01-31,103.845027,135850000
2024-01-30,105.752036,135750000
2024-01-29,106.079735,135900000
2024-01-26,104.681708,135950000
2024-01-25,104.808506,136050000
2024-01-24,104.295695,136550000
2024-01-23,105.019817,136550000
2024-01-22,105.174528,136700000
2024-01-19,103.961451,136750000
2024-01-18,103.125854,137100000
2024-01-17,101.980107,137100000
2024-01-16,102.588158,137300000
2024-01-12,103.121138,137500000
2024-01-11,103.309122,137950000
2024-01-10,103.21287,138100000
2024-01-09,102.771094,138100000
2024-01-08,102.76302,138000000
2024-01-05,100.821449,138200000
2024-01-04,100.848902,138200000
2024-01-03,100.680931,138500000
2024-01-02,102.823016,138150000
2023-12-29,104.426694,138150000
2023-12-28,105.086503,138150000
2023-12-27,105.092886,138050000
2023-12-26,104.909616,138050000
2023-12-22,104.201622,138100000
2023-12-21,103.675033,138150000
2023-12-20,102.173895,138650000
2023-12-19,104.209732,138500000
2023-12-18,103.40885,138600000
2023-12-15,103.072129,138650000
2023-12-14,103.442071,138550000
2023-12-13,102.21666,138550000
2023-12-12,100.401771,138350000
2023-12-11,99.732242,137500000
2023-12-08,98.740995,137450000
2023-12-07,98.298265,137450000
2023-12-06,97.96762,137200000
2023-12-05,98.273736,137200000
2023-12-04,99.080772,136650000
2023-12-01,99.115648,136300000
2023-11-30,97.224408,136450000
2023-11-29,96.746178,136350000
2023-11-28,96.021358,136500000
2023-11-27,96.25661,136500000
2023-11-24,96.394488,136300000
2023-11-22,96.036684,136300000
2023-11-21,95.520172,136300000
2023-11-20,95.597642,136500000
2023-11-17,94.765429,136450000
2023-11-16,94.089091,136450000
2023-11-15,94.512926,136000000
2023-11-14,94.293912,135850000
2023-11-13,91.457621,135700000
2023-11-10,91.307465,135700000
2023-11-09,90.154811,135700000
2023-11-08,91.202062,135450000
2023-11-07,91.284151,135050000
2023-11-06,90.414384,134800000
2023-11-03,91.071964,134650000
2023-11-02,88.918707,134700000
2023-11-01,86.881604,134150000
2023-10-31,86.67216,134150000
2023-10-30,85.970099,134150000
2023-10-27,85.642483,134150000
2023-10-26,86.253208,134350000
2023-10-25,86.880296,134350000
2023-10-24,88.925398,134350000
2023-10-23,88.242528,134350000
2023-10-20,88.620196,134350000
2023-10-19,89.871204,134350000
2023-10-18,90.817752,134250000
2023-10-17,92.587307,134250000
2023-10-16,92.04072,134550000
2023-10-13,90.810958,134500000
2023-10-12,91.463063,134500000
2023-10-11,92.919268,134350000
2023-10-10,92.782694,134350000
2023-10-09,91.877147,134350000
2023-10-06,91.257481,134350000
2023-10-05,89.888793,134650000
2023-10-04,90.090511,135050000
2023-10-03,89.197875,135100000
2023-10-02,90.84671,135400000
2023-09-29,91.347005,135500000
2023-09-28,91.609037,135500000
2023-09-27,90.650367,135850000
2023-09-26,89.921262,136050000
2023-09-25,91.17074,136050000
2023-09-22,90.898612,136050000
2023-09-21,90.89525,136050000
2023-09-20,92.846314,136000000
2023-09-19,93.37919,136000000
2023-09-18,93.690021,136000000
2023-09-15,93.943283,135650000
2023-09-14,95.056789,135650000
2023-09-13,94.499345,135650000
2023-09-12,94.917855,135650000
2023-09-11,95.348508,135650000
2023-09-08,94.869913,135450000
2023-09-07,95.388867,135300000
2023-09-06,95.89561,135250000
2023-09-05,96.068579,135250000
2023-09-01,96.916593,135250000
2023-08-31,96.232241,135250000
2023-08-30,96.259024,135300000
2023-08-29,95.601631,135300000
2023-08-28,94.123165,135300000
2023-08-25,93.561593,135350000
2023-08-24,92.769528,135350000
2023-08-23,94.140261,135550000
2023-08-22,93.01164,135650000
2023-08-21,93.064911,135700000
2023-08-18,92.786294,135850000
2023-08-17,92.458893,135850000
2023-08-16,93.948355,135750000
2023-08-15,94.800402,135550000
2023-08-14,95.859057,135550000
2023-08-11,95.258948,135550000
2023-08-10,95.407969,135550000
2023-08-09,95.307381,135250000
2023-08-08,95.721076,135300000
2023-08-07,96.915663,135300000
2023-08-04,96.268268,135300000
2023-08-03,97.091741,135600000
2023-08-02,97.333073,135650000
2023-08-01,99.023343,135650000
2023-07-31,99.531373,135650000
2023-07-28,99.0551,135650000
2023-07-27,97.987396,135650000
2023-07-26,99.131576,135650000
2023-07-25,99.057304,135650000
2023-07-24,98.662755,135750000
2023-07-21,99.069947,135750000
2023-07-20,98.925041,135750000
2023-07-19,100.296517,135700000
2023-07-18,100.33079,135500000
2023-07-17,99.819743,135500000
2023-07-14,98.943833,135600000
2023-07-13,99.404952,135600000
2023-07-12,98.512962,135300000
2023-07-11,97.980329,134950000
2023-07-10,96.926383,134950000
2023-07-07,95.240097,134450000
2023-07-06,95.013749,134450000
2023-07-05,96.070098,134400000
2023-07-03,96.421358,134200000
2023-06-30,96.622743,134600000
2023-06-29,95.527573,134900000
2023-06-28,95.04695,134900000
2023-06-27,94.623634,134900000
2023-06-26,93.257792,135200000
2023-06-23,93.203289,135400000
2023-06-22,94.086744,135050000
2023-06-21,94.243965,135050000
2023-06-20,94.591569,135400000
2023-06-16,95.316811,135100000
2023-06-15,95.722895,135100000
2023-06-14,94.568596,134450000
2023-06-13,94.763477,134750000
2023-06-12,93.721078,134750000
2023-06-09,92.552628,134750000
2023-06-08,92.69573,134550000
2023-06-07,92.337875,134550000
2023-06-06,92.790679,134350000
2023-06-05,92.348309,134300000
2023-06-02,92.458716,134200000
2023-06-01,90.769321,134050000
2023-05-31,89.793917,134050000
2023-05-30,90.462653,134050000
2023-05-26,90.338019,134050000
2023-05-25,89.342404,134050000
2023-05-24,88.856458,133950000
2023-05-23,89.63226,133700000
2023-05-22,91.118286,133700000
2023-05-19,90.750943,133600000
2023-05-18,91.15518,133600000
2023-05-17,89.730975,133550000
2023-05-16,88.600342,133750000
2023-05-15,89.856091,133750000
2023-05-12,89.029898,133950000
2023-05-11,89.161473,133950000
2023-05-10,89.480169,133950000
2023-05-09,88.987824,133950000
2023-05-08,89.179799,133950000
2023-05-05,89.028943,133650000
2023-05-04,87.691689,133650000
2023-05-03,88.339052,133650000
2023-05-02,88.530954,133650000
2023-05-01,89.848258,133800000
2023-04-28,89.751152,133900000
2023-04-27,88.968964,134300000
2023-04-26,87.863388,134400000
2023-04-25,88.35097,134500000
2023-04-24,90.671013,134500000
2023-04-21,90.592403,134500000
2023-04-20,90.436371,134800000
2023-04-19,90.890811,134850000
2023-04-18,91.19049,134700000
2023-04-17,90.999545,135150000
2023-04-14,90.530405,135000000
2023-04-13,90.848806,135000000
2023-04-12,89.764717,134900000
2023-04-11,90.181576,134900000
2023-04-10,89.65829,134700000
2023-04-06,88.864795,134700000
2023-04-05,88.867831,134700000
2023-04-04,90.114079,134450000
