date,nav_value,shares
2024-08-30,86.636915,417200000
2024-08-29,86.029243,417350000
2024-08-28,85.689538,417050000
2024-08-27,86.107125,417050000
2024-08-26,86.184447,417000000
2024-08-23,86.344476,417000000
2024-08-22,84.981178,416700000
2024-08-21,85.345478,416700000
2024-08-20,84.449366,416700000
2024-08-19,84.997984,416700000
2024-08-16,84.295546,416700000
2024-08-15,84.077485,416150000
2024-08-14,82.860237,416650000
2024-08-13,82.719273,416650000
2024-08-12,81.669969,416650000
2024-08-09,82.126459,416650000
2024-08-08,81.973305,416450000
2024-08-07,80.220625,415900000
2024-08-06,80.913881,415900000
2024-08-05,79.972838,415900000
2024-08-02,82.002875,415750000
2024-08-01,83.750264,416050000
2024-07-31,84.924238,416050000
2024-07-30,84.564527,416100000
2024-07-29,84.254472,416150000
2024-07-26,84.164286,417500000
2024-07-25,83.055753,417350000
2024-07-24,82.644988,417000000
2024-07-23,84.102828,417000000
2024-07-22,84.255898,417000000
2024-07-19,83.398713,416450000
2024-07-18,83.831943,416050000
2024-07-17,84.569904,416000000
2024-07-16,85.310455,416350000
2024-07-15,83.659513,416050000
2024-07-12,83.371845,416050000
2024-07-11,82.571289,415950000
2024-07-10,81.276556,415950000
2024-07-09,80.560622,416000000
2024-07-08,80.839696,416000000
2024-07-05,80.637729,416000000
2024-07-03,80.836145,416000000
2024-07-02,80.697608,416050000
2024-07-01,80.422232,416100000
2024-06-28,81.108654,456900000
2024-06-27,80.976383,456850000
2024-06-26,80.769286,416050000
2024-06-25,81.128762,415100000
2024-06-24,81.637734,415100000
2024-06-21,81.272086,415100000
2024-06-20,81.147025,415050000
2024-06-18,81.265756,414800000
2024-06-17,80.994942,414800000
2024-06-14,80.475493,414650000
2024-06-13,81.229774,414650000
2024-06-12,81.661338,414700000
2024-06-11,80.856436,414700000
2024-06-10,81.320686,414650000
2024-06-07,80.889397,414650000
2024-06-06,81.308424,414500000
2024-06-05,81.632916,414800000
2024-06-04,80.831569,414800000
2024-06-03,81.305848,414800000
2024-05-31,81.874405,414650000
2024-05-30,81.175778,414650000
2024-05-29,80.78683,414650000
2024-05-28,81.768096,414650000
2024-05-24,82.434157,414650000
2024-05-23,81.680233,414650000
2024-05-22,82.812109,414300000
2024-05-21,83.227325,414300000
2024-05-20,83.350836,414300000
2024-05-17,83.26072,414900000
2024-05-16,83.138445,413700000
2024-05-15,83.582447,413700000
2024-05-14,82.765698,413700000
2024-05-13,82.239849,413700000
2024-05-10,82.39986,413250000
2024-05-09,82.320111,413100000
2024-05-08,81.588057,412050000
2024-05-07,81.743468,412050000
2024-05-06,81.742752,412050000
2024-05-03,80.788474,412050000
2024-05-02,80.202673,412050000
2024-05-01,79.54543,412050000
2024-04-30,79.61395,412050000
2024-04-29,80.998113,412400000
2024-04-26,80.495585,412700000
2024-04-25,80.271046,412500000
2024-04-24,80.414652,412200000
2024-04-23,80.347388,412000000
2024-04-22,79.378655,412000000
2024-04-19,78.695715,412000000
2024-04-18,78.676761,412400000
2024-04-17,78.812516,410250000
2024-04-16,79.18465,408450000
2024-04-15,79.616061,408550000
2024-04-12,80.626681,406150000
2024-04-11,81.94379,404800000
2024-04-10,81.904416,405350000
2024-04-09,83.290951,402650000
2024-04-08,83.11015,402650000
2024-04-05,82.810115,401600000
2024-04-04,82.045885,400800000
2024-04-03,82.966768,400300000
2024-04-02,82.702219,398150000
2024-04-01,83.553869,398100000
2024-03-31,84.172805,398100000
2024-03-29,84.172805,398100000
2024-03-28,84.172805,398100000
2024-03-27,83.862996,397000000
2024-03-26,82.672133,396800000
2024-03-25,82.703507,393950000
2024-03-22,82.801807,394050000
2024-03-21,83.371487,394050000
2024-03-20,82.883932,394050000
2024-03-19,81.967538,394050000
2024-03-18,81.48521,394050000
2024-03-15,81.354855,394050000
2024-03-14,81.420696,394150000
2024-03-13,82.28898,394350000
2024-03-12,82.240305,394350000
2024-03-11,81.953757,394250000
2024-03-08,82.040401,394250000
2024-03-07,82.348856,394250000
2024-03-06,81.620393,394550000
2024-03-05,80.976931,394500000
2024-03-04,81.612023,394500000
2024-03-01,81.365594,394500000
2024-02-29,80.897613,395200000
2024-02-28,80.365167,395200000
2024-02-27,80.316778,395200000
2024-02-26,79.928845,395200000
2024-02-23,80.058971,395300000
2024-02-22,79.813305,395300000
2024-02-21,78.858819,394900000
2024-02-20,78.813885,395000000
2024-02-16,79.22747,395800000
2024-02-15,79.671842,395800000
2024-02-14,78.722397,395650000
2024-02-13,77.594914,395650000
2024-02-12,79.109217,395800000
2024-02-09,78.704803,395100000
2024-02-08,78.440085,395100000
2024-02-07,77.97478,395100000
2024-02-06,77.538553,395100000
2024-02-05,76.943929,395100000
2024-02-02,77.723958,395200000
2024-02-01,77.601317,395200000
2024-01-31,76.627867,395700000
2024-01-30,77.830123,395700000
2024-01-29,77.930826,395700000
2024-01-26,77.239412,395050000
2024-01-25,77.219113,395100000
2024-01-24,76.563945,395200000
2024-01-23,77.087268,395150000
2024-01-22,77.204936,395400000
2024-01-19,76.523419,395400000
2024-01-18,75.870425,395400000
2024-01-17,75.392126,395800000
2024-01-16,76.023302,396550000
2024-01-12,76.551954,396650000
2024-01-11,76.683823,397000000
2024-01-10,76.917468,397150000
2024-01-09,76.724564,397800000
2024-01-08,77.086559,397800000
2024-01-05,76.057469,398050000
2024-01-04,75.832536,398050000
2024-01-03,75.889591,398350000
